slug	region	marker	order
deathclaw-egg	Ash Heap		Tunnel of Love
deathclaw-egg	Forest		Deathclaw Island|Arktos Pharma
deathclaw-egg	Savage Divide		Hopewell Cave|Monorail Elevator
deathclaw-egg	Skyline Valley		Atrium Upper Level
deathclaw-egg	The Mire		Abandoned Waste Dump|Abandoned Waste Dump (Cavern)|Thunder Mt. Power Plant Yard|Ella Ames' Bunker
deathclaw-egg	Burning Springs		Dino Peaks Mini Golf|Ash Cave|The Rust Kingdom
deathclaw-egg	Ash Heap	Tunnel of Love	674813 67AE18 67E92A 67E952 6747E9
deathclaw-egg	Burning Springs	Dino Peaks Mini Golf	82A3B2 82A3B5 7F0A84 80391B 82A3B3 82A3B6 7F0A81 82A3B4
deathclaw-egg	The Mire	Abandoned Waste Dump	3DC3DD 3DC449 3DC447
deathclaw-egg	The Mire	Abandoned Waste Dump (Cavern)	1A6460 1837FD 1A6435 022E32
