seasonNumber	name	expectedAvif	ddsPath	reason
1	Player Icon: Captain Cosmos	score_s1_playericon_captaincosmos.avif	textures/atx/storefront/player/playericons/atx_playericon_score_01.dds	texture not in extraction
1	Player Icon: Blood Eagle	score_s1_playericon_bloodeagle.avif	textures/atx/storefront/player/playericons/atx_playericon_raider_04.dds	texture not in extraction
1	Player Icon: Secret Service Helmet	score_s1_playericon_secretservicehelmet.avif	textures/atx/storefront/player/playericons/atx_playericon_secretservice_01.dds	texture not in extraction
1	White Raider Skull Gas Mask	score_s1_apparel_headwear_gasmaskraiderskull_white.avif	textures/atx/storefront/player/headwear/atx_apparel_headwear_gasmaskraiderskull_white.dds	texture not in extraction
1	Atomic Onslaught Excavator Power Armor Paint	score_s1_skin_powerarmor_paint_excavator_atomiconslaught.avif	textures/atx/storefront/player/powerarmor/atx_skin_powerarmor_paint_excavator_atomicoutcast.dds	texture not in extraction
1	Atomic Onslaught T-45 Power Armor Paint	score_s1_skin_powerarmor_paint_t45_atomiconslaught.avif	textures/atx/storefront/player/powerarmor/atx_skin_powerarmor_paint_t45_atomicoutcast.dds	texture not in extraction
1	Atomic Onslaught T-51 Power Armor Paint	score_s1_skin_powerarmor_paint_t51_atomiconslaught.avif	textures/atx/storefront/player/powerarmor/atx_skin_powerarmor_paint_t51_atomicoutcast.dds	texture not in extraction
1	Atomic Onslaught T-60 Power Armor Paint	score_s1_skin_powerarmor_paint_t60_atomiconslaught.avif	textures/atx/storefront/player/powerarmor/atx_skin_powerarmor_t60_atomicoutcast.dds	texture not in extraction
1	Atomic Onslaught T-65 Power Armor Paint	score_s1_skin_powerarmor_paint_t65_atomiconslaught.avif	textures/atx/storefront/player/powerarmor/atx_skin_powerarmor_paint_t65_atomicoutcast.dds	texture not in extraction
1	Atomic Onslaught Ultracite Power Armor Paint	score_s1_skin_powerarmor_paint_ultracite_atomiconslaught.avif	textures/atx/storefront/player/powerarmor/atx_skin_powerarmor_paint_ultracite_atomicoutcast.dds	texture not in extraction
1	Atomic Onslaught X-01 Power Armor Paint	score_s1_skin_powerarmor_paint_x01_atomiconslaught.avif	textures/atx/storefront/player/powerarmor/atx_skin_powerarmor_paint_x01_atomicoutcast.dds	texture not in extraction
1	Clean Sink	score_s1_camp_utility_sink_clean.avif	textures/atx/storefront/camp/utility/atx_camp_utility_sink_clean.dds	texture not in extraction
1	Vault Door	score_s1_camp_door_vault.avif	textures/atx/storefront/camp/doors/score_s1_camp_door_vault.dds	texture not in extraction
1	Glow in the Dark - Stars and Planets Wallpaper	score_s1_camp_wallpaper_glowinthedark_starsandplanets.avif	textures/atx/storefront/camp/wallpaper/score_s1_camp_wallpaper_glowinthedark_starsandplanets.dds	texture not in extraction
1	Glow in the Dark - Stars Wallpaper	score_s1_camp_wallpaper_glowinthedark_stars.avif	textures/atx/storefront/camp/wallpaper/score_s1_camp_wallpaper_glowinthedark_stars.dds	texture not in extraction
2	Player Icon: Subjugator	score_s2_playericon_subjugator.avif	textures/atx/storefront/player/playericons/atx_playericon_score_03.dds	texture not in extraction
2	Player Icon: Power Patrol	score_s2_playericon_powerpatrol.avif	textures/atx/storefront/player/playericons/atx_playericon_score_02.dds	texture not in extraction
2	Player Icon: Armor Ace	score_s2_playericon_ace.avif	textures/atx/storefront/player/playericons/atx_playericon_score_04.dds	texture not in extraction
