name,star,category,weapon_type,desc,status,is_pool,edid,attach
,1,Armor,,,deprecated,True,zzz_mod_Legendary_Armor_LessDMGGhouls,Legendary Mod ¬
Adrenal,1,Armor,,+10 Damage and Energy Resistance per kill while on a Kill Streak (Max 10).,standard,False,mod_Legendary_Armor1_Adrenal,Legendary Mod ¬
Anti-armor Legendary Mod,1,Armor,,,unique/custom,False,mod_Legendary_CircuitBreaker_AntiArmor,Legendary Mod ¬
Aristocrat's,1,Armor,,,standard,False,mod_Legendary_Armor1_ResistancesProportionalCaps,Legendary Mod ¬
Assassin's,1,Armor,,,standard,False,mod_Legendary_Armor1_LessDMGPlayers,Legendary Mod ¬
Auto Stim,1,Armor,,,standard,False,mod_Legendary_Armor1_LowHealthTriggersStimpak,Legendary Mod ¬
Bolstering,1,Armor,,,standard,False,mod_Legendary_Armor1_ResistancesInverseHealth,Legendary Mod ¬
Bounty Legendary Mods,1,Armor,,,standard,True,BOUNTY_modcol_Legendary_Crafting_Armor1,Legendary Mod ¬
Chameleon,1,Armor,,,standard,False,mod_Legendary_Armor1_Chameleon,Legendary Mod ¬
Cloaking,1,Armor,Melee,,standard,False,mod_Legendary_Armor1_CloakOnMelee,Legendary Mod ¬
Exterminator's,1,Armor,,,standard,False,mod_Legendary_Armor1_LessDMGBugs,Legendary Mod ¬
Feral's,1,Armor,,,deprecated,False,zzz_BOUNTY_mod_Legendary_Armor1_Feral,Legendary Mod ¬
Ghoul Slayer's,1,Armor,,,standard,False,mod_Legendary_Armor1_LessDMGGhouls,Legendary Mod ¬
Heavyweight,1,Armor,,,standard,False,mod_Legendary_Armor1_Heavyweight,Legendary Mod ¬
Hunter's,1,Armor,,,standard,False,mod_Legendary_Armor1_LessDMGAnimals,Legendary Mod ¬
Life Saving,1,Armor,,,standard,False,mod_Legendary_Armor1_AutoRevive,Legendary Mod ¬
Lucid,1,Armor,,,standard,False,mod_Legendary_Armor1_Lucid,Legendary Mod ¬
Mutant Slayer's,1,Armor,,,standard,False,mod_Legendary_Armor1_LessDMGSuperMutants,Legendary Mod ¬
Mutant's,1,Armor,,,standard,False,mod_Legendary_Armor1_ResistancesMutation,Legendary Mod ¬
Nocturnal,1,Armor,,,standard,False,mod_Legendary_Armor1_ResistancesNight,Legendary Mod ¬
Overeater's,1,Armor,,,standard,False,mod_Legendary_Armor1_Overeater,Legendary Mod ¬
Powered,1,Armor,,,standard,False,mod_Legendary_Armor_APRegen,Legendary Mod ¬
Punishing,1,Armor,,,standard,False,mod_Legendary_Armor_ReflectDamage,Legendary Mod ¬
Random Legendary Mod,1,Armor,,,standard,True,modcol_Legendary_Crafting_Armor1,Legendary Mod ¬
Recollecting,1,Armor,,,deprecated,False,zzz_BOUNTY_mod_Legendary_Armor1_Recollecting,Legendary Mod ¬
Regenerating,1,Armor,,,standard,False,mod_Legendary_Armor1_HealthRegen,Legendary Mod ¬
Troubleshooter's,1,Armor,,,standard,False,mod_Legendary_Armor1_LessDMGRobots,Legendary Mod ¬
Unyielding,1,Armor,,,standard,False,mod_Legendary_Armor1_LowHealthIncreasesStats,Legendary Mod ¬
Vanguard's,1,Armor,,,standard,False,mod_Legendary_Armor1_ResistancesProportionalHealth,Legendary Mod ¬
