set	item_formid	edid	name	section	worldspace	cell	x	y	z	ref_formid	holder	loc_name	loc_source
treasure-maps	0038C128	TreasureMapMoundActivator17	Mound	ACTI			16156.716797	-16360.665039	24089.599609	0038B06A			
treasure-maps	0038C1EB	TreasureMapMoundActivator11	Mound	ACTI			-41079.304687	72407.890625	8946.170898	0038B156			
treasure-maps	0038C0BD	TreasureMapMoundActivator21	Mound	ACTI			33260.054687	-47051.601562	28293.312500	0038AF64			
treasure-maps	0038C0B2	TreasureMapMoundActivator23	Mound	ACTI			61745.277344	-124896.148438	31640.511719	0038AE4D			
treasure-maps	0038C1F0	TreasureMapMoundActivator10	Mound	ACTI			-77637.679688	150060.812500	12973.709961	0038B159			
treasure-maps	0038C009	TreasureMapMoundActivator33	Mound	ACTI			175651.781250	-176662.453125	7229.380371	0038AD47			
treasure-maps	0038C20D	TreasureMapMoundActivator08	Mound	ACTI			-81548.460937	48992.015625	4459.406739	0038B198			
treasure-maps	0038C007	TreasureMapMoundActivator34	Mound	ACTI			181776.015625	104687.453125	8816.720703	0038AD1A			
treasure-maps	0038C2D6	TreasureMapMoundActivator02	Mound	ACTI			-158059.796875	-40684.777343	9240.047852	0038B252			
treasure-maps	0038C2EF	TreasureMapMoundActivator01	Mound	ACTI			-177856.187500	66008.125000	37.641667	0038B328			
treasure-maps	0038C072	TreasureMapMoundActivator25	Mound	ACTI			98820.343750	42795.464844	28021.593750	0038ADD7			
treasure-maps	0038C243	TreasureMapMoundActivator06	Mound	ACTI			-122167.453125	-49725.003906	6881.741211	0038B1F0			
treasure-maps	0038C0B4	TreasureMapMoundActivator22	Mound	ACTI			56127.000000	176659.062500	25002.175781	0038AF4C			
treasure-maps	0038C21C	TreasureMapMoundActivator07	Mound	ACTI			-101486.882813	-81483.960937	12024.577149	0038B1D7			
treasure-maps	0038C010	TreasureMapMoundActivator31	Mound	ACTI			160578.328125	18416.201172	7138.580566	0038AD4D			
treasure-maps	0038C114	TreasureMapMoundActivator18	Mound	ACTI			26592.541016	192093.156250	13965.001953	0038AF9D			
treasure-maps	0038C100	TreasureMapMoundActivator19	Mound	ACTI			32254.214844	27944.498046	26662.103516	0038AF8C			
treasure-maps	0038C00C	TreasureMapMoundActivator32	Mound	ACTI			175781.468750	78368.539062	7085.874512	0038AD4A			
treasure-maps	0038C2BA	TreasureMapMoundActivator04	Mound	ACTI			-126027.656250	-143726.750000	20611.554688	0038B1F2			
treasure-maps	0038C052	TreasureMapMoundActivator27	Mound	ACTI			140590.703125	111464.984375	22114.433594	0038ADA2			
treasure-maps	0038C040	TreasureMapMoundActivator28	Mound	ACTI			142882.906250	-26589.476563	10574.248047	0038AD9E			
treasure-maps	0038BFC8	TreasureMapMoundActivator35	Mound	ACTI			192578.812500	-89122.875000	6578.606933	0038ACBD			
treasure-maps	0038C14A	TreasureMapMoundActivator14	Mound	ACTI			-25714.589844	43075.902344	9448.922851	0038B109			
treasure-maps	0038C29E	TreasureMapMoundActivator05	Mound	ACTI			-119683.562500	119820.718750	6262.316894	0038B1DA			
treasure-maps	0038C171	TreasureMapMoundActivator12	Mound	ACTI			-41273.652344	-24995.271484	9802.654297	0038B14D			
treasure-maps	0038C0FB	TreasureMapMoundActivator20	Mound	ACTI			36779.828125	-62224.101563	32588.406250	0038AF66			
treasure-maps	0038C13D	TreasureMapMoundActivator16	Mound	ACTI			5849.466797	134711.031250	12552.208984	0038B0DA			
treasure-maps	0038C039	TreasureMapMoundActivator30	Mound	ACTI			157542.437500	-88259.265625	6514.225098	0038AD50			
treasure-maps	0038C2D0	TreasureMapMoundActivator03	Mound	ACTI			-135648.562500	-65181.511718	10649.833984	0038B220			
treasure-maps	0038C09F	TreasureMapMoundActivator24	Mound	ACTI			66572.601563	30560.263672	35832.089844	0038ADDC			
treasure-maps	0038C163	TreasureMapMoundActivator13	Mound	ACTI			-31294.226563	163443.921875	12122.592773	0038B147			
treasure-maps	0038C069	TreasureMapMoundActivator26	Mound	ACTI			130433.703125	-129577.210938	7294.763184	0038ADAB			
treasure-maps	0038C1F3	TreasureMapMoundActivator09	Mound	ACTI			-78384.156250	-84171.117187	16338.756836	0038B176			
treasure-maps	0038C03D	TreasureMapMoundActivator29	Mound	ACTI			150924.796875	180168.640625	17805.378906	0038AD61			
treasure-maps	0038C148	TreasureMapMoundActivator15	Mound	ACTI			-8329.735352	-157138.265625	33641.898437	0038B0DD			
