ACTI_FormID	ACTI_EDID	ACTI_FULL	XALG_Flags	CanBeInstanced	KeywordCount	PropCount	VMAD_ScriptCount	VMAD_Scripts
000347A1	DefaultSetAVTrig				0	0	0	
0003252F	DefaultSetStageTriggerOnLeavePlayerOnly				0	0	0	
00033440	Standpipe02				0	0	0	
00033441	Standpipe03				0	0	0	
0003376D	DefaultActivateSelfTrigger				0	0	0	
0002E507	RETriggerAssault			False	0	0	0	
0002E51B	RETriggerSecondary			False	0	0	0	
000302DC	Empty_NukaColaMachine_LoadScreen	Nuka-Cola Machine		False	0	0	0	
00031F7B	Standpipe01				0	0	0	
00032483	MirelurkHypnosisTower	Vapor Tower		False	0	0	0	
00032484	MirelurkHypnosisTowerTrig				0	0	0	
0003251C	DefaultSetStageTrigger				0	0	0	
0003251F	DefaultSetStageTriggerPlayerOnly				0	0	0	
0003252E	DefaultSetStageTriggerOnLeave				0	0	0	
0002DFE5	RETriggerScene			False	0	0	0	
000224E3	DefaultEmptyTrigger		Camera Weapon Detectable	False	0	0	0	
000248C2	Toilet01				0	0	0	
00026318	Water1024IntMurkyDefault				0	0	0	
00026E68	defaultCreatureSpawnerDeathclawDoll	Death Claw Spawner		False	0	0	0	
00026E6A	defaultCreatureSpawnerRaiderDoll	Raider Spawner		False	0	0	0	
00027559	KentIntroAmbient				0	0	0	
0002D19D	NavBlocker				0	0	0	
0002E503	RETriggerTravel			False	0	0	0	
0002E504	RETriggerCamp			False	0	0	0	
0002E505	RETriggerObject			False	0	0	0	
0000001B	DefaultAshPile1	Ash Pile		False	0	0	0	
00000022	DefaultAshPile2	Ash Pile		False	0	0	0	
000057FE	DefaultStartQuestTrigger				0	0	0	
0001D306	Fusebox01	Fusebox		False	0	0	0	
0001DB98	PlayerVoiceTrigger				0	0	0	
0001ED64	VaultControlPanel	Control Panel		False	0	0	0	
00042909	VaultElevatorFX				0	0	0	
0004946F	DefaultEnableDisableTrigger				0	0	0	
00049C62	Water1024ExtRiverOhio				0	0	0	
00051876	vaultExitCommonWealth				0	0	0	
00054BD1	GnatSwarm01				0	0	0	
0001902B	RoachScareTrigger				0	0	0	
00020C39	vaultExitElevatorDown				0	0	0	
00022210	PfbBarredDoorChainsDbl01	Chain		False	0	0	0	
000244EF	VltElevator				0	0	0	
00024A92	WorkshopPowerConnectorCeiling01	Ceiling Power Conduit		False	0	0	0	
000250E2	WorkshopNPCSpawner	Spawn Workshop NPC		False	0	0	0	
00030386	WorkshopGenerator	Generator - Small	Camera Weapon Detectable	False	0	0	0	
000330C2	VltGearDoor01				0	0	0	
0003B695	DefaultDummy	Default Dummy		False	0	0	0	
0004C41B	PlayBinkMarker				0	0	0	
00056330	RedRGarageDoor			False	0	0	0	
00058837	WorkshopGeneratorMedium	Generator - Medium	Camera Weapon Detectable	False	0	0	0	
0005F38D	AttachRefRotate01				0	0	0	
00068D10	RadarBlip01				0	0	0	
0006AADB	AttachRefPlatform3450				0	0	0	
0006D6D3	AudioRepeaterActivator				0	0	0	
00074841	RadioBoxStatic_Off	Radio		False	0	0	0	
0007CE79	SecurityGateSm01				0	0	0	
0007EB05	TargetDummy01				0	0	0	
00081574	HollyShrubSmallTrimmedAnimatingACT				0	0	0	
00084ECA	HitWinIntShutters01_Opens45Degrees				0	0	0	
00090E86	BunExtMidTower				0	0	0	
0009142E	AshPile01	Ash Pile		False	0	0	0	
00093EA7	SecurityGateSm02				0	0	0	
00093EAA	SecurityGateLg01				0	0	0	
00093EAC	SecurityGateLg02				0	0	0	
