FormID	EDID	FULL	DESC	Weight	Value	DNAM	Keywords_Flat	KeywordCount	ENIT_Value	ENIT_Flags	ENIT_Addiction_FormID	ENIT_Addiction_EDID	ENIT_Addiction_FULL	ENIT_AddictionChance	ENIT_ConsumeSound_FormID	ENIT_ConsumeSound_EDID	ENIT_ConsumeSound_FULL	ENIT_HealthCurve_FormID	ENIT_HealthCurve_EDID	ENIT_HealthCurve_FULL
000045C9	TrackingDart	Tracking Dart	Target emits a tracking signal.		40			0	40	10011				0.000000						
00007030	CorpseFlowerSeedsFruit	Corpse Seeds			8			0	8	11				0.000000						
000070A0	Brew_MountainHoneyMoonshine	Mountain Honey			20	Alcohol		0	20	11011	0003E061	AbAddictionAlcohol	Alcohol Addiction	0.150000						
0000BAEF	BlackberryFruit	Wild Blackberry			8			0	8	11				0.000000						
0000CF92	WaterToxic	Toxic Water			0			0	0	11				0.000000						
0000EE1D	WaterDirty	Dirty Water			0	¾		0	0	11				0.000000						
000115E0	SFS01_Brew_TaterShine	Tater Shine			10	Alcohol		0	10	11011	0003E061	AbAddictionAlcohol	Alcohol Addiction	0.150000						
000115E2	SFS01_Brew_MuttberryShine	Muttberry Shine			10	Alcohol		0	10	11011	0003E061	AbAddictionAlcohol	Alcohol Addiction	0.150000						
000115E3	SFS01_Brew_SundayShine	Sunday Shine			10	Alcohol		0	10	11011	0003E061	AbAddictionAlcohol	Alcohol Addiction	0.150000						
00017C73	NoodleCup	Noodle Cup			10			0	10	11011				0.000000						
00023736	Stimpak	Stimpak	Restores health with an initial burst followed by a slower rate of healing.		30			0	30	10011000000000001				0.000000						
00023742	RadAway	RadAway	Removes 300 Rads. Chance for disease. Chance to cure mutations.		25			0	25	10011000000000001				0.000000						
00024057	RadX	Rad-X	+300 Rad Resist for 10 minutes.		25			0	25	10011				0.000000						
0002FBE4	BlamcoMacAndCheese	Blamco Brand Mac and Cheese			8			0	8	11011				0.000000						
0002FBF7	DandyBoyApples	Dandy Boy Apples			7			0	7	11011				0.000000						
000330B4	FancyLadSnackCakes	Fancy Lads Snack Cakes			12			0	12	11011				0.000000						
000330EE	Cram	Cram			15			0	15	11011				0.000000						
000330F0	PorknBeans	Pork n' Beans			8			0	8	11011				0.000000						
000330F1	PotatoCrisps	Potato Crisps			7			0	7	11011				0.000000						
000330F2	SugarBombs	Sugar Bombs			8			0	8	11011				0.000000						
000330F4	BloatflyMeat	Bloatfly Meat			8			0	8	11				0.000000						
000330F6	Bubblegum	Bubblegum	50% slower hunger & thirst for 10m		5			0	5	11011				0.000000						
000330F7	CaveFungusVegetable	Cave Fungus			8			0	8	11				0.000000						
000330F8	CornVegetable	Corn			6			0	6	11				0.000000						
000330FA	SquirrelMeatCooked	Crispy Squirrel Bits			6			0	6	11011				0.000000						
000330FB	Dogmeat	Mongrel Dog Meat			8			0	8	11				0.000000						
000330FC	Gumdrops	Gum Drops			5			0	5	11011				0.000000						
000330FD	IguanaMeat	Iguana Bits			8			0	8	11				0.000000						
000330FE	IguanaMeatCooked	Iguana On A Stick			25			0	25	11011				0.000000						
000330FF	MirelurkMeat	Mirelurk Meat			10			0	10	11				0.000000						
00033100	MirelurkSoftshellMeat	Softshell Mirelurk Meat			16			0	16	11				0.000000						
00033101	MoleratMeat	Mole Rat Meat			5			0	5	11				0.000000						
00033102	MutfruitFruit	Mutfruit			8			0	8	11				0.000000						
00033106	RadroachMeat	Radroach Meat			3			0	3	11				0.000000						
00033778	Buffout	Buffout	+2 Strength, +2 Endurance and +25 max Health for 5 minutes.		30	all Buffout chems		0	30	11011	0004BAE0	AbAddictionBuffout	Buffout Addiction	0.100000						
00033779	MedX	Med-X	+125 Damage Resist for 5 minutes.		40			0	40	11011	0004BAE4	AbAddictionMedX	Med-X Addiction	0.100000						
0003377B	Mentats	Mentats	+2 Intelligence and +2 Perception for 5 minutes.		30	all Mentats chems		0	30	11011	0004BAE2	AbAddictionMentats	Mentats Addiction	0.100000						
0003377D	Psycho	Psycho	+15% Damage and 100 Damage Resist for 3 minutes.		30	all Psycho chems		0	30	11011	0004BAE3	AbAddictionPsycho	Psycho Addiction	0.100000						
000366B9	InstaMash	InstaMash			9			0	9	11011				0.000000						
000366BA	SalisburySteak	Salisbury Steak			13			0	13	11011				0.000000						
000366BB	SquirrelMeatTasty	Squirrel On A Stick			15			0	15	11011				0.000000						
000366BC	SquirrelMeat	Squirrel Bits			4			0	4	11				0.000000						
000366BD	YumYumDeviledEggs	Yum Yum Deviled Eggs			13			0	13	11011				0.000000						
000366BE	SweetRollGourmet	Sweet Roll			23			0	23	11011				0.000000						
000366BF	WaterBoiled	Boiled Water			0			0	0	11011				0.000000						
000366C0	WaterPurified	Purified Water			20			0	20	11011				0.000000						
000366C1	Brew_Whiskey	Whiskey			5	Alcohol		0	5	11011	0003E061	AbAddictionAlcohol	Alcohol Addiction	0.050000						
000366C2	Brew_Wine	Wine			6	Alcohol		0	6	11011	0003E061	AbAddictionAlcohol	Alcohol Addiction	0.050000						
000366C3	Brew_Vodka	Vodka			5	Alcohol		0	5	11011	0003E061	AbAddictionAlcohol	Alcohol Addiction	0.050000						
000366C4	Brew_Bourbon	Bourbon			7	Alcohol		0	7	11011	0003E061	AbAddictionAlcohol	Alcohol Addiction	0.050000						
00036927	SquirrelMeatTastyStew	Tasty Squirrel Stew			16			0	16	11011				0.000000						
0003E053	RadToadEggCooked	Radtoad Omelette			27			0	27	11011				0.000000						
0003E055	RadToadLegCooked	Grilled Radtoad			32			0	32	11011				0.000000						
00042828	Hotdog	Hotdog			12			0	12	11011				0.000000						
000459C5	Addictol	Addictol	Cures all addictions.		60			0	60	11				0.000000						
00046939	DeathclawEgg	Deathclaw Egg			15			0	15	11				0.000000						
0004693B	RadscorpionEgg	Radscorpion Egg			13			0	13	11				0.000000						
0004693C	DeathclawEggCooked	Deathclaw Egg Omelette			38			0	38	11011				0.000000						
0004693D	RadscorpionEggCooked	Radscorpion Egg Omelette	Cures a random addiction.		25			0	25	11011				0.000000						
0004693E	MirelurkEggCooked	Mirelurk Egg Omelette			22			0	22	11011				0.000000						
0004693F	BloodbugMeatCooked	Bloodbug Steak			19			0	19	11011				0.000000						
00046940	DogMeatCooked	Mutt Chops			12			0	12	11011				0.000000						
00046941	MirelurkMeatCooked	Roasted Mirelurk Meat			28			0	28	11011				0.000000						
00046942	MirelurkSoftshellMeatCooked	Cooked Softshell Meat			28			0	28	11011				0.000000						
00046943	MoleratMeatCooked	Mole Rat Chunks			8			0	8	11011				0.000000						
00046945	StingwingMeatCooked	Stingwing Filet			25			0	25	11011				0.000000						
00046950	RadscorpionMeatCooked	Radscorpion Steak			19			0	19	11011				0.000000						
00046952	RadStagMeatCooked	Grilled Radstag			25			0	25	11011				0.000000						
00046955	YaoGuaiMeatCooked	Yao Guai Ribs			29			0	29	11011				0.000000						
0004695A	BrahminMeatCooked	Ribeye Steak			29			0	29	11011				0.000000						
0004696A	RadStagMeatTastyStew	Radstag Stew			44			0	44	11011				0.000000						
0004696D	YaoGuaiMeatTasty	Tasty Yao Guai Roast			38			0	38	11011				0.000000						
00047660	YaoGuaiMeat	Yao Guai Meat			17			0	17	11				0.000000						
0004835D	NukaCola	Nuka-Cola			10			0	10	11011				0.000000						
0004835F	NukaColaQuantum	Nuka-Cola Quantum			30	¾		0	30	11011				0.100000						
00048360	NukaColaCherry	Nuka-Cherry			25			0	25	11011				0.000000						
0004A13F	BrahminMeat	Brahmin Meat			12			0	12	11				0.000000						
0004A14F	RadstagMeat	Radstag Meat			11			0	11	11				0.000000						
0004A151	BloatflyMeatCooked	Baked Bloatfly			15			0	15	11011				0.000000						
0004A152	MirelurkMeatTastyCake	Mirelurk Cake	Breathe underwater for 1 hour.		22			0	22	11011				0.000000						
0004A3B8	MoleratMeatTasty	Ground Mole Rat			11			0	11	11011				0.000000						
0004A3B9	VegetableTastySoup	Vegetable Medley Soup			22			0	22	11011				0.000000						
0004F4A6	StealthBoy	Stealth Boy	Invisible for 30 seconds.		60			0	60	10011000000000001				0.000000						
00050DC9	StranglerPodHerb	Strangler Pod			4			0	4	11				0.000000						
000518BB	BerryMentats	Berry Mentats	+5 Intelligence and highlights living targets for 5 minutes.		35	all Mentats chems		0	35	11011	0004BAE2	AbAddictionMentats	Mentats Addiction	0.100000						
000518C5	OrangeMentats	Orange Mentats	+5 Perception and +10% V.A.T.S. Accuracy for 5 minutes.		35	all Mentats chems		0	35	11011	0004BAE2	AbAddictionMentats	Mentats Addiction	0.100000						
000522F7	HealingSalve	Healing Salve	Gradually restores a small amount of health.		20			0	20	10011000000000001				0.000000						
00052409	Bloodpack	Blood Pack			20			0	20	10011000000000001				0.000000						
0005303E	MegaslothMeat	Megasloth Meat			17			0	17	11				0.000000						
00058AA5	Bufftats	Bufftats	+3 Strength, +3 Endurance, +3 Perception, and +40 max Health for 5 minutes.		40	all Buffout chems		0	40	11011	0004BAE0	AbAddictionBuffout	Buffout Addiction	0.150000						
00058AA7	Calmex	Calmex	+3 Perception, +3 Agility and +15% To Sneak Attacks for 5 minutes.		80			0	80	11011	00156D0C	AbAddictionCalmex	Calmex Addiction	0.150000						
00058AAA	Psychotats	Psychotats	+25% Damage, 75 Damage Resist and +3 Perception for 3 minutes.		40	all Psycho chems		0	40	11011	0004BAE3	AbAddictionPsycho	Psycho Addiction	0.150000						
00058AAC	Psychobuff	Psychobuff	+25% Damage, +3 Strength, +3 Endurance and +65 max Health for 3 minutes.		40	all Psycho chems		0	40	11011	0004BAE3	AbAddictionPsycho	Psycho Addiction	0.150000						
00058AAD	Overdrive	Overdrive	+15% Damage and +30% Critical Damage for 3 minutes.		40			0	40	11011	00156D10	AbAddictionOverdrive	Overdrive Addiction	0.150000						
00058AB4	BloodpackGlowing	Glowing Blood Pack	+75 Rad Resist for 10 minutes.		30			0	30	10011000000000001				0.000000						
00058AB8	CUT_RefreshingBeverage	Refreshing Beverage	Removes all Rads and cures addictions. Increases hunger.		80			0	80	10000000000000001				0.000000						
00058ABC	SkeetoSpit	Skeeto Spit	+25 max Health for 10 minutes.		35			0	35	10011000000000001				0.000000						
000628CA	Fury	Fury	+30% Melee Damage, +25 Damage Resist and -5 Perception for 3 minutes.		40			0	40	11011	00156D0A	AbAddictionFury	Fury Addiction	0.150000						
00064AF0	FirecapVegetable	Firecap			6			0	6	11				0.000000						
00074D0D	BloodbugMeat	Bloodbug Meat			18			0	18	11				0.000000						
00074D0E	DeathclawMeat	Deathclaw Meat			17			0	17	11				0.000000						
00074D0F	StingwingMeat	Stingwing Meat			12			0	12	11				0.000000						
00074D10	RadscorpionMeat	Radscorpion Meat			15			0	15	11				0.000000						
00081FDB	StranglerBloomHerb	Strangler Bloom			4			0	4	1100000000000000001				0.000000						
00081FDE	SFM04_Organic_RadShield	RadShield	+600 Rad Resist for 15 minutes.		80			0	80	10011000000000001				0.000000						
00088C3C	PumpkinVegetable	Pumpkin			6			0	6	11				0.000000						
0008E922	MothmanEgg	Mothman Egg			15			0	15	11				0.000000						
000933EA	SapVegetable	Glowing Resin			12			0	12	11				0.000000						
000939B8	CatMeat	Cat Meat			8			0	8	11				0.000000						
0009DCC4	TatoVegetableFruit	Tato			7			0	7	11				0.000000						
0009F24B	ThistleHerb	Thistle			5			0	5	11				0.000000						
000BEA58	Dogfood	Canned Dog Food			6			0	6	11011				0.000000						
000D981D	TarberryFruit	Tarberry			5			0	5	11				0.000000						
000E0043	RazorgrainVegetable	Razorgrain			5			0	5	11				0.000000						
000E2F68	GlowingOneBlood	Glowing Blood			30			0	30	10011000000000001				0.000000						
000E34E9	FernFlowerHerb	Mutated Fern Flower			4			0	4	11				0.000000						
000E3768	BlamcoMacAndCheese_PreWar_Clean	Blamco Brand Mac and Cheese			12			0	12	11011				0.000000						
000E3778	FancyLadSnackCakes_PreWar_Clean	Fancy Lads Snack Cakes			12			0	12	11011				0.000000						
000E377A	InstaMash_PreWar_Clean	Preserved InstaMash			13			0	13	11011				0.000000						
000E3780	SalisburySteak_PreWar_Clean	Salisbury Steak			13			0	13	11011				0.000000						
000E3782	SugarBombs_PreWar_Clean	Sugar Bombs			9			0	9	11011				0.000000						
000EF24D	GourdVegetable	Gourd			6			0	6	11				0.000000						
000F742E	CarrotVegetable	Carrot			3			0	3	11				0.000000						
000FAFEB	MelonFruit	Melon			6			0	6	11				0.000000						
00101293	DeathclawMeatCooked	Deathclaw Steak			39			0	39	11011				0.000000						
0010129A	GrapeMentats	Grape Mentats	+5 Charisma and better Barter rates for 10 minutes.		35	all Mentats chems		0	35	11011	0004BAE2	AbAddictionMentats	Mentats Addiction	0.100000						
00102157	IguanaMeatTastySoup	Iguana Soup			22			0	22	11011				0.000000						
0010D90E	CranberryFruit	Cranberries			3			0	3	11				0.000000						
00110A12	AsterHerb	Aster			5			0	5	11				0.000000						
00110A48	WolfMeat	Raw Wolf Meat			8			0	8	11				0.000000						
00110B6B	BloodbloomHerb	Black Bloodleaf			5			0	5	11				0.000000						
00110BA2	FogCrawlerMeat	Raw Fog Crawler Meat			14			0	14	11				0.000000						
00110BA4	AnglerMeat	Angler Meat			14			0	14	11				0.000000						
00110BA5	AnglerMeatCooked	Poached Angler			28			0	28	11011				0.000000						
00110F7D	MirelurkMeatTastyJerky	Mirelurk Jerky			42			0	42	11011				0.000000						
00111345	BlightVegetable	Blight			5			0	5	11				0.000000						
00111346	AnglerLureWeedVegetable	Lure Weed			5			0	5	11				0.000000						
001113DF	WolfMeatCooked	Wolf Ribs			16			0	16	11011				0.000000						
001113E0	FogCrawlerMeatCooked	Fried Fog Crawler	Damage Resistance increases in Foggy and Rainy weather conditions for 30 minutes.		39			0	39	11011				0.000000						
0011159C	HermitCrabMeat	Hermit Crab Meat			9			0	9	11				0.000000						
0011159D	HermitCrabMeatCooked	Grilled Hermit Crab			39			0	39	11011				0.000000						
001115E9	GulperMeat	Gulper Innards			12			0	12	11				0.000000						
001115EA	GulperMeatCooked	Gulper Slurry	Invisible for 10 Seconds while in water.		28			0	28	11011				0.000000						
00111966	RabbitMeat	Rabbit Leg			7			0	7	11				0.000000						
