ARMO_FormID	ARMO_EDID	ARMO_FULL	BOD2_FirstPersonFlags	BOD2_FirstPersonFlagLabels	Keywords_EDID_Flat
00036148	SkinMoleratHairBack		31	Hair Long	
00035873	SkinViciousDogA		33	BODY	
00035881	SkinMoleratHairExtra		31	Hair Long	
0002456E	SkinBloodbugJuvenile		32|59|60|61	FaceGen Head|Shield|Pipboy|FX	
00034595	Clothes_Wastelander_01_GlovesA	Radstag Hide Outfit	57	Coverall	
00034602	ClothesDog_DogCollar	Dog Collar	43|50	[A] R Arm|Neck	
0001D320	SkinPowerArmor		32|33|34|35|36|37|38|39|41|42|43	FaceGen Head|BODY|L Hand|R Hand|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[A] Torso|[A] L Arm|[A] R Arm	
0001D725	SkinDogmeat		33	BODY	
0001D813	SkinMoleratWhole		33	BODY	
0001DB49	SkinDeathclaw		33	BODY	
0001EED7	CUT_ATX_Armor_Vault111_Underwear	Vault 111 Jumpsuit	33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
00021B3B	Pipboy	Pip-Boy 2000	60	Pipboy	
00023431	Clothes_FatiguesPreWar_Clean	Army Fatigues	57	Coverall	
00023432	Headwear_Army_Helmet	Army Helmet	30|46	Hair Top|Headband	
00023FFE	SkinMirelurk		30|31|32|33	Hair Top|Hair Long|FaceGen Head|BODY	
00000D64	SkinNaked		33|34|35	BODY|L Hand|R Hand	
00017AD1	SkinRaider		33|34|35	BODY|L Hand|R Hand	
0003E577	ArmorPoweredFrame	Powered Armor Frame	33|34|35|57|60	BODY|L Hand|R Hand|Coverall|Pipboy	
000475DD	SkinRadRoach01		33	BODY	
00047E03	SkinRadRoach02		33	BODY	
00047E04	SkinRadRoach03		33	BODY	
00047E0A	SkinRadRoachJuvi01		33	BODY	
0004B933	Armor_Metal_ArmLeft	Metal Left Arm	42	[A] L Arm	
000536C1	Armor_Metal_ArmRight	Metal Right Arm	43	[A] R Arm	
000536C2	Armor_Metal_LegLeft	Metal Left Leg	44	[A] L Leg	
000536C3	Armor_Metal_LegRight	Metal Right Leg	45	[A] R Leg	
000536C4	Armor_Metal_Torso	Metal Chest Piece	41	[A] Torso	
000536C5	Headwear_Metal_Shades	Wraparound Goggles	47	Eyes	
00019568	Armor_RaiderMod_Underarmor_LongJohns	Long Johns	33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
0002047C	SkinBrahmin		32	FaceGen Head	
000264B3	SkinBloodbugBaseTeen		32|60|61	FaceGen Head|Pipboy|FX	
000264BA	SkinBloodbugBaseAdult		32|60|61	FaceGen Head|Pipboy|FX	
00029464	SkinBloatfly		32|34|37|59|61	FaceGen Head|L Hand|[U] L Arm|Shield|FX	
00056CF1	FXVault111ExitIdleLookUpInElevatorArmor		61	FX	
0005E76C	ATX_Clothes_Jumpsuit_RedRocket	Red Rocket Jumpsuit	57	Coverall	
0005FBAF	SkinStingwing		33|59|61	BODY|Shield|FX	
000636A4	SkinRadscorpion		33	BODY	
00068CF3	ATX_Clothes_VaultTecScientist	Vault-Tec Lab Coat	57	Coverall	
0006B4EE	SkinFeralGhoul		33	BODY	
0006D7B8	PipboyDusty	Pipboy	60	Pipboy	
0007239E	Headwear_Raider_GreenHoodGasmask	Assault Gas Mask	30|31|46|47|48|49|50	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth|Neck	
000732AC	Clothes_Wastelander_02_Hood_GlovesB	Explorer Outfit	57	Coverall	
000732AE	Clothes_Wastelander_02_NoHood_GlovesB	Scavenger Outfit	57	Coverall	
000732B1	Clothes_Raider_Suit_01_GlovesB	Tattered Field Jacket	57	Coverall	
000732B5	Clothes_Raider_Suit_02A_GlovesC	Leather Coat	57	Coverall	
000732B9	Clothes_Raider_Suit_02B_GlovesC	Traveling Leather Coat	57	Coverall	
000787D3	Headwear_Clothes_Metal_Helmet	Metal Helmet	30|46	Hair Top|Headband	
000787D8	Headwear_Raider_Gasmask	Gas Mask	47|48|49	Eyes|Beard|Mouth	
000787D9	Headwear_Raider_Goggles	Welding Goggles	47	Eyes	
000787DA	Headwear_Raider_SurgicalMask	Surgical Mask	48|49	Beard|Mouth	
000787DB	Headwear_Raider_Hood	Wrapped Cap	30|31|46|50	Hair Top|Hair Long|Headband|Neck	
000787EC	Headwear_Raider_GreenHood	Green Hood	30|31|46	Hair Top|Hair Long|Headband	
0007B9C3	Armor_Leather_ArmRight	Leather Right Arm	43	[A] R Arm	
0007B9C4	Armor_Leather_LegLeft	Leather Left Leg	44	[A] L Leg	
0007B9C5	Armor_Leather_LegRight	Leather Right Leg	45	[A] R Leg	
0007B9C6	Armor_Leather_Torso	Leather Chest Piece	41	[A] Torso	
0007B9C7	Armor_Leather_ArmLeft	Leather Left Arm	42	[A] L Arm	
0007ED02	SkinFeralGhoulHead2		32	FaceGen Head	
0007ED04	SkinFeralGhoulHead3		32	FaceGen Head	
0007ED06	SkinFeralGhoulHead4		32	FaceGen Head	
0007ED0F	CreatureClothes_FeralGhoulDress		41	[A] Torso	
0007ED1A	CreatureClothes_FeralGhoulShirt2		41	[A] Torso	
0007ED1B	SkinRadStag		33	BODY	
0008158D	Armor_RaiderMod_Underarmor_Harness	Harness	33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
