ARMO_FormID	ARMO_EDID	ARMO_FULL	KeywordCount	DATA_Value	DATA_Weight	DATA_Health	DAMA_Energy_Amount	DAMA_Energy_Curve	DAMA_Fire_Amount	DAMA_Fire_Curve	DAMA_Cryo_Amount	DAMA_Cryo_Curve	DAMA_Poison_Amount	DAMA_Poison_Curve	DAMA_Rad_Amount	DAMA_Rad_Curve	DAMA_Physical_Amount	DAMA_Physical_Curve	APPR_SlotCount	APPR_1	APPR_2	APPR_3	APPR_4	APPR_5	APPR_6	APPR_7	APPR_8	APPR_9	APPR_10	APPR_11	APPR_12	APPR_13	APPR_14	CVT1_DurabilityMin	CVT2_CondDmgScaleFactor	CVT3_DurabilityMax	ModelCount	Model1	Model2	Model3	Model4	Model5	Model6	Model7	Model8	Model9	Model10	Model11	Model12	Model13	Model14	Model15	Model16	Model17	Model18	Model19	Model20	Model21	Model22	Model23	Model24	Model25	Model26	Model27	Model28
00036148	SkinMoleratHairBack		0	0	0.000000														0																		1	MoleratHairBackAA:00036147																											
00035873	SkinViciousDogA		0	0	0.000000	0													0																		1	ViciousDogAAA:00035872																											
00035881	SkinMoleratHairExtra		0	0	0.000000														0																		1	MoleratHairExtraAA:00035880																											
0002456E	SkinBloodbugJuvenile		0	0	0.000000	0													0																		2	HoverFXAA:0002B4D6	BloodbugWholeBaseJuvi:000264AD																										
00034595	Clothes_Wastelander_01_GlovesA	Radstag Hide Outfit	0	13	0.100000	0													0																		2	ArmorWastelanderGloveAA:00034593	ArmorWastelanderTorsoAA:00034592																										
00034602	ClothesDog_DogCollar	Dog Collar	0	7	0.100000	0													0																		3	DogCollarAA:0003AD3E	AAClothesDogCollarHumanAA:0003AD3F	DogCollarViciousAA:0003AD40																									
0001D320	SkinPowerArmor		0	200	0.000000	0													0																		1	PowerArmorWhole:0001D31F																											
0001D725	SkinDogmeat		0	0	0.000000	0													0																		1	DogmeatAA:0001D726																											
0001D813	SkinMoleratWhole		0	0	0.000000	0													0																		1	MoleratWholeAA:0001D812																											
0001DB49	SkinDeathclaw		0	0	0.000000	0													5	ap_Legendary1:Legendary Mod ¬	ap_Legendary2:Legendary Mod ¬¬	ap_Legendary3:Legendary Mod ¬¬¬	ap_Legendary4:Legendary Mod ¬¬¬¬	ap_Legendary5:Legendary Mod ¬¬¬¬¬													1	DeathclawWhole:0001DB4B																											
0001EED7	CUT_ATX_Armor_Vault111_Underwear	Vault 111 Jumpsuit	0	0	1.000000	0													0																		1	ATX_AAVault111Suit:0001F0E0																											
00021B3B	Pipboy	Pip-Boy 2000	0	0	0.000000	0													1	ap_Pipboy_Skin:Material																	1	Pipboy2000AA:00044FB1																											
00023431	Clothes_FatiguesPreWar_Clean	Army Fatigues	0	12	0.100000	0													0																		2	AAFatiguesPreWar:00023430	NakedHands:00000D6C																										
00023432	Headwear_Army_Helmet	Army Helmet	0	20	0.100000	0													0																		1	AAHeadwear_HelmetArmy:00023433																											
00023FFE	SkinMirelurk		0	0	0.000000	0													0																		1	MirelurkWhole:00023FFD																											
00000D64	SkinNaked		0	0	0.000000	0													0																		2	NakedHands:00000D6C	NakedTorso:00000D67																										
00017AD1	SkinRaider		0	0	0.000000	0													0																		2	NakedTorso:00000D67	NakedHands:00000D6C																										
0003E577	ArmorPoweredFrame	Powered Armor Frame	0	0	0.000000	0	0	CT_PA_Frame_Standard_ER							0	CT_PA_Frame_Standard_RAD	0	CT_PA_Frame_Standard_DR	1	ap_PowerArmor_BatteryMod:Battery																	1	AAPowerArmorFrameRaider:001909D8																											
000475DD	SkinRadRoach01		0	0	0.000000	0													0																		1	RadRoach01AA:000475DE																											
00047E03	SkinRadRoach02		0	0	0.000000	0													0																		1	RadRoach02AA:00047E01																											
00047E04	SkinRadRoach03		0	0	0.000000	0													0																		1	RadRoach03AA:00047E02																											
00047E0A	SkinRadRoachJuvi01		0	0	0.000000	0													0																		1	RadRoachJuvi01AA:00047E09																											
0004B933	Armor_Metal_ArmLeft	Metal Left Arm	0	45	0.680000	100	0	CT_Player_Armor_Universal_Tier07	0	CT_Player_Armor_Universal_Tier06	0	CT_Player_Armor_Universal_Tier07	0	CT_Player_Armor_Universal_Tier07	0	CT_Player_Armor_Universal_Tier05	0	CT_Player_Armor_Universal_Tier18	11	ap_armor_Lining:No Misc	ap_armor_Tier:Material	ap_armor_Size:Size	ap_armor_Paint:Paint	ap_Legendary1:Legendary Mod ¬	ap_Armor_ScrapType:	ap_Legendary2:Legendary Mod ¬¬	ap_Legendary3:Legendary Mod ¬¬¬	ap_Legendary4:Legendary Mod ¬¬¬¬	ap_Legendary5:Legendary Mod ¬¬¬¬¬	ap_Legendary_Crafting:Extract Legendary Mods				Durability_Armor_Metal_Min	ConditionDamageScaleFactor_Armor_Metal	Durability_Armor_Metal_Max	9	AA_Metal_Arm_Left_2_Mid:00058277	AA_Metal_Arm_Left_1_Lite:00058276	AA_Metal_Arm_Left_3_Heavy:00058278	AA_Metal_Arm_Left_101_Lite:0033AAF2	AA_Metal_Arm_Left_102_Mid:0033AAF3	AA_Metal_Arm_Left_103_Heavy:0033AAF4	AA_Metal_Arm_Left_201_Lite:0033AAF5	AA_Metal_Arm_Left_202_Mid:0033AAF6	AA_Metal_Arm_Left_203_Heavy:0033AAF7																			
000536C1	Armor_Metal_ArmRight	Metal Right Arm	0	45	0.680000	100	0	CT_Player_Armor_Universal_Tier07	0	CT_Player_Armor_Universal_Tier06	0	CT_Player_Armor_Universal_Tier07	0	CT_Player_Armor_Universal_Tier07	0	CT_Player_Armor_Universal_Tier05	0	CT_Player_Armor_Universal_Tier18	11	ap_armor_Lining:No Misc	ap_armor_Tier:Material	ap_armor_Size:Size	ap_armor_Paint:Paint	ap_Legendary1:Legendary Mod ¬	ap_Armor_ScrapType:	ap_Legendary2:Legendary Mod ¬¬	ap_Legendary3:Legendary Mod ¬¬¬	ap_Legendary4:Legendary Mod ¬¬¬¬	ap_Legendary5:Legendary Mod ¬¬¬¬¬	ap_Legendary_Crafting:Extract Legendary Mods				Durability_Armor_Metal_Min	ConditionDamageScaleFactor_Armor_Metal	Durability_Armor_Metal_Max	9	AA_Metal_Arm_Right_1_Lite:00058279	AA_Metal_Arm_Right_3_Heavy:0005827B	AA_Metal_Arm_Right_2_Mid:0005827A	AA_Metal_Arm_Right_101_Lite:0033AAF8	AA_Metal_Arm_Right_102_Mid:0033AAF9	AA_Metal_Arm_Right_103_Heavy:0033AAFA	AA_Metal_Arm_Right_201_Lite:0033AAFB	AA_Metal_Arm_Right_202_Mid:0033AAFC	AA_Metal_Arm_Right_203_Heavy:0033AAFD																			
000536C2	Armor_Metal_LegLeft	Metal Left Leg	0	15	0.680000	100	0	CT_Player_Armor_Universal_Tier07	0	CT_Player_Armor_Universal_Tier06	0	CT_Player_Armor_Universal_Tier07	0	CT_Player_Armor_Universal_Tier07	0	CT_Player_Armor_Universal_Tier05	0	CT_Player_Armor_Universal_Tier18	11	ap_armor_Lining:No Misc	ap_armor_Tier:Material	ap_armor_Size:Size	ap_armor_Paint:Paint	ap_Legendary1:Legendary Mod ¬	ap_Armor_ScrapType:	ap_Legendary2:Legendary Mod ¬¬	ap_Legendary3:Legendary Mod ¬¬¬	ap_Legendary4:Legendary Mod ¬¬¬¬	ap_Legendary5:Legendary Mod ¬¬¬¬¬	ap_Legendary_Crafting:Extract Legendary Mods				Durability_Armor_Metal_Min	ConditionDamageScaleFactor_Armor_Metal	Durability_Armor_Metal_Max	9	AA_Metal_Leg_Left_2_Mid:00058280	AA_Metal_Leg_Left_3_Heavy:00058281	AA_Metal_Leg_Left_1_Lite:0005827F	AA_Metal_Leg_Left_203_Heavy:0033AB03	AA_Metal_Leg_Left_202_Mid:0033AB02	AA_Metal_Leg_Left_201_Lite:0033AB01	AA_Metal_Leg_Left_101_Lite:0033AAFE	AA_Metal_Leg_Left_102_Mid:0033AAFF	AA_Metal_Leg_Left_103_Heavy:0033AB00																			
000536C3	Armor_Metal_LegRight	Metal Right Leg	0	15	0.680000	100	0	CT_Player_Armor_Universal_Tier07	0	CT_Player_Armor_Universal_Tier06	0	CT_Player_Armor_Universal_Tier07	0	CT_Player_Armor_Universal_Tier07	0	CT_Player_Armor_Universal_Tier05	0	CT_Player_Armor_Universal_Tier18	11	ap_armor_Lining:No Misc	ap_armor_Tier:Material	ap_armor_Size:Size	ap_armor_Paint:Paint	ap_Legendary1:Legendary Mod ¬	ap_Armor_ScrapType:	ap_Legendary2:Legendary Mod ¬¬	ap_Legendary3:Legendary Mod ¬¬¬	ap_Legendary4:Legendary Mod ¬¬¬¬	ap_Legendary5:Legendary Mod ¬¬¬¬¬	ap_Legendary_Crafting:Extract Legendary Mods				Durability_Armor_Metal_Min	ConditionDamageScaleFactor_Armor_Metal	Durability_Armor_Metal_Max	9	AA_Metal_Leg_Right_1_Lite:00058283	AA_Metal_Leg_Right_3_Heavy:00058284	AA_Metal_Leg_Right_2_Mid:00058282	AA_Metal_Leg_Right_203_Heavy:0033AB09	AA_Metal_Leg_Right_202_Mid:0033AB08	AA_Metal_Leg_Right_103_Heavy:0033AB06	AA_Metal_Leg_Right_201_Lite:0033AB07	AA_Metal_Leg_Right_102_Mid:0033AB05	AA_Metal_Leg_Right_101_Lite:0033AB04																			
000536C4	Armor_Metal_Torso	Metal Chest Piece	0	40	1.380000	100	0	CT_Player_Armor_Universal_Tier10	0	CT_Player_Armor_Universal_Tier09	0	CT_Player_Armor_Universal_Tier10	0	CT_Player_Armor_Universal_Tier10	0	CT_Player_Armor_Universal_Tier08	0	CT_Player_Armor_Universal_Tier25	12	ap_armor_Lining:No Misc	ap_armor_Tier:Material	ap_armor_Size:Size	ap_armor_Paint:Paint	ap_Legendary1:Legendary Mod ¬	ap_Armor_ScrapType:	ap_customName:Unique Effect	ap_Legendary2:Legendary Mod ¬¬	ap_Legendary3:Legendary Mod ¬¬¬	ap_Legendary4:Legendary Mod ¬¬¬¬	ap_Legendary5:Legendary Mod ¬¬¬¬¬	ap_Legendary_Crafting:Extract Legendary Mods			Durability_Armor_Metal_Min	ConditionDamageScaleFactor_Armor_Metal	Durability_Armor_Metal_Max	9	AA_Metal_Torso_3_Heavy:00058285	AA_Metal_Torso_2_Mid:00058287	AA_Metal_Torso_1_Lite:00058286	AA_Metal_Torso_101_Lite:0033AB0A	AA_Metal_Torso_201_Lite:0033AB0D	AA_Metal_Torso_102_Mid:0033AB0B	AA_Metal_Torso_202_Mid:0033AB0E	AA_Metal_Torso_103_Heavy:0033AB0C	AA_Metal_Torso_203_Heavy:0033AB0F																			
000536C5	Headwear_Metal_Shades	Wraparound Goggles	0	12	0.100000	0													0																		1	AA_Headwear_Metal_Helmet_Shades:000787CA																											
00019568	Armor_RaiderMod_Underarmor_LongJohns	Long Johns	0	20	0.500000	0													2	ap_armor_Lining:No Misc	ap_underarmor_style:Style																1	AA_Underwear_Raider:000304B3																											
0002047C	SkinBrahmin		0	0	0.000000														0																		1	BrahminWhole:0002047D																											
000264B3	SkinBloodbugBaseTeen		0	0	0.000000	0													0																		2	BloodbugWholeBaseTeen:000264AF	HoverFXAA:0002B4D6																										
000264BA	SkinBloodbugBaseAdult		0	0	0.000000	0													0																		2	BloodbugWholeBaseAdult:000264B8	HoverFXAA:0002B4D6																										
00029464	SkinBloatfly		0	0	0.000000	0													0																		2	BloatflyWholeAA:00029477	HoverFXAA:0002B4D6																										
00056CF1	FXVault111ExitIdleLookUpInElevatorArmor		0	0	0.000000	0													4	ap_Legendary2:Legendary Mod ¬¬	ap_Legendary3:Legendary Mod ¬¬¬	ap_Legendary4:Legendary Mod ¬¬¬¬	ap_Legendary5:Legendary Mod ¬¬¬¬¬														1	FXVault111ExitIdleLookUpInElevatorAddon01:00056CF2																											
0005E76C	ATX_Clothes_Jumpsuit_RedRocket	Red Rocket Jumpsuit	0	0	0.100000	0													0																		2	AAClothesRedRocketJumpsuit:0005E76B	NakedHands:00000D6C																										
0005FBAF	SkinStingwing		0	0	0.000000	0													0																		2	StingwingWholeAA:0005FBB0	HoverFXAA:0002B4D6																										
000636A4	SkinRadscorpion		0	0	0.000000														0																		1	RadscorpionAA:000636A7																											
00068CF3	ATX_Clothes_VaultTecScientist	Vault-Tec Lab Coat	0	0	0.100000	0													0																		2	AAClothesVTScientist:00068CF2	NakedHands:00000D6C																										
0006B4EE	SkinFeralGhoul		0	0	0.000000	0													0																		1	FeralGhoulWhole:0006B4ED																											
0006D7B8	PipboyDusty	Pipboy	0	0	0.000000	0													4	ap_Legendary2:Legendary Mod ¬¬	ap_Legendary3:Legendary Mod ¬¬¬	ap_Legendary4:Legendary Mod ¬¬¬¬	ap_Legendary5:Legendary Mod ¬¬¬¬¬														1	PipboyDustyAA:0006D7B9																											
0007239E	Headwear_Raider_GreenHoodGasmask	Assault Gas Mask	0	50	0.100000	0													1	ap_Armor_SURV_Description:																	1	AA_Headwear_Raider_03_Helmet_GreenHoodAndGasmask:000787D2																											
000732AC	Clothes_Wastelander_02_Hood_GlovesB	Explorer Outfit	0	13	0.100000	0													0																		2	AAHeadwearWastelander02THoodedAA:00021845	AARaider01Gloves:0001D980																										
000732AE	Clothes_Wastelander_02_NoHood_GlovesB	Scavenger Outfit	0	13	0.100000	0													0																		2	ArmorWastelander02TorsoAA:0002183B	AARaider01Gloves:0001D980																										
000732B1	Clothes_Raider_Suit_01_GlovesB	Tattered Field Jacket	0	13	0.100000	0													0																		2	AARaiderTorso:0001D97E	AARaider01Gloves:0001D980																										
000732B5	Clothes_Raider_Suit_02A_GlovesC	Leather Coat	0	13	0.100000	0													0																		2	AARaiderTorso03:0007239B	AARaider03Gloves:0007239F																										
000732B9	Clothes_Raider_Suit_02B_GlovesC	Traveling Leather Coat	0	13	0.100000	0													0																		2	AARaiderTorso03B:000732B6	AARaider03Gloves:0007239F																										
000787D3	Headwear_Clothes_Metal_Helmet	Metal Helmet	0	15	0.100000	0													1	ap_armor_Paint:Paint																	1	AA_Headwear_Metal_Helmet_Helm:000787CB																											
000787D8	Headwear_Raider_Gasmask	Gas Mask	0	40	0.100000	0													1	ap_Armor_SURV_Description:																	1	AA_Headwear_Raider_01_Helmet_Gasmask:000787CD																											
000787D9	Headwear_Raider_Goggles	Welding Goggles	0	15	0.100000	0													0																		2	AA_Headwear_Raider_02_Helmet_Goggles:000787CF	AA_Dog_Goggles:0009C058																										
000787DA	Headwear_Raider_SurgicalMask	Surgical Mask	0	30	0.100000	0													1	ap_Armor_SURV_Description:																	1	AA_Headwear_Raider_02_Helmet_Mask:000787D0																											
000787DB	Headwear_Raider_Hood	Wrapped Cap	0	5	0.100000	0													0																		1	AA_Headwear_Raider_01_Helmet_Hood:000787CE																											
000787EC	Headwear_Raider_GreenHood	Green Hood	0	5	0.100000	0													0																		1	AA_Headwear_Raider_03_Helmet_GreenHood:000787D1																											
0007B9C3	Armor_Leather_ArmRight	Leather Right Arm	0	24	0.620000	100	0	CT_Player_Armor_Universal_Tier14	0	CT_Player_Armor_Universal_Tier07	0	CT_Player_Armor_Universal_Tier12	0	CT_Player_Armor_Universal_Tier08	0	CT_Player_Armor_Universal_Tier05	0	CT_Player_Armor_Universal_Tier08	11	ap_armor_Lining:No Misc	ap_armor_Tier:Material	ap_armor_Size:Size	ap_armor_Paint:Paint	ap_Legendary1:Legendary Mod ¬	ap_Armor_ScrapType:	ap_Legendary2:Legendary Mod ¬¬	ap_Legendary3:Legendary Mod ¬¬¬	ap_Legendary4:Legendary Mod ¬¬¬¬	ap_Legendary5:Legendary Mod ¬¬¬¬¬	ap_Legendary_Crafting:Extract Legendary Mods				Durability_Armor_Leather_Min	ConditionDamageScaleFactor_Armor_Leather	Durability_Armor_Leather_Max	12	AA_Leather_Arm_Right_3_Heavy:0007B9D3	AA_Leather_Arm_Right_1_Lite:0007B9D1	AA_Leather_Arm_Right_2_Mid:0007B9D2	AA_Leather_Arm_Right_11_Lite:001E73FE	AA_Leather_Arm_Right_12_Mid:001E73FF	AA_Leather_Arm_Right_13_Heavy:001E7400	AA_Leather_Arm_Right_201_Lite:0029E858	AA_Leather_Arm_Right_202_Mid:002EAC92	AA_Leather_Arm_Right_203_Heavy:0031BE35	AA_Leather_Arm_Right_101_Lite:0031BE3C	AA_Leather_Arm_Right_102_Mid:0031BE3D	AA_Leather_Arm_Right_103_Heavy:0031BE3E																
0007B9C4	Armor_Leather_LegLeft	Leather Left Leg	0	26	0.620000	100	0	CT_Player_Armor_Universal_Tier14	0	CT_Player_Armor_Universal_Tier07	0	CT_Player_Armor_Universal_Tier12	0	CT_Player_Armor_Universal_Tier08	0	CT_Player_Armor_Universal_Tier05	0	CT_Player_Armor_Universal_Tier08	11	ap_armor_Lining:No Misc	ap_armor_Tier:Material	ap_armor_Size:Size	ap_armor_Paint:Paint	ap_Legendary1:Legendary Mod ¬	ap_Armor_ScrapType:	ap_Legendary2:Legendary Mod ¬¬	ap_Legendary3:Legendary Mod ¬¬¬	ap_Legendary4:Legendary Mod ¬¬¬¬	ap_Legendary5:Legendary Mod ¬¬¬¬¬	ap_Legendary_Crafting:Extract Legendary Mods				Durability_Armor_Leather_Min	ConditionDamageScaleFactor_Armor_Leather	Durability_Armor_Leather_Max	9	AA_Leather_Leg_Left_3_Heavy:0007B9D0	AA_Leather_Leg_Left_1_Lite:0007B9CE	AA_Leather_Leg_Left_2_Mid:0007B9CF	AA_Leather_Leg_Left_11_Lite:001E73FB	AA_Leather_Leg_Left_12_Mid:001E73FC	AA_Leather_Leg_Left_13_Heavy:001E73FD	AA_Leather_Leg_Left_201_Lite:00299875	AA_Leather_Leg_Left_202_Mid:0029E856	AA_Leather_Leg_Left_203_Heavy:0029E857																			
0007B9C5	Armor_Leather_LegRight	Leather Right Leg	0	26	0.620000	100	0	CT_Player_Armor_Universal_Tier14	0	CT_Player_Armor_Universal_Tier07	0	CT_Player_Armor_Universal_Tier12	0	CT_Player_Armor_Universal_Tier08	0	CT_Player_Armor_Universal_Tier05	0	CT_Player_Armor_Universal_Tier08	11	ap_armor_Lining:No Misc	ap_armor_Tier:Material	ap_armor_Size:Size	ap_armor_Paint:Paint	ap_Legendary1:Legendary Mod ¬	ap_Armor_ScrapType:	ap_Legendary2:Legendary Mod ¬¬	ap_Legendary3:Legendary Mod ¬¬¬	ap_Legendary4:Legendary Mod ¬¬¬¬	ap_Legendary5:Legendary Mod ¬¬¬¬¬	ap_Legendary_Crafting:Extract Legendary Mods				Durability_Armor_Leather_Min	ConditionDamageScaleFactor_Armor_Leather	Durability_Armor_Leather_Max	9	AA_Leather_Leg_Right_3_Heavy:0007B9CD	AA_Leather_Leg_Right_1_Lite:0007B9CB	AA_Leather_Leg_Right_2_Mid:0007B9CC	AA_Leather_Leg_Right_11_Lite:001E73F8	AA_Leather_Leg_Right_12_Mid:001E73F9	AA_Leather_Leg_Right_13_Heavy:001E73FA	AA_Leather_Leg_Right_201_Lite:0025BF45	AA_Leather_Leg_Right_202_Mid:0029963A	AA_Leather_Leg_Right_203_Heavy:0029977C																			
