ARMO_FormID	ARMO_EDID	ARMO_FULL	KeywordCount	DATA_Value	DATA_Weight	DATA_Health	DAMA_Energy_Amount	DAMA_Energy_Curve	DAMA_Fire_Amount	DAMA_Fire_Curve	DAMA_Cryo_Amount	DAMA_Cryo_Curve	DAMA_Poison_Amount	DAMA_Poison_Curve	DAMA_Rad_Amount	DAMA_Rad_Curve	DAMA_Physical_Amount	DAMA_Physical_Curve	APPR_SlotCount	CVT1_DurabilityMin	CVT2_CondDmgScaleFactor	CVT3_DurabilityMax	ModelCount
00000D64	SkinNaked		0	0	0.000000	0													0				0
00001A2B	Armor_Enclave_Underarmor_Uniform	Forest Operative Underarmor	0	30	0.500000	0													0				0
00001A38	Armor_Enclave_Underarmor_Uniform_02	Urban Operative Underarmor	0	30	0.500000	0													0				0
00002B84	CreatureClothes_FeralGhoulParkUniform		0	0	0.100000	0													0				0
00002ED0	SkinLiberator		0	0	0.000000	0													0				0
00004420	CreatureClothes_Scorched	Scorched Outfit	0	0	0.100000	0													0				0
00007339	ATX_Clothes_MilitaryOfficerUniform	Military Officer Uniform	0	0	0.100000	0													0				0
0000739F	Clothes_MoleCostume_Tattered	Tattered Mole Outfit	0	10	0.100000	0													0				0
000073A0	ATX_Clothes_MoleCostume_Pristine	Pristine Moe the Mole Outfit	0	10	0.100000	0													0				0
0000B1FD	Clothes_CivilWarEraDress	Civil War Era Dress	0	75	0.100000	0													0				0
0000CFDE	ATX_Headwear_MoleCostume_Pristine	Pristine Moe the Mole Head	0	15	0.100000	0													0				0
0000D192	SkinSnallygaster		0	0	0.000000	0													0				0
0000D206	Clothes_CivilWarEraSuit	Civil War Era Suit	0	80	0.100000	0													0				0
0000D208	Headwear_CivilWarEraHat	Civil War Era Top Hat	0	10	0.100000	0													0				0
0000D235	SkinMothman		0	0	0.000000	0													0				0
0000E7D5	SkinHoneyBeast		0	0	0.000000	0													0				0
0000E88B	SkinGraftonMonster		0	0	0.000000	0													0				0
0000E8A6	Clothes_CivilWarUniformConfederate	Confederate Uniform	0	61	0.100000	0													0				0
0000ED6D	Headwear_CivilWarHatConfederate	Confederate Hat	0	40	0.100000	0													0				0
00011B60	Clothes_MinerUniform	Miner Uniform	0	35	0.100000	0													0				0
00011B6C	SkinRadToad		0	0	0.000000	0													0				0
00012B1E	Headwear_MinerHat	Miner Hat	0	15	0.100000	0													0				0
00012CB4	Clothes_MinerUniformClean	Pristine Miner Uniform	0	25	0.100000	0													0				0
00012E6C	SkinMoleMiner		0	0	0.000000	0													0				0
0001554F	SkinWendigo		0	0	0.000000	0													0				0
00017AD1	SkinRaider		0	0	0.000000	0													0				0
00017DC6	SkinFox		0	0	0.000000	0													0				0
00018C2E	ATX_Clothes_MilitaryIntelOfficerUniform	Military Intel Officer Uniform	0	0	0.100000	0													0				0
00019568	Armor_RaiderMod_Underarmor_LongJohns	Long Johns	0	20	0.500000	0													0				0
0001A00B	SkinSuperMutant		0	0	0.000000	0													0				0
0001D320	SkinPowerArmor		0	200	0.000000	0													0				0
0001D725	SkinDogmeat		0	0	0.000000	0													0				0
0001D813	SkinMoleratWhole		0	0	0.000000	0													0				0
0001DB49	SkinDeathclaw		0	0	0.000000	0													0				0
0001E572	SkinCorpse		0	0	0.000000	0													0				0
0001EED7	CUT_ATX_Armor_Vault111_Underwear	Vault 111 Jumpsuit	0	0	1.000000	0													0				0
0002047C	SkinBrahmin		0	0	0.000000	0													0				0
00020BCA	SkinFeralGhoulGlowing		0	0	0.000000	0													0				0
00021B3B	Pipboy	Pip-Boy 2000	0	0	0.000000	0													0				0
00023431	Clothes_FatiguesPreWar_Clean	Army Fatigues	0	12	0.100000	0													0				0
00023432	Headwear_Army_Helmet	Army Helmet	0	20	0.100000	0													0				0
00023FFE	SkinMirelurk		0	0	0.000000	0													0				0
0002456E	SkinBloodbugJuvenile		0	0	0.000000	0													0				0
000264B3	SkinBloodbugBaseTeen		0	0	0.000000	0													0				0
000264BA	SkinBloodbugBaseAdult		0	0	0.000000	0													0				0
00027D00	Headwear_MoleCostume_Tattered	Tattered Mole Head	0	5	0.100000	0													0				0
00029464	SkinBloatfly		0	0	0.000000	0													0				0
0002B4D7	HandyArtObjectsFX		0	0	0.000000	0													0				0
0003119C	Clothes_CivilWarUniformUnion	Union Uniform	0	65	0.100000	0													0				0
