FormID	EDID	FULL	DESC	KeywordCount	KW1	KW2	KW3	KW4	KW5	KW6	KW7	VCRY	DATA_Value	DATA_Weight	BVGO	ReferencedByCount	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6	Ref7	Ref8	Ref9	Ref10	Ref11	Ref12	Ref13	Ref14	Ref15	Ref16	Ref17	Ref18	Ref19	Ref20	Ref21	Ref22	Ref23	Ref24	Ref25	Ref26	Ref27	Ref28	Ref29	Ref30	Ref31	Ref32	Ref33	Ref34	Ref35	Ref36	Ref37	Ref38	Ref39	Ref40	Ref41	Ref42	Ref43
0008E737	BACKUP_Magazine_USCovertOps01Book	U.S. Covert Operations Manual 1		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		1	00525407:BabylonExcludeList:FLST																																										
0008E738	BACKUP_Magazine_USCovertOps02Book	U.S. Covert Operations Manual 2		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E739	BACKUP_Magazine_USCovertOps03Book	U.S. Covert Operations Manual 3		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E73A	BACKUP_Magazine_USCovertOps04Book	U.S. Covert Operations Manual 4		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E73B	BACKUP_Magazine_USCovertOps05Book	U.S. Covert Operations Manual 5		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E73C	BACKUP_Magazine_USCovertOps06Book	U.S. Covert Operations Manual 6		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E73D	BACKUP_Magazine_USCovertOps07Book	U.S. Covert Operations Manual 7		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E73E	BACKUP_Magazine_USCovertOps08Book	U.S. Covert Operations Manual 8		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E73F	BACKUP_Magazine_USCovertOps09Book	U.S. Covert Operations Manual 9		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E740	BACKUP_Magazine_USCovertOps10Book	U.S. Covert Operations Manual 10		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E741	BACKUP_Magazine_GrognakTheBarbarian01Book	Grognak the Barbarian 1		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E742	BACKUP_Magazine_GrognakTheBarbarian02Book	Grognak the Barbarian 2		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E743	BACKUP_Magazine_GrognakTheBarbarian03Book	Grognak the Barbarian 3		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E744	BACKUP_Magazine_GrognakTheBarbarian04Book	Grognak the Barbarian 4		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E745	BACKUP_Magazine_GrognakTheBarbarian05Book	Grognak the Barbarian 5		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E746	BACKUP_Magazine_GrognakTheBarbarian06Book	Grognak the Barbarian 6		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E747	BACKUP_Magazine_GrognakTheBarbarian07Book	Grognak the Barbarian 7		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E748	BACKUP_Magazine_GrognakTheBarbarian08Book	Grognak the Barbarian 8		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E749	BACKUP_Magazine_GrognakTheBarbarian09Book	Grognak the Barbarian 9		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E74A	BACKUP_Magazine_GrognakTheBarbarian10Book	Grognak the Barbarian 10		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		2	003DF24E:zzz_RECLAIM_MagazineSpells:FLST	00525407:BabylonExcludeList:FLST																																									
0008E74B	PerkMagMassSurgicalJournal01	Massachusetts Surgical Journal		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		3	0017C668:lootItemsUnique:FLST	0044D473:Challenge_Magazines_All:FLST	00525407:BabylonExcludeList:FLST																																								
0008E74C	PerkMagMassSurgicalJournal02	Massachusetts Surgical Journal		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		3	0017C668:lootItemsUnique:FLST	0044D473:Challenge_Magazines_All:FLST	00525407:BabylonExcludeList:FLST																																								
0008E74D	PerkMagMassSurgicalJournal03	Massachusetts Surgical Journal		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		3	0017C668:lootItemsUnique:FLST	0044D473:Challenge_Magazines_All:FLST	00525407:BabylonExcludeList:FLST																																								
0008E74E	PerkMagMassSurgicalJournal04	Massachusetts Surgical Journal		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		3	0017C668:lootItemsUnique:FLST	0044D473:Challenge_Magazines_All:FLST	00525407:BabylonExcludeList:FLST																																								
0008E74F	PerkMagMassSurgicalJournal05	Massachusetts Surgical Journal		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		3	0017C668:lootItemsUnique:FLST	0044D473:Challenge_Magazines_All:FLST	00525407:BabylonExcludeList:FLST																																								
0008E750	PerkMagMassSurgicalJournal06	Massachusetts Surgical Journal		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		3	0017C668:lootItemsUnique:FLST	0044D473:Challenge_Magazines_All:FLST	00525407:BabylonExcludeList:FLST																																								
0008E751	PerkMagMassSurgicalJournal07	Massachusetts Surgical Journal		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		3	0017C668:lootItemsUnique:FLST	0044D473:Challenge_Magazines_All:FLST	00525407:BabylonExcludeList:FLST																																								
00092A63	PerkMagJunktownJerkyVendor01	Tales of a Junktown Jerky Vendor		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		3	0017C668:lootItemsUnique:FLST	0044D473:Challenge_Magazines_All:FLST	00525407:BabylonExcludeList:FLST																																								
00092A64	PerkMagJunktownJerkyVendor02	Tales of a Junktown Jerky Vendor		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		3	0017C668:lootItemsUnique:FLST	0044D473:Challenge_Magazines_All:FLST	00525407:BabylonExcludeList:FLST																																								
00092A65	PerkMagJunktownJerkyVendor03	Tales of a Junktown Jerky Vendor		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		3	0017C668:lootItemsUnique:FLST	0044D473:Challenge_Magazines_All:FLST	00525407:BabylonExcludeList:FLST																																								
00092A66	PerkMagJunktownJerkyVendor04	Tales of a Junktown Jerky Vendor		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		3	0017C668:lootItemsUnique:FLST	0044D473:Challenge_Magazines_All:FLST	00525407:BabylonExcludeList:FLST																																								
00092A67	PerkMagJunktownJerkyVendor05	Tales of a Junktown Jerky Vendor		2	001B3FAC:FeaturedItem:KYWD	001D4A70:MagazineKeyword:KYWD						0000000F:Caps001:CNCY	100	0.000000		3	0017C668:lootItemsUnique:FLST	0044D473:Challenge_Magazines_All:FLST	00525407:BabylonExcludeList:FLST																																								
