BOOK_FormID	BOOK_EDID	LocationName	LocationSource	QuestName
00000871	recipe_mod_AssaultRifle_Receiver_FastTrigger-CritDMG			
00000872	recipe_mod_AssaultRifle_Receiver_FastTrigger-Damage			
00000873	recipe_mod_AssaultRifle_Receiver_FastTrigger-HipAccuracy			
00000D8D	POST_recipe_mod_AlienBlaster_Scope_ScopeShort_NV			
00000D8E	recipe_mod_AlienBlaster_AlienMag_AmmoConversion			
00001487	BMO_BunkerNote05_SparekeyNote	Quick Test Cell	NameParse	
00002A2A	EN01_PowerSurgeWarning			Bunker Buster
0000425C	FS_JeremiahPart01	Ransacked Bunker	NameParse	
000055F5	FS_JeremiahPart02	Ransacked Bunker	NameParse	
000089A0	CUT_SF08BarnesBook			
0000FFEE	FF09ReaperDirectiveNote			Activity  Fertile Soil
0001ABB3	LC204_GarrahanHQ_BoardRoomNote			
0001BF30	recipe_mod_armor_Robot_Lining_Torso_Lighter2			
0001BF31	recipe_mod_armor_Robot_Lining_Torso_Mesh_BioComm			
0001BF32	recipe_mod_armor_Robot_Torso_Material_Shadowed			
0001BF34	recipe_mod_armor_Robot_Lining_Limb_ResistanceLimbDamage			
0001BF35	recipe_mod_armor_Robot_Lining_LimbLeg_ReducedFallingDamage			
0001BF36	recipe_mod_armor_Robot_Lining_Torso_ImprovedCarryCapacity2			
0001BF48	recipe_mod_armor_Robot_Leg_Material_Shadowed			
0001BF49	recipe_mod_armor_Robot_Lining_Limb_ImprovedCarryCapacity2			
0001BF4A	recipe_mod_armor_Robot_Lining_Limb_Lighter2			
000218B3	recipe_DLC03_mod_armor_Marine_Lining_Torso_Lighter2			
000218B4	recipe_DLC03_mod_armor_Marine_Lining_Torso_ResistanceRadiation			
000218B5	recipe_mod_armor_Robot_Arm_Material_Shadowed			
000218C4	recipe_DLC03_mod_armor_Marine_Lining_Limb_ResistanceLimbDamage			
000218C5	recipe_DLC03_mod_armor_Marine_Lining_LimbLeg_ReducedFallingDamage			
000218C6	recipe_DLC03_mod_armor_Marine_Lining_Torso_ImprovedCarryCapacity2			
0002190F	recipe_mod_armor_Combat_Torso_Material_Shadowed			
00021910	recipe_DLC03_mod_armor_Marine_Lining_Limb_ImprovedCarryCapacity2			
00021911	recipe_DLC03_mod_armor_Marine_Lining_Limb_Lighter2			
00022276	BoS_GraveNote			
000224FB	recipe_mod_armor_Combat_Lining_Torso_Mesh_BioComm			
000224FC	recipe_mod_armor_Combat_Lining_Torso_ResistanceRadiation			
000224FD	recipe_mod_armor_Combat_Torso_Material_BOS			
00022E98	recipe_mod_armor_Combat_Lining_LimbLeg_ReducedFallingDamage			
00022E99	recipe_mod_armor_Combat_Lining_Torso_ImprovedCarryCapacity			
00022E9A	recipe_mod_armor_Combat_Lining_Torso_ImprovedCarryCapacity2			
0002321D	recipe_mod_armor_Combat_Lining_Limb_ImprovedCarryCapacity2			
0002321E	recipe_mod_armor_Combat_Lining_Limb_Lighter2			
0002321F	recipe_mod_armor_Combat_Lining_Limb_ResistanceLimbDamage			
00026887	recipe_mod_armor_Combat_Leg_Material_BOS			
00026888	recipe_mod_armor_Combat_Leg_Material_Shadowed			
00026889	recipe_mod_armor_Combat_Lining_Limb_ImprovedCarryCapacity			
000268A2	recipe_mod_armor_Trapper_Lining_Torso_ResistanceRadiation			
000268A3	recipe_mod_armor_Combat_Arm_Material_BOS			
000268A4	recipe_mod_armor_Combat_Arm_Material_Shadowed			
000268B9	recipe_mod_armor_Trapper_Lining_Torso_ImprovedCarryCapacity2			
000268BA	recipe_mod_armor_Trapper_Lining_Torso_Lighter2			
000268BB	recipe_mod_armor_Trapper_Lining_Torso_Mesh_BioComm			
000268E4	recipe_mod_armor_Trapper_Lining_Limb_ResistanceLimbDamage			
000268E5	recipe_mod_armor_Trapper_Lining_LimbLeg_ReducedFallingDamage			
000268E6	recipe_mod_armor_Trapper_Lining_Torso_ImprovedCarryCapacity			
00026943	recipe_mod_armor_Trapper_Lining_Limb_ImprovedCarryCapacity			
00026944	recipe_mod_armor_Trapper_Lining_Limb_ImprovedCarryCapacity2			
00026945	recipe_mod_armor_Trapper_Lining_Limb_Lighter2			
000269BE	recipe_mod_armor_RaiderMod_Lining_Torso_Mesh_BioComm			
000269BF	recipe_mod_armor_Robot_Lining_Limb_ImprovedCarryCapacity			
000269C0	recipe_mod_armor_Robot_Lining_Torso_ImprovedCarryCapacity			
000269D1	recipe_mod_armor_RaiderMod_Lining_Limb_Lighter2			
000269D2	recipe_mod_armor_RaiderMod_Lining_Torso_ImprovedCarryCapacity2			
000269D3	recipe_mod_armor_RaiderMod_Lining_Torso_Lighter2			
00026A1E	recipe_mod_armor_Metal_Lining_Torso_ResistanceRadiation			
00026A1F	recipe_mod_armor_Metal_Torso_Material_Shadowed			
00026A20	recipe_mod_armor_RaiderMod_Lining_Limb_ImprovedCarryCapacity2			
00027DC3	recipe_mod_armor_Metal_Lining_Torso_ImprovedCarryCapacity2			
00027DC4	recipe_mod_armor_Metal_Lining_Torso_Lighter2			
00027DC5	recipe_mod_armor_Metal_Lining_Torso_Mesh_BioComm			
0002B973	recipe_mod_armor_Metal_Lining_Limb_ResistanceLimbDamage			
0002B974	recipe_mod_armor_Metal_Lining_LimbLeg_ReducedFallingDamage			
0002B975	recipe_mod_armor_Metal_Lining_Torso_ImprovedCarryCapacity			
0002E8D6	recipe_mod_armor_Metal_Lining_Limb_ImprovedCarryCapacity			
0002E8D7	recipe_mod_armor_Metal_Lining_Limb_ImprovedCarryCapacity2			
0002E8D8	recipe_mod_armor_Metal_Lining_Limb_Lighter2			
0002E8E6	LC016_ElevatorNote	[CELL:00050B2C]	ExtCell	Wolf in Sheep's Clothing
0002F5EA	recipe_mod_armor_RaiderMod_Lining_Torso_ResistanceRadiation			
0002F5EB	recipe_mod_armor_Metal_Arm_Material_Shadowed			
0002F5EC	recipe_mod_armor_Metal_Leg_Material_Shadowed			
0002FC68	recipe_mod_armor_RaiderMod_Lining_Limb_ResistanceLimbDamage			
0002FC69	recipe_mod_armor_RaiderMod_Lining_LimbLeg_ReducedFallingDamage			
0002FC6A	recipe_mod_armor_RaiderMod_Lining_Torso_ImprovedCarryCapacity			
00030552	recipe_mod_armor_Leather_Lining_Torso_ResistanceRadiation			
00030553	recipe_mod_armor_Leather_Torso_Material_Shadowed			
00030554	recipe_mod_armor_RaiderMod_Lining_Limb_ImprovedCarryCapacity			
000337B6	recipe_mod_armor_Leather_Lining_Torso_ImprovedCarryCapacity2			
000337B7	recipe_mod_armor_Leather_Lining_Torso_Lighter2			
000337B8	recipe_mod_armor_Leather_Lining_Torso_Mesh_BioComm			
00033AFD	LC101Guestbook	AlpineRiverCabinsExt	ExtCell	
00035364	recipe_mod_armor_Leather_Lining_Limb_Lighter2			
00035365	recipe_mod_armor_Leather_Lining_Limb_ResistanceLimbDamage			
00035366	recipe_mod_armor_Leather_Lining_Torso_ImprovedCarryCapacity			
0003546A	recipe_mod_armor_Leather_Lining_LimbLeg_ReducedFallingDamage			
0003546B	recipe_mod_armor_Leather_Lining_Limb_ImprovedCarryCapacity			
0003546C	recipe_mod_armor_Leather_Lining_Limb_ImprovedCarryCapacity2			
00035690	recipe_mod_armor_Leather_Arm_Material_Shadowed			
00035691	recipe_mod_armor_Leather_Leg_Material_Shadowed			
00042E1D	FSZ01_BerkleySprings			
00042E34	zzzFSZ01_HarpersFerry			A Mark in the Past - Harpers Ferry
00044A17	FSZ01_FreddysScares			
00044A6D	FSZ01_RedRocket			
000450BF	FSZ01_PumpkinHouse			
000450C9	FSZ01_ValleyGalleria			
00045182	FSZ01_DollySods			
00047188	RE_SceneKMK01Note02			
00047189	RE_SceneKMK01Note03			
0004718A	RE_SceneKMK01Note04			
0004718B	RE_SceneKMK01Note05			
000487DF	RS06_Manual_Stims_Formula			
0004D8E7	AgCenterMacFaddernBook01	Vault-Tec Ag Research Center	NameParse	
0004D8EC	AgCenterMacFaddernBook02	Vault-Tec Ag Research Center	NameParse	
000524A7	BoS01MorseBook	[CELL:0010D89B]	ExtCell	
00052D22	DotMatrixPrinterNote01	[CELL:0004DEDF]	ExtCell	
00054F91	test_Wendigo_TestBook	Test Combat	NameParse	
00055F02	BMO_BunkerNote06_GuardNote02	Quick Test Cell	NameParse	
00055F2D	BMO_BunkerNote06_GuardNote01	Quick Test Cell	NameParse	
0005F4A5	TW007_IncriminatingSafetyReport			Cold Case
000617A2	POI_TransmissionTowerNote			
00068509	MTR05_Resume01	Quick Test Cell	NameParse	The Motherlode
0006926C	MTR05_CheatSheet	Hornwright Industrial HQ	NameParse	The Motherlode
0006F7D0	Magazine_Holotape_NukatapperBook			
00073782	MTR06_CheatSheet	CharlestonFireDeptExt02	ExtCell	Into the Fire
00088AE5	TWZ07_Permit	[CELL:0004DEDF]	ExtCell	
00088AE6	TWZ07_PermitSigned			
0008E737	BACKUP_Magazine_USCovertOps01Book			
0008E738	BACKUP_Magazine_USCovertOps02Book			
0008E739	BACKUP_Magazine_USCovertOps03Book			
0008E73A	BACKUP_Magazine_USCovertOps04Book			
0008E73B	BACKUP_Magazine_USCovertOps05Book			
0008E73C	BACKUP_Magazine_USCovertOps06Book			
0008E73D	BACKUP_Magazine_USCovertOps07Book			
0008E73E	BACKUP_Magazine_USCovertOps08Book			
0008E73F	BACKUP_Magazine_USCovertOps09Book			
0008E740	BACKUP_Magazine_USCovertOps10Book			
0008E741	BACKUP_Magazine_GrognakTheBarbarian01Book			
0008E742	BACKUP_Magazine_GrognakTheBarbarian02Book			
0008E743	BACKUP_Magazine_GrognakTheBarbarian03Book			
0008E744	BACKUP_Magazine_GrognakTheBarbarian04Book			
0008E745	BACKUP_Magazine_GrognakTheBarbarian05Book			
0008E746	BACKUP_Magazine_GrognakTheBarbarian06Book			
0008E747	BACKUP_Magazine_GrognakTheBarbarian07Book			
0008E748	BACKUP_Magazine_GrognakTheBarbarian08Book			
0008E749	BACKUP_Magazine_GrognakTheBarbarian09Book			
0008E74A	BACKUP_Magazine_GrognakTheBarbarian10Book			
0008E74B	PerkMagMassSurgicalJournal01			
0008E74C	PerkMagMassSurgicalJournal02			
0008E74D	PerkMagMassSurgicalJournal03			
0008E74E	PerkMagMassSurgicalJournal04			
0008E74F	PerkMagMassSurgicalJournal05			
0008E750	PerkMagMassSurgicalJournal06			
0008E751	PerkMagMassSurgicalJournal07			
00092A63	PerkMagJunktownJerkyVendor01			
00092A64	PerkMagJunktownJerkyVendor02			
00092A65	PerkMagJunktownJerkyVendor03			
00092A66	PerkMagJunktownJerkyVendor04			
00092A67	PerkMagJunktownJerkyVendor05			
00092A68	PerkMagJunktownJerkyVendor06			
00092A69	PerkMagJunktownJerkyVendor07			
00092A6A	PerkMagJunktownJerkyVendor08			
00092A6D	BACKUP_Magazine_TumblersToday01Book			
00092A6F	BACKUP_Magazine_TumblersToday02Book			
00092A70	BACKUP_Magazine_TumblersToday03Book			
00092A71	BACKUP_Magazine_TumblersToday04Book			
00092A72	BACKUP_Magazine_TumblersToday05Book			
00092A78	BACKUP_Magazine_TeslaScience01Book			
00092A79	BACKUP_Magazine_TeslaScience02Book			
00092A7A	BACKUP_Magazine_TeslaScience03Book			
00092A7B	BACKUP_Magazine_TeslaScience04Book			
00092A7C	BACKUP_Magazine_TeslaScience05Book			
00092A7D	BACKUP_Magazine_TeslaScience06Book			
00092A7E	BACKUP_Magazine_TeslaScience07Book			
00092A7F	BACKUP_Magazine_TeslaScience08Book			
00092A80	BACKUP_Magazine_TeslaScience09Book			
00092A83	BACKUP_Magazine_GunsAndBullets01Book			
00092A87	BACKUP_Magazine_GunsAndBullets02Book			
00092A88	BACKUP_Magazine_GunsAndBullets03Book			
00092A89	BACKUP_Magazine_GunsAndBullets04Book			
00092A8A	BACKUP_Magazine_GunsAndBullets05Book			
00092A8B	BACKUP_Magazine_GunsAndBullets06Book			
00092A8C	BACKUP_Magazine_GunsAndBullets07Book			
00092A8D	BACKUP_Magazine_GunsAndBullets08Book			
00092A8E	BACKUP_Magazine_GunsAndBullets09Book			
00092A8F	BACKUP_Magazine_GunsAndBullets10Book			
00094734	PerkMagTotalHack01			
00094735	PerkMagTotalHack02			
00094736	PerkMagTotalHack03			
0009473E	PerkMagLaCoiffe01			
00094FE8	BMO_BunkerNote03_Lockernote	Quick Test Cell	NameParse	
00096A06	BMO_BunkerNote03_MomGoodbyeNoteSutton	SuttonExt09	ExtCell	
0009ADA1	ENz09_RequestList			Room Service
000B03D3	AMSHQ_CBLore_Note02	AMS Headquarters	NameParse	
000B104B	AMSHQ_CBLore_Note01	AMS Headquarters	NameParse	
001091E7	SURV_Tutorial_HolotapeOLD			
00110B84	ADV012SkeletonsNote			
00118546	CBZ04_Note			Operation  Give that back!
0011CED0	RE_SceneKMK01Note01			
001203BA	WatogaMunicipalNote_02	Watoga Municipal Center	NameParse	
001203E3	WatogaMunicipalNote_01	[CELL:0010D89B]	ExtCell	
0012BC0F	BMO_BunkerNote05_LuggageNote	Quick Test Cell	NameParse	
00135F03	BACKUP_Magazine_Unstoppables01Book			
00135F04	BACKUP_Magazine_Unstoppables02Book			
00135F05	BACKUP_Magazine_Unstoppables03Book			
00135F06	BACKUP_Magazine_Unstoppables04Book			
00135F07	BACKUP_Magazine_Unstoppables05Book			
0014453F	SurvivalTrainingCenter_Pamphlet01	SurvivalTrainingCenterExt	ExtCell	
00145890	MTR_HornwrightWinsArticle	Garrahan Mining HQ	NameParse	
00145894	MTR_ManVsMachineArticle	CharlestonFireDeptExt02	ExtCell	
0014E5FD	CultistCave_LoreNote06	Lucky Hole Mine	NameParse	
0014E602	CultistCave_LoreNote05	Lucky Hole Mine	NameParse	
0014E627	CultistCave_LoreNote04	Lucky Hole Mine	NameParse	
0014E652	CultistCave_LoreNote03	Lucky Hole Mine	NameParse	
0014E67B	CultistCave_LoreNote02	Lucky Hole Mine	NameParse	
0014E6B1	CultistCave_LoreNote01	Lucky Hole Mine	NameParse	
00151439	TestGuidestonesNote			
0016969A	BACKUP_Magazine_AwesomeTales06Book			
0016969B	BACKUP_Magazine_AwesomeTales11Book			
0016969C	BACKUP_Magazine_AwesomeTales08Book			
0016969D	BACKUP_Magazine_AwesomeTales04Book			
0016969E	BACKUP_Magazine_AwesomeTales10Book			
0016969F	BACKUP_Magazine_AwesomeTales01Book			
001696A0	BACKUP_Magazine_AwesomeTales03Book			
001696A1	BACKUP_Magazine_AwesomeTales07Book			
001696A2	BACKUP_Magazine_AwesomeTales05Book			
001696A3	BACKUP_Magazine_AwesomeTales13Book			
001696A5	BACKUP_Magazine_AwesomeTales09Book			
001696A6	BACKUP_Magazine_AwesomeTales12Book			
001696A7	BACKUP_Magazine_AwesomeTales02Book			
0016F832	TestAlyssa_Quest01_Book	Quick Test Cell	NameParse	
00180A24	PerkMagHotRod01			
00180A2A	PerkMagTattoo04			
00180A36	PerkMagPicketFences03			
00181BF8	BMO_BunkerNote03_CrazyLadyWatoga	BlackMountainWildernessExt02	ExtCell	
0018208C	EN05_Patriotism_TophersDiary	CampMcClintockExt04	ExtCell	Patriotism Training
0018212E	EN05_Patriotism_JimmyDiary	CampMcClintockExt04	ExtCell	Patriotism Training
0018212F	EN05_Patriotism_JimmyPassword			
00182142	EN05_Patriotism_JimmyEvidence			Patriotism Training
00182F4D	recipe_mod_Chainsaw_Bar_Bow_Long			
00182F4E	recipe_mod_Chainsaw_Flamer			
0018325A	recipe_mod_melee_ChineseOfficerSword_ShockAndSerrated			
001832DB	recipe_mod_melee_ChineseOfficerSword_Shock			
0018331B	recipe_mod_melee_BoxingGlove_ExtraHeavyHead			
00184D8B	PerkMagPicketFences01			
00184D9B	PerkMagTattoo01			
00184DA1	PerkMagRobcoFun01			
00184DA5	PerkMagTattoo02			
00184DA7	BACKUP_Magazine_LiveAndLove01Book			
00184DB2	PerkMagRobcoFun02			
00184DB7	PerkMagPicketFences02			
00184DB9	BACKUP_Magazine_LiveAndLove02Book			
00184DC0	PerkMagTattoo03			
00184DC4	PerkMagRobcoFun04			
00184DC6	BACKUP_Magazine_LiveAndLove03Book			
00185CBF	PerkMagHotRod02			
00185CC2	BACKUP_Magazine_LiveAndLove04Book			
00185CCD	BACKUP_Magazine_LiveAndLove05Book			
00185CD1	PerkMagHotRod03			
00185CDD	PerkMagPicketFences04			
