menu category	name	edid	form_id	build	price_xbox	price_ps	price_pc	limit_new	limit_existing	mutation	buff	availability	order category	notes
Alcohol	Ballistic Bock	Brew_BallisticBock	0046983F		35	45	45	50	100				chems	
Alcohol	Beer	Brew_BeerBottleStandard01	0011EA93		10	20	20	50	100		Strength | Charisma | Luck		chems	
Alcohol	Blackwater Brew	Brew_BlackwaterBrew	003B5FC9		25	35	35	50	100		Luck | Strength | Charisma		chems	
Alcohol	Bourbon	Brew_Bourbon	000366C4		10	20	20	50	100		Luck | Strength | Endurance		chems	
Alcohol	Cranberry Moonshine	Brew_CranberryMoonshine	0016A13C		25	35	35	50	100		Luck | Charisma | Strength | Max HP		chems	
Alcohol	Duchess's Dram	Brew_DuchessDram	00572D17		N/A	N/A	N/A	N/A	N/A		Luck | Restore HP	Not Available	alcohol	
Alcohol	Fermentable Ballistic Bock	Brew_BallisticBockFerm	00469842		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Beer	Brew_BeerBottleStandard01Ferm	0046F4F5		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Blackwater Brew	Brew_BlackwaterBrewFerm	0046F4F4		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Bourbon	Brew_BourbonFerm	0046F4F0		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Cranberry Moonshine	Brew_CranberryMoonshineFerm	003F2DEA		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable High Voltage Hefe	Brew_HighVoltageHefeFerm	003EC3ED		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Hoppy Hunter IPA	Brew_HoppyHunterFerm	0045412F		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Lead Champagne	Brew_LeadChampagneFerm	00454123		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Liquid Courage	Brew_LiquidCourageFerm	0057AE04		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Mire Magic Moonshine	E08A_Brew_GulpershineFerm	00655D12		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Mountain Honey Moonshine	Brew_MountainHoneyMoonshineFerm	003F3054		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable New River Red Ale	Brew_NewRiverRedAleFerm	0046F4F1		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Nuka-Cola Dark	Brew_DLC04_NukaCola_DarkFerm	003F3053		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Nukashine	Brew_NukashineFerm	0047BC13		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Oak Holler Lager	Brew_OakHollerLagerFerm	0046F4F7		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Old Possum	Brew_OldPossumFerm	0046F4F8		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Pickaxe Pilsner	Brew_PickAxePilsnerFerm	0046F4F9		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Rad Ant Lager	Brew_RadAntLagerFerm	003EC3E5		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Rum	Brew_RumFerm	0046F4F2		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Tick Blood Tequila	Brew_TickBloodTequilaFerm	0046985C		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Vodka	Brew_VodkaFerm	0046F4EF		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Whiskey	Brew_WhiskeyFerm	0046F4F3		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fermentable Wine	Brew_WineFerm	0046F4FA		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Firecracker Whiskey	Brew_FirecrackerWhiskeyFresh	00469853		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Firecracker Whiskey Manhattan	Brew_FirecrackerWhiskeyManhattan	003EC2C1		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Firecracker Whiskey Old Fashioned	Brew_FirecrackerWhiskeyOldFashioned	003EC2C4		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Fussfungle	Brew_Fussfungle	00648161		N/A	N/A	N/A	N/A	N/A		Charisma | Strength	Not Available	alcohol	
Alcohol	Hard Lemonade	Brew_LemonadeHard	0045DAC2		25	35	35	50	100		Max AP		chems	
Alcohol	High Voltage Hefe	Brew_HighVoltageHefe	003EC3E7		35	45	45	50	100				chems	
Alcohol	Hoppy Hunter IPA	Brew_HoppyHunter	00454128		35	45	45	50	100				chems	
Alcohol	Irradiated Sunset Sarsaparilla	SCORE_S22_Consumable_SunsetSarsaparilla_Irradiated	00837E07		45	55	55				Restore HP		alcohol	
Alcohol	Lead Champagne	Brew_LeadChampagneFresh	00454122		35	45	45	15	30				chems	
Alcohol	Lead Champagne Bellini	Brew_LeadChampagneBellini	003EC2BD		35	45	45	15	30				chems	
Alcohol	Lead Champagne Mimosa	Brew_LeadChampagneMimosa	003EC2BC		35	45	45	15	30				chems	
Alcohol	Liquid Courage	Brew_LiquidCourage	0057AE02		50	60	60	10	10		Luck | Strength		chems	
Alcohol	Mire Magic Moonshine	E08A_Brew_GulpershineFresh	00622F8B		25	35	35	50	100		Strength		alcohol	
Alcohol	Mountain Honey Moonshine	Brew_MountainHoneyMoonshine	000070A0		25	35	35	30	30		Luck | Charisma | Strength | Max HP		food	
