FormID	EDID	FULL	SNAM	TNAM	CNAM	ENAM	CondCount	Cond1	Cond2	Cond3	Cond4	Cond5	Cond6	Cond7	Cond8	Cond9	Cond10	Cond11	Cond12	Cond13	Cond14	Cond15	Cond16	Cond17	Cond18	Cond19	Cond20	Cond21	Cond22	Cond23	Cond24	Cond25	Cond26	Cond27	Cond28	Cond29	Cond30	Cond31	Cond32	Cond33	Cond34	Cond35	Cond36	Cond37	Cond38	Cond39	Cond40	Cond41	Cond42	Cond43	Cond44	Cond45	Cond46	Cond47	Cond48	Cond49	Cond50	Cond51	Cond52
003B7F9E	Challenge_Lifetime_Discover_MireRegion_SUB_TreehouseVillage	Discover the Retreat	Locations Discovered	1			1	10000000|1.000000|GetInCurrentLocation|00 00 00|00 00|LocSwampTheRetreatLocation "The Retreat" [LCTN:0009A6D9]|00 00 00 00|0|-1|Target|																																																			
003B7F9F	Challenge_Lifetime_Mod_Armor_Tiers_Chest	Mod Chest Armor	Items Modded				2	10010000|1.000000|HasKeyword|00 00 00|5F 43|ArmorBodyPartChest [KYWD:0006C0EC]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|5F 43|CHAL_ArmorType_Chest [KYWD:00494A04]|00 00 00 00|0|-1|Target|																																																		
003B7FA0	CUT_Challenge_Weekly_Mothman_META	Hunt the Mothman!		0			0																																																				
003B7FA1	Challenge_Lifetime_Photomode_Forest_SUB_AnchorFarm	Use Photomode at Anchor Farm	Photos Taken	0			1	10000000|1.000000|GetInCurrentLocation|00 00 00|94 43|LocForestAnchorFarmLocation "Anchor Farm" [LCTN:00391A3E]|00 00 00 00|0|-1|Subject|																																																			
003B7FA2	CUT_Challenge_Lifetime_Mod_Armor_Tiers_Helmet	Mod Helmets	NONE	0			0																																																				
003B7FA3	Challenge_Lifetime_QuestComplete_Mire	Complete Quests and Events in the Mire	Quests Completed				1	10000000|1.000000|GetInCurrentLocation|00 00 00|5F 43|RegionSwampForestLocation "The Mire" [LCTN:000045E1]|00 00 00 00|0|-1|Subject|																																																			
003B7FA4	Challenge_Lifetime_Discover_ToxicValleyRegion_SUB_HemlockHoles	Discover Hemlock Holes	Locations Discovered	0			1	10000000|1.000000|GetInCurrentLocation|00 00 00|94 43|LocToxicHemlockHolesLocation "Hemlock Holes" [LCTN:000703D0]|00 00 00 00|0|-1|Target|																																																			
003B7FA5	Challenge_Lifetime_QuestComplete_CranberryBog	Complete Quests and Events in the Cranberry Bog	Quests Completed				1	10000000|1.000000|GetInCurrentLocation|00 00 00|64 43|RegionCranberryBogLocation "Cranberry Bog" [LCTN:000012A2]|00 00 00 00|0|-1|Subject|																																																			
003B7FA6	Challenge_Lifetime_QuestComplete_SavageDivide	Complete Quests and Events in the Savage Divide	Quests Completed				1	10000000|1.000000|GetInCurrentLocation|00 00 00|5F 43|RegionMountainLocation "Savage Divide" [LCTN:001789F8]|00 00 00 00|0|-1|Subject|																																																			
003B7FA7	CUT_Challenge_Daily_Mod_Weapon_Melee_Lowest	Mod a Melee Weapon	NONE	0			3	10010000|1.000000|HasKeyword|00 00 00|9C 43|WeaponTypeMelee1H "1-Hand Melee" [KYWD:0004A0A4]|00 00 00 00|0|-1|Target|	10010000|1.000000|HasKeyword|00 00 00|9C 43|WeaponTypeMelee2H "2-Hand Melee" [KYWD:0004A0A5]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|9C 43|WeaponTypeMeleeGeneral [KYWD:0033AB12]|00 00 00 00|0|-1|Target|																																																	
003B7FA8	Challenge_Lifetime_QuestComplete_Forest	Complete Quests and Events in the Forest	Quests Completed				1	10000000|1.000000|GetInCurrentLocation|00 00 00|5F 43|RegionForestFloodlandsLocation "The Forest" [LCTN:00095004]|00 00 00 00|0|-1|Subject|																																																			
003B7FA9	Challenge_Lifetime_QuestComplete_ToxicValley	Complete Quests and Events in the Toxic Valley	Quests Completed				1	10000000|1.000000|GetInCurrentLocation|00 00 00|5F 43|RegionToxicValleyLocation "Toxic Valley" [LCTN:00088ABA]|00 00 00 00|0|-1|Subject|																																																			
003B7FAA	SCORE_Challenge_Daily_Craft_Weapons_Grenades	Craft a Grenade, Mine, or Thrown Weapon	Weapons Crafted	5			3	10010000|1.000000|HasKeyword|00 00 00|00 00|WeaponTypeGrenade [KYWD:0010C415]|00 00 00 00|0|-1|Target|	10010000|1.000000|HasKeyword|00 00 00|00 00|WeaponTypeMine [KYWD:0010C414]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|00 00|WeaponTypeThrown "Throwing" [KYWD:0004A0A6]|00 00 00 00|0|-1|Target|																																																	
