FormID	EDID	FULL	SNAM	TNAM	CNAM	ENAM	CondCount	Cond1	Cond2	Cond3	Cond4	Cond5	Cond6	Cond7	Cond8	Cond9	Cond10	Cond11	Cond12	Cond13	Cond14	Cond15	Cond16	Cond17	Cond18	Cond19	Cond20	Cond21	Cond22	Cond23	Cond24	Cond25	Cond26	Cond27	Cond28	Cond29	Cond30	Cond31	Cond32	Cond33	Cond34	Cond35	Cond36	Cond37	Cond38	Cond39	Cond40	Cond41	Cond42	Cond43	Cond44	Cond45	Cond46	Cond47	Cond48	Cond49	Cond50	Cond51	Cond52	DNAM	JASF
004E1F3F	CUT_Challenge_Weekly_Combo_WorldBurn_SUB_LaunchNuke	Launch a Nuke	 NONE	0	Weekly	Sub Challenge (Unsorted)	0																																																						Challenge_Weekly_Combo_WorldBurn_SUB_LaunchNuke.json
004E1F2F	Challenge_Lifetime_CraftScrap_Weapon_Tiers_Melee_2H_Blunt	Craft or Scrap Blunt Melee Weapons	Items Crafted or Scrapped	0	Lifetime	Combat	1	Top:Target.HasKeyword(WeaponTypeBlunt "Blunt" [KYWD:0033AB24]) = 1.000000																																																					Challenge_Lifetime_CraftScrap_Weapon_Tiers_Melee_2H_Blunt.json
004E1F40	Challenge_Lifetime_CollectCaps_Lowest	Collect Caps	Total Caps Collected	0	Lifetime	Character	0																																																						Challenge_Lifetime_CollectCaps_Lowest.json
004E1F32	CUT_Challenge_Daily_Craft_Psycho_Lowest	Craft Psycho	 NONE	0	Daily	Sub Challenge (Unsorted)	2	Top:Target.HasKeyword(ObjectTypeChem [KYWD:000F4AE7]) = 1.000000	Top:Target.HasKeyword(AddictionKeywordPsycho [KYWD:00245F07]) = 1.000000																																																				Challenge_Daily_Craft_Psycho_Lowest.json
004E1F31	CUT_Challenge_Daily_Craft_Mentats_Lowest	Craft Mentats	 NONE	0	Daily	Sub Challenge (Unsorted)	2	Top:Target.HasKeyword(ObjectTypeChem [KYWD:000F4AE7]) = 1.000000	Top:Target.HasKeyword(AddictionKeywordMentats [KYWD:00245EF4]) = 1.000000																																																				Challenge_Daily_Craft_Mentats_Lowest.json
004E1F2C	Challenge_Lifetime_Discover_SavageDivideRegion_SUB_HornwriteEstate	Discover Hornwright Estate	Locations Discovered	0	Lifetime	Sub Challenge (Unsorted)	1	Top:Target.GetInCurrentLocation(LocMountainsHornwrightEstateLocation "Hornwright Estate" [LCTN:00083F00]) = 1.000000																																																					Challenge_Lifetime_Discover_SavageDivideRegion_SUB_HornwriteEstate.json
004E1F33	CUT_Challenge_Daily_QuestsComplete_Quest_while_wearing_BeerHat_Lowest	Complete a Quest while wearing a Beer Hat	 NONE	0	Daily	Sub Challenge (Unsorted)	1	Top:Subject.WornHasKeyword(HatTypeBeer [KYWD:00452ED2]) = 1.000000																																																					Challenge_Daily_QuestsComplete_Quest_while_wearing_BeerHat_Lowest.json
004E1F34	CUT_Challenge_Weekly_Photomode_GrahmChally	Use Photomode with Grahm and Chally the Moo-Moo	 NONE	0	Weekly	Sub Challenge (Unsorted)	1	Top:Subject.GetWithinDistance(GrahmRef [ACHR:0044D49E] (Places GQ_SuperMutantMerchant_Grahm "Grahm" [NPC_:0017F096] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at 9,16), 500.000000) = 1.000000																																																					Challenge_Weekly_Photomode_GrahmChally.json
004E1F37	Challenge_Lifetime_Perks_RankUp_SUB_Agility_Intro	Fully Rank Up an Agility Perk Card	Perks Max Ranked	0	Lifetime	Sub Challenge (Unsorted)	1	Top:Target.IsInList(Challenge_Lifetime_Perks_RankUp_SUB_Agility_Formlist "All Agility Perk Cards" [FLST:004713B9]) = 1.000000																																																					Challenge_Lifetime_Perks_RankUp_SUB_Agility_Intro.json
004E1F2B	CUT_Challenge_Daily_Hack_while_Intoxicated	Hack a Terminal while Intoxicated	 NONE	0	Daily	Sub Challenge (Unsorted)	2	Top:Subject.HasMagicEffectKeyword(AlcoholEffect [KYWD:0005240A]) = 1.000000	Top:Subject.IsOnChems() = 1.000000																																																				Challenge_Daily_Hack_while_Intoxicated.json
004E1F38	CUT_Challenge_Daily_Photomode_at_Workshop	Use Photomode at a Workshop	 NONE	0	Daily	Sub Challenge (Unsorted)	2	Top:Subject.LocationHasKeyword(LocTypeWorkshop [KYWD:000234F1]) = 1.000000	Top:Subject.LocationHasKeyword(LocTypeWorkshopPublic [KYWD:003AEDF7]) = 1.000000																																																				Challenge_Daily_Photomode_at_Workshop.json
