CMPO_FormID	CMPO_EDID	FULL	ScrapItem_FormID	ScrapItem_EDID	ScrapItem_FULL	ModScrapScalar_FormID	ModScrapScalar_EDID	CVPA	ReferencedByCount
00017DE8	c_BlackTitanium	Black Titanium	00017DEB	c_BlackTitanium_scrap	Black Titanium Scrap	002074A6	ModScrapScalar_Rare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:300:|ATX_ComponentQuantity_Scrapball_Level2:15:|ATX_ComponentQuantity_Scrapball_Level3:15:|ATX_ComponentQuantity_Scrapball_Level1_SP1:15:|PTS_ComponentQuantity:500:	130
00017DE9	c_Ultracite	Ultracite	00017DEA	c_Ultracite_scrap	Ultracite Scrap	00340803	ModScrapScalar_VeryRare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:150:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	234
0001FA8C	c_Acid	Acid	001BF72D	c_Acid_scrap	Waste Acid	002074A5	ModScrapScalar_Uncommon	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:15:|ComponentQuantity_CustomerService_Bulk:525:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	122
0001FA91	c_Aluminum	Aluminum	0006907A	c_Aluminum_scrap	Aluminum Scrap	002074A5	ModScrapScalar_Uncommon	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:525:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	1833
0001FA94	c_AntiBallisticFiber	Ballistic Fiber	000AEC5B	c_AntiBallisticFiber_scrap	Ballistic Fiber Scrap	002074A6	ModScrapScalar_Rare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:300:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	378
0001FA96	c_Antiseptic	Antiseptic	001BF72F	c_Antiseptic_scrap	Waste Antiseptic	002074A6	ModScrapScalar_Rare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:300:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	81
0001FA97	c_Asbestos	Asbestos	000AEC5C	c_Asbestos_scrap	Raw Asbestos	002074A6	ModScrapScalar_Rare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:300:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	532
0001FA98	c_Bone	Bone	000AEC5D	c_Bone_scrap	Bone Shards	0020F37D	ModScrapScalar_SuperCommon	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:20:|ComponentQuantity_CustomerService_Bulk:2500:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	250
0001FA9A	c_Ceramic	Ceramic	000AEC5E	c_Ceramic_scrap	Ceramic Scrap	0020F37D	ModScrapScalar_SuperCommon	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:15:|ComponentQuantity_CustomerService_Bulk:2500:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	504
0001FA9B	c_Circuitry	Circuitry	0006907B	c_Circuitry_scrap	Circuits	002074A6	ModScrapScalar_Rare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:300:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	886
