FormID	EDID	ConditionCount	Cond01	Cond02	Cond03	Cond04	Cond05	Cond06	Cond07	Cond08	Cond09	Cond10	Cond11	Cond12	Cond13	Cond14	Cond15	Cond16	Cond17	Cond18	Cond19	Cond20	Cond21	Cond22	Cond23	Cond24	Cond25	ReferencedByCount	Ref01	Ref02	Ref03	Ref04	Ref05	Ref06	Ref07	Ref08	Ref09	Ref10	Ref11	Ref12	Ref13	Ref14	Ref15	Ref16	Ref17	Ref18	Ref19	Ref20	Ref21	Ref22	Ref23	Ref24	Ref25	FileName
003B7FE8	Check_HasEntitlement_Photomode_Frame_Tricen	1	Subject.HasEntitlement(ATX_Upgrade2018_Tricen_ENTM_Photomode_Frame_Tricen "Commemorative Tricentennial Frame" [ENTM:0030862C], 00 00 00 00) = 1.000000																									0																										SeventySix.esm
003A123B	Check_Has_BareHands	3	Subject.IsWeaponMagicOut(00 00 00 00, 00 00 00 00) = 1.000000	Subject.GetWeaponAnimType(00 00 00 00, 00 00 00 00) = 0.000000	Subject.WornHasKeyword(AnimsUnarmed [KYWD:0002405E], 00 00 00 00) = 0.000000																							25	002BA271:Photomode_Heroic:"Heroic":IDLE	002BA272:Photomode_Presenter:"Presenter":IDLE	003BD725:Photomode_PointToTheSky:"Point To The Sky":IDLE	003BD728:Photomode_TheDancer:"The Dancer":IDLE	003BD729:Photomode_TwoThumbsUp:"Two Thumbs Up":IDLE	003C62A8:Photomode_Sharpshooter:"Sharpshooter":IDLE	003C62A9:Photomode_Gunslinger:"Gunslinger":IDLE	003C62AA:Photomode_Chic:"Chic":IDLE	003C94BD:Photomode_PointToTheSky_CullWeapon:"Point To The Sky":IDLE	003C94BE:Photomode_Ready_AllWeapons:"Ready":IDLE	003C94C0:Photomode_Showcase_CullWeapon:"Showcase":IDLE	003C94C2:Photomode_Champ_CullWeapon:"Champ":IDLE	003C94C3:Photomode_Heroic_CullWeapon:"Heroic":IDLE	003C94C4:Photomode_Presenter_CullWeapon:"Presenter":IDLE	003C94C5:Photomode_Ready_H2H:"Ready":IDLE	003CF38F:Photomode_TheDancer_CullWeapon:"The Dancer":IDLE	003D0F6F:Photomode_Greaser:"Greaser":IDLE	003D0F70:Photomode_Greaser_CullWeapon:"Greaser":IDLE	003D7493:Photomode_Showcase:"Showcase":IDLE	003D7A34:Photomode_Sharpshooter_CullWeapon:"Sharpshooter":IDLE	003D7A35:Photomode_Gunslinger_CullWeapon:"Gunslinger":IDLE	003D7A36:Photomode_Walking:"Walking":IDLE	003D7A37:Photomode_Chic_CullWeapon:"Chic":IDLE	004510B4:Photomode_Flashlight:"Flashlight":IDLE	00492189:Photomode_Confetti:"Confetti":IDLE	SeventySix.esm
0050199F	Check_Is_LargeWeapon	2	Subject.WornHasKeyword(PhotomodeGripShoulder [KYWD:003C94C1], 00 00 00 00) = 1.000000	Subject.WornHasKeyword(PhotomodeGripHeavy [KYWD:003C94BF], 00 00 00 00) = 1.000000																								25	002BA271:Photomode_Heroic:"Heroic":IDLE	002BA272:Photomode_Presenter:"Presenter":IDLE	003BD725:Photomode_PointToTheSky:"Point To The Sky":IDLE	003BD728:Photomode_TheDancer:"The Dancer":IDLE	003BD729:Photomode_TwoThumbsUp:"Two Thumbs Up":IDLE	003C62A8:Photomode_Sharpshooter:"Sharpshooter":IDLE	003C62A9:Photomode_Gunslinger:"Gunslinger":IDLE	003C62AA:Photomode_Chic:"Chic":IDLE	003C94BD:Photomode_PointToTheSky_CullWeapon:"Point To The Sky":IDLE	003C94C0:Photomode_Showcase_CullWeapon:"Showcase":IDLE	003C94C2:Photomode_Champ_CullWeapon:"Champ":IDLE	003C94C3:Photomode_Heroic_CullWeapon:"Heroic":IDLE	003C94C4:Photomode_Presenter_CullWeapon:"Presenter":IDLE	003CF38F:Photomode_TheDancer_CullWeapon:"The Dancer":IDLE	003D0F6F:Photomode_Greaser:"Greaser":IDLE	003D0F70:Photomode_Greaser_CullWeapon:"Greaser":IDLE	003D7493:Photomode_Showcase:"Showcase":IDLE	003D7A34:Photomode_Sharpshooter_CullWeapon:"Sharpshooter":IDLE	003D7A35:Photomode_Gunslinger_CullWeapon:"Gunslinger":IDLE	003D7A36:Photomode_Walking:"Walking":IDLE	003D7A37:Photomode_Chic_CullWeapon:"Chic":IDLE	004510B4:Photomode_Flashlight:"Flashlight":IDLE	00492189:Photomode_Confetti:"Confetti":IDLE	0049218A:Photomode_Confetti_CullWeapon:"Confetti":IDLE	00497011:Photomode_Flashlight_CullWeapon:"Flashlight":IDLE	SeventySix.esm
0050E409	Check_Is_HackerAvg	1	Subject.GetLevel(00 00 00 00, 00 00 00 00) = 50.000000																									0																										SeventySix.esm
0050E408	Check_Is_Level10plus	1	Subject.GetLevel(00 00 00 00, 00 00 00 00) = 10.000000																									0																										SeventySix.esm
0050E407	Check_Is_Level50plus	1	Subject.GetLevel(00 00 00 00, 00 00 00 00) = 50.000000																									0																										SeventySix.esm
0050E406	Check_Is_Level40plus	1	Subject.GetLevel(00 00 00 00, 00 00 00 00) = 40.000000																									0																										SeventySix.esm
0050E405	Check_Is_Level30plus	1	Subject.GetLevel(00 00 00 00, 00 00 00 00) = 30.000000																									0																										SeventySix.esm
0050E404	Check_Is_Level20plus	1	Subject.GetLevel(00 00 00 00, 00 00 00 00) = 20.000000																									0																										SeventySix.esm
004960D2	DiseasedCreatureChance_Check_DieRollForChanceHigh	2	Subject.GetValue(DiseasedCreatureChance_FixedDieRollAV [AVIF:004960CA], 00 00 00 00) = SURV_DiseasedCreatureChance_High [GLOB:003E7F71]	Subject.IsTrueForConditionForm(DiseasedCreatureChance_Check_HasChanceHighKeyword [CNDF:004960D0], 00 00 00 00) = 1.000000																								1	004960CC:DiseasedCreatureChance_Check:"":CNDF																									SeventySix.esm
