FormID	EDID	CondCount	Cond1	Cond2	Cond3	Cond4	Cond5	Cond6	Cond7	Cond8	Cond9	Cond10	Cond11	Cond12	Cond13	Cond14	Cond15	Cond16	Cond17	Cond18	Cond19	Cond20	Cond21	Cond22	Cond23	Cond24	Cond25	Cond26	Cond27	Cond28	Cond29	Cond30	Cond31	Cond32	Cond33	Cond34	Cond35	Cond36	Cond37	Cond38	Cond39	Cond40	Cond41	Cond42	Cond43	Cond44	Cond45	Cond46	Cond47	Cond48	Cond49	Cond50	Cond51	Cond52	Cond53	Cond54	Cond55	Cond56	Cond57	Cond58	Cond59	Cond60	Cond61	Cond62	Cond63	Cond64	Cond65	Cond66	Cond67	Cond68	Cond69	Cond70	Cond71	Cond72	Cond73	Cond74	Cond75	Cond76	ReferencedByCount	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6	Ref7	Ref8	Ref9	Ref10	Ref11	Ref12	Ref13	Ref14	Ref15	Ref16	Ref17	Ref18	Ref19	Ref20	Ref21	Ref22	Ref23	Ref24	Ref25	Ref26	Ref27	Ref28	Ref29	Ref30	Ref31	Ref32	Ref33	Ref34	Ref35	Ref36	Ref37	Ref38	Ref39	Ref40	Ref41	Ref42	Ref43	Ref44	Ref45	Ref46	Ref47	Ref48	Ref49	Ref50	Ref51	Ref52	Ref53	Ref54	Ref55	Ref56	Ref57	Ref58	Ref59	Ref60	Ref61	Ref62	Ref63	Ref64	Ref65	Ref66	Ref67	Ref68	Ref69	Ref70	Ref71	Ref72	Ref73	Ref74	Ref75	Ref76	Ref77	Ref78	Ref79	Ref80	Ref81	Ref82	Ref83	Ref84	Ref85	Ref86	Ref87	Ref88	Ref89	Ref90	Ref91	Ref92	Ref93	Ref94	Ref95	Ref96	Ref97	Ref98	Ref99	Ref100	Ref101	Ref102	Ref103	Ref104	Ref105	Ref106	Ref107	Ref108	Ref109	Ref110	Ref111	Ref112	Ref113	Ref114	Ref115	Ref116	Ref117	Ref118	Ref119	Ref120	Ref121	Ref122	Ref123	Ref124	Ref125	Ref126	Ref127	Ref128	Ref129	Ref130	Ref131	Ref132	Ref133	Ref134	Ref135	Ref136	Ref137	Ref138	Ref139	Ref140	Ref141	Ref142	Ref143	Ref144	Ref145	Ref146	Ref147	Ref148	Ref149	Ref150	Ref151	Ref152	Ref153	Ref154	Ref155	Ref156	Ref157	Ref158	Ref159	Ref160	Ref161	Ref162	Ref163	Ref164	Ref165	Ref166	Ref167	Ref168	Ref169	Ref170	Ref171	Ref172	Ref173	Ref174	Ref175	Ref176	Ref177	Ref178	Ref179	Ref180	Ref181	Ref182	Ref183	Ref184	Ref185	Ref186	Ref187	Ref188	Ref189	Ref190	Ref191	Ref192	Ref193	Ref194	Ref195	Ref196	Ref197	Ref198	Ref199	Ref200	Ref201	Ref202	Ref203	Ref204	Ref205	Ref206	Ref207	Ref208	Ref209	Ref210	Ref211	Ref212	Ref213	Ref214	Ref215	Ref216	Ref217	Ref218	Ref219	Ref220	Ref221	Ref222	Ref223	Ref224	Ref225	Ref226	Ref227	Ref228	Ref229	Ref230	Ref231	Ref232	Ref233	Ref234	Ref235	Ref236	Ref237	Ref238	Ref239	Ref240	Ref241	Ref242	Ref243	Ref244	Ref245	Ref246	Ref247	Ref248	Ref249	Ref250	Ref251	Ref252	Ref253	Ref254	Ref255	Ref256	Ref257	Ref258	Ref259	Ref260	Ref261	Ref262	Ref263
003B7FE8	Check_HasEntitlement_Photomode_Frame_Tricen	1	10000000|1.000000|HasEntitlement|00 00 00|14 00|ATX_Upgrade2018_Tricen_ENTM_Photomode_Frame_Tricen "Commemorative Tricentennial Frame" [ENTM:0030862C]|00 00 00 00|0|-1|Subject|																																																																												0																																																																																																																																																																																																																																																																							
003A123B	Check_Has_BareHands	3	10000000|1.000000|IsWeaponMagicOut|00 00 00|14 00|00 00 00 00|00 00 00 00|0|-1|Subject|	10000000|0.000000|GetWeaponAnimType|00 00 00|14 00|00 00 00 00|00 00 00 00|0|-1|Subject|	10000000|0.000000|WornHasKeyword|00 00 00|14 00|AnimsUnarmed [KYWD:0002405E]|00 00 00 00|0|-1|Subject|																																																																										47	002BA271:Photomode_Heroic:IDLE	002BA272:Photomode_Presenter:IDLE	003BD725:Photomode_PointToTheSky:IDLE	003BD728:Photomode_TheDancer:IDLE	003BD729:Photomode_TwoThumbsUp:IDLE	003C62A8:Photomode_Sharpshooter:IDLE	003C62A9:Photomode_Gunslinger:IDLE	003C62AA:Photomode_Chic:IDLE	003C94BD:Photomode_PointToTheSky_CullWeapon:IDLE	003C94BE:Photomode_Ready_AllWeapons:IDLE	003C94C0:Photomode_Showcase_CullWeapon:IDLE	003C94C2:Photomode_Champ_CullWeapon:IDLE	003C94C3:Photomode_Heroic_CullWeapon:IDLE	003C94C4:Photomode_Presenter_CullWeapon:IDLE	003C94C5:Photomode_Ready_H2H:IDLE	003CF38F:Photomode_TheDancer_CullWeapon:IDLE	003D0F6F:Photomode_Greaser:IDLE	003D0F70:Photomode_Greaser_CullWeapon:IDLE	003D7493:Photomode_Showcase:IDLE	003D7A34:Photomode_Sharpshooter_CullWeapon:IDLE	003D7A35:Photomode_Gunslinger_CullWeapon:IDLE	003D7A36:Photomode_Walking:IDLE	003D7A37:Photomode_Chic_CullWeapon:IDLE	004510B4:Photomode_Flashlight:IDLE	00492189:Photomode_Confetti:IDLE	0049218A:Photomode_Confetti_CullWeapon:IDLE	00497011:Photomode_Flashlight_CullWeapon:IDLE	00497012:Photomode_NuclearGlare_CullWeapon:IDLE	004F8CC8:Photomode_PA:IDLE	005019A0:Photomode_TwoThumbsUp_CullWeapon:IDLE	005019A1:Photomode_Victory_CullWeapon:IDLE	005019A3:Photomode_Wave_CulledWeapon:IDLE	005019A4:Photomode_Walking_CullWeapon:IDLE	00511B75:Photomode_NuclearGlare:IDLE	00511B76:Photomode_Victory:IDLE	00511B79:Photomode_Champ:IDLE	00511B7A:Photomode_Wave:IDLE	00606D51:Photomode_Battlecry_CullWeapon:IDLE	00606D53:Photomode_Battlecry:IDLE	0061E22A:Photomode_Quickdraw_CullWeapons:IDLE	0061E22C:Photomode_Quickdraw:IDLE	006A910E:Photomode_MilitaryHuddle:IDLE	006B256D:Photomode_MilitaryHuddle_02:IDLE	006B256E:Photomode_MilitaryHuddle_03:IDLE	006B2DAF:Photomode_MilitaryHuddle_03_CullWeapon:IDLE	006B2DB0:Photomode_MilitaryHuddle_02_CullWeapon:IDLE	006B2DB1:Photomode_MilitaryHuddle_CullWeapon:IDLE																																																																																																																																																																																																																								
0050199F	Check_Is_LargeWeapon	2	10010000|1.000000|WornHasKeyword|00 00 00|14 00|PhotomodeGripShoulder [KYWD:003C94C1]|00 00 00 00|0|-1|Subject|	10010000|1.000000|WornHasKeyword|00 00 00|14 00|PhotomodeGripHeavy [KYWD:003C94BF]|00 00 00 00|0|-1|Subject|																																																																											45	002BA271:Photomode_Heroic:IDLE	002BA272:Photomode_Presenter:IDLE	003BD725:Photomode_PointToTheSky:IDLE	003BD728:Photomode_TheDancer:IDLE	003BD729:Photomode_TwoThumbsUp:IDLE	003C62A8:Photomode_Sharpshooter:IDLE	003C62A9:Photomode_Gunslinger:IDLE	003C62AA:Photomode_Chic:IDLE	003C94BD:Photomode_PointToTheSky_CullWeapon:IDLE	003C94C0:Photomode_Showcase_CullWeapon:IDLE	003C94C2:Photomode_Champ_CullWeapon:IDLE	003C94C3:Photomode_Heroic_CullWeapon:IDLE	003C94C4:Photomode_Presenter_CullWeapon:IDLE	003CF38F:Photomode_TheDancer_CullWeapon:IDLE	003D0F6F:Photomode_Greaser:IDLE	003D0F70:Photomode_Greaser_CullWeapon:IDLE	003D7493:Photomode_Showcase:IDLE	003D7A34:Photomode_Sharpshooter_CullWeapon:IDLE	003D7A35:Photomode_Gunslinger_CullWeapon:IDLE	003D7A36:Photomode_Walking:IDLE	003D7A37:Photomode_Chic_CullWeapon:IDLE	004510B4:Photomode_Flashlight:IDLE	00492189:Photomode_Confetti:IDLE	0049218A:Photomode_Confetti_CullWeapon:IDLE	00497011:Photomode_Flashlight_CullWeapon:IDLE	00497012:Photomode_NuclearGlare_CullWeapon:IDLE	004F8CC8:Photomode_PA:IDLE	005019A0:Photomode_TwoThumbsUp_CullWeapon:IDLE	005019A1:Photomode_Victory_CullWeapon:IDLE	005019A3:Photomode_Wave_CulledWeapon:IDLE	005019A4:Photomode_Walking_CullWeapon:IDLE	00511B75:Photomode_NuclearGlare:IDLE	00511B76:Photomode_Victory:IDLE	00511B79:Photomode_Champ:IDLE	00511B7A:Photomode_Wave:IDLE	00606D51:Photomode_Battlecry_CullWeapon:IDLE	00606D53:Photomode_Battlecry:IDLE	0061E22A:Photomode_Quickdraw_CullWeapons:IDLE	0061E22C:Photomode_Quickdraw:IDLE	006A910E:Photomode_MilitaryHuddle:IDLE	006B256D:Photomode_MilitaryHuddle_02:IDLE	006B256E:Photomode_MilitaryHuddle_03:IDLE	006B2DAF:Photomode_MilitaryHuddle_03_CullWeapon:IDLE	006B2DB0:Photomode_MilitaryHuddle_02_CullWeapon:IDLE	006B2DB1:Photomode_MilitaryHuddle_CullWeapon:IDLE																																																																																																																																																																																																																										
0050E409	Check_Is_HackerAvg	1	11000000|50.000000|GetLevel|00 00 00|14 00|00 00 00 00|00 00 00 00|0|-1|Subject|																																																																												0																																																																																																																																																																																																																																																																							
0050E408	Check_Is_Level10plus	1	11000000|10.000000|GetLevel|00 00 00|14 00|00 00 00 00|00 00 00 00|0|-1|Subject|																																																																												0																																																																																																																																																																																																																																																																							
0050E407	Check_Is_Level50plus	1	11000000|50.000000|GetLevel|00 00 00|14 00|00 00 00 00|00 00 00 00|0|-1|Subject|																																																																												0																																																																																																																																																																																																																																																																							
0050E406	Check_Is_Level40plus	1	11000000|40.000000|GetLevel|00 00 00|14 00|00 00 00 00|00 00 00 00|0|-1|Subject|																																																																												0																																																																																																																																																																																																																																																																							
0050E405	Check_Is_Level30plus	1	11000000|30.000000|GetLevel|00 00 00|14 00|00 00 00 00|00 00 00 00|0|-1|Subject|																																																																												0																																																																																																																																																																																																																																																																							
0050E404	Check_Is_Level20plus	1	11000000|20.000000|GetLevel|00 00 00|14 00|00 00 00 00|00 00 00 00|0|-1|Subject|																																																																												0																																																																																																																																																																																																																																																																							
004960D2	DiseasedCreatureChance_Check_DieRollForChanceHigh	2	10100100|SURV_DiseasedCreatureChance_High [GLOB:003E7F71]|GetValue|00 00 00|14 00|DiseasedCreatureChance_FixedDieRollAV [AVIF:004960CA]|00 00 00 00|0|-1|Subject|	10000000|1.000000|IsTrueForConditionForm|00 00 00|14 00|DiseasedCreatureChance_Check_HasChanceHighKeyword [CNDF:004960D0]|00 00 00 00|0|-1|Subject|																																																																											1	004960CC:DiseasedCreatureChance_Check:CNDF																																																																																																																																																																																																																																																																						
