FormID	EDID	X	Y	JsonPath
002E8F1A	ConditionDamageScaleFactor_Weapons_Ballistic	1	0.015	itemcondition\conditiondamagescalefactor_weapons_ballistic.json
002E8F1A	ConditionDamageScaleFactor_Weapons_Ballistic	10	0.013	itemcondition\conditiondamagescalefactor_weapons_ballistic.json
002E8F1A	ConditionDamageScaleFactor_Weapons_Ballistic	15	0.012	itemcondition\conditiondamagescalefactor_weapons_ballistic.json
002E8F1A	ConditionDamageScaleFactor_Weapons_Ballistic	25	0.011	itemcondition\conditiondamagescalefactor_weapons_ballistic.json
002E8F1A	ConditionDamageScaleFactor_Weapons_Ballistic	30	0.01	itemcondition\conditiondamagescalefactor_weapons_ballistic.json
002E8F1A	ConditionDamageScaleFactor_Weapons_Ballistic	35	0.009	itemcondition\conditiondamagescalefactor_weapons_ballistic.json
002E8F1A	ConditionDamageScaleFactor_Weapons_Ballistic	45	0.008	itemcondition\conditiondamagescalefactor_weapons_ballistic.json
002E8F1A	ConditionDamageScaleFactor_Weapons_Ballistic	50	0.007	itemcondition\conditiondamagescalefactor_weapons_ballistic.json
002E8F1B	ConditionDamageScaleFactor_Weapons_Melee	5	0.039	itemcondition\conditiondamagescalefactor_weapons_melee.json
002E8F1B	ConditionDamageScaleFactor_Weapons_Melee	7	0.039	itemcondition\conditiondamagescalefactor_weapons_melee.json
002E8F1B	ConditionDamageScaleFactor_Weapons_Melee	15	0.039	itemcondition\conditiondamagescalefactor_weapons_melee.json
002E8F1B	ConditionDamageScaleFactor_Weapons_Melee	20	0.039	itemcondition\conditiondamagescalefactor_weapons_melee.json
002E8F1B	ConditionDamageScaleFactor_Weapons_Melee	25	0.039	itemcondition\conditiondamagescalefactor_weapons_melee.json
002E8F1B	ConditionDamageScaleFactor_Weapons_Melee	35	0.039	itemcondition\conditiondamagescalefactor_weapons_melee.json
002E8F1B	ConditionDamageScaleFactor_Weapons_Melee	45	0.039	itemcondition\conditiondamagescalefactor_weapons_melee.json
0005B3E4	ScrapBonusINT	1	0.75	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	2	0.9	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	3	1	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	4	1.05	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	5	1.1	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	6	1.125	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	7	1.15	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	8	1.175	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	9	1.19	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	10	1.2	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	11	1.21	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	12	1.22	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	13	1.23	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	14	1.24	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	15	1.25	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	20	1.3	crafting\scrapbonusint.json
0005B3E4	ScrapBonusINT	25	1.325	crafting\scrapbonusint.json
00149553	CT_Armor_Sturdy_Combat_Arm_ER	1	2.4	armor\armor_sturdy_combat_arm_er.json
00149553	CT_Armor_Sturdy_Combat_Arm_ER	5	3.36	armor\armor_sturdy_combat_arm_er.json
00149553	CT_Armor_Sturdy_Combat_Arm_ER	10	4.32	armor\armor_sturdy_combat_arm_er.json
00149553	CT_Armor_Sturdy_Combat_Arm_ER	15	5.28	armor\armor_sturdy_combat_arm_er.json
00149553	CT_Armor_Sturdy_Combat_Arm_ER	20	6.24	armor\armor_sturdy_combat_arm_er.json
00149553	CT_Armor_Sturdy_Combat_Arm_ER	25	7.2	armor\armor_sturdy_combat_arm_er.json
00149553	CT_Armor_Sturdy_Combat_Arm_ER	30	8.16	armor\armor_sturdy_combat_arm_er.json
00149553	CT_Armor_Sturdy_Combat_Arm_ER	35	9.12	armor\armor_sturdy_combat_arm_er.json
00149553	CT_Armor_Sturdy_Combat_Arm_ER	40	10.08	armor\armor_sturdy_combat_arm_er.json
00149553	CT_Armor_Sturdy_Combat_Arm_ER	45	11.04	armor\armor_sturdy_combat_arm_er.json
00149553	CT_Armor_Sturdy_Combat_Arm_ER	50	12	armor\armor_sturdy_combat_arm_er.json
0014947E	CT_Armor_Sturdy_Combat_Leg_ER	1	2.4	armor\armor_sturdy_combat_leg_er.json
0014947E	CT_Armor_Sturdy_Combat_Leg_ER	5	3.36	armor\armor_sturdy_combat_leg_er.json
0014947E	CT_Armor_Sturdy_Combat_Leg_ER	10	4.32	armor\armor_sturdy_combat_leg_er.json
0014947E	CT_Armor_Sturdy_Combat_Leg_ER	15	5.28	armor\armor_sturdy_combat_leg_er.json
0014947E	CT_Armor_Sturdy_Combat_Leg_ER	20	6.24	armor\armor_sturdy_combat_leg_er.json
0014947E	CT_Armor_Sturdy_Combat_Leg_ER	25	7.2	armor\armor_sturdy_combat_leg_er.json
0014947E	CT_Armor_Sturdy_Combat_Leg_ER	30	8.16	armor\armor_sturdy_combat_leg_er.json
0014947E	CT_Armor_Sturdy_Combat_Leg_ER	35	9.12	armor\armor_sturdy_combat_leg_er.json
0014947E	CT_Armor_Sturdy_Combat_Leg_ER	40	10.08	armor\armor_sturdy_combat_leg_er.json
