"FormID","EDID","X","Y","JsonPath"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","1","0.015","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","10","0.013","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","15","0.012","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","25","0.011","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","30","0.01","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","35","0.009","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","45","0.008","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","50","0.007","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","1","0.015","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","10","0.013","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","15","0.012","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","25","0.011","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","30","0.01","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","35","0.009","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","45","0.008","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","50","0.007","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","1","0.015","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","10","0.013","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","15","0.012","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","25","0.011","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","30","0.01","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","35","0.009","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","45","0.008","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","50","0.007","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","1","0.015","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","10","0.013","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","15","0.012","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","25","0.011","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","30","0.01","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","35","0.009","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","45","0.008","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","50","0.007","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","1","0.015","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","10","0.013","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","15","0.012","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","25","0.011","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","30","0.01","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","35","0.009","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","45","0.008","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","50","0.007","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","1","0.015","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
"002E8F1A","ConditionDamageScaleFactor_Weapons_Ballistic","10","0.013","C:\Users\Duche\OneDrive\GitHub\fo76-tools\misc\curvetables\json\itemcondition\conditiondamagescalefactor_weapons_ballistic.json"
