FormID	EDID	FULL	RENT	SNAM	CNAM	DNAM
00575037	Emote_PlayerFear	Fear		WCFear1		
0056F969	ATX_F1_Emote_ProtectronShuffle1	Protectron Shuffle	ATX_F1_ENTM_Emotes_Misc_ProtectronShuffle	ProtectronShuffle1	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_ProtectronShuffle1Anim [IDLE:0056F968]
0056F966	ATX_F1_Emote_FunkyMothman1	Funky Mothman	ATX_F1_ENTM_Emotes_Misc_FunkyMothman	FunkyMothman1	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_FunkyMothman1Anim [IDLE:0056F965]
0055DEEF	ATX_Emote_Salute_Communist1	Communist Salute	ATX_ENTM_Emotes_Hello_Salute_Communist	CommunistSalute1	EmoteCategory_Hello "Hello" [ECAT:00005741]	Emote_Salute_Communist1Anim [IDLE:0055DEEE]
00559718	ATX_Emote_Salute_Raider1	SaluteRaider	ATX_ENTM_Emotes_Hello_Salute_Raider	RaiderSalute1	EmoteCategory_Hello "Hello" [ECAT:00005741]	Emote_Salute_Raider1Anim [IDLE:00559717]
0041A6FD	ATX_Emote_Vault94	Vault 94!	Vaults_ENTM_Emotes_Misc_Vault94	Vault94	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_Vault94Anim [IDLE:0041A700]
0041A6FE	ATX_Emote_Vault96	Vault 96!	Vaults_ENTM_Emotes_Misc_Vault96	Vault96	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_Vault96Anim [IDLE:0041A701]
005431AE	PETS_Emote_Trick2	Pet Trick: Speak!		ThumbsUp1		Emote_ThumbUp1Anim [IDLE:003AC5F0]
005431AF	PETS_Emote_Trick3	Pet Trick: Roll Over!		ThumbsUp1		Emote_ThumbUp1Anim [IDLE:003AC5F0]
005431AD	PETS_Emote_Trick1	Pet Trick: Sit!		ThumbsUp1		Emote_ThumbUp1Anim [IDLE:003AC5F0]
005431B0	PETS_Emote_Trick4	Pet Trick: Play Dead!		ThumbsUp1		Emote_ThumbUp1Anim [IDLE:003AC5F0]
005496FF	ATX_Emote_Salute_Freestate1	Free States Salute	ATX_ENTM_Emotes_Hello_Salute_FreeStates	FreeStatesSalute1	EmoteCategory_Hello "Hello" [ECAT:00005741]	Emote_Salute_Freestate1Anim [IDLE:005496FE]
00543DE4	ATX_Emote_E3_GoldPanning1	Gold Panning!	ATX_ENTM_Emotes_Help_GoldPanning	GoldPanning1		Emote_E3_GoldPanning1Anim [IDLE:00543DE3]
004102C6	ATX_Emote_Gift1	Give Gift!	ATX_ENTM_Emotes_Interactions_Gift	GivingGift1	EmoteCategory_Interactions "Trade" [ECAT:0000682A]	Emote_Gift1Anim [IDLE:004102C4]
0046483C	ATX_Emote_Holiday2018Help	Trapped!	ATX_ENTM_Emotes_Help_Holiday2018	Holiday2018Help	EmoteCategory_Help "Help" [ECAT:00006862]	Emote_Holiday_Startled1Anim [IDLE:003ECDBD]
0046483B	ATX_Emote_Holiday2018Hello	Happy Holidays!	ATX_ENTM_Emotes_Hello_Holiday2018	Holiday2018Hello	EmoteCategory_Hello "Hello" [ECAT:00005741]	Emote_Holiday_Wave1Anim [IDLE:003ECDBC]
0046483A	ATX_Emote_Holiday2018Follow	This Way to Joy!	ATX_ENTM_Emotes_Follow_Holiday2018	Holiday2018Follow	EmoteCategory_Help "Help" [ECAT:00006862]	Emote_Holiday_Follow1Anim [IDLE:003ECDBB]
