ENCH_FormID	ENCH_EDID	ENCH_FULL	ENIT_Flags	ENIT_CastType	ENIT_TargetType	ENIT_EnchantType	ENIT_ChargeTime	ENIT_EnchantCost	ENIT_EnchantAmount	Effects_Flat	Effect_1	Effect_2	Effect_3	Effect_4	Effect_5	Effect_6	Effect_7	Effect_8	Effect_9	Effect_10	Effect_11	Effect_12	Effect_13	Effect_14	Effect_15	Effect_16	Effect_17	Effect_18	Effect_19	Effect_20	Globals_Flat	Glob_1	Glob_2	Glob_3	Glob_4	Glob_5	Glob_6	Glob_7	Glob_8	Glob_9	Glob_10	ReferencedBy_Flat	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30	Ref_31	Ref_32	Ref_33	Ref_34	Ref_35	Ref_36	Ref_37	Ref_38	Ref_39	Ref_40
00032567	"crEnchBloodbugBloodSpit"	""	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=crBloodbugBloodSpitEffectVFX[00032568];FULL=Bloodbug Blood Spit 1: VFX;EffID=;Mag=1.750000;Dur=6;Area=0;MAGG=[];CVTO=[] | Effect2:MGEF=crBloodbugBloodSpitEffect02[00032569];FULL=Bloodbug Blood Spit 2: AV Effect;EffID=;Mag=5.000000;Dur=6;Area=0;MAGG=[];CVTO=[] | Effect3:MGEF=crBloodbugBloodSpitEffect03[0003256A];FULL=Bloodbug Blood Spit 3: Rads Effect;EffID=;Mag=3.000000;Dur=4;Area=0;MAGG=[];CVTO=[] | Effect4:MGEF=crBloodbugBloodSpitEffect04[000328F9];FULL=Bloodbug Blood Spit 4: Stagger;EffID=;Mag=1.750000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=crBloodbugBloodSpitEffectVFX[00032568];FULL=Bloodbug Blood Spit 1: VFX;EffID=;Mag=1.750000;Dur=6;Area=0;MAGG=[];CVTO=[]"	"MGEF=crBloodbugBloodSpitEffect02[00032569];FULL=Bloodbug Blood Spit 2: AV Effect;EffID=;Mag=5.000000;Dur=6;Area=0;MAGG=[];CVTO=[]"	"MGEF=crBloodbugBloodSpitEffect03[0003256A];FULL=Bloodbug Blood Spit 3: Rads Effect;EffID=;Mag=3.000000;Dur=4;Area=0;MAGG=[];CVTO=[]"	"MGEF=crBloodbugBloodSpitEffect04[000328F9];FULL=Bloodbug Blood Spit 4: Stagger;EffID=;Mag=1.750000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EXPL:crExplosionBloodbugSpitRed[00031FB9] | EXPL:crExplosionTickSpit[004F4126] | EXPL:crExplosionRadtoadSpit[005261E4]"	"EXPL:crExplosionBloodbugSpitRed[00031FB9]"	"EXPL:crExplosionTickSpit[004F4126]"	"EXPL:crExplosionRadtoadSpit[005261E4]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00031ED3	"crEnchDeathclawIntimidate"	""	"1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=21.000000;Dur=5;Area=0;MAGG=[];CVTO=[] | Effect2:MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=29.000000;Dur=5;Area=0;MAGG=[];CVTO=[] | Effect3:MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=39.000000;Dur=5;Area=0;MAGG=[];CVTO=[] | Effect4:MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=49.000000;Dur=5;Area=0;MAGG=[];CVTO=[] | Effect5:MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=59.000000;Dur=5;Area=0;MAGG=[];CVTO=[] | Effect6:MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=69.000000;Dur=5;Area=0;MAGG=[];CVTO=[] | Effect7:MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=79.000000;Dur=5;Area=0;MAGG=[];CVTO=[] | Effect8:MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=89.000000;Dur=5;Area=0;MAGG=[];CVTO=[] | Effect9:MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=99.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=21.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=29.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=39.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=49.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=59.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=69.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=79.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=89.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=crDeathclawIntimidateMagEffect[00031ED2];FULL=Intimidation;EffID=0;Mag=99.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EXPL:crExplosionDeathclawIntimidate[00031ECC] | EXPL:crExplosionDeathclawAoEAttack[00043365] | EXPL:crExplosionRepeller[006C42AD]"	"EXPL:crExplosionDeathclawIntimidate[00031ECC]"	"EXPL:crExplosionDeathclawAoEAttack[00043365]"	"EXPL:crExplosionRepeller[006C42AD]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0002C946	"crEnchBloodbugIchorSplatterFX"	""	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=crBloodbugIchorSplatterFX[0002C948];FULL=Bloodbug Blood Splatter;EffID=;Mag=7.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=crBloodbugIchorSplatterFX[0002C948];FULL=Bloodbug Blood Splatter;EffID=;Mag=7.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EXPL:crExplosionBloodbugDeathGreen[00028A2F]"	"EXPL:crExplosionBloodbugDeathGreen[00028A2F]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0002C945	"crEnchBloodbugBloodSplatterFX"	""	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=crBloodbugBloodSplatterFX[0002C947];FULL=Bloodbug Blood Splatter;EffID=;Mag=5.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=crBloodbugBloodSplatterFX[0002C947];FULL=Bloodbug Blood Splatter;EffID=;Mag=5.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EXPL:crExplosionBloodbugDeathRed[00028A2E] | EXPL:crExplosionBloatflyLarvaPoison[000644DD] | EXPL:ExplosionArrowPoison[005894AA] | EXPL:E09A_Launcher_BloatflySpawnExpl[0063D322] | EXPL:Storm_SE09_ChickenExplosion[00783A4A]"	"EXPL:crExplosionBloodbugDeathRed[00028A2E]"	"EXPL:crExplosionBloatflyLarvaPoison[000644DD]"	"EXPL:ExplosionArrowPoison[005894AA]"	"EXPL:E09A_Launcher_BloatflySpawnExpl[0063D322]"	"EXPL:Storm_SE09_ChickenExplosion[00783A4A]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0003E579	"EnchPowerArmor_Abilities"	"Power Armor"	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=PowerArmorPerkEffect[000390C1];FULL=Power Armor;EffID=0;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[] | Effect2:MGEF=AbNoExplosionKnockdown[0020A24D];FULL=Immue to Explosion Knockdown;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[] | Effect3:MGEF=PowerArmorStrengthEffect[0001F8BE];FULL=Power Armor Strength;EffID=0;Mag=10.000000;Dur=0;Area=0;MAGG=[];CVTO=[] | Effect4:MGEF=AbReduceActionPoints[002049DF];FULL=Reduce Action Points;EffID=0;Mag=1000.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=PowerArmorPerkEffect[000390C1];FULL=Power Armor;EffID=0;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=AbNoExplosionKnockdown[0020A24D];FULL=Immue to Explosion Knockdown;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=PowerArmorStrengthEffect[0001F8BE];FULL=Power Armor Strength;EffID=0;Mag=10.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=AbReduceActionPoints[002049DF];FULL=Reduce Action Points;EffID=0;Mag=1000.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ARMO:SkinPowerArmor[0001D320] | ARMO:Powered Armor Frame[0003E577]"	"ARMO:SkinPowerArmor[0001D320]"	"ARMO:Powered Armor Frame[0003E577]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0003F488	"dtFireEnchFlameChanceAlways"	"Fire Damage"	"1 | 1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=dtFireFlameEffectChanceAlways[00084A4F];FULL=Damage Type Fire;EffID=0;Mag=5.000000;Dur=3;Area=0;MAGG=[];CVTO=[]"	"MGEF=dtFireFlameEffectChanceAlways[00084A4F];FULL=Damage Type Fire;EffID=0;Mag=5.000000;Dur=3;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"WEAP:OxygenTankTrap[000D76F1] | WEAP:Turret Machine Gun Incendiary[00113AAC] | WEAP:Turret Machine Gun Incendiary[001B5EDA] | OMOD:Incendiary[004E89AF]"	"WEAP:OxygenTankTrap[000D76F1]"	"WEAP:Turret Machine Gun Incendiary[00113AAC]"	"WEAP:Turret Machine Gun Incendiary[001B5EDA]"	"OMOD:Incendiary[004E89AF]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
000368FF	"destEnchWater"	""	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=destWetEffect[00036904];FULL=Soaked;EffID=;Mag=5.000000;Dur=10;Area=0;MAGG=[];CVTO=[]"	"MGEF=destWetEffect[00036904];FULL=Soaked;EffID=;Mag=5.000000;Dur=10;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0005823C	"EnchPowerArmor_BatteryRegenUp"	"Improved Energy Regen"	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=AbFortifyActionPointRateHidden[0004D899];FULL=Fortify Action Point Regen;EffID=0;Mag=1.500000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=AbFortifyActionPointRateHidden[0004D899];FULL=Fortify Action Point Regen;EffID=0;Mag=1.500000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0005C22F	"EnchPowerArmor_RadiationResistance"	"Improved Rad Resistance"	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=AbPerkFortifyResistRadiationExpose[0004C47D];FULL=Fortify Radiation Resist;EffID=0;Mag=100.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=AbPerkFortifyResistRadiationExpose[0004C47D];FULL=Fortify Radiation Resist;EffID=0;Mag=100.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0006F12C	"zzz_dtCryoEnchColdChanceLow"	"Cryo Damage"	"1 | 1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=zzz_dtCryoColdEffectChanceLow[0006F128];FULL=Damage Type Cryo;EffID=0;Mag=5.000000;Dur=10;Area=0;MAGG=[];CVTO=[] | Effect2:MGEF=zzz_CryoSlow[00072DF5];FULL=Cryo Slow;EffID=0;Mag=50.000000;Dur=10;Area=0;MAGG=[];CVTO=[]"	"MGEF=zzz_dtCryoColdEffectChanceLow[0006F128];FULL=Damage Type Cryo;EffID=0;Mag=5.000000;Dur=10;Area=0;MAGG=[];CVTO=[]"	"MGEF=zzz_CryoSlow[00072DF5];FULL=Cryo Slow;EffID=0;Mag=50.000000;Dur=10;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
