FormID	EDID	FULL	DESC	NNAM	XALG	KEYWORDS	SWFI	BEVA	ETIP	ETUI	ETDI	ETLG	ECIL_Count	ECIL_1	ECIL_2	ECIL_3	ECIL_4	ECIL_5	ECIL_6	ECIL_7	ECIL_8	ECIL_9	ECIL_10	ECIL_11	ECIL_12	ECIL_13	ECIL_14
00588223	ATX_ENTM_CAMP_FloorDecor_JackoLantern_Evil	Evil Jack O' Lantern	Strike fear into the hearts of your neighbors with this Evil Jack O' Lantern!    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Evil Jack O' Lantern					Textures/ATX/Storefront/Camp/FloorDecoration/		ATX_CAMP_FloorDecor_JackoLantern_Evil.dds		2	ATX_CAMP_FloorDecor_JackoLantern_Evil_C1.dds	ATX_CAMP_FloorDecor_JackoLantern_Evil_C2.dds												
00588221	ATX_ENTM_CAMP_FloorDecor_JackoLantern_Smiley	Smiley Jack O' Lantern	Illuminate your excitement for Halloween with this Smiley Jack O' Lantern!    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Smiley Jack O' Lantern					Textures/ATX/Storefront/Camp/FloorDecoration/		ATX_CAMP_FloorDecor_JackoLantern_Smiley.dds		2	ATX_CAMP_FloorDecor_JackoLantern_Smiley_C1.dds	ATX_CAMP_FloorDecor_JackoLantern_Smiley_C2.dds												
00588222	ATX_ENTM_CAMP_FloorDecor_JackoLantern_Astonished	Astonished Jack O' Lantern	Astonish your guests on Halloween with this Astonished Jack O' Lantern!    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Astonished Jack O' Lantern					Textures/ATX/Storefront/Camp/FloorDecoration/		ATX_CAMP_FloorDecor_JackoLantern_Astonished.dds		2	ATX_CAMP_FloorDecor_JackoLantern_Astonished_C1.dds	ATX_CAMP_FloorDecor_JackoLantern_Astonished_C2.dds												
0058821F	ATX_ENTM_Apparel_Headwear_MothmanGlasses	Mothman Glasses	Glasses in the style of your favorite cryptid.    - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Mothman Glasses					Textures/ATX/Storefront/Player/Headwear/		ATX_Apparel_Headwear_MothmanGlasses.dds		2	ATX_Apparel_Headwear_MothmanGlasses_C1.dds	ATX_Apparel_Headwear_MothmanGlasses_C2.dds												
00588220	ATX_ENTM_Apparel_Headwear_3DGlasses	3D Glasses	Observe the third dimension with these 3D Glasses!    - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	3D Glasses					Textures/ATX/Storefront/Player/Headwear/		ATX_Apparel_Headwear_3DGlasses.dds		2	ATX_Apparel_Headwear_3DGlasses_C1.dds	ATX_Apparel_Headwear_3DGlasses_C2.dds												
0058821E	ATX_ENTM_Apparel_Headwear_EyeBoggleGlasses	Eye Boggle Glasses	Boggle the senses with these Eye Boggle Glasses.    - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Eye Boggle Glasses					Textures/ATX/Storefront/Player/Headwear/		ATX_Apparel_Headwear_EyeBoggleGlasses.dds		2	ATX_Apparel_Headwear_EyeBoggleGlasses_C1.dds	ATX_Apparel_Headwear_EyeBoggleGlasses_C2.dds												
00586AB0	SCORE_S1_ENTM_Utility_AmmoConverter	AmmoPoints Ammo Converter	Turn other people's trash fire into your firepower!     A terminal where you can convert unwanted ammo types into points. Then use those points to buy the ammo you need for your adventures in the wasteland.    This item cannot be built inside of a Shelter.    - AVAILABLE FOR GOLD BULLION PER CHARACTER. C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Ammo Converter	000000001				Textures/ATX/Storefront/Camp/Utility/		SCORE_S1_CAMP_Utility_AmmoConverter.dds		2	SCORE_S1_CAMP_Utility_AmmoConverter_C1.dds	SCORE_S1_CAMP_Utility_AmmoConverter_C2.dds												
00586A75	ATX_ENTM_CAMP_Floor_RedForce	Red Force Floor and Foundations	Support the cause in your C.A.M.P. with this Red Force Floor and Foundations set.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Red Force Floor					Textures/ATX/Storefront/Camp/Floors/		ATX_CAMP_Floor_RedForce.dds		2	ATX_CAMP_Floor_RedForce_C1.dds	ATX_CAMP_Floor_RedForce_C2.dds												
00586A73	ATX_ENTM_CAMP_WallDeco_Squished_Witch	Squished Witch Halloween Decoration	Embrace the spirit of Halloween with the Squished Witch wall decoration!    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Squished Witch					Textures/ATX/Storefront/Camp/WallDecoration/		ATX_CAMP_WallDeco_Squished_Witch.dds		2	ATX_CAMP_WallDeco_Squished_Witch_C1.dds	ATX_CAMP_WallDeco_Squished_Witch_C2.dds												
00586A6F	ATX_ENTM_CAMP_Floor_RedShift	Red Shift Floor and Foundations	No secret base is complete without the proper look. This thick tile flooring will showcase the strength and stability of communism.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Red Shift Floor					Textures/ATX/Storefront/Camp/Floors/		ATX_CAMP_Floor_RedShift.dds		2	ATX_CAMP_Floor_RedShift_C1.dds	ATX_CAMP_Floor_RedShift_C2.dds												
00586A6C	ATX_ENTM_CAMP_WallPaper_RedUprising	Red Uprising Wallpaper	The Red Uprising Wallpaper is perfect for any revolution.    - WALLPAPER ITEMS APPEAR WHILE IN C.A.M.P. EDIT MODE. -   	Red Uprising Wallpaper					Textures/ATX/Storefront/Camp/Wallpaper/		ATX_CAMP_WallPaper_RedUprising.dds		2	ATX_CAMP_WallPaper_RedUprising_C1.dds	ATX_CAMP_WallPaper_RedUprising_C2.dds												
00586A6E	ATX_ENTM_CAMP_WallPaper_RedShift	Red Shift Wallpaper	Wrap your home in the colors of the People's Party. Remind yourself and your guests that the walls have eyes, too.    - WALLPAPER ITEMS APPEAR WHILE IN C.A.M.P. EDIT MODE. -   	Red Shift  Wallpaper					Textures/ATX/Storefront/Camp/Wallpaper/		ATX_CAMP_WallPaper_RedShift.dds		2	ATX_CAMP_WallPaper_RedShift_C1.dds	ATX_CAMP_WallPaper_RedShift_C2.dds												
00586A71	ATX_ENTM_CAMP_Floor_RedMenace	Red Menace Floor and Foundations	Support the cause in your C.A.M.P. with this Red Menace Floor and Foundations set.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Red Menace Floor					Textures/ATX/Storefront/Camp/Floors/		ATX_CAMP_Floor_RedMenace.dds		2	ATX_CAMP_Floor_RedMenace_C1.dds	ATX_CAMP_Floor_RedMenace_C2.dds												
00586A6D	ATX_ENTM_CAMP_WallPaper_RedMenace	Red Menace Wallpaper	Show your allegiance with the Red Menace Wallpaper!    - WALLPAPER ITEMS APPEAR WHILE IN C.A.M.P. EDIT MODE. -   	Red Menace Wallpaper					Textures/ATX/Storefront/Camp/Wallpaper/		ATX_CAMP_WallPaper_RedMenace.dds		2	ATX_CAMP_WallPaper_RedMenace_C1.dds	ATX_CAMP_WallPaper_RedMenace_C2.dds												
00586A72	ATX_ENTM_CAMP_Vendor_PlayerVendingMachine_Halloween	Halloween Vending Machine	Add something spooky to your C.A.M.P with this Halloween paint for your Vending Machine.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Halloween Vending Machine	000000001				Textures/ATX/Storefront/Camp/Vendors/		ATX_CAMP_Vendor_PlayerVendingMachine_Halloween.dds		2	ATX_CAMP_Vendor_PlayerVendingMachine_Halloween_C1.dds	ATX_CAMP_Vendor_PlayerVendingMachine_Halloween_C2.dds												
00586A70	ATX_ENTM_CAMP_Floor_RedUprising	Red Uprising Floor and Foundations	Support the cause in your C.A.M.P. with this Red Uprising Floor and Foundations set.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Red Uprising Floor					Textures/ATX/Storefront/Camp/Floors/		ATX_CAMP_Floor_RedUprising.dds		2	ATX_CAMP_Floor_RedUprising_C1.dds	ATX_CAMP_Floor_RedUprising_C2.dds												
