FLOR_FormID	FLOR_EDID	FLOR_FULL	Produce	ProduceCount
00088FAC	FloraTatoPlant01	Tato Plant	002AB0FD:LL_Flora_Tato:LVLI	1
00088FAD	FloraTatoPlant02	Tato Plant	002AB0FD:LL_Flora_Tato:LVLI	1
0009D107	FloraMutfruit01	Mutfruit Plant	002AB0F8:LL_Flora_Mutfruit:LVLI	1
000A2958	UseLPI_FloraWildMutfruit	Wild Mutfruit	002AB0F8:LL_Flora_Mutfruit:LVLI	1
000E004B	FloraRazorgrain01	Razorgrain	002AB0F9:LL_Flora_Razorgrain:LVLI	1
000E0063	FloraRazorgrain02	Razorgrain	002AB0F9:LL_Flora_Razorgrain:LVLI	1
000E7744	FloraCornStalk01	Corn	0000129C:LL_Flora_Corn:LVLI	1
000E7745	FloraCornStalk02	Corn	0000129C:LL_Flora_Corn:LVLI	1
000EF24A	FloraGourdVine01	Gourd	002AB0F5:LL_Flora_Gourd:LVLI	1
000F5D8F	FloraCarrotPlant	Carrot	002AB0ED:LL_Flora_Carrot:LVLI	1
000FAFE7	FloraMelonVine01	Melon	002AB0F6:LL_Flora_Melon:LVLI	1
000E34EA	UseLPI_FloraFern01	Mutated Fern	002AB0F1:LL_Flora_Fern:LVLI	1
000E34EB	UseLPI_FloraFern02	Mutated Fern	002AB0F1:LL_Flora_Fern:LVLI	1
00100C90	GreenHsPlanter01Corn	Corn planter	0000129C:LL_Flora_Corn:LVLI	1
00100C9A	GreenHsPlanterTato01	Tato planter	002AB0FD:LL_Flora_Tato:LVLI	1
00100CA1	GreenHsPlanterMelon01	Melon planter	002AB0F6:LL_Flora_Melon:LVLI	1
00100CA2	GreenHsPlanterGourd01	Gourd planter	002AB0F5:LL_Flora_Gourd:LVLI	1
00100CA3	GreenHsPlanter01Carrot	Carrot planter	002AB0ED:LL_Flora_Carrot:LVLI	1
00100CAB	GreenHsPlanter01Mutfruit	Mutfruit planter	002AB0F8:LL_Flora_Mutfruit:LVLI	1
001994AD	Planter01Carrot01	Carrot	002AB0ED:LL_Flora_Carrot:LVLI	1
001994AF	Planter01Corn02	Corn	0000129C:LL_Flora_Corn:LVLI	1
001994B0	Planter01Melon02	Melon	002AB0F6:LL_Flora_Melon:LVLI	1
00066544	UseLPI_FloraWildTarberryFloat01	Wild Tarberry	002AB0FC:LL_Flora_Tarberry:LVLI	1
00066548	UseLPI_FloraWildTarberryFloat02	Wild Tarberry	002AB0FC:LL_Flora_Tarberry:LVLI	1
001BCEAC	UseLPI_FloraSiltBean01	Silt Bean	002AB0FA:LL_Flora_Siltbean:LVLI	1
001BCEB0	UseLPI_FloraSiltBean02	Silt Bean	002AB0FA:LL_Flora_Siltbean:LVLI	1
001C0E66	UseLPI_FloraSootFlower02	Soot Flower	002AB0FB:LL_Flora_SootFlower:LVLI	1
001C0E69	UseLPI_FloraSootFlower01	Soot Flower	002AB0FB:LL_Flora_SootFlower:LVLI	1
001C0E6B	UseLPI_FloraBloodLeaf01	BloodLeaf	002AB0EC:LL_Flora_Bloodleaf:LVLI	1
001C0E6C	UseLPI_FloraBloodLeaf02	BloodLeaf	002AB0EC:LL_Flora_Bloodleaf:LVLI	1
001C0FC7	UseLPI_FloraFungusBrain03	Brain Fungus	002AB0F2:LL_Flora_FungusBrain:LVLI	1
001C0FC8	UseLPI_FloraFungusGlowing01	Glowing Fungus	002AB0F3:LL_Flora_FungusGlowing:LVLI	1
001C0FC9	UseLPI_FloraFungusGlowing02	Glowing Fungus	002AB0F3:LL_Flora_FungusGlowing:LVLI	1
001C0FCA	UseLPI_FloraFungusGlowing03	Glowing Fungus	002AB0F3:LL_Flora_FungusGlowing:LVLI	1
001C0FCB	UseLPI_FloraFungusGlowing04	Glowing Fungus	002AB0F3:LL_Flora_FungusGlowing:LVLI	1
