FURN_FormID	FURN_EDID	FURN_FULL	XALG_Flags	KeywordCount	KW_1	KW_2	KW_3	KW_4	KW_5	KW_6	KW_7	KW_8	KW_9	KW_10	PropCount	Prop_1_AV	Prop_1_Val	Prop_1_Curve	Prop_2_AV	Prop_2_Val	Prop_2_Curve	Prop_3_AV	Prop_3_Val	Prop_3_Curve
0005A47A	NpcInvGroundSadSit			2	0005A47B:AnimFurnGroundSitSadAnims:KYWD	0018F692:FurnitureClassRelaxation:KYWD									0									
0005BC4F	NPCBarInvShopKeep			4	0005BC4E:AnimFurnBarShopKeep:KYWD	0006E9C7:FurnitureSpecial:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	0018F691:FurnitureClassWork:KYWD							0									
0005C2A1	WorkshopBar01	Drink Stand		6	0005BC4E:AnimFurnBarShopKeep:KYWD	0005C2A3:WorkshopRelaxationObject:KYWD	0006E9C7:FurnitureSpecial:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	0018F691:FurnitureClassWork:KYWD	001CD02B:BlockPlayerActivation:KYWD					1	vendorIncome	1.000000	NULL - Null Reference [00000000]						
0005DD9B	NPCStandingInvGuardPost			3	0005DD9C:AnimFurnGuardPost:KYWD	0006E9C7:FurnitureSpecial:KYWD	00237E31:AnimSynthCanUse:KYWD								0									
0005E9C6	DogmeatLay01			1	002469C2:FurnitureDogSleep:KYWD										0									
00061D9B	PowerArmorFurnitureNoCore	Power Armor		4	0003430B:FurnitureTypePowerArmor:KYWD	000BA2F6:FurnitureCantWait:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	0016FF02:IgnoreWorkbenchData:KYWD							0									
000666BD	RaiderCoverRightKneel			2	00021B18:IsSleepFurniture:KYWD	00072EA1:AnimFurnCoverKneelingAmbush:KYWD									0									
0006E5A4	NpcCouchOfficeSit01Dogmeat01	Couch		4	00030BB2:AnimFurnChairSitAnims:KYWD	0005E900:FurnitureDogLayGround:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	0018F692:FurnitureClassRelaxation:KYWD							0									
0006F9DC	NpcChairPlayerHouseRuinKitchenSit01	Chair		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
0006F9DD	NpcChairPlayerHouseRuinKitchenSit02	Chair		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
