FURN_FormID	FURN_EDID	FURN_FULL	XALG_Flags	KeywordCount	PropCount
0000167C	EyebotPod			0	0
00002C9E	PowerArmorFurnitureRaiderMTNZ04	Power Armor		0	0
00002EB0	Wendigo_CorpseEating			0	0
00004CD2	NpcChairStadiumRedSit03	Chair		0	0
00004CD3	NpcChairStadiumRedSit04	Chair		0	0
00004CD4	NpcChairStadiumRedSit01	Chair		0	0
00004CD5	NpcChairStadiumRedSit02	Chair		0	0
00006B23	NpcChairRockingChair01	Rocking Chair		0	0
00006F2B	Fissure02			0	0
00006F48	Instrument_SteelGuitar	Steel Guitar		0	0
000072EF	AmbushRadToad			0	0
00007364	PowerArmorFurniture_T60_President_Full	Power Armor		0	0
00008D86	FireFlyGroundIdle			0	0
0000C22A	Instrument_Banjo	Banjo		0	0
0000C300	AmbushSpawnHole			0	0
0000CFA7	Instrument_AcousticGuitar	Acoustic Guitar		0	0
0000E974	Mothman_AmbushMarker_FlyAway			0	0
0000E975	Mothman_AmbushMarker_Land			0	0
0000EE1B	FlatwoodsMonster_AmbushMarker_Land			0	0
0000FFE5	AmbushHoneyBeast			0	0
000115CB	AmbushTick256			0	0
000115D4	SFS01_Brew_CookingStove	Cooking Stove		0	0
000125E3	Asylum_Couch01	Couch		0	0
00012C74	Asylum_RockingChair01	Rocking Chair		0	0
00012C75	Asylum_Bench01	Bench		0	0
00012F8E	Asylum_Chair01	Stool		0	0
00012F8F	Asylum_Chair02	Chair		0	0
00012F90	Asylum_Chair03	Chair		0	0
00012FF0	WorkbenchTinkersA	Tinker's Workbench		0	0
00013298	AgCenterMainframe	Vault-Tec Ag Center Mainframe		0	0
00013D6B	NpcChairMonorailPodSit01	Chair		0	0
00013DAB	NpcCouchPlayerHouseRuinSit01_TestDestruction	Couch		0	0
00014134	AmbushMegaSlothTreeFalling			0	0
00015B28	NPCFancyBed_Full	Bed		0	0
00015B29	NPCFancyBed_Mattress	Mattress		0	0
00017A7F	NpcStoolStadiumSit01	Stool		0	0
00017D83	NpcBenchStadiumSit01	Bench		0	0
000182BC	Primitive_Bench_Long	Bench		0	0
000182BD	Primitive_Bench_Small	Bench		0	0
000192E0	WorkshopGuardTowerFurniture	Guard Tower		0	0
00019519	WhiteSpring_Chair05	Chair		0	0
0001968A	HandySinkMarker			0	0
00019B16	NpcBunkBedLay02	Bed		0	0
0001A3E7	TargetingComputer	Targeting Computer		0	0
0001A8F3	AmbushMegaSlothSleeping			0	0
0001E34D	WorkshopNpcBedMetalLay02DblNoEdit	Bed		0	0
0001EC30	WhiteSpring_Stone_Bench01	Bench		0	0
0001F483	NpcBenchShortFederalistSit01	Bench		0	0
0001F484	NpcBenchFederalistSit01	Bench		0	0
0001F6A3	NpcCouchFederalistSit01	Couch		0	0
0001F74E	NpcChairFederalistSit01	Chair		0	0
0001F88B	NpcChairFederalistOfficeSit01	Chair		0	0
0001F93B	NpcStoolFederalistSit01	Stool		0	0
0002079E	PowerArmorFurnitureFrame_NoCore	Power Armor		0	0
00020C40	WorkshopNpcBedGroundSleep01	Mattress		0	0
000224F7	FloorSitRadioListenMarker			0	0
000227BD	MuseumDoorAnim01			0	0
00024571	InvisibleGeneric01			0	0
00024572	NPCInvWallLean01			0	0
0002537D	AmbushNonSpawnStandFromFloor01			0	0
0002537E	AmbushSpawnCrawlFromUnder			0	0
00025381	AmbushSpawnBurrow			0	0
0002538B	AmbushSpawnWaterSurface			0	0
0002539B	AmbushSpawnWaterLeap_ToBeDELETED			0	0
000253A4	AmbushNonSpawnWallHang			0	0
000253AD	AmbushNonSpawnCeilingHang			0	0
000259A7	AmbushNonSpawnCrawlAndFall_ToBeDELETED			0	0
000259B6	AmbushSpawnCrawlAndFallHole			0	0
000259BF	AmbushSpawnHugeBurrow_ToBeDELETED			0	0
000259C1	AmbushSpawnFakeDoor			0	0
00026678	Primitive_Chair01	Chair		0	0
0002792F	MarkerDeskTerminal01			0	0
000299C2	NPCInvGroundSit			0	0
0002A34A	DeathclawRoadAIntYAmbush01			0	0
0002D562	WorkshopNpcBedMetalChildLay01NoEdit	Bed		0	0
