FormID	EDID	ParentQuestDisplay	ParentQuestLink	RewardsCount	RewardIndex	RewardedItemIndex	RewardedItem	RewardedItemCount	NAM7_XPGlobal	NAM8_CapsGlobal	XPCT_XPCurveTable	QRCO_CurrencyObject	QRLI_LegendaryItemRewardList	QRLR_LegendaryItemRewardRank	QRRI_LegendaryRankRandom	Conditions	ConditionGlobs	ReferencedByCount	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6	Ref7	Ref8	Ref9	Ref10	Ref11	Ref12	Ref13	Ref14	Ref15	Ref16	Ref17	Ref18	Ref19	Ref20	Ref21	Ref22	Ref23	Ref24	Ref25	Ref26	Ref27	Ref28	Ref29	Ref30	Ref31	Ref32	Ref33	Ref34	Ref35	Ref36	Ref37	Ref38	Ref39	Ref40	Ref41	Ref42	Ref43	Ref44	Ref45	Ref46	Ref47	Ref48	Ref49	Ref50	Ref51	Ref52	Ref53	Ref54	Ref55	Ref56	Ref57	Ref58	Ref59	Ref60	Ref61	Ref62	Ref63	Ref64	Ref65	Ref66	Ref67	Ref68	Ref69	Ref70	Ref71	Ref72	Ref73	Ref74	Ref75	Ref76	Ref77	Ref78	Ref79	Ref80	Ref81	Ref82	Ref83	Ref84	Ref85	Ref86	Ref87	Ref88	Ref89	Ref90	Ref91	Ref92	Ref93	Ref94	Ref95	Ref96	Ref97	Ref98	Ref99	Ref100	Ref101	Ref102	Ref103	Ref104	Ref105	Ref106	Ref107	Ref108	Ref109	Ref110	Ref111	Ref112	Ref113	Ref114	Ref115	Ref116	Ref117	Ref118	Ref119	Ref120	Ref121	Ref122	Ref123	Ref124	Ref125	Ref126	Ref127	Ref128	Ref129	Ref130	Ref131	Ref132
00630FDA	ChallengeReward_SCORE_Challenge_Daily_Craft_Weapons_Grenades			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FD8	ChallengeReward_SCORE_Challenge_Daily_Craft_MeatMeals			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631043	ChallengeReward_SCORE_Challenge_Weekly_DailyOps_Challenges			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631067	ChallengeReward_SCORE_Challenge_Weekly_RankGated_XP_Under25			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FD9	ChallengeReward_SCORE_Challenge_Daily_Craft_PlantMeals			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FEF	ChallengeReward_SCORE_Challenge_Daily_Kill_Deathclaws			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FCF	ChallengeReward_SCORE_Challenge_Daily_Consume_Food_MeatBased			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631058	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Event_Colossus			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063100D	ChallengeReward_SCORE_Challenge_Daily_QuestComplete_Event			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FD3	ChallengeReward_SCORE_Challenge_Daily_Craft_Ammo			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631004	ChallengeReward_SCORE_Challenge_Daily_Photomode_while_in_Group			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F2D	ChallengeReward_ATX_DE2021_Love_Challenge_Weekly_Kill_SuperMutants			1	0	-1						0000000F:Caps001:CNCY		1				1	005FA482:ATX_DE2021_Love_Challenge_Weekly_Kill_SuperMutants:CHAL																																																																																																																																			
0063101E	ChallengeReward_SCORE_Challenge_Daily_ScrapOrCraft_Armor			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063105C	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Event_ScorchedEarth			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F48	ChallengeReward_Challenge_Lifetime_LevelUp_Level_050_PerkCoins			1	0	-1				005E4ABF:Challenge_Lifetime_Level50_PerkCoins:GLOB		005AD146:PerkScrapCurrency:CNCY		1				1	005E4ABE:Challenge_Lifetime_LevelUp_Level_050_PerkCoins:CHAL																																																																																																																																			
0063101F	ChallengeReward_SCORE_Challenge_Daily_ScrapOrCraft_ArmorPower			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063106C	ChallengeReward_SCORE_Challenge_Weekly_ScrapOrCraft_ArmorWeapons			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F33	ChallengeReward_Challenge_Lifetime_Craft_Armor_Intro			1	0	0	0041ADEC:Utility_RepairKit_Improved:UTIL	1				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1				1	003B804C:Challenge_Lifetime_Craft_Armor_Intro:CHAL																																																																																																																																			
00631060	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Events			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
006310B0	ChallengeReward_zzzBabylon_Challenge_Lifetime_Kill_Creatures_Tier2			1	0	0	003FCBB3:zzz_BabylonStandardPerkCardPackCurrency:CNCY	1				0000000F:Caps001:CNCY		1				1	003FC19F:CUT_Babylon_Challenge_Lifetime_Kill_Creatures_Tier2:CHAL																																																																																																																																			
00630F53	ChallengeReward_Challenge_Lifetime_LevelUp_Over100			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1				1	0043A18C:Challenge_Lifetime_LevelUp_Over100:CHAL																																																																																																																																			
0063103F	ChallengeReward_SCORE_Challenge_Weekly_Craft_Legendary_Armor_1Star			1	0	-1						0000000F:Caps001:CNCY		1				1	0060EC2D:CUT_SCORE_Challenge_Weekly_Craft_Legendary_Armor_1Star:CHAL																																																																																																																																			
00631044	ChallengeReward_SCORE_Challenge_Weekly_GatherPlants			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F37	ChallengeReward_Challenge_Lifetime_CraftScrap_Weapon_Tiers_Ranged_Intro			2	0	0	0033AB7B:LL_Weapon_Ranged_LaserGun:LVLI	1				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1				1	0043A184:Challenge_Lifetime_CraftScrap_Weapon_Tiers_Ranged_Intro:CHAL																																																																																																																																			
00630F37	ChallengeReward_Challenge_Lifetime_CraftScrap_Weapon_Tiers_Ranged_Intro			2	1	0	000C1897:AmmoFusionCell:AMMO	50				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1				1	0043A184:Challenge_Lifetime_CraftScrap_Weapon_Tiers_Ranged_Intro:CHAL																																																																																																																																			
006310AE	ChallengeReward_zzzBabylon_Challenge_Lifetime_Kill_Creatures_Intro			1	0	0	00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY	1				0000000F:Caps001:CNCY		1				1	003FC19D:CUT_Babylon_Challenge_Lifetime_Kill_Creatures_Intro:CHAL																																																																																																																																			
00630FE3	ChallengeReward_SCORE_Challenge_Daily_Hack			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063101C	ChallengeReward_SCORE_Challenge_Daily_RestoreHealth_Food_Plants			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FD5	ChallengeReward_SCORE_Challenge_Daily_Craft_Legendary_Armor_1Star			1	0	-1						0000000F:Caps001:CNCY		1				1	0060EC2B:CUT_SCORE_Challenge_Daily_Craft_Legendary_Armor_1Star:CHAL																																																																																																																																			
0063104B	ChallengeReward_SCORE_Challenge_Weekly_Kill_GlowingCreature			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FFE	ChallengeReward_SCORE_Challenge_Daily_LevelUp			1	0	-1						0000000F:Caps001:CNCY		1				1	003B8024:SCORE_Challenge_Daily_LevelUp:CHAL																																																																																																																																			
00631185	ChallengeReward_zzzBabylon_Challenge_Lifetime_Take_Photos			1	0	0	00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY	1				0000000F:Caps001:CNCY		1				1	003F877E:CUT_Babylon_Challenge_Lifetime_Take_Photos:CHAL																																																																																																																																			
00630F41	ChallengeReward_Challenge_Lifetime_LevelUp_Level_020			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1				1	0043828A:Challenge_Lifetime_LevelUp_Level_020:CHAL																																																																																																																																			
00630F5B	ChallengeReward_Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Electrician			1	0	-1				00485276:Challenge_Global_0001:GLOB		00421760:PossumBadge:CNCY		1				1	004266A8:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Electrician:CHAL																																																																																																																																			
00630FDB	ChallengeReward_SCORE_Challenge_Daily_GainScrap_Aluminum			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631039	ChallengeReward_SCORE_Challenge_Weekly_Consume_Alcohol_Med_Brewing			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F39	ChallengeReward_Challenge_Lifetime_Discover_ToxicValleyRegion_Intro			1	0	0	00432F2A:LL_Armor_Metal_Any_Light:LVLI	1				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1				1	003B7FC7:Challenge_Lifetime_Discover_ToxicValleyRegion_Intro:CHAL																																																																																																																																			
00631018	ChallengeReward_SCORE_Challenge_Daily_RankGated_XP_Under50			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631002	ChallengeReward_SCORE_Challenge_Daily_Photomode_General			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F69	ChallengeReward_Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Herpetologist			1	0	-1				00485276:Challenge_Global_0001:GLOB		0042175F:TadpoleBadge:CNCY		1				1	00424B7B:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Herpetologist:CHAL																																																																																																																																			
00631025	ChallengeReward_SCORE_Challenge_Daily_Shelters_Visit_Other			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631063	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Events_while_in_Group			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063102C	ChallengeReward_SCORE_Challenge_Weekly_CAMPS_Build_Plant_Crops			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F4D	ChallengeReward_Challenge_Lifetime_LevelUp_Level_075			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1				1	00438295:Challenge_Lifetime_LevelUp_Level_075:CHAL																																																																																																																																			
00630FF5	ChallengeReward_SCORE_Challenge_Daily_Kill_Moleminer			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631042	ChallengeReward_SCORE_Challenge_Weekly_CriticalHit_Enemies			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F67	ChallengeReward_Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Cook			1	0	-1				00485276:Challenge_Global_0001:GLOB		0042175F:TadpoleBadge:CNCY		1				1	00424734:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Cook:CHAL																																																																																																																																			
00630F40	ChallengeReward_Challenge_Lifetime_LevelUp_Level_015			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1				1	00438289:Challenge_Lifetime_LevelUp_Level_015:CHAL																																																																																																																																			
00630FBE	ChallengeReward_SCORE_Challenge_Daily_CAMPS_Build_Furnishings			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F64	ChallengeReward_Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Archer			1	0	-1				00485276:Challenge_Global_0001:GLOB		0042175F:TadpoleBadge:CNCY		1				1	004221AC:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Archer:CHAL																																																																																																																																			
0063106E	ChallengeReward_SCORE_Challenge_Weekly_Shelters_Visit_Other			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631065	ChallengeReward_SCORE_Challenge_Weekly_RankGated_XP_Post100			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F4C	ChallengeReward_Challenge_Lifetime_LevelUp_Level_070			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1				1	00438294:Challenge_Lifetime_LevelUp_Level_070:CHAL																																																																																																																																			
0063102A	ChallengeReward_SCORE_Challenge_Weekly_CAMPS_Build_Decor			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631019	ChallengeReward_SCORE_Challenge_Daily_RankGated_XP_Under75			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FC5	ChallengeReward_SCORE_Challenge_Daily_Collect_Magazine			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F38	ChallengeReward_Challenge_Lifetime_Discover_OverseerCAMP_Intro			1	0	0	0000000A:BobbyPin:MISC	3				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1				1	004852A8:Challenge_Lifetime_Discover_OverseerCAMP_Intro:CHAL																																																																																																																																			
00630F52	ChallengeReward_Challenge_Lifetime_LevelUp_Level_100			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1				1	00437FC0:Challenge_Lifetime_LevelUp_Level_100:CHAL																																																																																																																																			
00630F66	ChallengeReward_Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Codebreaker			1	0	-1				00485276:Challenge_Global_0001:GLOB		0042175F:TadpoleBadge:CNCY		1				1	00422162:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Codebreaker:CHAL																																																																																																																																			
