FormID	EDID	FULL	DESC	KeywordCount	KW1	KW2	KW3	KW4	KW5	PTRN	Model	VCRY	DATA_Value	DATA_Weight	ReferencedByCount	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6	Ref7	Ref8	Ref9	Ref10	Ref11	Ref12	Ref13	Ref14	Ref15	Ref16	Ref17	Ref18	Ref19	Ref20	Ref21	Ref22	Ref23	Ref24	Ref25	Ref26	Ref27	Ref28	Ref29	Ref30	Ref31	Ref32	Ref33	Ref34	Ref35	Ref36	Ref37	Ref38	Ref39	Ref40	Ref41	Ref42	Ref43	Ref44	Ref45	Ref46	Ref47	Ref48	Ref49	Ref50	Ref51	Ref52	Ref53	Ref54	Ref55	Ref56	Ref57	Ref58	Ref59	Ref60	Ref61	Ref62	Ref63	Ref64	Ref65	Ref66	Ref67	Ref68	Ref69	Ref70	Ref71	Ref72	Ref73	Ref74	Ref75	Ref76	Ref77	Ref78	Ref79	Ref80	Ref81	Ref82
00166A83	TestKey	Test Key		0						KeyChains [TRNS:00248893]	Props\Key01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	1	005537E0:W05_MQ_003P_Muscle_DuncanNDuncanQuest_Interior:QUST																																																																																	
00110A00	ADV020WarehouseKey	Fringe Cove Dock Key		0						KeyChains [TRNS:00248893]	Props\Key01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	0																																																																																		
00110A3B	ADV003_Key	Tannery Key		0						KeyChains [TRNS:00248893]	Props\Key01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	0																																																																																		
00110C9B	ADV002_SafeKey	Manager's Key		0						KeyChains [TRNS:00248893]	Props\Key01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	0																																																																																		
00111128	ADV007_SpaKey	Aldersea Day Spa Key		0						KeyChains [TRNS:00248893]	Props\Key01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	0																																																																																		
0012157D	CUT_V94_1_EngineeringKey	Vault 94 Engineering Wing Key		0						KeyChains [TRNS:00248893]	Props\Key01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	6	0016281A::REFR	0027E07F::REFR	0027E857::REFR	0027E96F::REFR	0030CA07::REFR	00525407:BabylonExcludeList:FLST																																																																												
00129DE7	LuckyHoleKey	Lucky Hole Key		0						Keys [TRNS:001AB213]	Props\Key_Chain01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	5	00129DE6::REFR	00129DEC::REFR	003190B2::REFR	003C1DE0::REFR	00525407:BabylonExcludeList:FLST																																																																													
00051924	LC046_KerwoodMineKey	Kerwood Mine Key		0						Keys [TRNS:001AB213]	Props\Key_Chain01.nif	Caps001 "Cap" [CNCY:0000000F]	1	0.000000	4	00051EBC::REFR	002C6EB2::REFR	00315A4E::REFR	00525407:BabylonExcludeList:FLST																																																																														
0018215F	EN05_Patriotism_JimmyTerminalPassword	Jimmy's Terminal Password		0						MiscNoteKey [TRNS:00248896]	Props\Note_LowPoly.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	2	0008C881:EN05_PatriotismCourse:QUST	003D1FA0::REFR																																																																																
00073CD2	ENz09_Room201Keycard	Whitespring Room 201 Card		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	2	00002AA8:ENz09_Room:QUST	000F10DD::REFR																																																																																
