LVLI_FormID	LVLI_EDID	LVLF_Flags	EntryCount	EntryIndex	LVLO_Reference	RefSig	SubLVLI_FormID	ListChanceNoneValue	ListChanceNoneGlobal	ListChanceNoneCurve	ListChanceNoneResolved	EntryChanceNoneValue	EntryChanceNoneGlobal	EntryChanceNoneCurve	EntryChanceNoneResolved	EntryCondChance_RandomPercent	EntryPresenceChance	EntryAprioriChance_NoSublist
0000129C	LL_Flora_Corn	001	4	0	000330F8:CornVegetable:ALCH	ALCH		0.000000			0.000000	0.000000			0.000000	1	1	1
0000129C	LL_Flora_Corn	001	4	1	000330F8:CornVegetable:ALCH	ALCH		0.000000			0.000000	0.000000			0.000000	1	1	1
0000129C	LL_Flora_Corn	001	4	2	000330F8:CornVegetable:ALCH	ALCH		0.000000			0.000000	0.000000			0.000000	1	1	1
0000129C	LL_Flora_Corn	001	4	3	000330F8:CornVegetable:ALCH	ALCH		0.000000			0.000000	0.000000			0.000000	1	1	1
0000408A	SFM01_Glow_Rewards	0000000000000000000000000000000000000000000000000000000000000000	3	0	003CA684:QuestReward_LLS_Random_Mire:LVLI	LVLI	003CA684									1	1	1
0000408A	SFM01_Glow_Rewards	0000000000000000000000000000000000000000000000000000000000000000	3	1	003CA66D:QuestReward_LLS_Ammo_Mire:LVLI	LVLI	003CA66D									1	1	1
0000408A	SFM01_Glow_Rewards	0000000000000000000000000000000000000000000000000000000000000000	3	2	003CC4A4:QuestReward_LLS_Aid_Mire:LVLI	LVLI	003CC4A4									1	1	1
000041FA	RNG_CranBogShrubsSmall01	0000000000000000000000000000000000000000000000000000000000000000	15	0	0000BAF9:CranberryShrub01:STAT	STAT										1	1	1
000041FA	RNG_CranBogShrubsSmall01	0000000000000000000000000000000000000000000000000000000000000000	15	1	0000BAFA:CranberryShrub02:STAT	STAT										1	1	1
000041FA	RNG_CranBogShrubsSmall01	0000000000000000000000000000000000000000000000000000000000000000	15	2	00133861:HollyShrub01:STAT	STAT										1	1	1
000041FA	RNG_CranBogShrubsSmall01	0000000000000000000000000000000000000000000000000000000000000000	15	3	00133862:HollyShrub02:STAT	STAT										1	1	1
000041FA	RNG_CranBogShrubsSmall01	0000000000000000000000000000000000000000000000000000000000000000	15	4	00133853:DeadShrub01:STAT	STAT										1	1	1
000041FA	RNG_CranBogShrubsSmall01	0000000000000000000000000000000000000000000000000000000000000000	15	5	00133854:DeadShrub02:STAT	STAT										1	1	1
000041FA	RNG_CranBogShrubsSmall01	0000000000000000000000000000000000000000000000000000000000000000	15	6	00133855:DeadShrub03:STAT	STAT										1	1	1
000041FA	RNG_CranBogShrubsSmall01	0000000000000000000000000000000000000000000000000000000000000000	15	7	00133856:DeadShrub04:STAT	STAT										1	1	1
000041FA	RNG_CranBogShrubsSmall01	0000000000000000000000000000000000000000000000000000000000000000	15	8	001BE3C9:BlastedForestFungalGroundCluster03:STAT	STAT										1	1	1
000041FA	RNG_CranBogShrubsSmall01	0000000000000000000000000000000000000000000000000000000000000000	15	9	001BE3C8:BlastedForestFungalGroundWedges03:STAT	STAT										1	1	1
000041FA	RNG_CranBogShrubsSmall01	0000000000000000000000000000000000000000000000000000000000000000	15	10	0011059E:Fern01_Charred02:STAT	STAT										1	1	1
000041FA	RNG_CranBogShrubsSmall01	0000000000000000000000000000000000000000000000000000000000000000	15	11	0000BAF9:CranberryShrub01:STAT	STAT										1	1	1
000041FA	RNG_CranBogShrubsSmall01	0000000000000000000000000000000000000000000000000000000000000000	15	12	0000BAF9:CranberryShrub01:STAT	STAT										1	1	1
000041FA	RNG_CranBogShrubsSmall01	0000000000000000000000000000000000000000000000000000000000000000	15	13	0000BAFA:CranberryShrub02:STAT	STAT										1	1	1
000041FA	RNG_CranBogShrubsSmall01	0000000000000000000000000000000000000000000000000000000000000000	15	14	0000BAFA:CranberryShrub02:STAT	STAT										1	1	1
000046CA	CBxx_Eviction_LL_MinAccomplishmentReward	001	1	0	00059B02:PrewarMoney:MISC	MISC										1	1	1
000046CB	CBxx_Eviction_LL_DecentAccomplishmentReward	001	1	0	00059B02:PrewarMoney:MISC	MISC										1	1	1
000046CC	CBxx_Eviction_LL_GreatAccomplishmentReward	001	1	0	00059B02:PrewarMoney:MISC	MISC										1	1	1
