LVLI_FormID	LVLI_EDID	EntryIndex	LVLO_Reference	COED_ExtraData	LVOV_ChanceNoneValue	LVOG_ChanceNoneGlobal	LVOC_ChanceNoneCurve	LVIV_Quantity	LVIG_QuantityGlobal	LVIT_QuantityCurve	LVLV_MinimumLevel	LVLG_MinimumLevelGlobal	LVLT_MinimumLevelCurve	CondCount	Cond1	Cond2	Cond3	Cond4	Cond5	Cond6	Cond7	Cond8	Cond9	Cond10
000375B8	LLD_Creature_Bloatfly	0	0008E3A8:LLS_Creature_Bloatfly:LVLI		0.000000			1.000000			1.000000			0										
000375B8	LLD_Creature_Bloatfly	1	0002C59E:BloatflyGland:MISC		50.000000			1.000000			1.000000			0										
000375B8	LLD_Creature_Bloatfly	2	000330F4:BloatflyMeat:ALCH		0.000000			1.000000			1.000000			0										
000375B8	LLD_Creature_Bloatfly	3	003DF3FB:LLE_Creature_Small:LVLI		0.000000			1.000000			1.000000			0										
00032B0B	LL_Weapon_Ranged_PipeGun_Pistol_SemiAuto	0	00024F55:PipeGun:WEAP		0.000000			1.000000			1.000000			0										
00032B0C	LL_Weapon_Ranged_PipeBoltAction	0	00164A78:LL_Weapon_Ranged_PipeBoltAction_Pistol:LVLI		0.000000	00535D4B:MinLvl_Guaranteed_ECON:GLOB		1.000000			1.000000			0										
00032B0C	LL_Weapon_Ranged_PipeBoltAction	1	00164A77:LL_Weapon_Ranged_PipeBoltAction_Rifle:LVLI		0.000000	0039E1E2:MinLvl_PipeBoltAction_Rifle_ECON:GLOB		1.000000			1.000000			0										
00032B0C	LL_Weapon_Ranged_PipeBoltAction	2	00088899:LL_Weapon_Ranged_PipeBoltAction_SniperRifle:LVLI		0.000000	0039E1D9:MinLvl_PipeBoltAction_Sniper_ECON:GLOB		1.000000			1.000000			0										
0002EF68	LLD_Creature_Molerat	0	00033101:MoleratMeat:ALCH		0.000000			1.000000			1.000000			0										
0002EF68	LLD_Creature_Molerat	1	0008E3B0:LLE_Creature_Molerat:LVLI		50.000000			1.000000			1.000000			0										
0002EF68	LLD_Creature_Molerat	2	003DF3FB:LLE_Creature_Small:LVLI		0.000000			1.000000			1.000000			0										
0002EF69	LLD_Creature_Mirelurk	0	003533DF:LLS_Creature_Mirelurk:LVLI		0.000000			1.000000			1.000000			0										
0002EF69	LLD_Creature_Mirelurk	1	0002EF6A:LLS_Mirelurk_SoftshellMeat_25:LVLI		0.000000			1.000000			1.000000			0										
0002EF69	LLD_Creature_Mirelurk	2	000330FF:MirelurkMeat:ALCH		0.000000			1.000000			1.000000			0										
0002EF69	LLD_Creature_Mirelurk	3	003DF3FB:LLE_Creature_Small:LVLI		0.000000			1.000000			1.000000			0										
0002EF6A	LLS_Mirelurk_SoftshellMeat_25	0	00033100:MirelurkSoftshellMeat:ALCH											0										
0002EF6B	LLD_Creature_Dog	0	00070511:LL_Junk_Bones:LVLI		0.000000		003496BC:ItemThree_High_ChanceNone_Tier:GLOB	1.000000			1.000000			0										
0002EF6B	LLD_Creature_Dog	1	000330FB:Dogmeat:ALCH		0.000000		00349190:ItemTwo_Low_ChanceNone_Tier:GLOB	1.000000			1.000000			0										
0002EF6B	LLD_Creature_Dog	2	000330FB:Dogmeat:ALCH		0.000000			1.000000			1.000000			0										
0002EF6C	LLD_Creature_Deathclaw	0	003DF3F4:LLS_Creature_Large:LVLI		0.000000			1.000000			1.000000			0										
0002EF6C	LLD_Creature_Deathclaw	1	00434383:LLE_Creature_Boss_Component_Deathclaw:LVLI		0.000000			1.000000			1.000000			0										
0002EF6C	LLD_Creature_Deathclaw	2	0002EF67:DeathclawHand:MISC		75.000000			1.000000			1.000000			0										
0002EF6C	LLD_Creature_Deathclaw	3	00074D0E:DeathclawMeat:ALCH		0.000000			1.000000			1.000000			0										
0002EF6C	LLD_Creature_Deathclaw	4	0008E3AE:LLS_Creature_Deathclaw:LVLI		0.000000			1.000000			1.000000			0										
0002EF6C	LLD_Creature_Deathclaw	5	00034604:DeathclawHide:MISC		75.000000			1.000000			1.000000			0										
000305A7	RE_LLRewardWeapons	0	000673AF:LL_Weapon_Boss_Ranged_Any:LVLI		0.000000			1.000000			1.000000			0										
00032B01	LL_Weapon_Ranged_PipeWeapons_All	0	0033AB84:LL_Weapon_Ranged_PipeGun:LVLI		0.000000	00535D4B:MinLvl_Guaranteed_ECON:GLOB		1.000000			1.000000			0										
00032B01	LL_Weapon_Ranged_PipeWeapons_All	1	00032B0C:LL_Weapon_Ranged_PipeBoltAction:LVLI		0.000000	0039E21C:MinLvl_PipeBoltAction_Pistol_ECON:GLOB		1.000000			1.000000			0										
00032B01	LL_Weapon_Ranged_PipeWeapons_All	2	0035684B:LL_Weapon_Ranged_PipeRevolver:LVLI		0.000000	0039DDF0:MinLvl_PipeRevolver_Pistol_SemiAuto_ECON:GLOB		1.000000			1.000000			0										
00032B01	LL_Weapon_Ranged_PipeWeapons_All	3	00188A79:LL_Weapon_Ranged_PipeSyringer:LVLI		0.000000	0039DE17:MinLvl_PipeGun_Syringer_ECON:GLOB		1.000000			0.000000			0										
0001DB79	LL_PrewarMoney_Reward_Small	0	00059B02:PrewarMoney:MISC											0										
0001DB7A	LL_PrewarMoney_Reward_Medium	0	00059B02:PrewarMoney:MISC		0.000000			7.000000			1.000000			0										
0001DB7B	LL_PrewarMoney_Reward_Large_and_Change	0	00059B02:PrewarMoney:MISC											0										
0001DB7B	LL_PrewarMoney_Reward_Large_and_Change	1	000585A4:LL_PrewarMoney_Change:LVLI											0										
00023329	LLI_Weapons_Citizen	0	007AC727:crLLI_Weapon_Ranged_PipeWeapons_All:LVLI		0.000000			1.000000			1.000000			0										
00028667	LLD_Creature_Bloodbug	0	00356BDB:LLS_Creature_Bloodbug:LVLI		0.000000			1.000000			1.000000			0										
00028667	LLD_Creature_Bloodbug	1	00028668:BloodbugProboscis:MISC		0.000000			1.000000			1.000000			0										
00028667	LLD_Creature_Bloodbug	2	00074D0D:BloodbugMeat:ALCH		0.000000			1.000000			1.000000			0										
00028667	LLD_Creature_Bloodbug	3	003DF3F8:LLS_Creature_Medium:LVLI		0.000000			1.000000			1.000000			0										
00048353	LL_Drink_NukaCola_Empty	0	00048360:NukaColaCherry:ALCH											0										
00048361	LPI_Drink_NukaCola_ForMachine	0	0052A857:LL_Drink_NukaCola_Quantum:LVLI		0.000000		00389279:LL_ChanceNone_75_ECON:GLOB	1.000000			1.000000			0										
00048361	LPI_Drink_NukaCola_ForMachine	1	003A8178:LL_Drink_NukaCola:LVLI		0.000000			1.000000			1.000000			0										
00048DE0	LL_Ammo_PipeGun_SemiAuto	0	00111FE6:LL_Ammo_38Caliber:LVLI											0										
00048DE1	LL_Ammo_PipeRevolver	0	00067383:LL_Ammo_45Caliber:LVLI											0										
0004D8F9	LLD_Creature_Radroach	0	00033106:RadroachMeat:ALCH		0.000000			1.000000			1.000000			0										
0004D8F9	LLD_Creature_Radroach	1	0008E3B3:LLE_Creature_Radroach:LVLI		50.000000			1.000000			1.000000			0										
0004D8F9	LLD_Creature_Radroach	2	003DF3FB:LLE_Creature_Small:LVLI		0.000000			1.000000			1.000000			0										
0004E350	LLD_Creature_Raider	0	0004E351:LL_Stimpak_15:LVLI		0.000000			1.000000			1.000000			0										
0004E350	LLD_Creature_Raider	1	00598828:LL_Armor_Raider_Loot:LVLI		0.000000		005A0534:LLD_Armor_Loot_ChanceNone:GLOB	1.000000			1.000000			0										
0004E350	LLD_Creature_Raider	2	006CD246:LL_Ammo_Loot_Contextual_OpenWorld:LVLI		0.000000			1.000000			1.000000			0										
0004E350	LLD_Creature_Raider	3	007B31D5:LL_WeaponUser_Loot:LVLI		0.000000			1.000000			1.000000			0										
0004E351	LL_Stimpak_15	0	00023736:Stimpak:ALCH											0										
0001959A	LL_Armor_Metal_ArmLeft	0	00183FF1:LL_Armor_Metal_ArmLeft_Light:LVLI		0.000000			1.000000			1.000000			0										
0001959A	LL_Armor_Metal_ArmLeft	1	00183FF1:LL_Armor_Metal_ArmLeft_Light:LVLI		0.000000	00018A6A:MinLvl_Armor_Light_ECON:GLOB		1.000000			1.000000		00018715:MinLevel_Armor_Metal_CT:CURV	0										
0001959A	LL_Armor_Metal_ArmLeft	2	00183FF0:LL_Armor_Metal_ArmLeft_Medium:LVLI		0.000000	00018B35:MinLvl_Armor_Medium_ECON:GLOB		1.000000			1.000000		00018715:MinLevel_Armor_Metal_CT:CURV	0										
0001959A	LL_Armor_Metal_ArmLeft	3	00183FEF:LL_Armor_Metal_ArmLeft_Heavy:LVLI		0.000000	00018A6B:MinLvl_Armor_Heavy_ECON:GLOB		1.000000			1.000000		00018715:MinLevel_Armor_Metal_CT:CURV	0										
0001959B	LL_Armor_Metal_ArmRight	0	00183FEE:LL_Armor_Metal_ArmRight_Light:LVLI		0.000000			1.000000			1.000000			0										
0001959B	LL_Armor_Metal_ArmRight	1	00183FEE:LL_Armor_Metal_ArmRight_Light:LVLI		0.000000	00018A6A:MinLvl_Armor_Light_ECON:GLOB		1.000000			0.000000		00018715:MinLevel_Armor_Metal_CT:CURV	0										
0001959B	LL_Armor_Metal_ArmRight	2	00183FED:LL_Armor_Metal_ArmRight_Medium:LVLI		0.000000	00018B35:MinLvl_Armor_Medium_ECON:GLOB		1.000000			0.000000		00018715:MinLevel_Armor_Metal_CT:CURV	0										
0001959B	LL_Armor_Metal_ArmRight	3	00183FEC:LL_Armor_Metal_ArmRight_Heavy:LVLI		0.000000	00018A6B:MinLvl_Armor_Heavy_ECON:GLOB		1.000000			0.000000		00018715:MinLevel_Armor_Metal_CT:CURV	0										
0001959C	LL_Armor_Metal_Helm	0	000536C5:Headwear_Metal_Shades:ARMO											0										
0001959C	LL_Armor_Metal_Helm	1	000787D3:Headwear_Clothes_Metal_Helmet:ARMO											0										
0001959C	LL_Armor_Metal_Helm	2	000787D3:Headwear_Clothes_Metal_Helmet:ARMO											0										
0001959D	LL_Armor_Metal_LegLeft	0	00183FEB:LL_Armor_Metal_LegLeft_Light:LVLI		0.000000			1.000000			1.000000			0										
0001959D	LL_Armor_Metal_LegLeft	1	00183FEB:LL_Armor_Metal_LegLeft_Light:LVLI		0.000000	00018A6A:MinLvl_Armor_Light_ECON:GLOB		1.000000			1.000000		00018715:MinLevel_Armor_Metal_CT:CURV	0										
0001959D	LL_Armor_Metal_LegLeft	2	00183FEA:LL_Armor_Metal_LegLeft_Medium:LVLI		0.000000	00018B35:MinLvl_Armor_Medium_ECON:GLOB		1.000000			0.000000		00018715:MinLevel_Armor_Metal_CT:CURV	0										
0001959D	LL_Armor_Metal_LegLeft	3	00183FE9:LL_Armor_Metal_LegLeft_Heavy:LVLI		0.000000	00018A6B:MinLvl_Armor_Heavy_ECON:GLOB		1.000000			0.000000		00018715:MinLevel_Armor_Metal_CT:CURV	0										
0001959E	LL_Armor_Metal_LegRight	0	00183FE8:LL_Armor_Metal_LegRight_Light:LVLI		0.000000			1.000000			1.000000			0										
0001959E	LL_Armor_Metal_LegRight	1	00183FE7:LL_Armor_Metal_LegRight_Medium:LVLI		0.000000	00018B35:MinLvl_Armor_Medium_ECON:GLOB		1.000000			0.000000		00018715:MinLevel_Armor_Metal_CT:CURV	0										
0001959E	LL_Armor_Metal_LegRight	2	00183FE6:LL_Armor_Metal_LegRight_Heavy:LVLI		0.000000	00018A6B:MinLvl_Armor_Heavy_ECON:GLOB		1.000000			0.000000		00018715:MinLevel_Armor_Metal_CT:CURV	0										
0001959F	LL_Armor_Metal_Torso	0	00183FE5:LL_Armor_Metal_Torso_Light:LVLI		0.000000			1.000000			1.000000			0										
0001959F	LL_Armor_Metal_Torso	1	00183FE5:LL_Armor_Metal_Torso_Light:LVLI		0.000000	00018A6A:MinLvl_Armor_Light_ECON:GLOB		1.000000			1.000000		00018715:MinLevel_Armor_Metal_CT:CURV	0										
0001959F	LL_Armor_Metal_Torso	2	00183FE4:LL_Armor_Metal_Torso_Medium:LVLI		0.000000	00018B35:MinLvl_Armor_Medium_ECON:GLOB		1.000000			0.000000		00018715:MinLevel_Armor_Metal_CT:CURV	0										
0001959F	LL_Armor_Metal_Torso	3	00183FE3:LL_Armor_Metal_Torso_Heavy:LVLI		0.000000	00018A6B:MinLvl_Armor_Heavy_ECON:GLOB		1.000000			1.000000		00018715:MinLevel_Armor_Metal_CT:CURV	0										
00023791	LL_Weapon_Ranged_PipeGun_Rifle_SemiAuto	0	00024F55:PipeGun:WEAP		0.000000			1.000000			1.000000			0										
00026833	WorkshopProduceWater	0	000366C0:WaterPurified:ALCH											0										
00026839	WorkshopProduceScavenge	0	00069081:c_Screws_scrap:MISC		0.000000			1.000000			1.000000			0										
00026839	WorkshopProduceScavenge	1	0006907E:c_Gears_scrap:MISC		0.000000			1.000000			1.000000			0										
