LVLI_FormID	LVLI_EDID	LVLI_FULL	LVLF_Flags	LLCT_Count	EntryCount	LVLG_ChanceNoneGlobal	LVCT_ChanceNoneCurve	LLKC_FilterKeywordChances	LVSG_EpicLootChance	DIQO_Quest	LIMC_MarkerColor
000375B8	LLD_Creature_Bloatfly		001	4	4						
00032B0B	LL_Weapon_Ranged_PipeGun_Pistol_SemiAuto		01	1	1						
00032B0C	LL_Weapon_Ranged_PipeBoltAction		11	3	3						
0002EF68	LLD_Creature_Molerat		001	3	3						
0002EF69	LLD_Creature_Mirelurk		001	4	4						
0002EF6A	LLS_Mirelurk_SoftshellMeat_25		1	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
0002EF6B	LLD_Creature_Dog		001	3	3						
0002EF6C	LLD_Creature_Deathclaw		001	6	6						
000305A7	RE_LLRewardWeapons		11	1	1						
00032B01	LL_Weapon_Ranged_PipeWeapons_All		11	4	4						
0001DB79	LL_PrewarMoney_Reward_Small		11	1	1						
0001DB7A	LL_PrewarMoney_Reward_Medium		11	1	1						
0001DB7B	LL_PrewarMoney_Reward_Large_and_Change		001	2	2						
00023329	LLI_Weapons_Citizen		001	1	1						
00028667	LLD_Creature_Bloodbug		001	4	4						
00048353	LL_Drink_NukaCola_Empty		01	1	1						
00048361	LPI_Drink_NukaCola_ForMachine		001	2	2	0043A971:LPI_Chance_Drink_Common_ECON:GLOB					
00048DE0	LL_Ammo_PipeGun_SemiAuto		11	1	1						
00048DE1	LL_Ammo_PipeRevolver		11	1	1						
0004D8F9	LLD_Creature_Radroach		001	3	3						
0004E350	LLD_Creature_Raider		001	4	4						
0004E351	LL_Stimpak_15		11	1	1	0038927A:LL_ChanceNone_85_ECON:GLOB					
00055C5A	LLE_Raider_Weapons_Backup_EmptyOnPurpose_PossiblyObsolete		11		0						
0001959A	LL_Armor_Metal_ArmLeft		11	4	4						
0001959B	LL_Armor_Metal_ArmRight		11	4	4						
0001959C	LL_Armor_Metal_Helm		11	3	3				LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0001959D	LL_Armor_Metal_LegLeft		11	4	4						
0001959E	LL_Armor_Metal_LegRight		11	3	3						
0001959F	LL_Armor_Metal_Torso		11	4	4						
00023791	LL_Weapon_Ranged_PipeGun_Rifle_SemiAuto		01	1	1						
00026833	WorkshopProduceWater		01	1	1						
00026839	WorkshopProduceScavenge		01	13	13						
000330E9	LL_Stimpak_25		11	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
000330EA	LLS_Radaway_RadX_25		11	2	2	00389279:LL_ChanceNone_75_ECON:GLOB					
000366B8	LPI_Chems_Any		11	1	1	0043A970:LPI_Chance_Chems_Common_ECON:GLOB					
000366C6	LL_Junk_Large		11	1	1						
0003678C	LL_Junk_Small		11	1	1						
00036916	LL_Chems_Any_25		11	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
00036919	LPI_Drink_Alcohol		000001	1	1	0043A971:LPI_Chance_Drink_Common_ECON:GLOB					
0003691A	LL_Drink_Water_Dirty_50		11	1	1	00389278:LL_ChanceNone_50_ECON:GLOB					
0003691B	LL_Drink_Water_Pure_25		11	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
0003691C	LL_Food_Any_Basic_75		11	1	1	00389277:LL_ChanceNone_25_ECON:GLOB					
00036926	LL_Food_Packaged_75		11	1	1	00389277:LL_ChanceNone_25_ECON:GLOB					
00036928	LL_BloodPack_50		0000000000000000000000000000000000000000000000000000000000000000	1	1	00389278:LL_ChanceNone_50_ECON:GLOB					
0003692B	LL_Chems_Any_75		11	1	1	00389277:LL_ChanceNone_25_ECON:GLOB					
00038A0B	LL_Food_Any_Basic		11	12	12						
00038A0C	LL_Drink_Alcohol_75		11	1	1	00389277:LL_ChanceNone_25_ECON:GLOB					
0003E0BE	MTNL01_LL_Armor_Raider_Headgear		01	5	5						
000585A2	LL_Junk_Small_LowChanceNone		11	1	1	00361353:LL_Caps_Low_ChanceNone_ECON:GLOB					
000585A3	LL_Junk_Large_LowChanceNone		11	1	1	00361356:LL_Junk_Low_ChanceNone_ECON:GLOB					
000585A4	LL_PrewarMoney_Change		11	10	10						
000585A5	LL_PrewarMoney_Change_15		11	1	1	0038927A:LL_ChanceNone_85_ECON:GLOB					
00059A9F	LPI_Weapon_Ranged_PipeGun_Pistol_Auto		01	1	1				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
0005D4D5	LPI_Weapon_Ranged_HuntingRifle		01	1	1				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
0005E3F1	LL_Armor_Metal_Any		11	5	5						
0005E8E5	LLI_Loot_Corpse_Inventory_Raider_Weapons		11	7	7						
0005F42F	crLLI_Raider_Weapons_Boss		11	3	3				LL_EpicChance_Boss_ECON [GLOB:0005F430]		
00065A3B	LLS_Raider_Misc		01	14	14						
00065A3C	LLS_Raider_Misc_25		01	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
00065A3D	LLS_Raider_Misc_50		01	1	1	00389278:LL_ChanceNone_50_ECON:GLOB					
00065A3E	LLS_Raider_Misc_75		01	1	1	00389277:LL_ChanceNone_25_ECON:GLOB					
00065A3F	LL_Junk_Large_HighChanceNone		11	1	1	00361355:LL_Junk_High_ChanceNone_ECON:GLOB					
00065A40	LL_Junk_Small_HighChanceNone		11	1	1	00361355:LL_Junk_High_ChanceNone_ECON:GLOB					
0006737F	LL_PrewarMoney_Reward_Medium_and_Change		001	2	2						
00067380	LL_PrewarMoney_Reward_Small_and_Change		001	2	2						
00067381	LPI_Ammo_10mm		11	1	1	0043A96F:LPI_Chance_Ammo_Common_ECON:GLOB					
00067382	LL_Ammo_308Caliber		11	6	6						
00067383	LL_Ammo_45Caliber		11	3	3						
00067384	LPI_Ammo_38Caliber		11	1	1	0043A96F:LPI_Chance_Ammo_Common_ECON:GLOB					
00067385	LL_Ammo_556		11	5	5						
00067386	LL_Ammo_5mm		11	4	4						
00067387	LL_Ammo_50Cal		11	5	5						
00067388	LPI_Ammo_PlasmaGun		11	1	1	0043A96F:LPI_Chance_Ammo_Common_ECON:GLOB					
0006738A	LL_Ammo_ShotgunShell		11	5	5						
0006738B	zzz_deprecated_LL_Ammo_Any		11	1	1						
0006738C	zzzLL_Ammo_Any_25		01		0	00389279:LL_ChanceNone_75_ECON:GLOB					
0006738D	zzzLL_Ammo_Any_50		11		0	00389278:LL_ChanceNone_50_ECON:GLOB					
0006738E	zzzLL_Ammo_Any_75		01		0	00389277:LL_ChanceNone_25_ECON:GLOB					
0006738F	LLC_AmmoBox		001	2	2						
00067390	LL_Clothes_Any		11	6	6						
00067393	LL_Clothes_Any_75		0000000000000000000000000000000000000000000000000000000000000000	1	1	00389277:LL_ChanceNone_25_ECON:GLOB					
00067394	LLC_Suitcase		001	2	2				LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
00067395	LLE_Raider_Misc_25		001	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
00067396	LPI_Food_Packaged		110001	1	1	003C60B0:LPI_ChanceNone_Food_Packaged:GLOB					
00067398	LPI_Drink_Any_Small		110001	1	1	0043A971:LPI_Chance_Drink_Common_ECON:GLOB					
00067399	LL_Drink_NonAlcohol		0000000000000000000000000000000000000000000000000000000000000000	3	3						
0006739B	LL_Food_Packaged_25		11	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
0006739C	LLI_Loot_Cooler_Food_and_Drink		001	4	4						
0006739D	LL_Drink_Alcohol_25		11	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
0006739E	LL_Drink_NonAlcohol_25		0000000000000000000000000000000000000000000000000000000000000000	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
0006739F	LL_Drink_NonAlcohol_75		0000000000000000000000000000000000000000000000000000000000000000	1	1	00389277:LL_ChanceNone_25_ECON:GLOB					
000673A0	LLC_ToolBox		001	8	8						
000673A1	LL_Weapons_Ranged_Long		11	8	8						
000673A3	LL_Weapons_Ranged_Long_75		11	1	1	00389277:LL_ChanceNone_25_ECON:GLOB					
