MGEF_FormID	EDID	FULL	DNAM_MagicItemDescription	DATA_Flags	DATA_Flags2	BaseCost	Unused	MagicSkillRaw	ResistValue	CounterEffectCount	CastingLight	TaperWeight	HitShader	EnchantShader	MinSkillLevel	Spellmaking_Area	CastingTime	TaperCurve	TaperDuration	SecondAVWeight	Archetype	ActorValue	Projectile	Explosion	CastingType	Delivery	CastingArt	HitEffectArt	ImpactData	SkillUsageMultiplier	DualCastingArt	DualCastingScale	EnchantArt	HitVisuals	EnchantVisuals	EquipAbility	ImageSpaceModifier	PerkToApply	CastingSoundLevel	ScriptAI_Score	ScriptAI_DelayTime	ScriptAI_Unknown	Refs_Flat	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30
000390C1	"PowerArmorPerkEffect"	"Power Armor"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
000345AC	"abMoleratRaceEffect"	"Molerat Abilities"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
000328F9	"crBloodbugBloodSpitEffect04"	"Bloodbug Blood Spit 4: Stagger"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"1.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00031ED2	"crDeathclawIntimidateMagEffect"	"Intimidation"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00032568	"crBloodbugBloodSpitEffectVFX"	"Bloodbug Blood Spit 1: VFX"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"1.000000"	"BloodSplatterHeavy [EFSH:0003059B]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00032569	"crBloodbugBloodSpitEffect02"	"Bloodbug Blood Spit 2: AV Effect"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"1.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0003256A	"crBloodbugBloodSpitEffect03"	"Bloodbug Blood Spit 3: Rads Effect"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"RadResistExposure ""Radiation Resistance"" [AVIF:000002EA]"	"0"	"NULL - Null Reference [00000000]"	"1.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00024000	"RestoreHealthChem"	"Chem: Restore Health"	"Restore <mag> HP / second"	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00024056	"DamageRadiationEating"	"Eating: Radiation Damage"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"RadResistIngestion ""Radiation Ingestion"" [AVIF:000002E9]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00024058	"FortifyResistRadsChem"	"Chem: Radiation Resistance"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
