set	item_formid	edid	name	section	worldspace	cell	x	y	z	ref_formid	holder	loc_name	loc_source
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-128821.289063	54538.847656	4984.721679	008F587D			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-125660.234375	53281.761718	5180.121582	008F5880			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-127951.406250	52456.753907	5181.213867	008F5881			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			2779.249512	138728.000000	12684.529297	008F6155			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			7054.595215	141145.156250	13087.312500	008F6651			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			4749.640625	137400.218750	12573.805664	008F6655			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			151794.625000	86356.335938	13522.073242	008F665E			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			151990.187500	89643.671875	15039.678711	008F6669			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			62016.351562	-255364.656250	9416.551758	008F666D			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			68349.757812	-248132.875000	8948.607421	008F6675			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			55616.453125	-251500.171875	8967.720703	008F667D			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-150690.187500	-34863.925781	13155.570313	008F66F9			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-68501.703125	-14385.333985	15315.767578	008F66FA			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-69514.835937	-9198.718750	14990.464844	008F66FB			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-10164.927734	179242.500000	9288.321290	008F678D			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			161711.015625	153157.390625	17499.931641	008F67A1			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			161798.468750	153092.640625	17503.535156	008F67A2			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			161541.296875	-40532.246094	8837.348633	008F6C4E			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			161284.359375	-37321.632813	9289.816407	008F6C53			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			112256.976563	130073.523438	20383.019532	008F6C5D			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			163936.937500	215665.500000	23448.000000	008F75F3			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-31045.798829	192910.875000	8982.096679	008F76AC			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-34902.621094	195543.875000	9481.950195	008F76AD			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-23749.291016	196288.468750	10373.492188	008F76B0			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-179625.281250	-79897.429687	1489.334717	008F83B3			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-177152.125000	-81108.507812	1891.366089	008F83BB			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-181542.234375	-84758.343750	92.659470	008F83BD			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-203208.843750	114377.250000	5726.124512	008F83C3			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-201304.750000	116550.179688	5726.351563	008F83C9			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			76009.250000	17596.205079	34565.445313	008FAD93			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			107177.781250	145888.343750	25489.693360	008FAD95			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			57853.363281	-192344.812500	19070.326172	008FAD97			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			152774.625000	-87869.484375	8371.294922	008FAD9A			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-147187.812500	144868.109375	1260.389771	008FADA7			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-145447.281250	141276.890625	1152.777710	008FADA9			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-147798.453125	146403.468750	1258.148560	008FADAE			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-27416.167969	-55189.332032	23647.423828	008FADB3			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			48766.441406	23214.966796	34105.562500	008FBCD3			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			47665.855469	22209.058594	34102.960938	008FBCD7			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			51707.453125	-122865.312500	37059.332031	008FBCD8			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			55925.515625	-68684.257813	33882.976562	008FBCDB			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			117002.453125	-59426.320313	18835.248046	008FBCDE			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-139929.421875	173577.500000	4847.680664	008FBCE1			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-103897.023438	48112.699219	11533.387695	008FBCE5			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-88390.398438	68200.859375	5674.739746	008FBCE7			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-84428.570313	100091.984375	20537.361328	008FBCEB			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-44313.382812	17521.078125	17274.968750	008FBCED			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-3076.854980	140623.843750	16270.020508	008FBCF0			
pint-sized-slasher-masks	008E069E	SDOW_SlasherClue	Pint-Sized Slasher Mask	MISC			-50134.097656	-46266.007812	10215.785156	008FBCF3			
