NPC_FormID	NPC_EDID	PropIndex	ActorValue_FormID	ActorValue_EDID	ActorValue_Name	Value	CurveTable_FormID	CurveTable_EDID
0005A9C1	LvlMirelurkCrab	0	000002C3	Perception	Perception	4.000000		
0005A9C1	LvlMirelurkCrab	1	000002D4	Health	Health	0.000000	0076E9F8	CT_Creatures_Health_Universal_Tier17
0005A9C1	LvlMirelurkCrab	2	000002D5	ActionPoints	Action Points	50.000000		
0005A9C1	LvlMirelurkCrab	3	000002DA	SpeedMult	Move Speed	100.000000		
0005FBB3	EncStingwing01Template	0	000002C3	Perception	Perception	8.000000		
0005FBB3	EncStingwing01Template	1	000002C4	Endurance	Endurance	4.000000		
0005FBB3	EncStingwing01Template	2	000002C6	Intelligence	Intelligence	2.000000		
0005FBB3	EncStingwing01Template	3	000002C7	Agility	Agility	6.000000		
0005FBB3	EncStingwing01Template	4	000002C8	Luck	Luck	4.000000		
0005FBB3	EncStingwing01Template	5	000002D4	Health	Health	0.000000	0076E9F4	CT_Creatures_Health_Universal_Tier13
0005FBB3	EncStingwing01Template	6	000002D5	ActionPoints	Action Points	50.000000		
0005FBB3	EncStingwing01Template	7	000002DA	SpeedMult	Move Speed	100.000000		
000636AA	EncRadscorpion01Template	0	000002C3	Perception	Perception	9.000000		
000636AA	EncRadscorpion01Template	1	000002D4	Health	Health	0.000000	0076EA01	CT_Creatures_Health_Universal_Tier26
000636AA	EncRadscorpion01Template	2	000002D5	ActionPoints	Action Points	50.000000		
000636AA	EncRadscorpion01Template	3	000002DA	SpeedMult	Move Speed	100.000000		
00064122	encRaiderFaceM04	0	000002C2	Strength	Strength	0.000000		
00064122	encRaiderFaceM04	1	000002C3	Perception	Perception	4.000000		
00064122	encRaiderFaceM04	2	000002C4	Endurance	Endurance	0.000000		
00064122	encRaiderFaceM04	3	000002C5	Charisma	Charisma	0.000000		
00064122	encRaiderFaceM04	4	000002C6	Intelligence	Intelligence	0.000000		
00064122	encRaiderFaceM04	5	000002C7	Agility	Agility	5.000000		
00064122	encRaiderFaceM04	6	000002C8	Luck	Luck	0.000000		
00064122	encRaiderFaceM04	7	000002CC	IdleChatterTimeMin		15.000000		
00064122	encRaiderFaceM04	8	000002CD	IdleChatterTimeMax		30.000000		
00064122	encRaiderFaceM04	9	000002D4	Health	Health	-10.000000		
00064122	encRaiderFaceM04	10	000002D5	ActionPoints	Action Points	50.000000		
00064122	encRaiderFaceM04	11	000002DA	SpeedMult	Move Speed	100.000000		
00064124	encRaiderFaceM03	0	000002C2	Strength	Strength	0.000000		
00064124	encRaiderFaceM03	1	000002C3	Perception	Perception	4.000000		
00064124	encRaiderFaceM03	2	000002C4	Endurance	Endurance	0.000000		
00064124	encRaiderFaceM03	3	000002C5	Charisma	Charisma	0.000000		
00064124	encRaiderFaceM03	4	000002C6	Intelligence	Intelligence	0.000000		
00064124	encRaiderFaceM03	5	000002C7	Agility	Agility	5.000000		
00064124	encRaiderFaceM03	6	000002C8	Luck	Luck	0.000000		
00064124	encRaiderFaceM03	7	000002CC	IdleChatterTimeMin		15.000000		
00064124	encRaiderFaceM03	8	000002CD	IdleChatterTimeMax		30.000000		
00064124	encRaiderFaceM03	9	000002D4	Health	Health	-10.000000		
00064124	encRaiderFaceM03	10	000002D5	ActionPoints	Action Points	50.000000		
00064124	encRaiderFaceM03	11	000002DA	SpeedMult	Move Speed	100.000000		
0006C507	CUT_EncBrahminClarabell	0	000002C3	Perception	Perception	4.000000		
0006C507	CUT_EncBrahminClarabell	1	000002D4	Health	Health	0.000000	0076E9F9	CT_Creatures_Health_Universal_Tier18
0006C507	CUT_EncBrahminClarabell	2	000002D5	ActionPoints	Action Points	50.000000		
0006C507	CUT_EncBrahminClarabell	3	000002DA	SpeedMult	Move Speed	100.000000		
00075335	LvlSupermutantRanged	0	000002D4	Health	Health	0.000000	0076E9FE	CT_Creatures_Health_Universal_Tier23
00075335	LvlSupermutantRanged	1	000002DA	SpeedMult	Move Speed	100.000000		
00075335	LvlSupermutantRanged	2	000002E3	DamageResist	Damage Resistance	0.000000	0076E999	CT_Creatures_Armor_Universal_Tier22
00075335	LvlSupermutantRanged	3	000002E4	PoisonResist	Poison Resistance	0.000000	0076E9B5	CT_Creatures_Armor_Universal_Tier50
00075335	LvlSupermutantRanged	4	000002E5	FireResist	Fire Resistance	0.000000	0076E99B	CT_Creatures_Armor_Universal_Tier24
00075335	LvlSupermutantRanged	5	000002E7	FrostResist	Cryo Resistance	0.000000	0076E996	CT_Creatures_Armor_Universal_Tier19
00075335	LvlSupermutantRanged	6	000002EA	RadResistExposure	Radiation Resistance	0.000000	0076E9B5	CT_Creatures_Armor_Universal_Tier50
00075335	LvlSupermutantRanged	7	000002EB	EnergyResist	Energy Resistance	0.000000	0076E993	CT_Creatures_Armor_Universal_Tier16
00075337	LvlFeralGhoul	0	000002C3	Perception	Perception	4.000000		
00075337	LvlFeralGhoul	1	000002D4	Health	Health	0.000000	0076EA01	CT_Creatures_Health_Universal_Tier26
00075337	LvlFeralGhoul	2	000002DA	SpeedMult	Move Speed	100.000000		
00075337	LvlFeralGhoul	3	007ADDD9	EncounterSkullIndex		0.000000		
00075338	LvlDeathclaw	0	000002C3	Perception	Perception	10.000000		
00075338	LvlDeathclaw	1	000002D4	Health	Health	0.000000	0076EA08	CT_Creatures_Health_Universal_Tier33
00075338	LvlDeathclaw	2	000002D5	ActionPoints	Action Points	50.000000		
00075338	LvlDeathclaw	3	000002DA	SpeedMult	Move Speed	110.000000		
0007533C	LvlBoSSoldier_CombatArmor_Semi	0	000002C2	Strength	Strength	0.000000		
0007533C	LvlBoSSoldier_CombatArmor_Semi	1	000002C3	Perception	Perception	4.000000		
0007533C	LvlBoSSoldier_CombatArmor_Semi	2	000002C4	Endurance	Endurance	0.000000		
0007533C	LvlBoSSoldier_CombatArmor_Semi	3	000002C5	Charisma	Charisma	0.000000		
0007533C	LvlBoSSoldier_CombatArmor_Semi	4	000002C6	Intelligence	Intelligence	0.000000		
0007533C	LvlBoSSoldier_CombatArmor_Semi	5	000002C7	Agility	Agility	5.000000		
0007533C	LvlBoSSoldier_CombatArmor_Semi	6	000002C8	Luck	Luck	0.000000		
0007533C	LvlBoSSoldier_CombatArmor_Semi	7	000002D4	Health	Health	10.000000		
0007533C	LvlBoSSoldier_CombatArmor_Semi	8	000002D5	ActionPoints	Action Points	50.000000		
0007533C	LvlBoSSoldier_CombatArmor_Semi	9	000002DA	SpeedMult	Move Speed	100.000000		
00075341	LvlSupermutantBoss	0	000002D4	Health	Health	0.000000	0076E9FE	CT_Creatures_Health_Universal_Tier23
00075341	LvlSupermutantBoss	1	000002DA	SpeedMult	Move Speed	100.000000		
00075341	LvlSupermutantBoss	2	000002E3	DamageResist	Damage Resistance	0.000000	0076E999	CT_Creatures_Armor_Universal_Tier22
00075341	LvlSupermutantBoss	3	000002E4	PoisonResist	Poison Resistance	0.000000	0076E9B5	CT_Creatures_Armor_Universal_Tier50
00075341	LvlSupermutantBoss	4	000002E5	FireResist	Fire Resistance	0.000000	0076E99B	CT_Creatures_Armor_Universal_Tier24
00075341	LvlSupermutantBoss	5	000002E7	FrostResist	Cryo Resistance	0.000000	0076E996	CT_Creatures_Armor_Universal_Tier19
