OMOD_FormID	OMOD_EDID	PropIndex	ValueType	FunctionType	PropertyName	Value1	Value2	CurveTable
00002042	mod_Binoculars	0	Float	MUL+ADD	AimModelBaseStability	-0.200000	0.000000	NULL - Null Reference [00000000]
00002042	mod_Binoculars	1	FormID,Int	SET	ZoomData	ZM_Binoculars """" [ZOOM:000611D4]	3	NULL - Null Reference [00000000]
00002043	mod_BinocularsEyePiece	0	Float	MUL+ADD	AimModelConeIronSightsMultiplier	-0.200000	0.000000	NULL - Null Reference [00000000]
00002043	mod_BinocularsEyePiece	1	Float	MUL+ADD	AimModelBaseStability	-0.200000	0.000000	NULL - Null Reference [00000000]
000022F1	76Bot_Hand_Protectron_Melee_StepDrill_Left	0	FormID,Int	ADD	Forced Inventory	crDLC01BotMeleeProtectronClawLeft """" [WEAP:0010FD33]	1	NULL - Null Reference [00000000]
000022F1	76Bot_Hand_Protectron_Melee_StepDrill_Left	1	FormID,Int	ADD	Forced Inventory	FXAutoMinerDrillingArmor """" [ARMO:003EB22E]	1	NULL - Null Reference [00000000]
000022F2	76Bot_Hand_Protectron_Melee_StepDrill_Right	0	FormID,Int	ADD	Forced Inventory	crDLC01BotMeleeProtectronClawRight """" [WEAP:0010FD34]	1	NULL - Null Reference [00000000]
000022F2	76Bot_Hand_Protectron_Melee_StepDrill_Right	1	FormID,Int	ADD	Forced Inventory	FXAutoMinerDrillingArmor """" [ARMO:003EB22E]	1	NULL - Null Reference [00000000]
00002708	76Bot_Hand_MrHandy_Weap_Watersprayer_Middle	0	FormID,Int	ADD	Keywords	bot_HasHandMiddle """" [KYWD:00231EA5]	2	NULL - Null Reference [00000000]
00002708	76Bot_Hand_MrHandy_Weap_Watersprayer_Middle	1	FormID,Int	ADD	Forced Inventory	crDLC01BotWeapMrHandy_Flamethrower_Middle ""Flamethrower"" [WEAP:0010EB6B]	1	NULL - Null Reference [00000000]
00002709	76Bot_Hand_MrHandy_Weap_Watersprayer_Left	0	FormID,Int	ADD	Keywords	bot_HasHandLeft """" [KYWD:00231EA3]	2	NULL - Null Reference [00000000]
