PCRD_FormID	PCRD_EDID	MNAM_Name	DESC	DATA_UnknownBytes	DATA_SpeciesCode	DATA_SpeciesText	DATA_MinLevel	DATA_Special	PCDV_GLOB_FormID	PCDV_GLOB_EDID	PCDV_GLOB_FULL	RankCount	RankPERKs_Flat	RankPERK_1_FormID	RankPERK_1_EDID	RankPERK_1_FULL	RankPERK_2_FormID	RankPERK_2_EDID	RankPERK_2_FULL	RankPERK_3_FormID	RankPERK_3_EDID	RankPERK_3_FULL	RankPERK_4_FormID	RankPERK_4_EDID	RankPERK_4_FULL	RankPERK_5_FormID	RankPERK_5_EDID	RankPERK_5_FULL	RankPERK_6_FormID	RankPERK_6_EDID	RankPERK_6_FULL	RankPERK_7_FormID	RankPERK_7_EDID	RankPERK_7_FULL	RankPERK_8_FormID	RankPERK_8_EDID	RankPERK_8_FULL	RankPERK_9_FormID	RankPERK_9_EDID	RankPERK_9_FULL	RankPERK_10_FormID	RankPERK_10_EDID	RankPERK_10_FULL
00005272	"CommandoMasterCard"	"CommandoMaster"	""	""	""	""	"40"	"Perception"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	1	"Rank1=CommandoMaster01[0004A0C5]"	0004A0C5	"CommandoMaster01"	"Number Cruncher"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
00006DC3	"OverlyGenerousCard"	"OverlyGenerous"	"Radiation, the gift that keeps on giving!"	""	""	""	"32"	"Charisma"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	2	"Rank1=OverlyGenerous01[00006DC1] | Rank2=OverlyGenerous02[00006F8D]"	00006DC1	"OverlyGenerous01"	"Overly Generous"	00006F8D	"OverlyGenerous02"	"Overly Generous"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0000BB40	"LifegiverCard"	"LifeGiver"	"You embody wellness!"	""	""	""	"50"	"Endurance"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	1	"Rank1=LifeGiver01[0004A0CF]"	0004A0CF	"LifeGiver01"	"LifeGiver"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0003C969	"PicklockCard"	"Picklock"	"Locked? Not for long!"	""	""	""	"5"	"Perception"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	1	"Rank1=Picklock01[000523FF]"	000523FF	"Picklock01"	"Picklock"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0003D963	"SlowMetabolizerCard"	"SlowMetabolizer"	"Your body does more with less!"	""	""	""	"5"	"Endurance"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	2	"Rank1=SlowMetabolizer01[00029330] | Rank2=SlowMetabolizer02[0002936F]"	00029330	"SlowMetabolizer01"	"Slow Metabolizer"	0002936F	"SlowMetabolizer02"	"Slow Metabolizer"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0003EB3B	"FirstAidCard"	"FirstAid"	"Is there a doctor in the house?"	""	""	""	"2"	"Intelligence"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	1	"Rank1=FirstAid01[0004C926]"	0004C926	"FirstAid01"	"First Aid"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
000525DF	"PartyBoyGirlCard"	"PartyBoy"	"Nobody has a good time like you!"	""	""	""	"24"	"Charisma"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	2	"Rank1=PartyBoy01[0004D887] | Rank2=PartyBoy02[001D2473]"	0004D887	"PartyBoy01"	"Party Boy"	001D2473	"PartyBoy02"	"Party Boy"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
00073680	"BloodyMessCard"	"BloodyMess"	"Watch out for flying eyeballs!"	""	""	""	"42"	"Luck"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	1	"Rank1=BloodyMess01[0004A0BB]"	0004A0BB	"BloodyMess01"	"Bloody Mess"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0008AD53	"LoneWandererCard"	"LoneWanderer"	"Who needs friends, anyway?"	""	""	""	"4"	"Charisma"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	1	"Rank1=LoneWanderer01[001D246B]"	001D246B	"LoneWanderer01"	"Lone Wanderer"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0008D247	"InspirationalCard"	"Inspirational"	"You lead by example."	""	""	""	"2"	"Charisma"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	1	"Rank1=Inspirational01[001D2461]"	001D2461	"Inspirational01"	"Inspirational"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
