PCRD_FormID	PCRD_EDID	MNAM_Name	DESC	DATA_UnknownBytes	DATA_SpeciesCode	DATA_SpeciesText	DATA_MinLevel	DATA_Special	PCDV_GLOB_FormID	PCDV_GLOB_EDID	PCDV_GLOB_FULL	RankCount	RankPERKs_Flat
00093E84	ActionBoyGirlCard	ActionBoy	There's no time to waste!						001179ED	PerkCard_Caps_Common		0	
000907EF	FieldSurgeonCard	FieldSurgeon	The Wasteland is your operating room!						001179F3	PerkCard_Caps_Rare		0	
000907EE	ModernRenegadeCard	ModernRenegade	Today's skill - yesterday's style!						001179F3	PerkCard_Caps_Rare		0	
000907EB	HappyGoLuckyCard	HappyGoLucky	Everything goes better after a drink.						001179ED	PerkCard_Caps_Common		0	
000907E9	PharmacistCard	Pharmacist	Take 2 of these and never call me again.						0024F8D6	PerkCard_Caps_Uncommon		0	
000907E6	ProfessionalDrinkerCard	ProfessionalDrinker	Your liver works hard for the money!						001179ED	PerkCard_Caps_Common		0	
000907E5	GroundPounderCard	GroundPounder	The battlefield is your happy place!						001179F3	PerkCard_Caps_Rare		0	
000907DE	TormentorCard	Tormentor	You like to play with your food.						001179F3	PerkCard_Caps_Rare		0	
000907D6	IroncladCard	Ironclad	The knights had it right!						001179F3	PerkCard_Caps_Rare		0	
000907CF	StrongbackCard	StrongBack	What are you, part pack mule?						0024F8D6	PerkCard_Caps_Uncommon		0	
000907C9	RiflemanCard	Rifleman	Keep your distance long and your kill-count high.						001179F3	PerkCard_Caps_Rare		0	
00073680	BloodyMessCard	BloodyMess	Watch out for flying eyeballs!						001179ED	PerkCard_Caps_Common		0	
000525DF	PartyBoyGirlCard	PartyBoy	Nobody has a good time like you!						001179ED	PerkCard_Caps_Common		0	
0003EB3B	FirstAidCard	FirstAid	Is there a doctor in the house?						001179ED	PerkCard_Caps_Common		0	
0003C969	PicklockCard	Picklock	Locked? Not for long!						001179ED	PerkCard_Caps_Common		0	
0000BB40	LifegiverCard	LifeGiver	You embody wellness!						001179ED	PerkCard_Caps_Common		0	
00005272	CommandoMasterCard	CommandoMaster							001179F3	PerkCard_Caps_Rare		0	
001C9D2E	HeavyGunnerMasterCard	HeavyGunnerMaster	You're a tank with legs.						001179F3	PerkCard_Caps_Rare		0	
00287CD5	BetterCriticalsCard	BetterCriticals	Advanced training for enhanced combat effectiveness!						0024F8D6	PerkCard_Caps_Uncommon		0	
00287C5C	HackerCard	Hacker	Penetrate terminal security with cutting-edge encryption knowledge.						001179ED	PerkCard_Caps_Common		0	
0008D247	InspirationalCard	Inspirational	You lead by example.						0024F8D6	PerkCard_Caps_Uncommon		0	
0008AD53	LoneWandererCard	LoneWanderer	Who needs friends, anyway?						001179F3	PerkCard_Caps_Rare		0	
0025A7A3	MarathonerCard	Marathoner	You're going the distance!						001179ED	PerkCard_Caps_Common		0	
