PERK_FormID	PERK_EDID	FULL	DESC	ICON	FNAM_SpriteName	DATA_Playable	DATA_Hidden	DATA_Unknown	Refs_Flat	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30	EffectCount	EffectIndex	PRKE_Type	PRKE_Rank	PRKE_Unknown	EP_EntryPoint	EP_Function	EP_PerkCondTabCount	EP_Unknown	PerkConditions_Flat	Cond_1	Cond_2	Cond_3	Cond_4	Cond_5	Cond_6	Cond_7	Cond_8	Cond_9	Cond_10	Cond_11	Cond_12	Cond_13	Cond_14	Cond_15	Cond_16	Cond_17	Cond_18	Cond_19	Cond_20	Cond_21	Cond_22	Cond_23	Cond_24	Cond_25	Cond_26	Cond_27	Cond_28	Cond_29	Cond_30	EPFT_Type	EPFB_PerkEntryID	EPFD_Float	EPF2_UnknownSpellValue	EPF4_ActorValue2	CurveTable_FormID	CurveTable_EDID	CurveTable_FULL	Spell_FormID	Spell_EDID	Spell_FULL	EffectLinks_Flat	EffectLink_1	EffectLink_2	EffectLink_3	EffectLink_4	EffectLink_5	EffectLink_6	EffectLink_7	EffectLink_8	EffectLink_9	EffectLink_10	EffectLink_11	EffectLink_12	EffectLink_13	EffectLink_14	EffectLink_15	EffectLink_16	EffectLink_17	EffectLink_18	EffectLink_19	EffectLink_20	EffectLink_21	EffectLink_22	EffectLink_23	EffectLink_24	EffectLink_25	EffectLink_26	EffectLink_27	EffectLink_28	EffectLink_29	EffectLink_30
00032997	"crBloodbugHeadModMeleeDamage"	""	""	""	""	"False"	"True"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1	0	"Entry Point"	"0"	""	"Mod Weapon Attack Damage"	"Multiply Value"	"3"	"00"	"10100000 | 00 00 00 | 0.000000 | GetValue | 00 00 | PerceptionCondition ""Head"" [AVIF:0000036C] | PerceptionCondition ""Head"" [AVIF:0000036C] | 00 00 00 00 | Subject | 0 | -1"	"10100000"	"00 00 00"	"0.000000"	"GetValue"	"00 00"	"PerceptionCondition ""Head"" [AVIF:0000036C]"	"PerceptionCondition ""Head"" [AVIF:0000036C]"	"00 00 00 00"	"Subject"	"0"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Float"	"0"	"0.330000"	""	""		""	""		""	""	"AVIF:PerceptionCondition[0000036C] | AVIF:PerceptionCondition[0000036C]"	"AVIF:PerceptionCondition[0000036C]"	"AVIF:PerceptionCondition[0000036C]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00031AC6	"crDeathclaw_NerfPlz_perk"	"Deathclaw Exploit"	"The deathclaw does increased damage when fighting anybody who isn't the player."	""	""	"False"	"False"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1	0	"Entry Point"	"0"	""	"Mod Weapon Attack Damage"	"Multiply Value"	"3"	"00"	"00000000 | 00 00 00 | 1.000000 | GetIsReference | 00 00 | PlayerRef [PLYR:00000014] | 00 00 00 00 | Combat Target | 0 | -1"	"00000000"	"00 00 00"	"1.000000"	"GetIsReference"	"00 00"	"PlayerRef [PLYR:00000014]"	"00 00 00 00"	"Combat Target"	"0"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Float"	"0"	"2.000000"	""	""		""	""		""	""	"PLYR:PlayerRef[00000014]"	"PLYR:PlayerRef[00000014]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0002A6FC	"crNoFallDamage"	""	""	""	""	"False"	"False"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1	0	"Entry Point"	"0"	""	"Mod Falling Damage"	"Multiply Value"	"1"	"00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Float"	"0"	"0.000000"	""	""		""	""		""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00023752	"crDeathclaw_toughness_perk"	"Deathclaw Rage"	"The deathclaw takes less damage when fighting multiple enemies."	""	""	"False"	"False"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	5	0	"Entry Point"	"0"	""	"Mod Incoming Weapon Damage"	"Multiply Value"	"3"	"00"	"00000000 | 00 00 00 | 1.000000 | GetIsReference | 00 00 | PlayerRef [PLYR:00000014] | 00 00 00 00 | Combat Target | 0 | -1 | 10000000 | 00 00 00 | 4.000000 | GetCombatGroupMemberCount | 00 00 | 00 00 00 00 | 00 00 00 00 | Subject | 0 | -1"	"00000000"	"00 00 00"	"1.000000"	"GetIsReference"	"00 00"	"PlayerRef [PLYR:00000014]"	"00 00 00 00"	"Combat Target"	"0"	"-1"	"10000000"	"00 00 00"	"4.000000"	"GetCombatGroupMemberCount"	"00 00"	"00 00 00 00"	"00 00 00 00"	"Subject"	"0"	"-1"	""	""	""	""	""	""	""	""	""	""	"Float"	"0"	"0.500000"	""	""		""	""		""	""	"PLYR:PlayerRef[00000014]"	"PLYR:PlayerRef[00000014]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00023752	"crDeathclaw_toughness_perk"	"Deathclaw Rage"	"The deathclaw takes less damage when fighting multiple enemies."	""	""	"False"	"False"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	5	1	"Entry Point"	"0"	""	"Mod Incoming Weapon Damage"	"Multiply Value"	"3"	"00"	"00000000 | 00 00 00 | 1.000000 | GetIsReference | 00 00 | PlayerRef [PLYR:00000014] | 00 00 00 00 | Combat Target | 0 | -1 | 10000000 | 00 00 00 | 5.000000 | GetCombatGroupMemberCount | 00 00 | 00 00 00 00 | 00 00 00 00 | Subject | 0 | -1"	"00000000"	"00 00 00"	"1.000000"	"GetIsReference"	"00 00"	"PlayerRef [PLYR:00000014]"	"00 00 00 00"	"Combat Target"	"0"	"-1"	"10000000"	"00 00 00"	"5.000000"	"GetCombatGroupMemberCount"	"00 00"	"00 00 00 00"	"00 00 00 00"	"Subject"	"0"	"-1"	""	""	""	""	""	""	""	""	""	""	"Float"	"1"	"0.300000"	""	""		""	""		""	""	"PLYR:PlayerRef[00000014]"	"PLYR:PlayerRef[00000014]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00023752	"crDeathclaw_toughness_perk"	"Deathclaw Rage"	"The deathclaw takes less damage when fighting multiple enemies."	""	""	"False"	"False"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	5	2	"Entry Point"	"0"	""	"Mod Incoming Weapon Damage"	"Multiply Value"	"3"	"00"	"00000000 | 00 00 00 | 1.000000 | GetIsReference | 00 00 | PlayerRef [PLYR:00000014] | 00 00 00 00 | Combat Target | 0 | -1 | 10000000 | 00 00 00 | 6.000000 | GetCombatGroupMemberCount | 00 00 | 00 00 00 00 | 00 00 00 00 | Subject | 0 | -1"	"00000000"	"00 00 00"	"1.000000"	"GetIsReference"	"00 00"	"PlayerRef [PLYR:00000014]"	"00 00 00 00"	"Combat Target"	"0"	"-1"	"10000000"	"00 00 00"	"6.000000"	"GetCombatGroupMemberCount"	"00 00"	"00 00 00 00"	"00 00 00 00"	"Subject"	"0"	"-1"	""	""	""	""	""	""	""	""	""	""	"Float"	"2"	"0.250000"	""	""		""	""		""	""	"PLYR:PlayerRef[00000014]"	"PLYR:PlayerRef[00000014]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00023752	"crDeathclaw_toughness_perk"	"Deathclaw Rage"	"The deathclaw takes less damage when fighting multiple enemies."	""	""	"False"	"False"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	5	3	"Entry Point"	"0"	""	"Mod Incoming Weapon Damage"	"Multiply Value"	"3"	"00"	"00000000 | 00 00 00 | 1.000000 | GetIsReference | 00 00 | PlayerRef [PLYR:00000014] | 00 00 00 00 | Combat Target | 0 | -1 | 10000000 | 00 00 00 | 2.000000 | GetCombatGroupMemberCount | 00 00 | 00 00 00 00 | 00 00 00 00 | Subject | 0 | -1"	"00000000"	"00 00 00"	"1.000000"	"GetIsReference"	"00 00"	"PlayerRef [PLYR:00000014]"	"00 00 00 00"	"Combat Target"	"0"	"-1"	"10000000"	"00 00 00"	"2.000000"	"GetCombatGroupMemberCount"	"00 00"	"00 00 00 00"	"00 00 00 00"	"Subject"	"0"	"-1"	""	""	""	""	""	""	""	""	""	""	"Float"	"3"	"0.800000"	""	""		""	""		""	""	"PLYR:PlayerRef[00000014]"	"PLYR:PlayerRef[00000014]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00023752	"crDeathclaw_toughness_perk"	"Deathclaw Rage"	"The deathclaw takes less damage when fighting multiple enemies."	""	""	"False"	"False"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	5	4	"Entry Point"	"0"	""	"Mod Incoming Weapon Damage"	"Multiply Value"	"3"	"00"	"00000000 | 00 00 00 | 1.000000 | GetIsReference | 00 00 | PlayerRef [PLYR:00000014] | 00 00 00 00 | Combat Target | 0 | -1 | 10000000 | 00 00 00 | 3.000000 | GetCombatGroupMemberCount | 00 00 | 00 00 00 00 | 00 00 00 00 | Subject | 0 | -1"	"00000000"	"00 00 00"	"1.000000"	"GetIsReference"	"00 00"	"PlayerRef [PLYR:00000014]"	"00 00 00 00"	"Combat Target"	"0"	"-1"	"10000000"	"00 00 00"	"3.000000"	"GetCombatGroupMemberCount"	"00 00"	"00 00 00 00"	"00 00 00 00"	"Subject"	"0"	"-1"	""	""	""	""	""	""	""	""	""	""	"Float"	"4"	"0.750000"	""	""		""	""		""	""	"PLYR:PlayerRef[00000014]"	"PLYR:PlayerRef[00000014]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00023753	"crDeathclaw_rage_perk"	"Deathclaw Rage"	"The deathclaw does increased damage when fighting multiple enemies."	""	""	"False"	"False"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	5	0	"Entry Point"	"1"	""	"Mod Weapon Attack Damage"	"Multiply Value"	"3"	"00"	"00000000 | 00 00 00 | 1.000000 | GetIsReference | 00 00 | PlayerRef [PLYR:00000014] | 00 00 00 00 | Combat Target | 0 | -1 | 11000000 | 00 00 00 | 6.000000 | GetCombatGroupMemberCount | 00 00 | 00 00 00 00 | 00 00 00 00 | Subject | 0 | -1"	"00000000"	"00 00 00"	"1.000000"	"GetIsReference"	"00 00"	"PlayerRef [PLYR:00000014]"	"00 00 00 00"	"Combat Target"	"0"	"-1"	"11000000"	"00 00 00"	"6.000000"	"GetCombatGroupMemberCount"	"00 00"	"00 00 00 00"	"00 00 00 00"	"Subject"	"0"	"-1"	""	""	""	""	""	""	""	""	""	""	"Float"	"4"	"3.000000"	""	""		""	""		""	""	"PLYR:PlayerRef[00000014]"	"PLYR:PlayerRef[00000014]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00023753	"crDeathclaw_rage_perk"	"Deathclaw Rage"	"The deathclaw does increased damage when fighting multiple enemies."	""	""	"False"	"False"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	5	1	"Entry Point"	"3"	""	"Mod Weapon Attack Damage"	"Multiply Value"	"3"	"00"	"00000000 | 00 00 00 | 1.000000 | GetIsReference | 00 00 | PlayerRef [PLYR:00000014] | 00 00 00 00 | Combat Target | 0 | -1 | 10000000 | 00 00 00 | 5.000000 | GetCombatGroupMemberCount | 00 00 | 00 00 00 00 | 00 00 00 00 | Subject | 0 | -1"	"00000000"	"00 00 00"	"1.000000"	"GetIsReference"	"00 00"	"PlayerRef [PLYR:00000014]"	"00 00 00 00"	"Combat Target"	"0"	"-1"	"10000000"	"00 00 00"	"5.000000"	"GetCombatGroupMemberCount"	"00 00"	"00 00 00 00"	"00 00 00 00"	"Subject"	"0"	"-1"	""	""	""	""	""	""	""	""	""	""	"Float"	"3"	"2.500000"	""	""		""	""		""	""	"PLYR:PlayerRef[00000014]"	"PLYR:PlayerRef[00000014]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
