Section	Path	Index	Name	Value	ChildCount	Signature
--- QUEST	008A45D9		QDLBarbara_Lesson06			QUST
VMAD	VMAD	0	Version	6	0	
VMAD	VMAD	1	Object Format	2	0	
VMAD	VMAD	2	Scripts		4	
VMAD	VMAD/Scripts	0	Script		3	
VMAD	VMAD/Scripts	1	Script		3	
VMAD	VMAD/Scripts	2	Script		3	
VMAD	VMAD/Scripts	3	Script		3	
VMAD	VMAD	3	Script Fragments		5	
VMAD	VMAD/Script Fragments	0	Extra bind data version	4	0	
VMAD	VMAD/Script Fragments	1	FragmentCount	15	0	
VMAD	VMAD/Script Fragments	2	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
VMAD	VMAD/Script Fragments	3	Script		1	
VMAD	VMAD/Script Fragments	4	Fragments		15	
VMAD	VMAD	4	Aliases		9	
VMAD	VMAD/Aliases	0	Alias		4	
VMAD	VMAD/Aliases	1	Alias		4	
VMAD	VMAD/Aliases	2	Alias		4	
VMAD	VMAD/Aliases	3	Alias		4	
VMAD	VMAD/Aliases	4	Alias		4	
VMAD	VMAD/Aliases	5	Alias		4	
VMAD	VMAD/Aliases	6	Alias		4	
VMAD	VMAD/Aliases	7	Alias		4	
VMAD	VMAD/Aliases	8	Alias		4	
FRAGMENTS	Script Fragments	0	Extra bind data version	4	0	
FRAGMENTS	Script Fragments	1	FragmentCount	15	0	
FRAGMENTS	Script Fragments	2	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
FRAGMENTS	Script Fragments	3	Script		1	
FRAGMENTS	Script Fragments/Script	0	Script Data		2	
FRAGMENTS	Script Fragments/Script/Script Data	0	Flags	Local	0	
FRAGMENTS	Script Fragments/Script/Script Data	1	Properties		7	
FRAGMENTS	Script Fragments/Script/Script Data/Properties	0	Property		4	
FRAGMENTS	Script Fragments/Script/Script Data/Properties	1	Property		4	
FRAGMENTS	Script Fragments/Script/Script Data/Properties	2	Property		4	
FRAGMENTS	Script Fragments/Script/Script Data/Properties	3	Property		4	
FRAGMENTS	Script Fragments/Script/Script Data/Properties	4	Property		4	
FRAGMENTS	Script Fragments/Script/Script Data/Properties	5	Property		4	
FRAGMENTS	Script Fragments/Script/Script Data/Properties	6	Property		4	
FRAGMENTS	Script Fragments	4	Fragments		15	
FRAGMENTS	Script Fragments/Fragments	0	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	10	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0010_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	1	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	100	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0100_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	2	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	150	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0150_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	3	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	200	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
