QuestFormID	QuestEDID	QuestName	ObjectiveIndex	ObjectiveFlags	ObjectiveText	TargetIndex	TargetAliasID	TargetAliasName	TargetFlags	TargetConditions	TargetLinks
008A45D9	QDLBarbara_Lesson06	Event: A Feast Fit for a King	10	Uses Timer	Talk to Eddie Nelson	0	010 NPC_Eddie	NPC_Eddie			
008A45D9	QDLBarbara_Lesson06	Event: A Feast Fit for a King	20		Enter the Festival Arena	0	008 Trigger_EnterArena	Trigger_EnterArena			
008A45D9	QDLBarbara_Lesson06	Event: A Feast Fit for a King	25		Kill Raiders						
008A45D9	QDLBarbara_Lesson06	Event: A Feast Fit for a King	30		Place Human Guts in the Offering Baskets <Variable=BasketCount>/5	0	012 Activator_Basket01	Activator_Basket01		10000000|0.000000|GetStageDoneCurrentInstance|00 00 00|00 00|310|00 00 00 00|0|002|Quest Alias|	
008A45D9	QDLBarbara_Lesson06	Event: A Feast Fit for a King	30		Place Human Guts in the Offering Baskets <Variable=BasketCount>/5	1	021 Activator_Basket02	Activator_Basket02		10000000|0.000000|GetStageDoneCurrentInstance|00 00 00|00 00|320|00 00 00 00|0|002|Quest Alias|	
008A45D9	QDLBarbara_Lesson06	Event: A Feast Fit for a King	30		Place Human Guts in the Offering Baskets <Variable=BasketCount>/5	2	022 Activator_Basket03	Activator_Basket03		10000000|0.000000|GetStageDoneCurrentInstance|00 00 00|00 00|330|00 00 00 00|0|002|Quest Alias|	
008A45D9	QDLBarbara_Lesson06	Event: A Feast Fit for a King	30		Place Human Guts in the Offering Baskets <Variable=BasketCount>/5	3	023 Activator_Basket04	Activator_Basket04		10000000|0.000000|GetStageDoneCurrentInstance|00 00 00|00 00|340|00 00 00 00|0|002|Quest Alias|	
008A45D9	QDLBarbara_Lesson06	Event: A Feast Fit for a King	30		Place Human Guts in the Offering Baskets <Variable=BasketCount>/5	4	024 Activator_Basket05	Activator_Basket05		10000000|0.000000|GetStageDoneCurrentInstance|00 00 00|00 00|350|00 00 00 00|0|002|Quest Alias|	
008A45D9	QDLBarbara_Lesson06	Event: A Feast Fit for a King	40	Uses Timer	Kill the Great Poseidon before the Ceremony concludes	0	007	Enemy_Boss			
008A45D9	QDLBarbara_Lesson06	Event: A Feast Fit for a King	50		Protect Eddie's Boat	0	020 Object_EddiesSailboat	Object_EddiesSailboat			
0082446B	zzzBurn_BountyHunt_Public_Test	Event: For Testing Specific HeadHunts	10		Travel to last known location of target	0	002 BountyLocationEventMarker	BountyLocationEventMarker			
0082446B	zzzBurn_BountyHunt_Public_Test	Event: For Testing Specific HeadHunts	20	Uses Timer	Wait for before lighting the signal	0	003 BountyBeaconActivator	BountyBeaconActivator			
0082446B	zzzBurn_BountyHunt_Public_Test	Event: For Testing Specific HeadHunts	30		Light the signal	0	003 BountyBeaconActivator	BountyBeaconActivator			
0082446B	zzzBurn_BountyHunt_Public_Test	Event: For Testing Specific HeadHunts	40	Uses Timer	Kill the target	0	013	EnemyRefColl_BountyTargetThreeStar			
