FormID	EDID	NAM1_ActorValue	NAM2_Produce	NAM4_Interval	ReferencedByCount	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6	Ref7	Ref8	Ref9	Ref10	Ref11	Ref12	Ref13	Ref14	Ref15	Ref16	Ref17	Ref18	Ref19	Ref20	Ref21	Ref22	Ref23	Ref24	Ref25	Ref26	Ref27	Ref28	Ref29	Ref30
00064668	WaterResource	Water "Water" [AVIF:00000332]	WorkshopProduceWater [LVLI:00026833]	ResourceProductionIntervalHoursWater [GLOB:0045128B]	30	000089B9:SunshineMeadowsWorkshopRef:REFR	0000DC5B:TestWorkshopRef:REFR	0001FCAD:LakesideCabinsWorkshopRef:REFR	0003056F:BerkeleySpringsWorkshopRef:REFR	00088ACF:TylerCountyTrackWorkshopRef:REFR	0009A911:GorgeJunkyardWorkshopRef:REFR	0013B821::REFR	0014778B:GraftonSteelWorkshopRef:REFR	001477BB:ThunderMountainWorkshopRef:REFR	001477D9:MunitionsFactoryWorkshopRef:REFR	001843FC:MountBlairWorkshopRef:REFR	00188B82::REFR	0020106D:BeckleyWorkshopRef:REFR	00289B25:CharlestonLandfillWorkshopRef:REFR	00289B2C::REFR	00289B41:DabneyHomesteadWorkshopRef:REFR	0029C4C9:FederalDisposalFieldWorkshopRef:REFR	0029E785::REFR	002B5D44:MonongahWorkshopRef:REFR	002D13E0:DollySodsWorkshopRef:REFR	0030AC78:WadeAirportWorkshopRef:REFR	00319B7D:HemlockHolesWorkshopRef:REFR	0031BAA5:AbandonedBogTownWorkshopRef:REFR	00342749:RedRocketMegaStopWorkshopRef:REFR	003BD137:PoseidonEnergyWorkshopRef:REFR	0044D2E1::REFR	0059ABC5::REFR	0059ABC6::REFR	005C2871::REFR	007F67E3:StarlightDriveinWorkshopRef:REFR
0006471D	FoodResource	Food "Food" [AVIF:00000331]	NULL - Null Reference [00000000]	ResourceProductionIntervalHoursFood [GLOB:0037A23B]	30	000089B9:SunshineMeadowsWorkshopRef:REFR	0000DC5B:TestWorkshopRef:REFR	0001FCAD:LakesideCabinsWorkshopRef:REFR	0003056F:BerkeleySpringsWorkshopRef:REFR	00088ACF:TylerCountyTrackWorkshopRef:REFR	0009A911:GorgeJunkyardWorkshopRef:REFR	0013B821::REFR	0014778B:GraftonSteelWorkshopRef:REFR	001477BB:ThunderMountainWorkshopRef:REFR	001477D9:MunitionsFactoryWorkshopRef:REFR	001843FC:MountBlairWorkshopRef:REFR	00188B82::REFR	0020106D:BeckleyWorkshopRef:REFR	00289B25:CharlestonLandfillWorkshopRef:REFR	00289B2C::REFR	00289B41:DabneyHomesteadWorkshopRef:REFR	0029C4C9:FederalDisposalFieldWorkshopRef:REFR	0029E785::REFR	002B5D44:MonongahWorkshopRef:REFR	002D13E0:DollySodsWorkshopRef:REFR	0030AC78:WadeAirportWorkshopRef:REFR	00319B7D:HemlockHolesWorkshopRef:REFR	0031BAA5:AbandonedBogTownWorkshopRef:REFR	00342749:RedRocketMegaStopWorkshopRef:REFR	003BD137:PoseidonEnergyWorkshopRef:REFR	0044D2E1::REFR	0059ABC5::REFR	0059ABC6::REFR	005C2871::REFR	007F67E3:StarlightDriveinWorkshopRef:REFR
000897D2	AcidResource	ResourceAV_Acid "Acid" [AVIF:000897B7]	WorkshopProduceAcid [LVLI:000897C3]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	8	0000DC5B:TestWorkshopRef:REFR	0013B821::REFR	0029C4C9:FederalDisposalFieldWorkshopRef:REFR	002B5D44:MonongahWorkshopRef:REFR	00319B7D:HemlockHolesWorkshopRef:REFR	0031BAA5:AbandonedBogTownWorkshopRef:REFR	0044D2E1::REFR	007F67E3:StarlightDriveinWorkshopRef:REFR																						
000897E9	AdhesiveResource	ResourceAV_Adhesive "Adhesive" [AVIF:000897B5]	WorkshopProduceAdhesive [LVLI:000897C4]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	0																														
000897EA	AluminumResource	ResourceAV_Aluminum "Aluminum" [AVIF:000897B9]	WorkshopProduceAluminum [LVLI:000897DF]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	11	000089B9:SunshineMeadowsWorkshopRef:REFR	0000DC5B:TestWorkshopRef:REFR	0003056F:BerkeleySpringsWorkshopRef:REFR	00088ACF:TylerCountyTrackWorkshopRef:REFR	0013B821::REFR	001477D9:MunitionsFactoryWorkshopRef:REFR	00289B25:CharlestonLandfillWorkshopRef:REFR	00342749:RedRocketMegaStopWorkshopRef:REFR	003BD137:PoseidonEnergyWorkshopRef:REFR	0044D2E1::REFR	007F67E3:StarlightDriveinWorkshopRef:REFR																			
000897EB	ConcreteResource	ResourceAV_Concrete "Concrete" [AVIF:000897B1]	WorkshopProduceConcrete [LVLI:000897E0]	ResourceProductionIntervalHoursCommon [GLOB:0044AF5B]	8	000089B9:SunshineMeadowsWorkshopRef:REFR	0000DC5B:TestWorkshopRef:REFR	0009A911:GorgeJunkyardWorkshopRef:REFR	0013B821::REFR	00289B41:DabneyHomesteadWorkshopRef:REFR	0031BAA5:AbandonedBogTownWorkshopRef:REFR	003BD137:PoseidonEnergyWorkshopRef:REFR	0044D2E1::REFR																						
00089806	CopperResource	ResourceAV_Copper "Copper" [AVIF:000897B8]	WorkshopProduceCopper [LVLI:00089807]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	8	0000DC5B:TestWorkshopRef:REFR	0013B821::REFR	0014778B:GraftonSteelWorkshopRef:REFR	00289B25:CharlestonLandfillWorkshopRef:REFR	00289B2C::REFR	00289B41:DabneyHomesteadWorkshopRef:REFR	0030AC78:WadeAirportWorkshopRef:REFR	0044D2E1::REFR																						
0008BE94	CrystalResource	ResourceAV_Crystal "Crystal" [AVIF:000897C1]	WorkshopProduceCrystal [LVLI:00089809]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	10	0000DC5B:TestWorkshopRef:REFR	0001FCAD:LakesideCabinsWorkshopRef:REFR	0003056F:BerkeleySpringsWorkshopRef:REFR	0013B821::REFR	001477BB:ThunderMountainWorkshopRef:REFR	0020106D:BeckleyWorkshopRef:REFR	00289B2C::REFR	00319B7D:HemlockHolesWorkshopRef:REFR	0044D2E1::REFR	007F67E3:StarlightDriveinWorkshopRef:REFR																				
0008BE98	FertilizerResource	ResourceAV_Fertilizer "Fertilizer" [AVIF:003C4E0E]	WorkshopProduceFertilizer [LVLI:00249BEB]	ResourceProductionIntervalHoursCommon [GLOB:0044AF5B]	5	000089B9:SunshineMeadowsWorkshopRef:REFR	0000DC5B:TestWorkshopRef:REFR	00088ACF:TylerCountyTrackWorkshopRef:REFR	00289B2C::REFR	00289B41:DabneyHomesteadWorkshopRef:REFR																									
0008EC65	GoldResource	ResourceAV_Gold "Gold" [AVIF:000897BA]	WorkshopProduceGold [LVLI:000897E2]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	8	0000DC5B:TestWorkshopRef:REFR	0013B821::REFR	0020106D:BeckleyWorkshopRef:REFR	00289B2C::REFR	002D13E0:DollySodsWorkshopRef:REFR	00319B7D:HemlockHolesWorkshopRef:REFR	0031BAA5:AbandonedBogTownWorkshopRef:REFR	0044D2E1::REFR																						
0008ECED	LeadResource	ResourceAV_Lead "Lead" [AVIF:000897BF]	WorkshopProduceLead [LVLI:000897E6]	ResourceProductionIntervalHoursCommon [GLOB:0044AF5B]	9	0000DC5B:TestWorkshopRef:REFR	0001FCAD:LakesideCabinsWorkshopRef:REFR	0003056F:BerkeleySpringsWorkshopRef:REFR	0013B821::REFR	0014778B:GraftonSteelWorkshopRef:REFR	001477D9:MunitionsFactoryWorkshopRef:REFR	002D13E0:DollySodsWorkshopRef:REFR	003BD137:PoseidonEnergyWorkshopRef:REFR	0044D2E1::REFR																					
0008ECEE	NuclearResource	ResourceAV_Nuclear "Nuclear" [AVIF:000897B4]	WorkshopProduceNuclear [LVLI:000897E1]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	8	0000DC5B:TestWorkshopRef:REFR	0013B821::REFR	001477BB:ThunderMountainWorkshopRef:REFR	0029C4C9:FederalDisposalFieldWorkshopRef:REFR	002B5D44:MonongahWorkshopRef:REFR	00342749:RedRocketMegaStopWorkshopRef:REFR	003BD137:PoseidonEnergyWorkshopRef:REFR	0044D2E1::REFR																						
0008ECEF	OilResource	ResourceAV_Oil "Oil" [AVIF:000897AF]	WorkshopProduceOil [LVLI:000897E7]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	10	0000DC5B:TestWorkshopRef:REFR	0013B821::REFR	0014778B:GraftonSteelWorkshopRef:REFR	001477D9:MunitionsFactoryWorkshopRef:REFR	0020106D:BeckleyWorkshopRef:REFR	0029C4C9:FederalDisposalFieldWorkshopRef:REFR	0030AC78:WadeAirportWorkshopRef:REFR	0031BAA5:AbandonedBogTownWorkshopRef:REFR	0044D2E1::REFR	007F67E3:StarlightDriveinWorkshopRef:REFR																				
