SPEL_FormID	SPEL_EDID	SPEL_FULL	SPEL_DESC
000390C0	PowerArmorPerkSpell		
0003495F	AbRaceMolerat		
0002866A	AbRaceBloodbug		
00023F1B	WaterRadiationHazard	Water Radiation	
00024FBF	WaterRadiationDrinkingDirty	Water	
00021E7F	AbRaceDeathclaw		
0004A0D3	AbPerkLifeGiver	Life Giver	
0004B252	AbPerkStrongBack	Strong Back	
0004B260	AbPerkRockSteady	Rock Steady	
0004B269	AbPerkWellGroomed	Well Groomed	
0004C93A	AbPerkNightPerson	Night Person	
0004D86C	AbPerkCyborg	Cyborg	
0004D871	AbPerkActionBoyGirl	Action Boy/Girl	
0004D884	AbPerkNerdRage	Nerd Rage	
0004D8A9	AbPerkSolarPowered	Solar Powered	
0004DDEF	AbPerkMovingTarget1	Moving Target	
0005240D	PerkParalyze	Paralyze	
00052411	AbPerkUnstoppable	Unstoppable	
00020755	PerkPacify	Perk Pacify	
00029478	AbRaceBloatfly		
00036663	crBloatflyFrenzySpell	Bloatfly Frenzy	
0003E061	AbAddictionAlcohol	Alcohol Addiction	
0004BAE0	AbAddictionBuffout	Buffout Addiction	
0004BAE2	AbAddictionMentats	Mentats Addiction	
0004BAE3	AbAddictionPsycho	Psycho Addiction	
0004BAE4	AbAddictionMedX	Med-X Addiction	
0004C47C	AbRaceMirelurk	Mirelurk abilities	
0004C47E	AbPerkLeadBelly	Lead Belly	
0004D6B9	AbPerkRadResistance	Rad Resistance	
0005B2E0	PerkCannibalHeal	Cannibal Heal	
0005C528	SURV_WellRested	Rested	
0005C52F	HealLimbs	Heal Limbs	
0005DD98	AbPerkAbsorbRadiation	Absorb Radiation	
0005E1C9	abDeathClawClawsSpell		
000636DD	AbRaceRadScorpion	Mirelurk abilities	
0006AB35	AbPerkVANS	Vault Assisted Navigation System	
0006D2E2	PoisonStingwingBite	Stingwing Poison	
000731B2	CritLaser		
0008381F	HazardRadiationCarExplosion	Radiation	
0009252C	RadiationHazardLight	Light Radiation	
0009253D	RadiationHazardStrong	Strong Radiation	
0009253E	RadiationHazardDeadly	Deadly Radiation	
0003CC96	SpellVANS	VANS	
00064C64	AbRaceMirkelurkHunter	Mirelurk abilities	
000986CB	abGunButtKnockbackSpell		
000A564A	crGlowingOneBurst	Radiation Explosion	
000A7D74	CigaretteLightSpell		
000ADF5C	GenericBrawlConfidenceBoost	Brawl confidence	
000B1ECD	WaterFountainDrinkingDirty	Water	
000B268E	AbRaceRobots	Robot abilities	
000BA450	mod_Lining_FieldGen_Radiation_Spell_1	FieldGen Radiation Spell	
000BA457	mod_Lining_FieldGen_Radiation_Spell_2	FieldGen Radiation Spell	
000BA458	mod_Lining_FieldGen_Radiation_Spell_3	FieldGen Radiation Spell	
000BA459	mod_Lining_FieldGen_Radiation_Spell_4	FieldGen Radiation Spell	
000BA461	mod_Lining_FieldGen_EMP_Spell_2	FieldGen EMP Spell 2	
000BA462	mod_Lining_FieldGen_EMP_Spell_1	FieldGen EMP Spell	
000BA463	mod_Lining_FieldGen_EMP_Spell_3	FieldGen EMP Spell 3	
000BA464	mod_Lining_FieldGen_EMP_Spell_4	FieldGen EMP Spell 4	
000CA9A0	AbPerkRefractor	Refractor	
000DF451	RadiationHazardToken	Radiation	
000E36FB	AbPerkAquaboy	Aquaboy	
000ED6DD	AbGenericBrawlPreventLimbDamage		
000F248B	TrapOilFireHazard	Strong Fire Hazard	
000F3C1D	LoversEmbracePerkSpell	Lover's Embrace	
000DB3AD	crGlowingOneCloak	Radiation Cloak	
00102797	AbRaceMirelurkQueen	Mirelurk abilities	
00106FBB	crYaoGuaiRoarFearSpell	Yao Guai Roar Fear Spell	
00115A93	PoisonRadstagHorn	Radstag Infection	
00115EA3	RadstagCorruption	Radstag Corruption	
00115EA4	crGlowingRadstagCloak	Radiation Cloak	
00115EB0	PoisonRadscorpion	Radscorpion Poison	
00116007	AbRaceTurretTripod		
0011669C	crGlowingRadscorpionCloak	Radiation Cloak	
001166A4	crGlow02Burst	Radiation Explosion	
0011680D	terminalhackerTurretSabotageSpell	Overclocking_Subroutine	
00122E6B	AbRaceEyebot		
0012772C	jetpackSpell	Jet Paaaaaaaaaaaaaaaaaaaaack!	
00135F0B	AbPerkMagWSGCarry	Backpacking	
00139F8C	CritPlasma		
00140F27	TrapElectricArcSpell		
001423A3	crGlowingMirelurkCloak	Radiation Cloak	
001423A4	crGlowingMirelurkHunterCloak	Radiation Cloak	
001423A5	crGlowingMirelurkKingCloak	Radiation Cloak	
001423A6	crGlowingCarrionGhoulCloak	Radiation Cloak	
001423B9	crGlowingBloodbugCloak	Radiation Cloak	
001423BA	PoisonBloodbug	Bloodbug Infection	
001423C0	crGlowingStingwingCloak	Radiation Cloak	
00144AB2	crBehemothSlam	Behemoth Slam	
001478EC	CritFire		
001478ED	CritCryo		
0014AE57	PoisonMirelurkHunter	Hunter Poison	
0014D17A	crBehemothStomp	Behemoth Stomp	
001504F3	BloodbugHeal	Drink Blood	
0015A197	AbRaceSuperMutant	Super Mutant abilities	
001680CA	AbRaceAssaultron		
00169635	MirelurkSpawnQueenSpell		
0016968F	AbPerkMagAP		
00169694	AbPerkMagPoisonResist		
00169697	AbPerkMagRadResist		
00171782	PerkPainTrainHitSpell	Applied to target by cloak effect	
00171784	abPerkPainTrain	Pain Train	
0017FCEA	crGlowingBloatflyCloak	Radiation Cloak	
0017FCEB	crBloatflyRadHazard	Radiation	
