SPEL_FormID	SPEL_EDID	SPEL_FULL	EffectIndex	EFID_MGEF_FormID	EFID_MGEF_EDID	EFID_MGEF_FULL	CVTO_CURV_FormID	CVTO_CURV_EDID	MAGA_AVIF_FormID	MAGA_AVIF_EDID	EFIT_Magnitude	EFIT_Area	EFIT_Duration
000390C0	PowerArmorPerkSpell		0	000390C1	PowerArmorPerkEffect	Power Armor					0.000000	0	0
0003495F	AbRaceMolerat		0	000345AC	abMoleratRaceEffect	Molerat Abilities					0.000000	0	0
0003495F	AbRaceMolerat		1	003D6B8E	abMoleratBroodMotherRaceEffect	Molerat Brood Mother Abilities					0.000000	0	0
0003495F	AbRaceMolerat		2	004501E4	abMoleratBroodMotherSlowEffect	Molerat Brood Mother Slow Effect					30.000000	0	0
0002866A	AbRaceBloodbug		0	000294F6	abBloodbugRaceEffect	Bloodbug Abilities					0.000000	0	0
00023F1B	WaterRadiationHazard	Water Radiation	0	00023F16	WaterRadiationHazardEffect	Radiation Damage					0.000000	0	0
00024FBF	WaterRadiationDrinkingDirty	Water	0	00134836	SURV_Drink_Effect	SURV_Drink_Effect					900.000000	0	0
00024FBF	WaterRadiationDrinkingDirty	Water	1	000B8587	DamageRadiationWaterInjestion	Radiation Damage					5.000000	0	2
00024FBF	WaterRadiationDrinkingDirty	Water	2	0000397E	RestoreHealthFood	Restore Health					2.000000	0	10
00024FBF	WaterRadiationDrinkingDirty	Water	3	00284970	SURV_DiseaseVector_Drink_Effect	SURV_DiseaseVector_Drink_Effect					15.000000	0	0
00021E7F	AbRaceDeathclaw		0	00021E80	abDeathclawRaceEffect	Deathclaw Abilities					0.000000	0	0
0004A0D3	AbPerkLifeGiver	Life Giver	0	00511AE4	AbPerkFortifyHealth	Fortify Health			000002C4	Endurance	0.000000	0	0
0004B252	AbPerkStrongBack	Strong Back	0	0006F7DB	AbPerkFortifyCarryWeight	Fortify Carry Weight			000002C2	Strength	0.000000	0	0
0004B260	AbPerkRockSteady	Rock Steady	0	0004A0AC	AbPerkFortifyResistDamage	Fortify Damage Resist					10.000000	0	0
0004B269	AbPerkWellGroomed	Well Groomed	0	0004B268	AbFortifyCharisma	Fortify Charisma					1.000000	0	0
0004C93A	AbPerkNightPerson	Night Person	0	004351E1	AbPerkFortifyIntelligence	Fortify Intelligence					1.000000	0	0
0004C93A	AbPerkNightPerson	Night Person	1	004351E2	AbPerkFortifyPerception	Fortify Perception					1.000000	0	0
0004C93A	AbPerkNightPerson	Night Person	2	004351E1	AbPerkFortifyIntelligence	Fortify Intelligence					2.000000	0	0
0004C93A	AbPerkNightPerson	Night Person	3	004351E2	AbPerkFortifyPerception	Fortify Perception					2.000000	0	0
0004C93A	AbPerkNightPerson	Night Person	4	004351E1	AbPerkFortifyIntelligence	Fortify Intelligence					3.000000	0	0
0004C93A	AbPerkNightPerson	Night Person	5	004351E2	AbPerkFortifyPerception	Fortify Perception					3.000000	0	0
0004D86C	AbPerkCyborg	Cyborg	0	0004C47D	AbPerkFortifyResistRadiationExpose	Fortify Radiation Resist					15.000000	0	0
0004D86C	AbPerkCyborg	Cyborg	1	0004D86B	AbPerkFortifyResistPoison	Fortify Poison Resist					15.000000	0	0
