CELL_FormID	CELL_EDID	PKIN_FormID	PKIN_EDID	ENTM_FormID	ENTM_EDID	ENTM_FULL	ItemCount	Item_1	Item_2	Item_3	Item_4	Item_5	Item_6	Item_7	Item_8	Item_9
00645352	PackInF1SurvivalTentAPCRustStorageCell	00645359	F1_SurvivalTent_APC_Rust	0064A0B7	ATX_F1_ENTM_SurvivalTent_Skin_APC_Rusted	Rusted APC Survival Tent	5	00645354|FURN|00012FF0|WorkbenchTinkersA|Tinker's Workbench	00645355|FURN|005FAB9B|F1_ATX_Bed_APC|APC Bed	00645356|FURN|000C79B4|WorkbenchCookingGroundPot|Cooking Station	00645357|CONT|005FAB9A|F1_ATX_ScrapBox_Army|My Scrapbox	00645358|CONT|0001C337|StashBoxTrunk|My Stash Box				
00781446	PackInF1SurvivalTentVintageCamperPKINStorageCell	00781447	ZZZ_F1_SurvivalTent_VintageCamper_PKIN				9	0078144A|FURN|006F591D|F1_Gazebo_WorkbenchCookingFire|Cooking Fire	0078144B|FURN|00684B85|Moon_CampfireGuitar|Acoustic Guitar	00781452|CONT|007808BE|SCORE_S17_F1_SurvivalTent_VintageCamper_ScrapBox|My Scrapbox	00781453|FURN|007808BF|F1_SurvivalTent_Bed_VintageCamper|Cot	00781455|CONT|007808BD|F1_VintageCamper_AmmoStorageBox|Small Ammo Storage Box	0078145D|CONT|007808BC|SCORE_S17_F1_Stashbox_PicnicBasket|My Stash Box	00781465|FURN|00012FF0|WorkbenchTinkersA|Tinker's Workbench	00781466|ACTI|004FBDF3|WorkshopRadioAppalachiaReceiverOff|Appalachia Radio	00781467|ACTI|007808BB|FI_SurvivalTent_VintageCamper_PunchCardMachine|Punch Card Machine
0059BCB3	PackInF1SurvivalTentXmasStorageCell	0059BCB2	F1_SurvivalTent_Xmas	005A0045	ATX_F1_ENTM_SurvivalTent_Skin_Xmas	Holiday Survival Tent	5	0059EE9E|FURN|0059EE9D|F1_SurvivalTentSleepingBag_Xmas|Xmas Sleeping Bag	0059BCB6|CONT|0001C337|StashBoxTrunk|My Stash Box	0059BCB7|FURN|0000C22A|Instrument_Banjo|Banjo	0059BCB8|FURN|000C79B4|WorkbenchCookingGroundPot|Cooking Station	0059BCBA|CONT|00568F9D|F1_ScrapBox_Standard|My Scrapbox				
00786E0C	PackInF1SurvivalTentVaultTecPKINStorageCell	00786E0E	F1_SurvivalTent_VaultTec_PKIN	0078141E	ATX_F1_ENTM_SurvivalTent_Skin_VaultTec	Vault-Tec Preeminent Survival Tent	7	00786E10|FURN|000C79B4|WorkbenchCookingGroundPot|Cooking Station	00786E11|CONT|0017DBEB|WorkshopStashBox|My Stash Box	00786E12|CONT|005FAB9A|F1_ATX_ScrapBox_Army|My Scrapbox	00786E13|FURN|00012FF0|WorkbenchTinkersA|Tinker's Workbench	00786E14|FURN|0018C56F|WorkshopNpcBedMetalLay01|Bed	00786E15|FURN|0017E787|workbenchWeaponsB|Weapons Workbench	00786E16|CONT|00786E0D|ATX_F1_AmmoStorageBox_VaultTec_SurvivalTent|My Ammo Storage Box		
006F5196	PackInF1SurvivalTentFlatbedTruckStorageCell	006F5199	F1_SurvivalTent_FlatbedTruck	006F5198	ATX_F1_ENTM_SurvivalTent_Skin_FlatbedTruck	Flatbed Truck Tent	5	0073DFC4|FURN|0073DFC3|F1_ATX_Bed_FlatbedTruck|Flatbed Truck Bed	006F519D|CONT|0001C337|StashBoxTrunk|My Stash Box	006F519E|CONT|005FAB9A|F1_ATX_ScrapBox_Army|My Scrapbox	006F519F|FURN|000C79B4|WorkbenchCookingGroundPot|Cooking Station	006F51A1|FURN|00012FF0|WorkbenchTinkersA|Tinker's Workbench				
0055A6B0	PackInF1SurvivalTentStorageCell	0055A6BE	F1_SurvivalTent				5	0058ECB4|FURN|0058ECB3|F1_SurvivalTentSleepingBag|Sleeping Bag	0058821D|CONT|00568F9D|F1_ScrapBox_Standard|My Scrapbox	00569AAB|FURN|000C79B4|WorkbenchCookingGroundPot|Cooking Station	00569AAD|FURN|0000C22A|Instrument_Banjo|Banjo	00569AAE|CONT|0001C337|StashBoxTrunk|My Stash Box				
0081DED9	PackInF1S21SurvivalTentBoathousePKINStorageCell	0081DEDA	F1_S21_SurvivalTent_Houseboat_PKIN	0081DECE	SCORE_S21_F1_ENTM_SurvivalTent_Skin_Houseboat	Houseboat Survival Tent	9	008284E4|FURN|00012FF0|WorkbenchTinkersA|Tinker's Workbench	0081DFF1|CONT|0081DECB|F1_SurvivalTent_Houseboat_Stashbox_PirateChest|My Stash Box	0081DFF2|FURN|00012F90|Asylum_Chair03|Chair	0081DFF0|CONT|0081DECC|F1_SurvivalTent_Houseboat_ScrapBox_Seaweed|My Scrapbox	0081DFEF|CONT|0081DECD|F1_SurvivalTent_Houseboat_AmmoStorageBox_Standard|My Ammo Storage Box	0081DFF3|FURN|0081DED0|F1_SurvivalTent_Houseboat_Bed_CreamHammock|Cream Hammock	0081DFEE|ACTI|005F26C3|Workshop_PunchCardMachine|Punch Card Machine	0081DFF4|FURN|0081DECF|F1_SurvivalTent_Houseboat_High_Tech_BBQ_Grill_Silver|Silver BBQ Grill	0081DFF5|FURN|0000C22A|Instrument_Banjo|Banjo
007808C3	PackInSCORES17F1SurvivalTentCamperPKINStorageCell	007808C2	SCORE_S17_F1_SurvivalTent_Camper_PKIN				0									
005FB42B	PackInF1SurvivalTentAPCBaselineStorageCell	005FB437	F1_SurvivalTent_APC_Baseline	005FB438	ATX_F1_ENTM_SurvivalTent_Skin_APC	APC Survival Tent	5	006139E9|CONT|0001C337|StashBoxTrunk|My Stash Box	005FB433|FURN|005FAB9B|F1_ATX_Bed_APC|APC Bed	005FB434|CONT|005FAB9A|F1_ATX_ScrapBox_Army|My Scrapbox	005FB435|FURN|000C79B4|WorkbenchCookingGroundPot|Cooking Station	005FB432|FURN|00012FF0|WorkbenchTinkersA|Tinker's Workbench				
005A29EE	PackInF1SurvivalTentRaiderStorageCellDUPLICATE001	005A29F5	F1_SurvivalTent_Raider	005A2FCA	ATX_F1_ENTM_SurvivalTent_Skin_Raider	Raider Survival Tent	6	005A34EE|FURN|0034ADD0|Throne|Chair	005A34EF|FURN|005A348D|F1_SurvivalTent_Raider_BBQ_Grill_Black|Black BBQ Grill	005A2D50|FURN|0033AE56|Instrument_MetalBarrel|Metal Barrel	005A29F9|CONT|00568F9D|F1_ScrapBox_Standard|My Scrapbox	005A2A0F|FURN|005A29F2|F1_SurvivalTentSleepingBag_Raider|Raider Sleeping Bag	005A2A10|CONT|005A29F1|F1_SurvivalTentStashBox_Raider|My Stash Box			
007813F0	PackInF1SurvivalTentFlatbedTruckCopy01StorageCell	00781433	ZZZ_F1_SurvivalTent_VaultTec				5	00781436|FURN|000C79B4|WorkbenchCookingGroundPot|Cooking Station	00781437|CONT|005FAB9A|F1_ATX_ScrapBox_Army|My Scrapbox	00781438|CONT|0001C337|StashBoxTrunk|My Stash Box	0078143B|FURN|0073DFC3|F1_ATX_Bed_FlatbedTruck|Flatbed Truck Bed	00781435|FURN|00012FF0|WorkbenchTinkersA|Tinker's Workbench				
005A13D2	PackInF1SurvivalTentFirstRespondersStorageCell	005A13E5	F1_SurvivalTent_FirstResponders	005A26FB	ATX_F1_ENTM_SurvivalTent_Skin_Responders_Medical	Responders Medical Tent	5	005A2BC3|CONT|005A2BC2|F1_ATX_StashBox_Responder|My Stash Box	005A1A85|FURN|005A1A84|F1_SurvivalTentSleepingBag_Responders|Responders Sleeping Bag	005A13EA|CONT|00568F9D|F1_ScrapBox_Standard|My Scrapbox	005A13EB|FURN|000C79B4|WorkbenchCookingGroundPot|Cooking Station	005A13EC|FURN|0000C22A|Instrument_Banjo|Banjo				
0081DEDB	PackInF1S21SurvivalTentBoathousePKINNewStorageCell						8	0081DFCB|ACTI|005F26C3|Workshop_PunchCardMachine|Punch Card Machine	0081DFD2|FURN|0000C22A|Instrument_Banjo|Banjo	0081DFD1|FURN|0081DECF|F1_SurvivalTent_Houseboat_High_Tech_BBQ_Grill_Silver|Silver BBQ Grill	0081DFCD|CONT|0081DECC|F1_SurvivalTent_Houseboat_ScrapBox_Seaweed|My Scrapbox	0081DFCF|FURN|00012F90|Asylum_Chair03|Chair	0081DFD0|FURN|0081DED0|F1_SurvivalTent_Houseboat_Bed_CreamHammock|Cream Hammock	0081DFCE|CONT|0081DECB|F1_SurvivalTent_Houseboat_Stashbox_PirateChest|My Stash Box	0081DFCC|CONT|0081DECD|F1_SurvivalTent_Houseboat_AmmoStorageBox_Standard|My Ammo Storage Box	
007451B7	PackInF1S15SurvivalTentGazeboPKINCStorageCell	007451B9	F1_S15_SurvivalTent_Gazebo_PKIN_New	006F591B	SCORE_S15_F1_ENTM_SurvivalTent_Skin_Gazebo	Gazebo Survival Tent	8	007451BC|FURN|00731726|F1_SurvivalTent_Gazebo_WorkbenchArmor|Armor Workbench	007451BD|FURN|0033AE56|Instrument_MetalBarrel|Metal Barrel	007451C1|FURN|006F591D|F1_Gazebo_WorkbenchCookingFire|Cooking Fire	007451C2|FURN|006F591C|F1_SurvivalTent_Gazebo_Cot|Cot	007451C6|FURN|002E6646|Camping_Chair02|Chair	007451E1|CONT|006F5919|F1_SurvivalTent_Gazebo_Scrapbox|Scrap Bin	007451E2|CONT|006F591A|F1_SurvivalTent_Gazebo_Stashbox|My Stash Box	007451E3|CONT|006F5918|F1_Gazebo_AmmoStorageBox|Small Ammo Storage Box	
005A29EF	PackInF1SurvivalTentRaiderStorageCellDUPLICATE000						4	005A2A28|CONT|005A29F1|F1_SurvivalTentStashBox_Raider|My Stash Box	005A2A29|FURN|005A29F2|F1_SurvivalTentSleepingBag_Raider|Raider Sleeping Bag	005A2A2A|FURN|000C79B4|WorkbenchCookingGroundPot|Cooking Station	005A2A38|CONT|00568F9D|F1_ScrapBox_Standard|My Scrapbox					
00731725	PackInF1SurvivalTentGazeboPKINStorageCell	00731727	F1_SurvivalTent_Gazebo_PKIN				7	0073172C|FURN|0000CFA7|Instrument_AcousticGuitar|Acoustic Guitar	0073172D|FURN|00731726|F1_SurvivalTent_Gazebo_WorkbenchArmor|Armor Workbench	0073172E|CONT|006F591A|F1_SurvivalTent_Gazebo_Stashbox|My Stash Box	0073172F|CONT|006F5919|F1_SurvivalTent_Gazebo_Scrapbox|Scrap Bin	00731730|FURN|006F591C|F1_SurvivalTent_Gazebo_Cot|Cot	00731731|FURN|006F591D|F1_Gazebo_WorkbenchCookingFire|Cooking Fire	00731732|CONT|006F5918|F1_Gazebo_AmmoStorageBox|Small Ammo Storage Box		
005A29F0	PackInF1SurvivalTentRaiderStorageCell						2	005A2A4A|CONT|005A29F1|F1_SurvivalTentStashBox_Raider|My Stash Box	005A2A4B|FURN|005A29F2|F1_SurvivalTentSleepingBag_Raider|Raider Sleeping Bag							
005A3333	PackInF1SurvivalTentSettlerStorageCell	005A3337	F1_SurvivalTent_Settler	005A348C	ATX_F1_ENTM_SurvivalTent_Skin_Settler	Settler Survival Tent	5	005A3656|FURN|0000CFA7|Instrument_AcousticGuitar|Acoustic Guitar	005A34F0|FURN|005A2D88|F1_SurvivalTent_Settler_Cot|Cot	005A34F4|CONT|00568F9D|F1_ScrapBox_Standard|My Scrapbox	005A339F|FURN|005A3336|F1_SurvivalTent_Settler_High_Tech_BBQ_Grill_Silver|Silver BBQ Grill	005A33A1|CONT|005A3334|F1_SurvivalTent_StashBox_Settler|My Stash Box				
008EE1EC	PackInF1S25SurvivalTentHuntersBlindPKINStorageCell	008EE1F4	F1_S25_SurvivalTent_HuntersBlind_PKIN	008EE1F0	SCORE_S25_F1_ENTM_SurvivalTent_Skin_HuntersBlind	Hunter's Blind Survival Tent	9	008EE1F8|CONT|008EE1EE|F1_SurvivalTent_HuntersBlind_AidBox|My Aid Box	008EE200|CONT|008EE1ED|F1_SurvivalTent_HuntersBlind_Stashbox_WorldofCryptidsTrunk|My Stash Box	008EE205|CONT|008EE1EF|F1_SurvivalTent_HuntersBlind_AmmoStorageBox|My Ammo Storage Box	008EE20C|FURN|008EE1F2|F1_SurvivalTent_HuntersBlind_Workbench_Weapons|Weapons Workbench	008EE20D|FURN|0000C22A|Instrument_Banjo|Banjo	008EE20E|FURN|008EE1F1|F1_SurvivalTent_HuntersBlind_BBQ_Grill_Black|Black BBQ Grill	008EE216|CONT|005FAB9A|F1_ATX_ScrapBox_Army|My Scrapbox	008EE217|FURN|008EE1F3|F1_SurvivalTent_HuntersBlind_Cot|Cot	008EE21A|ACTI|005F26C3|Workshop_PunchCardMachine|Punch Card Machine
