WEAP_FormID	WEAP_EDID	WEAP_FULL	WEAP_Model	XALG_Flags	EILV_Level	ETYP_EquipType	PTRN_PreviewTransform	IBSD_BreakSound	KeywordCount	Keywords	APPR_SlotCount	APPR_Slots
000001F4	crUnarmedDefault								0		0	
000001F6	GasTrapDummy	GasTrap Dummy							0		0	
00001BA1	crScorchbeastSonicAttackWeapon	Scorchbeast Sonic Attack			1	AltAttackSlot2 [EQUP:00136256]			0		0	
00002045	binoculars	Binoculars			1	BothHands [EQUP:00013F45]	Pistol00 [TRNS:00071DDD]		0		3	ap_gun_Barrel [KYWD:0002249D]|ap_gun_Grip [KYWD:0002249F]|ap_gun_Receiver "Receiver" [KYWD:00024004]
000021E0	zzz_AudioTestGrenade	Audio Grenade				GrenadeSlot [EQUP:00046AAC]	xTrangrenade [TRNS:0012EF94]		0		0	
00002840	Pickaxe	Pickaxe			5	RightHand [EQUP:00013F42]	xTranMelee [TRNS:00020D51]	UIBreakWeapon [SNDR:004ED233]	0		9	ap_melee_MeleeMod "Upgrade" [KYWD:0005524C]|ap_melee_Appearance "No Appearance" [KYWD:001A001E]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Item_Description [KYWD:00521926]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
00002E0E	crUnarmedRadtoad	Unarmed Radtoad				LeftHand [EQUP:00013F43]			0		0	
00003AAC	Blackpowder_Pistol	Black Powder Pistol			10	BothHandsLeftOptional [EQUP:0004334D]	xTran10mm [TRNS:00248AB9]	UIBreakWeapon [SNDR:004ED233]	0		14	ap_gun_Scope [KYWD:00022499]|ap_gun_Muzzle "No Muzzle" [KYWD:0002249C]|ap_gun_Barrel [KYWD:0002249D]|ap_gun_Grip [KYWD:0002249F]|ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_gun_ProjectileNode [KYWD:0004B6E1]|ap_gun_Mag "Magazine" [KYWD:0005D4D7]|ap_gun_FrontSight [KYWD:0012ECF2]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
00003AAD	Blackpowder_Pistol_Blunderbuss	Black Powder Blunderbuss			10	BothHandsLeftOptional [EQUP:0004334D]	xTran10mm [TRNS:00248AB9]	UIBreakWeapon [SNDR:004ED233]	0		13	ap_gun_Scope [KYWD:00022499]|ap_gun_Muzzle "No Muzzle" [KYWD:0002249C]|ap_gun_Barrel [KYWD:0002249D]|ap_gun_Grip [KYWD:0002249F]|ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_gun_ProjectileNode [KYWD:0004B6E1]|ap_gun_Mag "Magazine" [KYWD:0005D4D7]|ap_gun_FrontSight [KYWD:0012ECF2]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]
00004117	crFlatwoodsMonsterLaser	Flatwoods Monster Laser			1	MiddleHand [EQUP:0001A02F]			0		0	
