WTHR_FormID	WTHR_EDID	ReferencedByCount	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30	Ref_31	Ref_32	Ref_33	Ref_34	Ref_35
00029BB8	FXWthrSunlightOffAtNight	1	00029BB7:FXLightRegionSunlightOffAtNight:REGN																																		
0010E3D4	EditorCloudPreview	0																																			
0000015E	DefaultWeather	0																																			
0006ED5A	FXWthrInvertDayNight	1	00001173:FXLightRegionInvertDayNight:REGN																																		
000777CF	FXWthrInvertDayNighWarm	1	00001175:FXlightRegioninvertWarm:REGN																																		
000A6858	WorldMapWeather	0																																			
0007548F	FXWthrSunlight	0																																			
00075491	FXWthrSunlightWhite	1	00001171:FXLightRegionSunlightWhite:REGN																																		
00088C57	FXWthrMoonlightOnly	1	00088C58:FXLightMoonlightOnly:REGN																																		
00096C61	FXWthrMorningOnly	1	00096C60:FXLightMorningOnly:REGN																																		
001256FB	FXNukeWeather	0																																			
00141AB4	FXWthrSunlightWhiteBounce	1	00141AB5:FXLightRegionSunlightWhiteBounce:REGN																																		
00191647	FXWthrInvertDayNightGS	1	00191646:FXWeatherGS:REGN																																		
00171636	FXWthrSunlightOffAtNightGlass	1	00171638:FXLightRegionSunlightOffAtNightGlass:REGN																																		
001D1CEC	FXWthrSunlightOffAtNightBlack	1	001D1CED:FXLightRegionSunlightOffAtNightBlack:REGN																																		
002D32CC	NewWeatherClear_DONOTUSE	2	001784D5:TestWorkshopOrigin_Weather:REGN	0022728C:SFM01_Glow_CUT_FlaggedToNotExplort:QUST																																	
002DB88D	NewWeatherFoggy	12	0001746B:ForestObjectRegion:REGN	001113E0:FogCrawlerMeatCooked:ALCH	0012DFF1:MountainObjectRegion:REGN	001C943F:CranberryObjectRegion:REGN	0042D4E8:MountainObjectRegionFoundation:REGN	005600A9:E03A_Mischief:QUST	0058631E::INFO	0058631F::INFO	00586324::INFO	00586328::INFO	00606B56:FOW_Weather:FLST	00618B77:PointPlesantWeather:REGN																							
002DB88E	NewWeatherMisty	11	0001746B:ForestObjectRegion:REGN	001113E0:FogCrawlerMeatCooked:ALCH	0012DFF1:MountainObjectRegion:REGN	0037E1DF:WhitespringWeatherRegion:REGN	004299DF::INFO	004299E3::INFO	0042D4E8:MountainObjectRegionFoundation:REGN	0042ED9F::INFO	00545D9B::INFO	00606B56:FOW_Weather:FLST	00618B77:PointPlesantWeather:REGN																								
