WTHR_FormID	WTHR_EDID	KeywordCount	KW_1	KW_2	KW_3	KW_4	KW_5	KW_6	KW_7
00029BB8	FXWthrSunlightOffAtNight	0							
0010E3D4	EditorCloudPreview	1	00176988:s_wt_Clear:KYWD						
0000015E	DefaultWeather	1	00176988:s_wt_Clear:KYWD						
0006ED5A	FXWthrInvertDayNight	0							
000777CF	FXWthrInvertDayNighWarm	0							
000A6858	WorldMapWeather	0							
0007548F	FXWthrSunlight	0							
00075491	FXWthrSunlightWhite	0							
00088C57	FXWthrMoonlightOnly	0							
00096C61	FXWthrMorningOnly	0							
001256FB	FXNukeWeather	1	00176988:s_wt_Clear:KYWD						
00141AB4	FXWthrSunlightWhiteBounce	0							
00191647	FXWthrInvertDayNightGS	0							
00171636	FXWthrSunlightOffAtNightGlass	0							
001D1CEC	FXWthrSunlightOffAtNightBlack	0							
002D32CC	NewWeatherClear_DONOTUSE	1	00176988:s_wt_Clear:KYWD						
002DB88D	NewWeatherFoggy	1	0002F28B:s_wt_Cloudy:KYWD						
002DB88E	NewWeatherMisty	1	0002F28B:s_wt_Cloudy:KYWD						
002DB88F	NewWeatherMistyRainy	3	00151838:WeatherTypeHUDRain:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	0017698D:s_wt_StormMistyRainy:KYWD				
002DB890	NewWeatherOvercast	1	0002F28B:s_wt_Cloudy:KYWD						
002DB891	NewWeatherRadstorm	2	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD					
002DB892	NewWeatherRain	4	00151838:WeatherTypeHUDRain:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	0017698D:s_wt_StormMistyRainy:KYWD	004510DB:s_wt_StormRain:KYWD			
002BDCA8	NewWeatherPostNukeBlast	3	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD	00525F63:s_wt_StormNuke:KYWD				
003AA66A	NewWeatherMisty_Toxic	1	0002F28B:s_wt_Cloudy:KYWD						
003AA667	NewWeatherMistyRainy_MTR	4	00151838:WeatherTypeHUDRain:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	0017698D:s_wt_StormMistyRainy:KYWD	00527224:MTR_Weather_MistyRainy:KYWD			
003AA666	NewWeatherMisty_MTR	2	0002F28B:s_wt_Cloudy:KYWD	00527223:MTR_Weather_Misty:KYWD					
003AA62C	NewWeatherFoggy_MTR	2	0002F28B:s_wt_Cloudy:KYWD	00527222:MTR_Weather_Foggy:KYWD					
003AA668	NewWeatherOvercast_MTR	2	0002F28B:s_wt_Cloudy:KYWD	00527225:MTR_Weather_Overcast:KYWD					
003AA623	NewWeatherClear_Toxic	1	00176988:s_wt_Clear:KYWD						
003AA635	_CUT_NewWeatherClear_MTR	2	00176988:s_wt_Clear:KYWD	00527221:MTR_Weather_Clear:KYWD					
003AA669	NewWeatherRain_MTR	5	00151838:WeatherTypeHUDRain:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	0017698D:s_wt_StormMistyRainy:KYWD	004510DB:s_wt_StormRain:KYWD	00527226:MTR_Weather_Rain:KYWD		
00509F0B	_CUT_NewWeatherRadstorm_Toxic	2	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD					
00509F0C	NewWeatherAshstorm_MTR	3	00017C6F:s_wt_StormAsh:KYWD	0002F28B:s_wt_Cloudy:KYWD	00527220:MTR_Weather_Ashstorm:KYWD				
001ACEBF	FXWthrSunlightOffAtNightBlackChargen	0							
002BA027	NewWeatherClear_Swamp	1	00176988:s_wt_Clear:KYWD						
003A1A9F	NewWeatherFoggy_Swamp	1	0002F28B:s_wt_Cloudy:KYWD						
003A1AA1	NewWeatherMistyRainy_Swamp	3	00151838:WeatherTypeHUDRain:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	0017698D:s_wt_StormMistyRainy:KYWD				
003A1AA2	_CUT_NewWeatherOvercast_Swamp	1	0002F28B:s_wt_Cloudy:KYWD						
003A1AA3	_CUT_NewWeatherRain_Swamp	4	00151838:WeatherTypeHUDRain:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	0017698D:s_wt_StormMistyRainy:KYWD	00527226:MTR_Weather_Rain:KYWD			
003A1AA0	NewWeatherMisty_Swamp	1	0002F28B:s_wt_Cloudy:KYWD						
004398AE	NewWeatherClear_i	1	00176988:s_wt_Clear:KYWD						
004398AF	NewWeatherClear_HarpersFerry	2	0002F28B:s_wt_Cloudy:KYWD	00176988:s_wt_Clear:KYWD					
0043E30B	NewWeatherMisty_Bog	2	0002F28B:s_wt_Cloudy:KYWD	00176988:s_wt_Clear:KYWD					
0043E30C	NewWeatherMistyRainy_Bog	3	00176988:s_wt_Clear:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	0017698D:s_wt_StormMistyRainy:KYWD				
0043E30D	NewWeatherOvercast_Bog	2	0002F28B:s_wt_Cloudy:KYWD	00176988:s_wt_Clear:KYWD					
003F8795	Babylon_WeatherSear2	3	0015A069:WeatherTypePermanentAurora:KYWD	00176988:s_wt_Clear:KYWD	0017698E:s_wt_StormRad:KYWD				
003F8794	Babylon_WeatherSear	1	00176988:s_wt_Clear:KYWD						
003F8793	Babylon_WeatherClear	1	00176988:s_wt_Clear:KYWD						
0054ED86	NewWeatherClear_i_TEMP	1	00176988:s_wt_Clear:KYWD						
00612B91	Worlds_WeatherFoggyDark	1	0002F28B:s_wt_Cloudy:KYWD						
00616197	Worlds_WeatherNukaQuantumStorm	3	0015A069:WeatherTypePermanentAurora:KYWD	00176988:s_wt_Clear:KYWD	0017698E:s_wt_StormRad:KYWD				
00616198	Worlds_WeatherNukaQuantumStormRain	5	00151838:WeatherTypeHUDRain:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	0017698E:s_wt_StormRad:KYWD	004510DB:s_wt_StormRain:KYWD		
00620B1D	FOWWeatherPostNukeBlast	3	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD	00525F63:s_wt_StormNuke:KYWD				
00620B1C	FOWWeatherRadstorm	2	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD					
00623CA7	NewWeatherMothmanEvent	2	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD					
0062E7CE	WeatherMothmanEquinoxEventE07A	3	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD				
0065CE06	XPD_Weather_CUT_ThePitt_Smoky01	3	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD				
00661551	XPD_Weather_ThePitt_Smoky01_Exterior	3	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD				
00661CD5	XPD_Weather_ThePitt_RadStorm01	2	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD					
006A4337	Shelters_Weather_NuclearTestBunker_Smoky01	3	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD				
006DA64C	XPD_Weather_Boardwalk_Fog	1	0002F28B:s_wt_Cloudy:KYWD						
006DC976	XPD_Weather_BoardwalkFog_NEW	3	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD				
006EE8F9	ATX_Weather_Clear	2	00176988:s_wt_Clear:KYWD	006EE8F4:ATX_Weather_WeatherTypeKW_Clear:KYWD					
006F0681	ATX_Weather_Radstorm	3	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD	006F0680:ATX_Weather_WeatherTypeKW_Radstorm:KYWD				
006FA237	XPD_Weather_EntertainmentDistrict_Misty	2	0002F28B:s_wt_Cloudy:KYWD	00527223:MTR_Weather_Misty:KYWD					
007263BD	ATX_Weather_Snow01	3	0002F28B:s_wt_Cloudy:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	007263BA:ATX_Weather_WeatherTypeKW_Snow01:KYWD				
0072DB94	XPD_Weather_EntertainmentDistrict_Misty02	1	0002F28B:s_wt_Cloudy:KYWD						
0073ABA8	ATX_Weather_XPD_AC_Boardwalk_Fog	2	0002F28B:s_wt_Cloudy:KYWD	0073ABA7:ATX_Weather_WeatherTypeKW_XPDACBoardwalk:KYWD					
00743E70	zzzzATX_Weather_Thunderstorm_OLD	1	00176988:s_wt_Clear:KYWD						
0074E0EB	Shelters_Weather_Flatlands_Clear	2	00176988:s_wt_Clear:KYWD	00527221:MTR_Weather_Clear:KYWD					
00752D01	XPD_Weather_FloodedCity_Exterior	3	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD				
0075F767	ATX_Weather_Snow01_bak_original	3	0002F28B:s_wt_Cloudy:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	007263BA:ATX_Weather_WeatherTypeKW_Snow01:KYWD				
0076B55A	ATX_Weather_Thunderstorm	6	00151838:WeatherTypeHUDRain:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	0017698D:s_wt_StormMistyRainy:KYWD	00743E6F:ATX_Weather_WeatherTypeKW_ThunderStorm:KYWD	0076EA1B:WeatherTypeIntenseLightEffects:KYWD	
006A0F8F	Storm_NewWeather_DeadZone	3	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD				
