channel	record_type	exported_at	file
PTS	REFR	2026-08-23 10:44	REFR_Placements_PTS_2026-08-23_1043.tsv
PTS	REFR	2026-08-23 10:44	REFR_Placements_PTS_2026-08-23_1044.tsv
PTS	REFR	2026-08-23 10:55	REFR_Placements_PTS_2026-08-23_1055.tsv
PTS	REFR	2026-08-23 11:07	REFR_Placements_PTS_2026-08-23_1106.tsv
PTS	REFR	2026-08-23 11:07	REFR_Placements_PTS_2026-08-23_1107.tsv
PTS	REFR	2026-08-23 11:07	REFR_Placements_PTS_2026-08-23_1107.tsv
PTS	REFR	2026-08-23 11:09	REFR_Placements_PTS_2026-08-23_1109.tsv
PTS	REFR	2026-08-23 11:09	REFR_Placements_PTS_2026-08-23_1109.tsv
PTS	REFR	2026-08-23 11:09	REFR_Placements_PTS_2026-08-23_1109.tsv
PTS	REFR	2026-08-23 11:10	REFR_Placements_PTS_2026-08-23_1109.tsv
PTS	REFR	2026-08-23 11:10	REFR_Placements_PTS_2026-08-23_1110.tsv
PTS	REFR	2026-08-23 11:10	REFR_Placements_PTS_2026-08-23_1110.tsv
PTS	REFR	2026-08-23 11:10	REFR_Placements_PTS_2026-08-23_1110.tsv
LIVE	PERK	2026-08-23 13:24	PERK_Export_August_2026.tsv
PTS	PERK	2026-08-23 13:28	PERK_Export_PTS_2026-08-23_1328.tsv
PTS	QUST2	2026-08-25 13:32	QUST2_Export_PTS_2026-08-25_1332_Quests.tsv
PTS	QUST2	2026-08-25 14:03	QUST2_Export_PTS_2026-08-25_1403_Quests.tsv
PTS	QUST2	2026-08-25 14:09	QUST2_Export_PTS_2026-08-25_1409_Quests.tsv
PTS	QUST2	2026-08-25 14:45	QUST2_Export_PTS_2026-08-25_1445_Quests.tsv
PTS	QUST2	2026-08-25 15:05	QUST2_Export_PTS_2026-08-25_1505_Quests.tsv
LIVE	QUST2	2026-08-25 16:01	QUST2_Export_August_2026_Quests.tsv
PTS	CHAL	2026-08-25 21:07	CHAL_Export_PTS_2026-08-25_2107.tsv
LIVE	CHAL	2026-08-25 21:09	CHAL_Export_August_2026.tsv
PTS	QUST2	2026-08-26 14:19	QUST2_Export_PTS_2026-08-26_1418_Quests.tsv
LIVE	QUST2	2026-08-26 14:30	QUST2_Export_August_2026_Quests.tsv
PTS	ACTI	2026-09-05 10:32	ACTI_Export_PTS_2026-09-05_1032_ACTI.tsv
PTS	ACTI2	2026-09-05 10:35	ACTI2_Export_PTS_2026-09-05_1035.tsv
PTS	AVIF	2026-09-05 10:54	AVIF_Export_PTS_2026-09-05_1054.tsv
PTS	ARMO	2026-09-05 12:11	ARMO_Export_PTS_2026-09-05_1211_SLOTS.tsv
PTS	BPTD	2026-09-05 12:17	BPTD_Export_PTS_2026-09-05_1217.tsv
PTS	BOOK	2026-09-05 12:22	BOOK_Export_PTS_2026-09-05_1222.tsv
PTS	CMPT	2026-09-05 12:26	CMPT_Export_PTS_2026-09-05_1226.tsv
PTS	CHAL	2026-09-05 12:27	CHAL_Export_PTS_2026-09-05_1227.tsv
PTS	CMPO	2026-09-05 12:27	CMPO_Export_PTS_2026-09-05_1227.tsv
PTS	CNDF	2026-09-05 12:28	CNDF_Export_PTS_2026-09-05_1228.tsv
PTS	COBJ	2026-09-05 12:28	COBJ_Export_PTS_2026-09-05_1228.tsv
