channel	record_type	exported_at	file
PTS	REFR	2026-08-23 10:44	REFR_Placements_PTS_2026-08-23_1043.tsv
PTS	REFR	2026-08-23 10:44	REFR_Placements_PTS_2026-08-23_1044.tsv
PTS	REFR	2026-08-23 10:55	REFR_Placements_PTS_2026-08-23_1055.tsv
PTS	REFR	2026-08-23 11:07	REFR_Placements_PTS_2026-08-23_1106.tsv
PTS	REFR	2026-08-23 11:07	REFR_Placements_PTS_2026-08-23_1107.tsv
PTS	REFR	2026-08-23 11:07	REFR_Placements_PTS_2026-08-23_1107.tsv
PTS	REFR	2026-08-23 11:09	REFR_Placements_PTS_2026-08-23_1109.tsv
PTS	REFR	2026-08-23 11:09	REFR_Placements_PTS_2026-08-23_1109.tsv
PTS	REFR	2026-08-23 11:09	REFR_Placements_PTS_2026-08-23_1109.tsv
PTS	REFR	2026-08-23 11:10	REFR_Placements_PTS_2026-08-23_1109.tsv
PTS	REFR	2026-08-23 11:10	REFR_Placements_PTS_2026-08-23_1110.tsv
PTS	REFR	2026-08-23 11:10	REFR_Placements_PTS_2026-08-23_1110.tsv
PTS	REFR	2026-08-23 11:10	REFR_Placements_PTS_2026-08-23_1110.tsv
LIVE	PERK	2026-08-23 13:24	PERK_Export_August_2026.tsv
PTS	PERK	2026-08-23 13:28	PERK_Export_PTS_2026-08-23_1328.tsv
PTS	QUST2	2026-08-25 13:32	QUST2_Export_PTS_2026-08-25_1332_Quests.tsv
PTS	QUST2	2026-08-25 14:03	QUST2_Export_PTS_2026-08-25_1403_Quests.tsv
PTS	QUST2	2026-08-25 14:09	QUST2_Export_PTS_2026-08-25_1409_Quests.tsv
PTS	QUST2	2026-08-25 14:45	QUST2_Export_PTS_2026-08-25_1445_Quests.tsv
PTS	QUST2	2026-08-25 15:05	QUST2_Export_PTS_2026-08-25_1505_Quests.tsv
