set	ref_formid	map_number	map_region	map_marker
pint-sized-slasher-masks	008F83B3	1	Ash Heap	Camden Park
pint-sized-slasher-masks	008F83BB	2	Ash Heap	Camden Park
pint-sized-slasher-masks	008F83BD	3	Ash Heap	Camden Park
pint-sized-slasher-masks	0091E6CF	4	Ash Heap	Nuka-World On Tour
pint-sized-slasher-masks	0091E6D0	5	Ash Heap	Nuka-World On Tour
pint-sized-slasher-masks	0091E6D4	6	Ash Heap	Nuka-World On Tour
pint-sized-slasher-masks	0090AB91	7	Ash Heap	Rollins Labor Camp
pint-sized-slasher-masks	0091E6CC	8	Burning Springs	Athens
pint-sized-slasher-masks	0090ABA0	9	Burning Springs	Dino Peaks Mini Golf
pint-sized-slasher-masks	0090ABA2	10	Burning Springs	Dino Peaks Mini Golf
pint-sized-slasher-masks	0090ABAA	11	Burning Springs	Dino Peaks Mini Golf
pint-sized-slasher-masks	008F83C3	12	Burning Springs	Starlight Drive-in
pint-sized-slasher-masks	008F83C9	13	Burning Springs	Starlight Drive-in
pint-sized-slasher-masks	0091E6C4	14	Burning Springs	Tycoon Lake
pint-sized-slasher-masks	0091E6C9	15	Burning Springs	Tycoon Lake
pint-sized-slasher-masks	0090ABB0	16	Burning Springs	World of Corn
pint-sized-slasher-masks	0090ABB3	17	Burning Springs	World of Corn
pint-sized-slasher-masks	0090ABB7	18	Burning Springs	World of Corn
pint-sized-slasher-masks	008FAD9A	19	Cranberry Bog	Ranger Lookout
pint-sized-slasher-masks	008F587D	20	Forest	Alpine River Cabins
pint-sized-slasher-masks	008F5880	21	Forest	Alpine River Cabins
pint-sized-slasher-masks	008F5881	22	Forest	Alpine River Cabins
pint-sized-slasher-masks	008F66F9	23	Forest	Camp Adams Lookout
pint-sized-slasher-masks	009097D8	24	Forest	Camp Adams Lookout
pint-sized-slasher-masks	008F66FA	25	Forest	Camp McClintock
pint-sized-slasher-masks	008F66FB	26	Forest	Camp McClintock
pint-sized-slasher-masks	009097DF	27	Forest	Camp McClintock
pint-sized-slasher-masks	008FBCED	28	Forest	East Kanawha Lookout
pint-sized-slasher-masks	008FBCE5	29	Forest	Flatwoods Lookout
pint-sized-slasher-masks	008FBCE1	30	Forest	Groves Family Cabin
pint-sized-slasher-masks	008FBCE7	31	Forest	Isolated Cabin
pint-sized-slasher-masks	008FBCF6	32	Forest	Lakeside Cabins
pint-sized-slasher-masks	0090D3BE	33	Forest	New River Gorge Resort
pint-sized-slasher-masks	0090D3C3	34	Forest	New River Gorge Resort
pint-sized-slasher-masks	0090D3C5	35	Forest	New River Gorge Resort
pint-sized-slasher-masks	008FBCEB	36	Forest	North Kanawha Lookout
pint-sized-slasher-masks	008FBCF3	37	Forest	Overlook Cabin
pint-sized-slasher-masks	0090D2BA	38	Forest	The Giant Teapot
pint-sized-slasher-masks	0090D395	39	Forest	Twin Pine Cabins
pint-sized-slasher-masks	0090D398	40	Forest	Twin Pine Cabins
pint-sized-slasher-masks	008FADA7	41	Forest	Tyler County Fairgrounds
pint-sized-slasher-masks	008FADA9	42	Forest	Tyler County Fairgrounds
pint-sized-slasher-masks	008FADAE	43	Forest	Tyler County Fairgrounds
pint-sized-slasher-masks	0090B982	44	Savage Divide	Autumn Acre Cabin
pint-sized-slasher-masks	0090D3BA	45	Savage Divide	Autumn Acre Cabin
pint-sized-slasher-masks	0090D3A3	46	Savage Divide	Bailey Family Cabin
pint-sized-slasher-masks	0090D3A8	47	Savage Divide	Bailey Family Cabin
pint-sized-slasher-masks	0090D4F0	48	Savage Divide	Bastion Park
pint-sized-slasher-masks	0090D4F7	49	Savage Divide	Bastion Park
pint-sized-slasher-masks	0090D4FB	50	Savage Divide	Bastion Park
pint-sized-slasher-masks	008FAD93	51	Savage Divide	Central Mountain Lookout
pint-sized-slasher-masks	0090AB82	52	Savage Divide	Devil's Backbone
pint-sized-slasher-masks	008FBCDE	53	Savage Divide	East Mountain Lookout
pint-sized-slasher-masks	008F6C5D	54	Savage Divide	Fissure Site
pint-sized-slasher-masks	008FBCDB	55	Savage Divide	Investigator's Cabin
pint-sized-slasher-masks	008FAD95	56	Savage Divide	North Mountain Lookout
pint-sized-slasher-masks	008FBCD3	57	Savage Divide	Pleasant Valley Cabins
pint-sized-slasher-masks	008FBCD7	58	Savage Divide	Pleasant Valley Cabins
pint-sized-slasher-masks	0090AB67	59	Savage Divide	Seneca Gang Camp
pint-sized-slasher-masks	0091E6C1	60	Savage Divide	Seneca Rocks Visitor Center
pint-sized-slasher-masks	0091E6DF	61	Savage Divide	Seneca Rocks Visitor Center
pint-sized-slasher-masks	0090AB64	62	Savage Divide	South Cutthroat Camp
pint-sized-slasher-masks	008FBCD8	63	Savage Divide	South Mountain Lookout
pint-sized-slasher-masks	0090AB78	64	Savage Divide	South Mountain Lookout
pint-sized-slasher-masks	0090AB7C	65	Savage Divide	Spruce Knob Lake
pint-sized-slasher-masks	0090AB7F	66	Savage Divide	Spruce Knob Lake
pint-sized-slasher-masks	0090D4D3	67	Savage Divide	Sunnytop Ski Lanes
pint-sized-slasher-masks	0090D4D7	68	Savage Divide	Sunnytop Ski Lanes
pint-sized-slasher-masks	0090D4DC	69	Savage Divide	Sunnytop Ski Lanes
pint-sized-slasher-masks	0090D4E8	70	Savage Divide	Sunnytop Ski Lanes Base Lodge
pint-sized-slasher-masks	0090D4EC	71	Savage Divide	Sunnytop Ski Lanes Base Lodge
pint-sized-slasher-masks	0090AB6A	72	Savage Divide	Sylvie & Sons Logging Camp
pint-sized-slasher-masks	0090AB76	73	Savage Divide	Vault 96
pint-sized-slasher-masks	008FADB3	74	Savage Divide	Whitespring Lookout
pint-sized-slasher-masks	008F666D	75	Skyline Valley	Camp Liberty
pint-sized-slasher-masks	008F6675	76	Skyline Valley	Camp Liberty
pint-sized-slasher-masks	008F667D	77	Skyline Valley	Camp Liberty
pint-sized-slasher-masks	008FAD97	78	Skyline Valley	Makeout Point
pint-sized-slasher-masks	0090AB8C	79	Skyline Valley	Naked Creek
pint-sized-slasher-masks	0090AB6B	80	Skyline Valley	Rapidan Camp
pint-sized-slasher-masks	0090AB70	81	Skyline Valley	Rapidan Camp
pint-sized-slasher-masks	0090AB73	82	Skyline Valley	Rapidan Camp
pint-sized-slasher-masks	008F6C4E	83	The Mire	Camp Venture
pint-sized-slasher-masks	008F6C53	84	The Mire	Camp Venture
pint-sized-slasher-masks	0090AB85	85	The Mire	Dolly Sods Campground
pint-sized-slasher-masks	0090AB88	86	The Mire	Dolly Sods Campground
pint-sized-slasher-masks	0090AB8A	87	The Mire	Dolly Sods Campground
pint-sized-slasher-masks	008F665E	88	The Mire	Dolly Sods Lookout
pint-sized-slasher-masks	008F6669	89	The Mire	Dolly Sods Lookout
pint-sized-slasher-masks	009097D6	90	The Mire	East Ridge Lookout
pint-sized-slasher-masks	008F67A1	91	The Mire	Freddy Fear's House of Scares
pint-sized-slasher-masks	008F67A2	92	The Mire	Freddy Fear's House of Scares
pint-sized-slasher-masks	008F75F3	93	The Mire	Old Danielson Cabin
