patch_number	version	name	type	release_date	notes_url
69	1.7.25.39	Infestations	Update	2026-07-21	https://bethesda.net/en/article/ncHeBANdiFceUI34llgjQ/fallout-76-update-notes-july-21-2026
	1.7.25.15	Infestations	Hotfix	2026-06-08	https://fallout.wiki/wiki/Fallout_76_Patch_1.7.25.15
68	1.7.25.13	Infestations	Update	2026-06-02	https://fallout.bethesda.net/en/article/7uZ5caUi4lqZxmhKDXqEAV/fallout-76-infestations-release-notes
67	1.7.24.12	The Backwoods	Update	2026-04-21	https://bethesda.net/en/article/5vTcIMo9JQF4aeOkVNdvME/fallout-76-update-notes-april-21-2026
	1.7.23.39	The Backwoods	Hotfix	2026-03-17	https://bethesda.net/en/article/3ruetJXPdvHKgW0kZraAOI/fallout-76-update-notes-march-17-2026
66	1.7.23.30	The Backwoods	Update	2026-03-03	https://bethesda.net/en/article/0sXOoFYwO5TxarqDKVzts/fallout-76-the-backwoods-release-notes
	1.7.23.16	Burning Springs	Hotfix	2026-02-09	https://bethesda.net/en/article/7rFU05tRsp4OtZxfXGhVGp/fallout-76-update-notes-february-9-2026
65	1.7.23.11	Burning Springs	Update	2026-01-20	https://bethesda.net/en/article/1xM8s7Qz5J1qAw6HObP3nU/fallout-76-update-notes-january-20-2026
	1.7.22.13	Burning Springs	Hotfix	2025-12-11	https://bethesda.net/en/article/2tpInvSHR0w7C8GXqEEbrz/fallout-76-burning-springs-release-notes
64	1.7.22.12	Burning Springs	Update	2025-12-02	https://bethesda.net/en/article/2tpInvSHR0w7C8GXqEEbrz/fallout-76-burning-springs-release-notes
63	1.7.21.41	C.A.M.P. Revamp	Update	2025-10-21	https://bethesda.net/en/article/7MGOjIBIqenajHuAuVyOW1/fallout-76-update-notes-october-21-2025
	1.7.21.32	C.A.M.P. Revamp	Hotfix	2025-09-23	https://bethesda.net/en/article/4xj9qqfxl7bKHnRVkXKPKm/fallout-76-c-a-m-p-revamp-release-notes
