id	brand	nodeType	parentId	visibility	showInMenu	showInBrowse	hubMode	topCategory	subCategory	title	menuTitle	slug	url	template	status	menuOrder	browseOrder	tags,nodeType	blurb
bnb-tc-armour	bnb	top		public	1	0	subcards	Armour		Armour	Armour	armour	/bnb/armour/	category-hub	published	10		armour,category-hub,top	
bnb-armour-comparison-guide	bnb	page	bnb-tc-armour	public	1	1		Armour		Armour Comparison Guide	Armour Comparison Guide	armour-comparison-guide	/bnb/armour/armour-comparison-guide/	armour-hub	published	50	50	armour,comparison,guide,page	
bnb-armour-defence-calculator	bnb	page	bnb-tc-armour	public	1	1		Armour		Armour Defence Calculator	Armour Defence Calculator	armour-defence-calculator	/bnb/armour/armour-defence-calculator/	calculator	published	51	51	armour,calculator,page	
bnb-sc-armour-body-armour	bnb	sub	bnb-tc-armour	public	1	0	subcards	Armour	Body Armour	Body Armour	Body Armour	body-armour	/bnb/armour/body-armour/	category-hub	published	20		body-armour,armour,category-hub,sub	
bnb-armour-body-armour-guide	bnb	page	bnb-sc-armour-body-armour	public	1	1		Armour	Body Armour	Body Armour Guide	Body Armour Guide	body-armour-guide	/bnb/armour/body-armour/body-armour-guide/	armour-hub	published	21	21	body-armour,armour,guide,page	
bnb-armour-body-armour-mods	bnb	page	bnb-sc-armour-body-armour	public	1	1		Armour	Body Armour	Body Armour Plans & Mods	Body Armour Plans & Mods	body-armour-mods	/bnb/armour/body-armour/body-armour-mods/	armour-mods-hub	published	22	22	body-armour,mods,armour,page	
bnb-sc-armour-power-armour	bnb	sub	bnb-tc-armour	public	1	0	subcards	Armour	Power Armour	Power Armour	Power Armour	power-armour	/bnb/armour/power-armour/	category-hub	published	30		power-armour,armour,category-hub,sub	
bnb-armour-power-armour-guide	bnb	page	bnb-sc-armour-power-armour	public	1	1		Armour	Power Armour	Power Armour Guide	Power Armour Guide	power-armour-guide	/bnb/armour/power-armour/power-armour-guide/	power-armour-hub	published	31	31	power-armour,armour,guide,page	
bnb-armour-power-armour-mods	bnb	page	bnb-sc-armour-power-armour	public	1	1		Armour	Power Armour	Power Armour Plans & Mods	Power Armour Plans & Mods	power-armour-mods	/bnb/armour/power-armour/power-armour-mods/	armour-mods-hub	published	32	32	power-armour,mods,armour,page	
bnb-sc-armour-underarmour	bnb	sub	bnb-tc-armour	public	1	0	subcards	Armour	Underarmour	Underarmour	Underarmour	underarmour	/bnb/armour/underarmour/	category-hub	published	40		underarmour,armour,category-hub,sub	
bnb-armour-underarmour-guide	bnb	page	bnb-sc-armour-underarmour	public	1	1		Armour	Underarmour	Underarmour Guide	Underarmour Guide	underarmour-guide	/bnb/armour/underarmour/underarmour-guide/	underarmour-hub	published	41	41	underarmour,armour,guide,page	
bnb-armour-underarmour-mods	bnb	page	bnb-sc-armour-underarmour	public	1	1		Armour	Underarmour	Underarmour Plans & Mods	Underarmour Plans & Mods	underarmour-mods	/bnb/armour/underarmour/underarmour-mods/	armour-mods-hub	published	42	42	underarmour,mods,armour,page	
bnb-tc-buffs-n-brew	bnb	top		public	1	0	subcards	Buffs n Brew		Buffs n Brew	Buffs n Brew	buffs-n-brew	/bnb/buffs-n-brew/	category-hub	published	10		buffs-n-brew,category-hub,top	
bnb-about-faq	bnb	page	bnb-tc-buffs-n-brew	public	1	1		Buffs n Brew	About & FAQ	About & FAQ	About & FAQ	about-faq	/bnb/buffs-n-brew/about-faq/	info-page	published	20	20	buffs-n-brew,about-and-faq,info-page,page	
bnb-donations	bnb	page	bnb-tc-buffs-n-brew	public	1	1		Buffs n Brew	Support	Donations	Donations	donations	/bnb/buffs-n-brew/donations/	info-page	published	90	90	buffs-n-brew,support,info-page,page	
bnb-follow-us	bnb	page	bnb-tc-buffs-n-brew	public	1	1		Buffs n Brew	Social	Follow Us	Follow Us	follow-us	/bnb/buffs-n-brew/follow-us/	info-page	published	80	80	buffs-n-brew,social,info-page,page	
bnb-join-team	bnb	page	bnb-tc-buffs-n-brew	public	1	1		Buffs n Brew	Team	Join the Team	Join the Team	join-the-team	/bnb/buffs-n-brew/join-the-team/	info-page	published	60	60	buffs-n-brew,team,info-page,page	
bnb-meet-team	bnb	page	bnb-tc-buffs-n-brew	public	1	1		Buffs n Brew	Team	Meet the Team	Meet the Team	meet-the-team	/bnb/buffs-n-brew/meet-the-team/	info-page	published	50	50	buffs-n-brew,team,info-page,page	
bnb-menu	bnb	page	bnb-tc-buffs-n-brew	public	1	1		Buffs n Brew	Menu	Buffs n Brew Menu	Buffs n Brew Menu	menu	/bnb/buffs-n-brew/menu/	info-page	published	30	30	buffs-n-brew,menu,info-page,page	
bnb-place-order	bnb	page	bnb-tc-buffs-n-brew	public	1	1		Buffs n Brew	Orders	Place an Order	Place an Order	place-an-order	/bnb/buffs-n-brew/place-an-order/	order-page	published	40	40	buffs-n-brew,orders,order-page,page	
bnb-real-life-recipes	bnb	page	bnb-tc-buffs-n-brew	public	1	1		Buffs n Brew	Recipes	Real Life Recipes	Real Life Recipes	real-life-recipes	/bnb/buffs-n-brew/real-life-recipes/	recipe-hub	published	70	70	buffs-n-brew,recipes,recipe-hub,page	
bnb-tc-buffs	bnb	top		public	1	0	subcards	Buffs		Buffs	Buffs	buffs	/bnb/buffs/	category-hub	published	10		buffs,category-hub,top	
bnb-sc-buffs-alcohol	bnb	sub	bnb-tc-buffs	public	1	0	subcards	Buffs	Alcohol	Alcohol	Alcohol	alcohol	/bnb/buffs/alcohol/	category-hub	published	20		alcohol,buffs,category-hub,sub	
bnb-buffs-alcohol-comparison	bnb	page	bnb-sc-buffs-alcohol	public	1	1		Buffs	Alcohol Buff Comparison Calculator	Alcohol Buff Comparison Calculator	Alcohol Buff Comparison Calculator	alcohol-buff-comparison	/bnb/buffs/alcohol/alcohol-buff-comparison/	calculator	published	22	22	alcohol,buffs,calculator,page	
bnb-buffs-alcohol	bnb	page	bnb-sc-buffs-alcohol	public	1	1		Buffs	Alcohol Buffs	Alcohol Buffs Guide	Alcohol Buffs Guide	alcohol-buffs	/bnb/buffs/alcohol/alcohol-buffs/	buff-hub	published	21	21	alcohol,buffs,buff-hub,page	
bnb-sc-buffs-bobbleheads	bnb	sub	bnb-tc-buffs	public	1	0	subcards	Buffs	Bobbleheads	Bobbleheads	Bobbleheads	bobbleheads	/bnb/buffs/bobbleheads/	category-hub	published	30		bobbleheads,buffs,category-hub,sub	
bnb-buffs-bobbleheads-comparison	bnb	page	bnb-sc-buffs-bobbleheads	public	1	1		Buffs	Bobblehead Buff Comparison Calculator	Bobblehead Buff Comparison Calculator	Bobblehead Buff Comparison Calculator	bobblehead-buff-comparison	/bnb/buffs/bobbleheads/bobblehead-buff-comparison/	calculator	published	32	32	bobbleheads,buffs,calculator,page	
bnb-buffs-bobbleheads	bnb	page	bnb-sc-buffs-bobbleheads	public	1	1		Buffs	Bobblehead Buffs	Bobblehead Buffs Guide	Bobblehead Buffs Guide	bobblehead-buffs	/bnb/buffs/bobbleheads/bobblehead-buffs/	buff-hub	published	31	31	bobbleheads,buffs,buff-hub,page	
bnb-sc-buffs-chems	bnb	sub	bnb-tc-buffs	public	1	0	subcards	Buffs	Chems	Chems	Chems	chems	/bnb/buffs/chems/	category-hub	published	40		chems,buffs,category-hub,sub	
bnb-buffs-chems-comparison	bnb	page	bnb-sc-buffs-chems	public	1	1		Buffs	Chem Buff Comparison Calculator	Chem Buff Comparison Calculator	Chem Buff Comparison Calculator	chem-buff-comparison	/bnb/buffs/chems/chem-buff-comparison/	calculator	published	42	42	chems,buffs,calculator,page	
bnb-buffs-chems	bnb	page	bnb-sc-buffs-chems	public	1	1		Buffs	Chem Buffs	Chem Buffs Guide	Chem Buffs Guide	chem-buffs	/bnb/buffs/chems/chem-buffs/	buff-hub	published	41	41	chems,buffs,buff-hub,page	
bnb-sc-buffs-food	bnb	sub	bnb-tc-buffs	public	1	0	subcards	Buffs	Food	Food	Food	food	/bnb/buffs/food/	category-hub	published	50		food,buffs,category-hub,sub	
bnb-buffs-food-farming-planner	bnb	page	bnb-sc-buffs-food	public	1	1		Buffs	Food	Buff Farming Planner	Buff Farming Planner	buff-farming-planner	/bnb/buffs/food/buff-farming-planner/	calculator	published	53	53	food,buffs,calculator,page	
bnb-buffs-food-recommended-calculator	bnb	page	bnb-sc-buffs-food	public	1	1		Buffs	Food	Recommended Food Buff Calculator	Recommended Food Buff Calculator	recommended-food-buff-calculator	/bnb/buffs/food/recommended-food-buff-calculator/	calculator	published	54	54	food,buffs,calculator,page	
bnb-buffs-food-comparison	bnb	page	bnb-sc-buffs-food	public	1	1		Buffs	Food Buff Comparison Calculator	Food Buff Comparison Calculator	Food Buff Comparison Calculator	food-buff-comparison	/bnb/buffs/food/food-buff-comparison/	calculator	published	52	52	food,buffs,calculator,page	
bnb-buffs-food	bnb	page	bnb-sc-buffs-food	public	1	1		Buffs	Food Buffs	Food Buffs Guide	Food Buffs Guide	food-buffs	/bnb/buffs/food/food-buffs/	buff-hub	published	51	51	food,buffs,buff-hub,page	
bnb-sc-buffs-hybrid-food	bnb	sub	bnb-tc-buffs	public	1	0	subcards	Buffs	Hybrid Food	Hybrid Food	Hybrid Food	hybrid-food	/bnb/buffs/hybrid-food/	category-hub	published	60		hybrid,food,buffs,category-hub,sub	
bnb-buffs-hybrid-food	bnb	page	bnb-sc-buffs-hybrid-food	public	1	1		Buffs	Hybrid Food Buffs	Hybrid Food Buffs Guide	Hybrid Food Buffs Guide	hybrid-food-buffs	/bnb/buffs/hybrid-food/hybrid-food-buffs/	buff-hub	published	61	61	hybrid,food,buffs,buff-hub,page	
bnb-sc-buffs-magazines	bnb	sub	bnb-tc-buffs	public	1	0	subcards	Buffs	Magazines	Magazines	Magazines	magazines	/bnb/buffs/magazines/	category-hub	published	70		magazines,buffs,category-hub,sub	
bnb-buffs-magazines-comparison	bnb	page	bnb-sc-buffs-magazines	public	1	1		Buffs	Magazine Buff Comparison Calculator	Magazine Buff Comparison Calculator	Magazine Buff Comparison Calculator	magazine-buff-comparison	/bnb/buffs/magazines/magazine-buff-comparison/	calculator	published	72	72	magazines,buffs,calculator,page	
bnb-buffs-magazines	bnb	page	bnb-sc-buffs-magazines	public	1	1		Buffs	Magazine Buffs	Magazine Buffs Guide	Magazine Buffs Guide	magazine-buffs	/bnb/buffs/magazines/magazine-buffs/	buff-hub	published	71	71	magazines,buffs,buff-hub,page	
bnb-sc-buffs-mutations	bnb	sub	bnb-tc-buffs	public	1	0	subcards	Buffs	Mutations	Mutations	Mutations	mutations	/bnb/buffs/mutations/	category-hub	published	90		mutations,buffs,category-hub,sub	
bnb-buffs-mutations-comparison	bnb	page	bnb-sc-buffs-mutations	public	1	1		Buffs	Mutation Buff Comparison Calculator	Mutation Buff Comparison Calculator	Mutation Buff Comparison Calculator	mutation-buff-comparison	/bnb/buffs/mutations/mutation-buff-comparison/	calculator	published	92	92	mutations,buffs,calculator,page	
bnb-buffs-mutations	bnb	page	bnb-sc-buffs-mutations	public	1	1		Buffs	Mutation Buffs	Mutation Buffs Guide	Mutation Buffs Guide	mutation-buffs	/bnb/buffs/mutations/mutation-buffs/	buff-hub	published	91	91	mutations,buffs,buff-hub,page	
bnb-sc-buffs-nuka-cola-products	bnb	sub	bnb-tc-buffs	public	1	0	subcards	Buffs	Nuka Cola Products	Nuka Cola Products	Nuka Cola Products	nuka-cola-products	/bnb/buffs/nuka-cola-products/	category-hub	published	100		nuka-cola,buffs,category-hub,sub	
bnb-buffs-nuka-cola-products	bnb	page	bnb-sc-buffs-nuka-cola-products	public	1	1		Buffs	Nuka Cola Product Buffs	Nuka Cola Product Buffs Guide	Nuka Cola Product Buffs Guide	nuka-cola-product-buffs	/bnb/buffs/nuka-cola-products/nuka-cola-product-buffs/	buff-hub	published	101	101	nuka-cola,buffs,buff-hub,page	
bnb-sc-buffs-scout-banners	bnb	sub	bnb-tc-buffs	public	1	0	subcards	Buffs	Scout Banners	Scout Banners	Scout Banners	scout-banners	/bnb/buffs/scout-banners/	category-hub	published	80		scout-banners,buffs,category-hub,sub	
bnb-buffs-scout-banners	bnb	page	bnb-sc-buffs-scout-banners	public	1	1		Buffs	Scout Banner Buffs	Scout Banner Buffs Guide	Scout Banner Buffs Guide	scout-banner-buffs	/bnb/buffs/scout-banners/scout-banner-buffs/	buff-hub	published	81	81	scout-banners,buffs,buff-hub,page	
bnb-tc-builds	bnb	top		public	1	0	subcards	Builds		Builds	Builds	builds	/bnb/builds/	category-hub	published	20		builds,category-hub,top	
bnb-builds-bows-throwing	bnb	page	bnb-tc-builds	public	1	1		Builds	Bows & Throwing	Bows & Throwing	Bows & Throwing	bows-throwing	/bnb/builds/bows-throwing-builds/	build-hub	published	11	11	builds,bows-and-throwing,build-hub,page	
bnb-sc-builds-bows-throwing	bnb	page	bnb-tc-builds	public	0	0	subcards	Builds	Bows & Throwing	Bows & Throwing	Bows & Throwing	bows-throwing	/bnb/builds/bows-throwing/	category-hub	published	10		builds,bows-and-throwing,category-hub,page	
bnb-builds-ghoul	bnb	page	bnb-tc-builds	public	1	1		Builds	Ghoul	Ghoul	Ghoul	ghoul	/bnb/builds/ghoul-builds/	build-hub	published	22	22	builds,ghoul,build-hub,page	
bnb-sc-builds-ghoul	bnb	page	bnb-tc-builds	public	0	0	subcards	Builds	Ghoul	Ghoul	Ghoul	ghoul	/bnb/builds/ghoul/	category-hub	published	21		builds,ghoul,category-hub,page	
bnb-builds-heavy-guns	bnb	page	bnb-tc-builds	public	1	1		Builds	Heavy Guns	Heavy Guns	Heavy Guns	heavy-guns	/bnb/builds/heavy-guns-builds/	build-hub	published	14	14	builds,heavy-guns,build-hub,page	
bnb-sc-builds-heavy-guns	bnb	page	bnb-tc-builds	public	0	0	subcards	Builds	Heavy Guns	Heavy Guns	Heavy Guns	heavy-guns	/bnb/builds/heavy-guns/	category-hub	published	13		builds,heavy-guns,category-hub,page	
bnb-builds-melee	bnb	page	bnb-tc-builds	public	1	1		Builds	Melee	Melee	Melee	melee	/bnb/builds/melee-builds/	build-hub	published	16	16	builds,melee,build-hub,page	
bnb-sc-builds-melee	bnb	page	bnb-tc-builds	public	0	0	subcards	Builds	Melee	Melee	Melee	melee	/bnb/builds/melee/	category-hub	published	15		builds,melee,category-hub,page	
bnb-builds-pistol	bnb	page	bnb-tc-builds	public	1	1		Builds	Pistol	Pistol	Pistol	pistol	/bnb/builds/pistol-builds/	build-hub	published	18	18	builds,pistol,build-hub,page	
bnb-sc-builds-pistol	bnb	page	bnb-tc-builds	public	0	0	subcards	Builds	Pistol	Pistol	Pistol	pistol	/bnb/builds/pistol/	category-hub	published	17		builds,pistol,category-hub,page	
bnb-builds-raid	bnb	page	bnb-tc-builds	public	1	1		Builds	Raid	Raid	Raid	raid	/bnb/builds/raid-builds/	build-hub	published	20	20	builds,raid,build-hub,page	
