name	category	build	price_xbox	price_ps	price_pc	limit_new	limit_existing
Addictol	Chem		30	35	35	50	100
Adrenal Reaction Serum	Chem		100	110	110	50	100
Antibiotics	Chem		25	35	35	50	100
Ballistic Bock	Chem		35	45	45	50	100
Beer	Chem		10	20	20	50	100
Berry Mentats	Chem	XP	25	35	35	100	200
Bird Bones Serum	Chem		100	110	110	50	100
Black Eyed Susans Soothin	Chem	XP,Carnivore,Herbivore,Hybrid	100	110	110	15	30
Blackwater Brew	Chem		10	20	20	50	100
Blood Pack	Chem		55	65	65	50	100
Bourbon	Chem		10	20	20	50	100
Buffout	Chem		25	35	35	50	100
Bufftats	Chem		25	35	35	50	100
Calmex	Chem		35	45	45	50	100
Canned Coffee	Chem	Herbivore,Carnivore,Hybrid	25	35	35	50	100
Canned Meat Stew	Chem	XP	35	45	45	30	30
Chameleon Serum	Chem		100	110	110	50	100
Cranberry Moonshine	Chem		25	35	35	50	100
DaddyO	Chem		35	45	45	50	100
Day Tripper	Chem		35	45	45	50	100
Disease Cure	Chem		25	35	35	50	100
Eagle Eyes Serum	Chem		100	110	110	50	100
Egg Head Serum	Chem		100	110	110	50	100
Electrically Charged Serum	Chem		100	110	110	50	100
Empath Serum	Chem		100	110	110	50	100
Formula P	Chem		35	45	45	50	100
Fury	Chem		35	45	45	50	100
Glowing Blood	Chem		0	10	10	50	100
Glowing Blood Pack	Chem		55	65	65	50	100
Grape Mentats	Chem		25	35	35	50	100
Grounded Serum	Chem		100	110	110	50	100
Halloween Candy	Chem		5	15	15	50	100
Hard Lemonade	Chem		15	25	25	50	100
Healing Factor Serum	Chem		100	110	110	50	100
Healing Salve	Chem		25	35	35	50	100
Herbivore Serum	Chem	Hybrid	100	110	110	50	100
Herd Mentality Serum	Chem		100	110	110	50	100
High Radiation Fluids	Chem		55	65	65	50	100
High Voltage Hefe	Chem		35	45	45	50	100
Hoppy Hunter IPA	Chem		25	35	35	50	100
Insect Repellent	Chem		10	20	20	50	100
Irradiated Blood Pack	Chem		55	65	65	50	100
Lead Champagne	Chem		25	35	35	50	100
Lead Champagne Bellini	Chem		35	45	45	50	100
Lead Champagne Mimosa	Chem		35	45	45	50	100
Lemonade	Chem		25	35	35	50	100
Liquid Courage	Chem		50	60	60	10	10
Marsupial Serum	Chem		100	110	110	50	100
Med-X	Chem		25	35	35	50	100
New River Red Ale	Chem		10	20	20	50	100
Nuka Cola Cherry	Chem		20	30	30	50	100
Nuka Cola Cranberry	Chem	XP	35	45	45	30	30
Nuka Cola Dark	Chem	Carnivore	35	45	45	50	100
Nuka Cola Grape	Chem		35	45	45	50	100
Nuka Cola My Bloods In It	Chem		25	35	35	30	30
Nuka Cola Orange	Chem		35	45	45	50	100
Nuka Cola Quantum	Chem		10	20	20	50	100
Nuka Cola Scorched	Chem		25	35	35	30	30
Nuka Cola Twist	Chem		35	45	45	30	30
Nuka Cola Vaccinated	Chem		25	35	35	30	30
Nuka Cola Wild	Chem		35	45	45	50	100
Nukashine	Chem		35	45	45	50	100
Oak Holler Lager	Chem		10	20	20	50	100
Old Possum	Chem		10	20	20	50	100
Orange Mentats	Chem		25	35	35	50	100
Overdrive	Chem		45	55	55	50	100
Pickaxe Pilsner	Chem		10	20	20	50	100
Plague Walker Serum	Chem		100	110	110	50	100
Psycho	Chem		25	35	35	100	200
Psychobuff	Chem		25	35	35	100	200
Psychotats	Chem		25	35	35	100	200
Purified Water	Chem		0	10	10	50	100
Rad Ant Lager	Chem		35	45	45	50	100
Rad X	Chem		5	15	15	50	100
Rad X Diluted	Chem		5	15	15	50	100
Radaway	Chem		5	15	15	50	100
Radaway Diluted	Chem		5	15	15	50	100
Radshield	Chem		35	45	45	50	100
Rum	Chem		10	20	20	50	100
Scaly Skin Serum	Chem		100	110	110	50	100
Stimpak	Chem		5	15	15	50	100
Stimpak Diffuser	Chem		20	30	30	50	100
Stimpak Diluted	Chem		5	15	15	50	100
Stimpak Super	Chem		15	25	25	50	100
