name	price_xbox	price_ps	price_pc	limit_new	limit_existing	build	category_override	include_without_cobj	skip	notes
Addictol	35	45	45	50	100		chem	1		
Adrenal Reaction Serum	100	110	110	50	100		serum	1	0	
Aged Mirelurk Queen Steak	25	35	35	30	30					
Aluminum Scrap									1	auto-added from COBJ; set skip=0 to sell
Antibiotics	35	45	45	50	100					
Appalachili	30	40	40	30	30					
Astoundingly Awesome Tales 1							other	1		auto-added from ALCH (Other)
Astoundingly Awesome Tales 10							other	1		auto-added from ALCH (Other)
Astoundingly Awesome Tales 11							other	1		auto-added from ALCH (Other)
Astoundingly Awesome Tales 12							other	1		auto-added from ALCH (Other)
Astoundingly Awesome Tales 13							other	1		auto-added from ALCH (Other)
Astoundingly Awesome Tales 2							other	1		auto-added from ALCH (Other)
Astoundingly Awesome Tales 3							other	1		auto-added from ALCH (Other)
Astoundingly Awesome Tales 4							other	1		auto-added from ALCH (Other)
Astoundingly Awesome Tales 5							other	1		auto-added from ALCH (Other)
Astoundingly Awesome Tales 6							other	1		auto-added from ALCH (Other)
Astoundingly Awesome Tales 7							other	1		auto-added from ALCH (Other)
Astoundingly Awesome Tales 8							other	1		auto-added from ALCH (Other)
Astoundingly Awesome Tales 9							other	1		auto-added from ALCH (Other)
Awesome Opossum Bacon	15	25	25	30	30					
Backwoodsman 1							other	1		auto-added from ALCH (Other)
Backwoodsman 10							other	1		auto-added from ALCH (Other)
Backwoodsman 2							other	1		auto-added from ALCH (Other)
Backwoodsman 3							other	1		auto-added from ALCH (Other)
Backwoodsman 4							other	1		auto-added from ALCH (Other)
Backwoodsman 5							other	1		auto-added from ALCH (Other)
Backwoodsman 6							other	1		auto-added from ALCH (Other)
Backwoodsman 7							other	1		auto-added from ALCH (Other)
Backwoodsman 8							other	1		auto-added from ALCH (Other)
Backwoodsman 9							other	1		auto-added from ALCH (Other)
Baked Bloatfly	15	25	25	30	30					
Ballistic Bock	35	45	45	50	100		alcohol	1		
Beer	10	20	20	50	100		alcohol	1		
Berry Mentats	35	45	45	100	200	XP				
Bioluminescent Fluid							other	1	0	
Bird Bones Serum	100	110	110	50	100		serum	1	0	
Black Eyed Susans Soothin	100	110	110	15	30	XP,Carnivore,Herbivore,Hybrid	chem	1		
Black Titanium Scrap									1	auto-added from COBJ; set skip=0 to sell
Black-Eyed Susan's Soothin'									1	auto-added from COBJ; set skip=0 to sell
Blackberry Honey Crisp	35	45	45	30	30					
Blackberry Juice	10	20	20	30	30					
