grave	directions	photo_region	photo_approach	photo_spawn	region_override	marker_override
2	From the spawn-in location, follow the road south until you reach the green “City Limit Summersville” sign on your right. Face south-west and walk towards the church until the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-summersville-grave-2-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-summersville-grave-2-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-summersville-grave-2-item.avif		
3	From the spawn-in location, run straight through the gap in the stone wall and keep walking forward, jumping over the hedge. Keep walking straight towards the church until the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-kanawha-county-cemetery-grave-3-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-kanawha-county-cemetery-grave-3-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-kanawha-county-cemetery-grave-3-item.avif		
4	From the spawn-in location, face north and walk straight over to the wooden path on your left. Follow the path around and down the stairs until the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/ash-heap-pleasant-hills-cemetery-grave-4-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/ash-heap-pleasant-hills-cemetery-grave-4-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/ash-heap-pleasant-hills-cemetery-grave-4-item.avif		
5	From the spawn-in location, follow the dirt and then wooden path up to the top of the hill and face the monument. Walk towards it and stop when your nose is touching the monument — the map marker will show on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/toxic-valley-colonel-kelly-monument-grave-5-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/toxic-valley-colonel-kelly-monument-grave-5-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/toxic-valley-colonel-kelly-monument-grave-5-item.avif	Toxic Valley	
6	From the spawn-in location, face west and run forward until you are standing on the edge of the water. Turn north and follow the river along, under the bridge and over the jetty with the boat. On the other side of the jetty you will see a dark dirt path going up the hill — follow the path up until the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-wv-lumber-co-grave-6-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-wv-lumber-co-grave-6-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-wv-lumber-co-grave-6-item.avif		
7	From the spawn-in location, face west and run towards the ruined trailer. Stop at the back of the trailer and face north-west, then walk forward until the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-lady-janets-soft-serve-grave-7-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-lady-janets-soft-serve-grave-7-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-lady-janets-soft-serve-grave-7-item.avif		
8	From the spawn-in location, face north-north-east and walk forward towards the white picket fence until the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/savage-divide-fissure-site-grave-8-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/savage-divide-fissure-site-grave-8-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/savage-divide-fissure-site-grave-8-item.avif		
9	From the spawn-in location, face south and run straight. Keep going, over the river, until you see the wire fence on your left. Keep walking south until the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/savage-divide-yellow-sandys-still-grave-9-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/savage-divide-yellow-sandys-still-grave-9-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/savage-divide-yellow-sandys-still-grave-9-item.avif		
10	From the spawn-in location, face west and walk straight, jumping over the hedge. On the other side of the hedge, walk over to the side of the white and blue trailer and follow it west, continuing along the second trailer until you reach the end and the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/ash-heap-nicholsons-end-grave-10-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/ash-heap-nicholsons-end-grave-10-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/ash-heap-nicholsons-end-grave-10-item.avif		
11	From the spawn-in location, turn south and walk forward until the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-wilson-brothers-auto-repair-grave-11-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-wilson-brothers-auto-repair-grave-11-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-wilson-brothers-auto-repair-grave-11-item.avif		
12	From the spawn-in location, face south and walk straight with the monorail pillars on your left until the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/savage-divide-spruce-knob-campground-grave-12-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/savage-divide-spruce-knob-campground-grave-12-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/savage-divide-spruce-knob-campground-grave-12-item.avif		
13	From the spawn-in location, face west and walk forward until the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/cranberry-bog-the-thorn-grave-13-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/cranberry-bog-the-thorn-grave-13-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/cranberry-bog-the-thorn-grave-13-item.avif		
14	From the spawn-in location, face west and run straight forward until you reach the T junction, then turn left. Follow the road down until you see a truck on the road with an orange car on the back. Turn left at the truck and follow the dirt path to the entrance of the gate — the map marker will show on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-gorge-junkyard-grave-14-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-gorge-junkyard-grave-14-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-gorge-junkyard-grave-14-item.avif		Wilson Brother's Auto Repair (Gorge Junkyard)
15	From the spawn-in location, face north-west and run up the hill. You will need to jump up the small rock face — keep heading north-west until the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-wade-airport-grave-15-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-wade-airport-grave-15-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-wade-airport-grave-15-item.avif		Wade Airport (Summersville Docks)
16	From the spawn-in location, face north-east and walk forward until the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/the-mire-gnarled-shallows-grave-16-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/the-mire-gnarled-shallows-grave-16-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/the-mire-gnarled-shallows-grave-16-item.avif		
17	From the spawn-in location, face east and run up the road, stopping when you reach the NPC. Turn north and walk to the edge of the cliff. Jump down to the river bed, face east and walk forward until the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-kanawha-nuka-cola-plant-grave-17-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-kanawha-nuka-cola-plant-grave-17-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/forest-kanawha-nuka-cola-plant-grave-17-item.avif		
18	From the spawn-in location, run forward toward the cabin. Do not enter the cabin — continue walking straight with the cabin on your left until the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/savage-divide-bailey-family-cabin-grave-18-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/savage-divide-bailey-family-cabin-grave-18-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/savage-divide-bailey-family-cabin-grave-18-item.avif		
@Philippi Battlefield Cemetery	From the spawn-in location, face west and walk forward until the map marker shows on your HUD.	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/toxic-valley-philippi-battlefield-cemetery-grave-region.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/toxic-valley-philippi-battlefield-cemetery-grave-map.avif	/wp-content/uploads/guide-images/treasure-maps/slasher-grave-locations/toxic-valley-philippi-battlefield-cemetery-grave-item.avif		
