region	site_number	ref_edid	ref_formid	closest_fast_travel	source_export	x	y	z
Ash Heap	4	SDOW_Grave04	008F173A	Pleasant Hills Cemetery	REFR_Placements_PTS_2026-07-18_07571.tsv	-55106.8	-101404.5	20663.6
Ash Heap	10	SDOW_Grave10	0090E8DB	Nicholson's End	REFR_Placements_PTS_2026-07-18_07571.tsv	-185121.2	-135898.4	8224.1
Cranberry Bog	13	SDOW_Grave13	0090E904	The Thorn	REFR_Placements_PTS_2026-07-18_07571.tsv	105507.5	-100810.6	10745.8
Forest	2	SDOW_Grave02	008F6758	Summersville	REFR_Placements_PTS_2026-07-18_07571.tsv	-45114.3	-13484.8	9491.3
Forest	3	SDOW_Grave03	008F1739	Kanawha County Cemetery	REFR_Placements_PTS_2026-07-18_07571.tsv	-176696.9	-24485.9	609.0
Forest	6	SDOW_Grave_06	0090FBD9	WV Lumber Co.	REFR_Placements_PTS_2026-07-18_07571.tsv	-171220.7	194312.6	450.3
Forest	7	SDOW__Grave07	00930AA7	Lady Janet's Soft Serve	manual:2026-08-22 xEdit Referenced By ACTI 008F1672
Forest	11	SDOW_Grave11	0090E8F7	Wilson Brother's Auto Repair	REFR_Placements_PTS_2026-07-18_07571.tsv	-51785.8	107184.9	10704.3
Forest	14	SDOW_Grave14	0090E90B	Gorge Junkyard	REFR_Placements_PTS_2026-07-18_07571.tsv	-60002.8	87871.6	7175.4
Forest	15	SDOW_Grave15	0090E912	Wade Airport	REFR_Placements_PTS_2026-07-18_07571.tsv	-77301.0	-32872.4	12310.8
Forest	17	SDOW_Grave17	0090E920	Kanawha Nuka-Cola Plant	REFR_Placements_PTS_2026-07-18_07571.tsv	-156741.5	-57883.0	951.5
Savage Divide	5	SDOW__Grave05	00930AA0	Colonel Kelly Monument	manual:2026-08-22 xEdit Referenced By ACTI 008F1672
Savage Divide	8	SDOW_Grave08	008F6760	Fissure Site	REFR_Placements_PTS_2026-07-18_07571.tsv	110363.7	129485.0	20427.4
Savage Divide	9	SDOW__Grave09	00930AAE	Yellow Sandy's Still	manual:2026-08-22 xEdit Referenced By ACTI 008F1672
Savage Divide	12	SDOW_Graves12	0090E8FE	Spruce Knob Campground	REFR_Placements_PTS_2026-07-18_07571.tsv	45309.7	-111759.5	35453.1
Savage Divide	18	SDOW_Grave18	0090E927	Bailey Family Cabin	REFR_Placements_PTS_2026-07-18_07571.tsv	137087.1	180636.3	18745.9
The Mire	16	SDOW_Grave16	0090E919	Gnarled Shallows	REFR_Placements_PTS_2026-07-18_07571.tsv	197311.3	140223.9	9836.8
Toxic Valley			008F1737	Philippi Battlefield Cemetery	REFR_Placements_PTS_2026-07-18_07571.tsv	38486.1	168943.9	14715.2
