ACTI_FormID	ACTI_EDID	ACTI_FULL	XALG_Flags	CanBeInstanced	KeywordCount	KW_1	KW_2	KW_3	KW_4	KW_5	KW_6	PropCount	Prop_1_AV	Prop_1_Val	Prop_1_Curve	Prop_2_AV	Prop_2_Val	Prop_2_Curve	Prop_3_AV	Prop_3_Val	Prop_3_Curve	Prop_4_AV	Prop_4_Val	Prop_4_Curve	Prop_5_AV	Prop_5_Val	Prop_5_Curve	Prop_6_AV	Prop_6_Val	Prop_6_Curve	VMAD_ScriptCount	VMAD_Scripts
000347A1	DefaultSetAVTrig				0							0																			1	DefaultSetAVTrigScript::=
0003252F	DefaultSetStageTriggerOnLeavePlayerOnly				0							0																			1	DefaultRefOnTriggerLeave::=
00033440	Standpipe02				0							0																			0	
00033441	Standpipe03				0							0																			0	
0003376D	DefaultActivateSelfTrigger				0							0																			1	DefaultActivateSelf::AmbushFurnitureTriggerMultipleTimes=0059E05B:AmbushFurnitureTriggerMultipleTimes:KYWD##DefaultActivateSelf::doOnce=False
0002E507	RETriggerAssault			False	2	0004AF68:MustPersist:KYWD	007444F0:RETriggerAllowAppalachiaEncounters:KYWD					0																			1	retriggerscript::BabylonQuickCamp=00348B96:BabylonQuickCamp:KYWD##retriggerscript::CampSearchRadius=5000.000000##retriggerscript::CampWorkshopKeyword=0005231A:CampWorkshopKeyword:KYWD##retriggerscript::DaysUntilReset=0.250000##retriggerscript::EncounterType=0002E501:REEncounterTypeAssault:KYWD##retriggerscript::REParent=0000736E:RE_Parent:QUST
0002E51B	RETriggerSecondary			False	2	0004AF68:MustPersist:KYWD	007444F0:RETriggerAllowAppalachiaEncounters:KYWD					0																			1	RETriggerSecondaryScript::=
000302DC	Empty_NukaColaMachine_LoadScreen	Nuka-Cola Machine			1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
00031F7B	Standpipe01				0							0																			0	
00032483	MirelurkHypnosisTower	Vapor Tower			0							0																			1	MirelurkHypnosisTowerSCRIPT::=
00032484	MirelurkHypnosisTowerTrig				0							0																			1	MirelurkHypnosisTowerTrigScript::Aggression=000002BC:Aggression:AVIF##MirelurkHypnosisTowerTrigScript::MirelurkFaction=0002689D:MirelurkFaction:FACT
0003251C	DefaultSetStageTrigger				0							0																			1	defaultrefontriggerenter::=
0003251F	DefaultSetStageTriggerPlayerOnly				0							0																			1	defaultrefontriggerenter::=
0003252E	DefaultSetStageTriggerOnLeave				0							0																			1	DefaultRefOnTriggerLeave::=
0002DFE5	RETriggerScene			False	2	0004AF68:MustPersist:KYWD	007444F0:RETriggerAllowAppalachiaEncounters:KYWD					0																			1	retriggerscript::BabylonQuickCamp=00348B96:BabylonQuickCamp:KYWD##retriggerscript::CampSearchRadius=10000.000000##retriggerscript::CampWorkshopKeyword=0005231A:CampWorkshopKeyword:KYWD##retriggerscript::DaysUntilReset=0.250000##retriggerscript::EncounterType=0004A600:REEncounterTypeScene:KYWD##retriggerscript::REParent=0000736E:RE_Parent:QUST
000224E3	DefaultEmptyTrigger		Camera Weapon Detectable		0							0																			0	
000248C2	Toilet01				0							0																			0	
00026318	Water1024IntMurkyDefault				0							0																			0	
00026E68	defaultCreatureSpawnerDeathclawDoll	Death Claw Spawner			0							0																			0	
00026E6A	defaultCreatureSpawnerRaiderDoll	Raider Spawner			0							0																			0	
00027559	KentIntroAmbient				0							0																			0	
0002D19D	NavBlocker				0							0																			0	
0002E503	RETriggerTravel			False	2	0004AF68:MustPersist:KYWD	007444F0:RETriggerAllowAppalachiaEncounters:KYWD					0																			1	retriggerscript::BabylonQuickCamp=00348B96:BabylonQuickCamp:KYWD##retriggerscript::CampSearchRadius=5000.000000##retriggerscript::CampWorkshopKeyword=0005231A:CampWorkshopKeyword:KYWD##retriggerscript::DaysUntilReset=0.250000##retriggerscript::EncounterType=001027A6:REEncounterTypeTravel:KYWD##retriggerscript::REParent=0000736E:RE_Parent:QUST##retriggerscript::TriggerOnLoad=False
0002E504	RETriggerCamp			False	2	0004AF68:MustPersist:KYWD	007444F0:RETriggerAllowAppalachiaEncounters:KYWD					0																			1	retriggerscript::BabylonQuickCamp=00348B96:BabylonQuickCamp:KYWD##retriggerscript::CampSearchRadius=5000.000000##retriggerscript::CampWorkshopKeyword=0005231A:CampWorkshopKeyword:KYWD##retriggerscript::DaysUntilReset=0.250000##retriggerscript::EncounterType=0002E502:REEncounterTypeCamp:KYWD##retriggerscript::REParent=0000736E:RE_Parent:QUST
0002E505	RETriggerObject			False	2	0004AF68:MustPersist:KYWD	007444F0:RETriggerAllowAppalachiaEncounters:KYWD					0																			1	retriggerscript::BabylonQuickCamp=00348B96:BabylonQuickCamp:KYWD##retriggerscript::CampSearchRadius=5000.000000##retriggerscript::CampWorkshopKeyword=0005231A:CampWorkshopKeyword:KYWD##retriggerscript::DaysUntilReset=0.250000##retriggerscript::EncounterType=0002E4FF:REEncounterTypeObject:KYWD##retriggerscript::REParent=0000736E:RE_Parent:QUST
0000001B	DefaultAshPile1	Ash Pile			1	0018FB4B:IsAshpile:KYWD						0																			0	
