ALCH_FormID	ALCH_EDID	EffectCount	EffectIndex	MGEF_FormID	MGEF_EDID	MGEF_FULL	EFIT_EffectID	EFIT_Magnitude	EFIT_Area	EFIT_Duration	EFIT_Unknown	MAGG_GLOB_FormID	MAGG_GLOB_EDID	MAGG_GLOB_FULL	DURG_GLOB_FormID	DURG_GLOB_EDID	DURG_GLOB_FULL	EIES_FormID	EIES_EDID	EIES_FULL	CODG_GLOB_FormID	CODG_GLOB_EDID	CODG_GLOB_FULL	CODV_CooldownValue
00074D0D	BloodbugMeat	3	0	0009A41B	SURV_DiseaseVector_Food_Effect	SURV_DiseaseVector_Food_Effect	0	0.000000	0	0		002DBF88	SURV_Food_DiseaseChance_Mag_4_VeryHigh											0
00074D0D	BloodbugMeat	3	1	00024056	DamageRadiationEating	Eating: Radiation Damage	0	10.000000	0	0		002DBF8E	SURV_Food_RadiationDamage_Mag_3_High											0
00074D0D	BloodbugMeat	3	2	00026874	SURV_Food_Effect	SURV_Food_Effect	0	1800.000000	0	0		002DBF7E	SURV_Food_RestoreHunger_Mag_3_Medium											0
00074D0E	DeathclawMeat	3	0	00024056	DamageRadiationEating	Eating: Radiation Damage	0	15.000000	0	0		002DBF8F	SURV_Food_RadiationDamage_Mag_4_VeryHigh											0
00074D0E	DeathclawMeat	3	1	0009A41B	SURV_DiseaseVector_Food_Effect	SURV_DiseaseVector_Food_Effect	0	0.000000	0	0		002DBF88	SURV_Food_DiseaseChance_Mag_4_VeryHigh											0
00074D0E	DeathclawMeat	3	2	00026874	SURV_Food_Effect	SURV_Food_Effect	0	5400.000000	0	0		002DBF82	SURV_Food_RestoreHunger_Mag_5_VeryLarge											0
00074D0F	StingwingMeat	3	0	00024056	DamageRadiationEating	Eating: Radiation Damage	0	0.000000	0	0		002DBF8F	SURV_Food_RadiationDamage_Mag_4_VeryHigh											0
00074D0F	StingwingMeat	3	1	0009A41B	SURV_DiseaseVector_Food_Effect	SURV_DiseaseVector_Food_Effect	0	0.000000	0	0		002DBF87	SURV_Food_DiseaseChance_Mag_3_High											0
00074D0F	StingwingMeat	3	2	00026874	SURV_Food_Effect	SURV_Food_Effect	0	1800.000000	0	0		002DBF7E	SURV_Food_RestoreHunger_Mag_3_Medium											0
00074D10	RadscorpionMeat	3	0	00024056	DamageRadiationEating	Eating: Radiation Damage	0	15.000000	0	0		002DBF8F	SURV_Food_RadiationDamage_Mag_4_VeryHigh											0
00074D10	RadscorpionMeat	3	1	0009A41B	SURV_DiseaseVector_Food_Effect	SURV_DiseaseVector_Food_Effect	0	0.000000	0	0		002DBF88	SURV_Food_DiseaseChance_Mag_4_VeryHigh											0
00074D10	RadscorpionMeat	3	2	00026874	SURV_Food_Effect	SURV_Food_Effect	0	5400.000000	0	0		002DBF82	SURV_Food_RestoreHunger_Mag_5_VeryLarge											0
0009DCC4	TatoVegetableFruit	3	0	00024056	DamageRadiationEating	Eating: Radiation Damage	0	5.000000	0	0		002DBF8D	SURV_Food_RadiationDamage_Mag_2_Medium											0
0009DCC4	TatoVegetableFruit	3	1	0009A41B	SURV_DiseaseVector_Food_Effect	SURV_DiseaseVector_Food_Effect	0	5.000000	0	0		002DBF86	SURV_Food_DiseaseChance_Mag_2_Medium											0
0009DCC4	TatoVegetableFruit	3	2	00026874	SURV_Food_Effect	SURV_Food_Effect	0	0.000000	0	0		002DBF7C	SURV_Food_RestoreHunger_Mag_2_Small											0
0009F24B	ThistleHerb	3	0	00024056	DamageRadiationEating	Eating: Radiation Damage	0	5.000000	0	0		002DBF8D	SURV_Food_RadiationDamage_Mag_2_Medium											0
0009F24B	ThistleHerb	3	1	0009A41B	SURV_DiseaseVector_Food_Effect	SURV_DiseaseVector_Food_Effect	0	0.000000	0	0		002DBF85	SURV_Food_DiseaseChance_Mag_1_Low											0
0009F24B	ThistleHerb	3	2	00026874	SURV_Food_Effect	SURV_Food_Effect	0	0.000000	0	0		002DBF84	SURV_Food_RestoreHunger_Mag_0_Herb											0
000BEA58	Dogfood	3	0	00024056	DamageRadiationEating	Eating: Radiation Damage	2	1.000000	0	0		002DBF8B	SURV_Food_RadiationDamage_Mag_0_Token											0
000BEA58	Dogfood	3	1	00026874	SURV_Food_Effect	SURV_Food_Effect	3	0.000000	0	0		002DBF7E	SURV_Food_RestoreHunger_Mag_3_Medium											0
000BEA58	Dogfood	3	2	0000397E	RestoreHealthFood	Restore Health	1	0.600100	0	25		002DB628	SURV_Food_Heal_Mag_3_Medium_Improved		002DB4F2	SURV_Food_Heal_Dur_Standard								0
000D981D	TarberryFruit	3	0	00024056	DamageRadiationEating	Eating: Radiation Damage	0	5.000000	0	0		002DBF8D	SURV_Food_RadiationDamage_Mag_2_Medium											0
000D981D	TarberryFruit	3	1	0009A41B	SURV_DiseaseVector_Food_Effect	SURV_DiseaseVector_Food_Effect	0	5.000000	0	0		002DBF86	SURV_Food_DiseaseChance_Mag_2_Medium											0
000D981D	TarberryFruit	3	2	00026874	SURV_Food_Effect	SURV_Food_Effect	0	0.000000	0	0		002DBF7C	SURV_Food_RestoreHunger_Mag_2_Small											0
000E0043	RazorgrainVegetable	3	0	00024056	DamageRadiationEating	Eating: Radiation Damage	0	5.000000	0	0		002DBF8D	SURV_Food_RadiationDamage_Mag_2_Medium											0
000E0043	RazorgrainVegetable	3	1	0009A41B	SURV_DiseaseVector_Food_Effect	SURV_DiseaseVector_Food_Effect	0	5.000000	0	0		002DBF86	SURV_Food_DiseaseChance_Mag_2_Medium											0
000E0043	RazorgrainVegetable	3	2	00026874	SURV_Food_Effect	SURV_Food_Effect	0	300.000000	0	0		002DBF7A	SURV_Food_RestoreHunger_Mag_1_Tiny											0
000E3768	BlamcoMacAndCheese_PreWar_Clean	2	0	00026874	SURV_Food_Effect	SURV_Food_Effect	2	0.000000	0	0		002DBF7E	SURV_Food_RestoreHunger_Mag_3_Medium											0
000E3768	BlamcoMacAndCheese_PreWar_Clean	2	1	0000397E	RestoreHealthFood	Restore Health	1	0.000000	0	25		002DB5C7	SURV_Food_Heal_Mag_2_Small_Improved		002DB4F2	SURV_Food_Heal_Dur_Standard								0
000E3778	FancyLadSnackCakes_PreWar_Clean	2	0	00026874	SURV_Food_Effect	SURV_Food_Effect	2	0.000000	0	0		002DBF7E	SURV_Food_RestoreHunger_Mag_3_Medium											0
000E3778	FancyLadSnackCakes_PreWar_Clean	2	1	0000397E	RestoreHealthFood	Restore Health	1	0.000000	0	25		002DB5C7	SURV_Food_Heal_Mag_2_Small_Improved		002DB4F2	SURV_Food_Heal_Dur_Standard								0
000E377A	InstaMash_PreWar_Clean	2	0	00026874	SURV_Food_Effect	SURV_Food_Effect	2	0.000000	0	0		002DBF7F	SURV_Food_RestoreHunger_Mag_3_Medium_Improved											0
000E377A	InstaMash_PreWar_Clean	2	1	0000397E	RestoreHealthFood	Restore Health	1	0.000000	0	25		002DB4F8	SURV_Food_Heal_Mag_3_Medium		002DB4F2	SURV_Food_Heal_Dur_Standard								0
000E3780	SalisburySteak_PreWar_Clean	2	0	00026874	SURV_Food_Effect	SURV_Food_Effect	2	0.000000	0	0		002DBF81	SURV_Food_RestoreHunger_Mag_4_Large_Improved											0
000E3780	SalisburySteak_PreWar_Clean	2	1	0000397E	RestoreHealthFood	Restore Health	1	0.000000	0	25		002DB628	SURV_Food_Heal_Mag_3_Medium_Improved		002DB4F2	SURV_Food_Heal_Dur_Standard								0
000E3782	SugarBombs_PreWar_Clean	3	0	00026874	SURV_Food_Effect	SURV_Food_Effect	3	0.000000	0	0		002DBF7B	SURV_Food_RestoreHunger_Mag_1_Tiny_Improved											0
000E3782	SugarBombs_PreWar_Clean	3	1	0000397E	RestoreHealthFood	Restore Health	1	0.000000	0	25		002DB4F7	SURV_Food_Heal_Mag_2_Small		002DB4F2	SURV_Food_Heal_Dur_Standard								0
000E3782	SugarBombs_PreWar_Clean	3	2	002DBFC4	RestoreActionPointsFood	Restore Action Points Food	2	0.000000	0	15		002DBF9E	SURV_Food_Effect_APRestore_Mag_1_Low		0037F813	SURV_Food_Effect_APRestore_Dur_2_Medium								0
000EF24D	GourdVegetable	3	0	00024056	DamageRadiationEating	Eating: Radiation Damage	0	5.000000	0	0		002DBF8D	SURV_Food_RadiationDamage_Mag_2_Medium											0
000EF24D	GourdVegetable	3	1	0009A41B	SURV_DiseaseVector_Food_Effect	SURV_DiseaseVector_Food_Effect	0	5.000000	0	0		002DBF86	SURV_Food_DiseaseChance_Mag_2_Medium											0
000EF24D	GourdVegetable	3	2	00026874	SURV_Food_Effect	SURV_Food_Effect	0	0.000000	0	0		002DBF7C	SURV_Food_RestoreHunger_Mag_2_Small											0
000F742E	CarrotVegetable	3	0	00024056	DamageRadiationEating	Eating: Radiation Damage	0	5.000000	0	0		002DBF8D	SURV_Food_RadiationDamage_Mag_2_Medium											0
000F742E	CarrotVegetable	3	1	0009A41B	SURV_DiseaseVector_Food_Effect	SURV_DiseaseVector_Food_Effect	0	5.000000	0	0		002DBF86	SURV_Food_DiseaseChance_Mag_2_Medium											0
000F742E	CarrotVegetable	3	2	00026874	SURV_Food_Effect	SURV_Food_Effect	0	900.000000	0	0		002DBF7C	SURV_Food_RestoreHunger_Mag_2_Small											0
000FAFEB	MelonFruit	4	0	00024056	DamageRadiationEating	Eating: Radiation Damage	0	5.000000	0	0		002DBF8D	SURV_Food_RadiationDamage_Mag_2_Medium											0
000FAFEB	MelonFruit	4	1	0009A41B	SURV_DiseaseVector_Food_Effect	SURV_DiseaseVector_Food_Effect	0	5.000000	0	0		002DBF86	SURV_Food_DiseaseChance_Mag_2_Medium											0
000FAFEB	MelonFruit	4	2	00026874	SURV_Food_Effect	SURV_Food_Effect	0	0.000000	0	0		002DBF7E	SURV_Food_RestoreHunger_Mag_3_Medium											0
000FAFEB	MelonFruit	4	3	00134836	SURV_Drink_Effect	SURV_Drink_Effect	1	900.000000	0	0		00284962	SURV_Drink_RestoreThirst_Mag_1_Normal											0
000E2F68	GlowingOneBlood	4	0	00024056	DamageRadiationEating	Eating: Radiation Damage	1	0.000000	0	0		002DBF8F	SURV_Food_RadiationDamage_Mag_4_VeryHigh											0
000E2F68	GlowingOneBlood	4	1	000197D3	SURV_AddThirst_Potion_Effect_Chem	Chems: Thirst	2	900.000000	0	0		00019941	SURV_Chem_AddThirstSize_2_Normal											0
000E2F68	GlowingOneBlood	4	2	0000397E	RestoreHealthFood	Restore Health	3	0.000000	0	25		002DB4F8	SURV_Food_Heal_Mag_3_Medium		002DB4F2	SURV_Food_Heal_Dur_Standard								0
000E2F68	GlowingOneBlood	4	3	007A76AE	GHL_SURV_Chem_Effect	GHL_SURV_Chem_Effect	4	0.000000	0	0		007A768F	GHL_SURV_Chem_RestoreFeral_Mag_0_Herb											0
000E34E9	FernFlowerHerb	3	0	00024056	DamageRadiationEating	Eating: Radiation Damage	0	5.000000	0	0		002DBF8D	SURV_Food_RadiationDamage_Mag_2_Medium											0
000E34E9	FernFlowerHerb	3	1	00026874	SURV_Food_Effect	SURV_Food_Effect	0	120.000000	0	0		002DBF84	SURV_Food_RestoreHunger_Mag_0_Herb											0
