QuestFormID	QuestEDID	AllyGuess	QuestName	MatchRule	QuestFlags	Priority	TopicCount	InfoCount	LineCount	SceneCount	Scripts	SourceFile
008B43D2	ATX_COMP_Quest_Camp_Lite_Cambot	Cambot		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	0	128	135	196	4	ATX_LiteAllyScript ; COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
007FDC0D	ATX_COMP_Quest_Camp_Lite_Dottie	Dottie		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	0	112	117	202	4	ATX_LiteAllyScript ; COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
0075C0EC	ATX_COMP_Quest_Camp_Lite_Lawson	Lawson		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	0	123	163	314	7	ATX_LiteAllyScript ; COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
0073E934	ATX_COMP_Quest_Camp_Lite_Adelaide	Adelaide		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	50	161	154	256	5	ATX_LiteAllyScript ; COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
006DC95D	ATX_COMP_Quest_Camp_Lite_GrandmaJunko	GrandmaJunko		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	0	158	151	255	8	ATX_LiteAllyCooldownScript ; COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
006A436A	ATX_COMP_Quest_Camp_Lite_JoeyBello	JoeyBello		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	50	153	345	578	6	ATX_LiteAllyScript ; COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
0068D3DC	ATX_COMP_Quest_Camp_Lite_Scarberry	Scarberry		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	50	134	150	246	5	ATX_LiteAllyScript ; COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
00674958	ATX_COMP_Quest_Camp_Lite_NukaAgent	NukaAgent		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	50	211	171	249	4	ATX_LiteAllyScript ; COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
0062DC25	ATX_COMP_Quest_Camp_Lite_Astronomer	Astronomer		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	50	197	169	301	4	ATX_COMP_AstronomerScript ; ATX_LiteAllyScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
0062CA7E	ATX_COMP_Quest_Camp_Lite_Ghoul	Ghoul		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	50	130	135	237	4	ATX_COMP_GhoulScript ; ATX_LiteAllyScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
006209CE	ATX_COMP_Doberman_Quest_Camp_Lite_Dog	Dog		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	50	32	34	85	2	ATX_COMP_PetDogScript ; COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
0061E063	SCORE_S5_COMP_Quest_Camp_Lite_SuperMutant	SuperMutant		EDID-CampLite	Allow Repeat Stages ; Run Once ; Has Dialogue Data ; Not Autotracked ; Incrementing Timer	50	198	233	465	10	ATX_LiteAllyScript ; COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
0061E062	SCORE_S5_COMP_Quest_Camp_Lite_Inspector	Inspector		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	50	226	296	580	9	ATX_LiteAllyScript ; COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
0061E040	ATX_COMP_Quest_Camp_Lite_Mechanic	Mechanic		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	50	156	187	354	6	ATX_LiteAllyScript ; COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
005DBE6D	BS01_COMP_Quest_Camp_Lite_Chef	Chef		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	0	97	122	196	3	DefaultQuestRemovePlayersScript ; QUESTS:BS01_COMP_Chef:AllyChefScript	SeventySix.esm
005C40FD	BS01_COMP_Medic_Camp	Camp		Script-CompAlly	Run Once ; Has Dialogue Data ; Not Autotracked	50	135	150	266	5	COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript ; Quests:BS01_COMP_Medic:AllyMedicScript	SeventySix.esm
005A348A	COMP_PlayerConnect	PlayerConnect		Alias-Ally	Run Once ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	0	0	0	0	0	COMP_PlayerConnectQuestScript	SeventySix.esm
0058F275	COMP_RE_Camp_LiteAllySpawn	LiteAllySpawn	Camp - Ally	EDID-CampLite	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Not Autotracked ; Not Tracked in UI After Completed	50	0	0	0	0	rescript	SeventySix.esm
00585BD2	COMP_Quest_Intro_Lite_Scavenger	Scavenger	Ally: Scavenger	Alias-Ally	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Uses Custom Expire Time ; Incrementing Timer	50	23	36	51	1	COMP_InitialQuestScript ; DefaultQuestAddPlayersDistanceCheck	SeventySix.esm
00582173	COMP_Quest_Intro_Lite_Wanderer	Wanderer	Ally: Settler Wanderer	Alias-Ally	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Incrementing Timer	50	16	31	43	2	COMP_InitialQuestScript	SeventySix.esm
00582172	COMP_Quest_Intro_Lite_Beggar	Beggar	Ally: Beggar	Alias-Ally	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Uses Custom Expire Time ; Incrementing Timer	50	30	46	72	2	COMP_InitialQuestScript	SeventySix.esm
00582171	COMP_Quest_Camp_Lite_Scavenger	Scavenger		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	50	17	675	1001	1	COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
00582170	TEMPLATE_COMP_Quest_Camp_Ally_DO_NOT_EXPORT	EXPORT		EDID-CampLite	Run Once ; Exclude from dialogue export ; Warn on Alias Fill Failed ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	0	15	566	853	1	DefaultQuestRemovePlayersScript	SeventySix.esm
0058216F	COMP_Quest_Camp_Lite_Hunter	Hunter		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	50	16	572	861	1	COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
0058216E	COMP_Quest_Camp_Lite_Wanderer	Wanderer		EDID-CampLite	Run Once ; Has Dialogue Data ; Not Autotracked	50	17	635	939	1	COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
0058216B	COMP_Conversation_Beckett_Visitor_004_Sage	Sage		Script-CompAlly	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	60	18	15	19	1	COMP_ShutdownOnAllyCleanUpQuestScript ; COMP_VisitorConversationQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
00582162	COMP_Quest_Camp_Full_Beckett	Beckett	Ally: An Eagle Flies Free	EDID-CompAlly	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Not Autotracked	50	510	1313	2123	31	COMP_Quest_Camp_BeckettScript ; COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
00582157	COMP_Conversation_Beckett_Visitor_PQ_Pet	Pet		Script-CompAlly	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	60	28	13	15	1	COMP_ShutdownOnAllyCleanUpQuestScript ; COMP_VisitorConversationQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
00582156	COMP_Conversation_Beckett_Visitor_011_Sage	Sage		Script-CompAlly	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	60	12	14	19	1	COMP_ShutdownOnAllyCleanUpQuestScript ; COMP_VisitorConversationQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
00582155	COMP_Quest_Camp_Lite_Beggar	Beggar		EDID-CampLite	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	50	17	641	941	1	COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
00582153	COMP_Quest_Intro_Lite_Hunter	Hunter	Ally: Hunter	Alias-Ally	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Incrementing Timer	50	28	38	50	1	COMP_InitialQuestScript	SeventySix.esm
00574624	COMP_Conversation_Astronaut_Athena_020_Vendor_CUT	CUT		Script-CompAlly	Add Idle Topic To Hello ; Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Unique Instance ; Not Autotracked	0	4	31	43	0	COMP_ShutdownOnAllyCleanUpQuestScript ; COMP_VisitorConversationQuestScript	SeventySix.esm
00574623	COMP_Conversation_Astronaut_Emerson_017_Optional	Optional		Script-CompAlly	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	0	8	14	18	1	COMP_Emerson_017_VisitQuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; COMP_VisitorConversationQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
00574622	COMP_Conversation_Astronaut_Emerson_020_Vendor_CUT	CUT		Script-CompAlly	Add Idle Topic To Hello ; Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	0	3	22	30	0	COMP_ShutdownOnAllyCleanUpQuestScript ; COMP_VisitorConversationQuestScript	SeventySix.esm
00574621	COMP_Conversation_Astronaut_Athena_017_Optional	Optional		Script-CompAlly	Add Idle Topic To Hello ; Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	60	22	24	30	1	COMP_ShutdownOnAllyCleanUpQuestScript ; COMP_VisitorConversationQuestScript	SeventySix.esm
005727AD	COMP_RQ_Rescue	Rescue	<Alias=QuestNameOverride>	Script-CompAlly	Run Once ; Has Dialogue Data ; Not Autotracked	55	0	0	0	0	COMP_RQ_Restore_Rescue_Script ; comp_rq_script ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript ; DefaultQuestTriggerRespawnVIPScript ; QuestDebuggerScript	SeventySix.esm
0057235D	COMP_Conversation_Astronaut_Emerson_014_Athena	Athena		Script-CompAlly	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	60	52	39	60	1	COMP_ShutdownOnAllyCleanUpQuestScript ; COMP_VisitorConversationQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
0057235C	COMP_Conversation_Astronaut_Emerson_005_RegretToInform	RegretToInform		Script-CompAlly	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	60	33	23	29	1	COMP_ShutdownOnAllyCleanUpQuestScript ; COMP_VisitorConversationQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
0057235B	COMP_Conversation_Astronaut_Emerson_011_Scared	Scared		Script-CompAlly	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	60	14	13	20	1	COMP_ShutdownOnAllyCleanUpQuestScript ; COMP_VisitorConversationQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
0057235A	COMP_Conversation_Astronaut_Emerson_008_Revelations	Revelations		Script-CompAlly	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	60	45	46	71	2	COMP_ShutdownOnAllyCleanUpQuestScript ; COMP_VisitorConversationQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
0056FB76	COMP_RQ_Kill	Kill	<Alias=QuestNameOverride>	Script-CompAlly	Run Once ; Has Dialogue Data ; Not Autotracked	55	0	0	0	0	COMP_RQ_Restore_Kill_Script ; comp_rq_script ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript ; DefaultQuestTriggerRespawnVIPScript ; QuestDebuggerScript	SeventySix.esm
00568CB2	COMP_Quest_Intro_Lite_RaiderPunk	RaiderPunk	Ally: Raider Punk	Alias-Ally	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Uses Custom Expire Time ; Not Autotracked ; Incrementing Timer	50	28	43	61	1	COMP_InitialQuestScript	SeventySix.esm
00568CB1	COMP_Quest_Camp_Lite_RaiderPunk	RaiderPunk		EDID-CampLite	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	50	52	733	1132	3	COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
00563F8B	COMP_Conversation_Astronaut_Emerson_003_FirstMet	FirstMet		Script-CompAlly	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	60	67	54	76	1	COMP_ShutdownOnAllyCleanUpQuestScript ; COMP_VisitorConversationQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
00557695	COMP_Dialogue_Astronaut_Grahm	Grahm		Alias-Ally	Run Once ; Has Dialogue Data ; Not Autotracked	80	19	25	25	1	DefaultQuestRemovePlayersScript	SeventySix.esm
0054F1A4	COMP_RQ_Fetch	Fetch	<Alias=QuestNameOverride>	Script-CompAlly	Run Once ; Has Dialogue Data ; Can Be Rejected When Active ; Not Autotracked	55	1	0	0	0	COMP_RQ_Restore_Fetch_Script ; comp_rq_script ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript ; DefaultQuestTriggerRespawnVIPScript ; QuestDebuggerScript	SeventySix.esm
0054EB3E	COMP_Quest_Camp_Full_Astronaut	Astronaut	Ally: The Woman Who Fell To Earth	EDID-CompAlly	Run Once ; Warn on Alias Fill Failed ; Has Dialogue Data ; Saves Completion ; Can Be Rejected When Active ; Not Autotracked	50	278	1567	2756	23	COMP_RQ_DialogueVariable_QuestScript ; COMP_ShutdownOnAllyCleanUpQuestScript ; DefaultQuestRemovePlayersScript	SeventySix.esm
