QuestFormID	QuestEDID	AllyGuess	SceneFormID	SceneEDID	SceneFlags	PhaseCount	ActorCount	ActorAliases	Conditions	Scripts
008B43D2	ATX_COMP_Quest_Camp_Lite_Cambot	Cambot	008B450A	ATX_COMP_Quest_Camp_Lite_Cambot_Intro	Show All Text ; Unknown 5	14	1	002 Cambot		
008B43D2	ATX_COMP_Quest_Camp_Lite_Cambot	Cambot	008B450B	ATX_COMP_Quest_Camp_Lite_Cambot_Main	Show All Text ; Unknown 5	1	1	002 Cambot		
008B43D2	ATX_COMP_Quest_Camp_Lite_Cambot	Cambot	008B450C	ATX_COMP_Quest_Camp_Lite_Cambot_Personal	Show All Text ; Unknown 5	6	1	002 Cambot		
008B43D2	ATX_COMP_Quest_Camp_Lite_Cambot	Cambot	008B450D	ATX_COMP_Quest_Camp_Lite_Cambot_Quests	Show All Text ; Unknown 5	4	1	002 Cambot		
007FDC0D	ATX_COMP_Quest_Camp_Lite_Dottie	Dottie	007FDF5C	ATX_COMP_Quest_Camp_Lite_Dottie_Intro	Show All Text ; Unknown 5 ; No Follower Idle Chatter	8	1	001 Dottie		
007FDC0D	ATX_COMP_Quest_Camp_Lite_Dottie	Dottie	007FDF5D	ATX_COMP_Quest_Camp_Lite_Dottie_Quest	Show All Text ; Unknown 5 ; No Follower Idle Chatter	1	1	001 Dottie		
007FDC0D	ATX_COMP_Quest_Camp_Lite_Dottie	Dottie	007FDF5E	ATX_COMP_Quest_Camp_Lite_Dottie_Main	Show All Text ; Unknown 5 ; No Follower Idle Chatter	7	1	001 Dottie		
007FDC0D	ATX_COMP_Quest_Camp_Lite_Dottie	Dottie	007FDF5F	ATX_COMP_Quest_Camp_Lite_Dottie_Personal	Show All Text ; Unknown 5 ; No Follower Idle Chatter	4	1	001 Dottie		
0075C0EC	ATX_COMP_Quest_Camp_Lite_Lawson	Lawson	0075C1F5	Camp_Lite_Lawson_Services	Show All Text ; Unknown 5 ; No Follower Idle Chatter	6	1	001 InitiateLawson		
0075C0EC	ATX_COMP_Quest_Camp_Lite_Lawson	Lawson	0075C1F6	Camp_Lite_Lawson_Personal	Show All Text ; Unknown 5 ; No Follower Idle Chatter	3	1	001 InitiateLawson		
0075C0EC	ATX_COMP_Quest_Camp_Lite_Lawson	Lawson	0075C1F7	Camp_Lite_Lawson_MainLoop	Show All Text ; Unknown 5 ; No Follower Idle Chatter	2	1	001 InitiateLawson		
0075C0EC	ATX_COMP_Quest_Camp_Lite_Lawson	Lawson	0075C1F8	Camp_Lite_Lawson_Commentary	Show All Text ; Unknown 5 ; No Follower Idle Chatter	3	1	001 InitiateLawson		
0075C0EC	ATX_COMP_Quest_Camp_Lite_Lawson	Lawson	0075C1F9	Camp_Lite_Lawson_Commentary_Brotherhood	Show All Text ; Unknown 5 ; No Follower Idle Chatter	3	1	001 InitiateLawson		
0075C0EC	ATX_COMP_Quest_Camp_Lite_Lawson	Lawson	0075C1FA	Camp_Lite_Lawson_Personal_Family	Show All Text ; Unknown 5 ; No Follower Idle Chatter	1	1	001 InitiateLawson		
0075C0EC	ATX_COMP_Quest_Camp_Lite_Lawson	Lawson	0075C1FB	Camp_Lite_Lawson_Intro	Show All Text ; Unknown 5 ; No Follower Idle Chatter	10	1	001 InitiateLawson		
0073E934	ATX_COMP_Quest_Camp_Lite_Adelaide	Adelaide	0073E949	ATX_COMP_Quest_Camp_Lite_Adelaide_Intro	Show All Text ; Unknown 5 ; No Follower Idle Chatter	9	1	001 Adelaide		
0073E934	ATX_COMP_Quest_Camp_Lite_Adelaide	Adelaide	00748F33	ATX_COMP_Quest_Camp_Lite_Adelaide_Main	Show All Text ; Unknown 5 ; No Follower Idle Chatter	7	1	001 Adelaide		
0073E934	ATX_COMP_Quest_Camp_Lite_Adelaide	Adelaide	00748F34	ATX_COMP_Quest_Camp_Lite_Adelaide_Personal	Show All Text ; Unknown 5 ; No Follower Idle Chatter	7	1	001 Adelaide		
0073E934	ATX_COMP_Quest_Camp_Lite_Adelaide	Adelaide	00748F35	ATX_COMP_Quest_Camp_Lite_Adelaide_Frankie	Show All Text ; Unknown 5 ; No Follower Idle Chatter	8	1	001 Adelaide		
0073E934	ATX_COMP_Quest_Camp_Lite_Adelaide	Adelaide	00748F36	ATX_COMP_Quest_Camp_Lite_Adelaide_PastHelp	Show All Text ; Unknown 5 ; No Follower Idle Chatter	9	1	001 Adelaide		
006DC95D	ATX_COMP_Quest_Camp_Lite_GrandmaJunko	GrandmaJunko	006DC971	ATX_COMP_Quest_Camp_Lite_GrandmaJunko_Intro	Show All Text ; Unknown 5 ; No Follower Idle Chatter	7	1	001 GrandmaJunko		
006DC95D	ATX_COMP_Quest_Camp_Lite_GrandmaJunko	GrandmaJunko	006E350A	ATX_COMP_Quest_Camp_Lite_GrandmaJunko_Main	Show All Text ; Unknown 5 ; No Follower Idle Chatter	3	1	001 GrandmaJunko		
006DC95D	ATX_COMP_Quest_Camp_Lite_GrandmaJunko	GrandmaJunko	006E350B	ATX_COMP_Quest_Camp_Lite_GrandmaJunko_Personal	Show All Text ; Unknown 5 ; No Follower Idle Chatter	4	1	001 GrandmaJunko		
006DC95D	ATX_COMP_Quest_Camp_Lite_GrandmaJunko	GrandmaJunko	006E350C	ATX_COMP_Quest_Camp_Lite_GrandmaJunko_Quest	Show All Text ; Unknown 5 ; No Follower Idle Chatter	2	1	001 GrandmaJunko		
006DC95D	ATX_COMP_Quest_Camp_Lite_GrandmaJunko	GrandmaJunko	006E350D	ATX_COMP_Quest_Camp_Lite_GrandmaJunko_InterestingPeople	Show All Text ; Unknown 5 ; No Follower Idle Chatter	1	1	001 GrandmaJunko		
006DC95D	ATX_COMP_Quest_Camp_Lite_GrandmaJunko	GrandmaJunko	006E350E	ATX_COMP_Quest_Camp_Lite_GrandmaJunko_Rude	Show All Text ; Unknown 5 ; No Follower Idle Chatter	2	1	001 GrandmaJunko		
006DC95D	ATX_COMP_Quest_Camp_Lite_GrandmaJunko	GrandmaJunko	006E350F	ATX_COMP_Quest_Camp_Lite_GrandmaJunko_Services	Show All Text ; Unknown 5 ; No Follower Idle Chatter	3	1	001 GrandmaJunko		
006DC95D	ATX_COMP_Quest_Camp_Lite_GrandmaJunko	GrandmaJunko	006E3510	ATX_COMP_Quest_Camp_Lite_GrandmaJunko_PersonalPast	Show All Text ; Unknown 5 ; No Follower Idle Chatter	8	1	001 GrandmaJunko		
006A436A	ATX_COMP_Quest_Camp_Lite_JoeyBello	JoeyBello	006A5983	ATX_COMP_Quest_Camp_Lite_JoeyBello_FirstMeeting	Show All Text ; Unknown 5 ; No Follower Idle Chatter	6	1	000 JoeyBello		
006A436A	ATX_COMP_Quest_Camp_Lite_JoeyBello	JoeyBello	006A9443	ATX_COMP_Quest_Camp_Lite_JoeyBello_MainLoop	Show All Text ; Unknown 5 ; No Follower Idle Chatter	3	1	000 JoeyBello		
006A436A	ATX_COMP_Quest_Camp_Lite_JoeyBello	JoeyBello	006A9444	ATX_COMP_Quest_Camp_Lite_JoeyBello_Services	Show All Text ; Unknown 5 ; No Follower Idle Chatter	8	1	000 JoeyBello		
006A436A	ATX_COMP_Quest_Camp_Lite_JoeyBello	JoeyBello	006A9960	ATX_COMP_Quest_Camp_Lite_JoeyBello_Personal	Show All Text ; Unknown 5 ; No Follower Idle Chatter	12	1	000 JoeyBello		
006A436A	ATX_COMP_Quest_Camp_Lite_JoeyBello	JoeyBello	006A9F8B	ATX_COMP_Quest_Camp_Lite_JoeyBello_Commentary	Show All Text ; Unknown 5	10	1	000 JoeyBello		
006A436A	ATX_COMP_Quest_Camp_Lite_JoeyBello	JoeyBello	006AA5F7	ATX_COMP_Quest_Camp_Lite_JoeyBello_Jokes	Show All Text ; Unknown 5	2	1	000 JoeyBello		
0068D3DC	ATX_COMP_Quest_Camp_Lite_Scarberry	Scarberry	0068DC14	ATX_COMP_Quest_Camp_Lite_Scarberry_FirstMeeting	Show All Text ; Unknown 5 ; No Follower Idle Chatter	10	1	000 Scarberry		
0068D3DC	ATX_COMP_Quest_Camp_Lite_Scarberry	Scarberry	0068E239	ATX_COMP_Quest_Camp_Lite_Scarberry_Main	Show All Text ; Unknown 5 ; No Follower Idle Chatter	3	1	000 Scarberry		
0068D3DC	ATX_COMP_Quest_Camp_Lite_Scarberry	Scarberry	0068E266	ATX_COMP_Quest_Camp_Lite_Scarberry_QuestCommentary	Show All Text ; Unknown 5 ; No Follower Idle Chatter	9	1	000 Scarberry		
0068D3DC	ATX_COMP_Quest_Camp_Lite_Scarberry	Scarberry	0068E865	ATX_COMP_Quest_Camp_Lite_Scarberry_Services	Show All Text ; Unknown 5 ; No Follower Idle Chatter	2	1	000 Scarberry		
0068D3DC	ATX_COMP_Quest_Camp_Lite_Scarberry	Scarberry	0068E885	ATX_COMP_Quest_Camp_Lite_Scarberry_Personal	Show All Text ; Unknown 5 ; No Follower Idle Chatter	5	1	000 Scarberry		
00674958	ATX_COMP_Quest_Camp_Lite_NukaAgent	NukaAgent	0067496B	ATX_COMP_NukaAgent_Services	Show All Text ; Unknown 5 ; No Follower Idle Chatter	4	1	000 Leo		
00674958	ATX_COMP_Quest_Camp_Lite_NukaAgent	NukaAgent	0067797B	ATX_COMP_NukaAgent_QuestCommentary	Show All Text ; Unknown 5 ; No Follower Idle Chatter	13	1	000 Leo		
00674958	ATX_COMP_Quest_Camp_Lite_NukaAgent	NukaAgent	0067797C	ATX_COMP_NukaAgent_Personal	Show All Text ; Unknown 5 ; No Follower Idle Chatter	12	1	000 Leo		
00674958	ATX_COMP_Quest_Camp_Lite_NukaAgent	NukaAgent	0067797D	ATX_COMP_NukaAgent_FirstMeeting	Show All Text ; Unknown 5 ; No Follower Idle Chatter	8	1	000 Leo		
0062DC25	ATX_COMP_Quest_Camp_Lite_Astronomer	Astronomer	0062DD72	ATX_COMP_Astronomer_Introduction	Show All Text ; Unknown 5 ; No Follower Idle Chatter	6	1	001 KatherineSwan		
0062DC25	ATX_COMP_Quest_Camp_Lite_Astronomer	Astronomer	0062DD73	ATX_COMP_Astronomer_Personal_Loop	Show All Text ; Unknown 5 ; No Follower Idle Chatter	12	1	001 KatherineSwan		
0062DC25	ATX_COMP_Quest_Camp_Lite_Astronomer	Astronomer	0062DD74	ATX_COMP_Astronomer_Quest_Loop	Show All Text ; Unknown 5 ; No Follower Idle Chatter	18	1	001 KatherineSwan		
0062DC25	ATX_COMP_Quest_Camp_Lite_Astronomer	Astronomer	0062DD75	ATX_COMP_Astronomer_Services_Loop	Show All Text ; Unknown 5 ; No Follower Idle Chatter	2	1	001 KatherineSwan		
0062CA7E	ATX_COMP_Quest_Camp_Lite_Ghoul	Ghoul	0062CB93	ATX_COMP_Ghoul_Introduction	Show All Text ; Unknown 5	5	1	000 Xerxo		
0062CA7E	ATX_COMP_Quest_Camp_Lite_Ghoul	Ghoul	0062CB94	ATX_COMP_Ghoul_Personal_Loop	Show All Text ; Unknown 5 ; No Follower Idle Chatter	6	1	000 Xerxo		
0062CA7E	ATX_COMP_Quest_Camp_Lite_Ghoul	Ghoul	0062CB95	ATX_COMP_Ghoul_Quest_Loop	Show All Text ; Unknown 5 ; No Follower Idle Chatter	5	1	000 Xerxo		
0062CA7E	ATX_COMP_Quest_Camp_Lite_Ghoul	Ghoul	0062CB96	ATX_COMP_Ghoul_Services_Loop	Show All Text ; Unknown 5 ; No Follower Idle Chatter	6	1	000 Xerxo		
006209CE	ATX_COMP_Doberman_Quest_Camp_Lite_Dog	Dog	00620A27	ATX_COMP_Scene_DogIntro	Show All Text ; Unknown 5	2	1	000 Dog		
006209CE	ATX_COMP_Doberman_Quest_Camp_Lite_Dog	Dog	00620A28	ATX_COMP_Scene_DogTOP	Show All Text ; Unknown 5	4	1	000 Dog		
0061E063	SCORE_S5_COMP_Quest_Camp_Lite_SuperMutant	SuperMutant	0061ECC5	ATX_COMP_SuperMutant_Introduction	Show All Text ; Unknown 5	5	1	000 Maul		
0061E063	SCORE_S5_COMP_Quest_Camp_Lite_SuperMutant	SuperMutant	0061ECC6	ATX_COMP_SuperMutant_Services	Show All Text ; Unknown 5	1	1	000 Maul		
0061E063	SCORE_S5_COMP_Quest_Camp_Lite_SuperMutant	SuperMutant	0061ECC7	ATX_COMP_SuperMutant_Quest	Show All Text ; Unknown 5 ; No Follower Idle Chatter	6	1	000 Maul		
0061E063	SCORE_S5_COMP_Quest_Camp_Lite_SuperMutant	SuperMutant	0061ECC8	ATX_COMP_SuperMutant_Personal	Show All Text ; Unknown 5 ; No Follower Idle Chatter	5	1	000 Maul		
0061E063	SCORE_S5_COMP_Quest_Camp_Lite_SuperMutant	SuperMutant	0061ECC9	ATX_COMP_SuperMutant_TOP	Show All Text ; Unknown 5	1	1	000 Maul		
0061E063	SCORE_S5_COMP_Quest_Camp_Lite_SuperMutant	SuperMutant	0061F2B5	ATX_COMP_SuperMutant_Personal_01	Show All Text ; Unknown 5	2	1	000 Maul		
0061E063	SCORE_S5_COMP_Quest_Camp_Lite_SuperMutant	SuperMutant	0061F394	ATX_COMP_SuperMutant_Personal_03	Show All Text ; Unknown 5 ; No Follower Idle Chatter	3	1	000 Maul		
0061E063	SCORE_S5_COMP_Quest_Camp_Lite_SuperMutant	SuperMutant	0061F395	ATX_COMP_SuperMutant_Personal_04	Show All Text ; Unknown 5 ; No Follower Idle Chatter	2	1	000 Maul		
0061E063	SCORE_S5_COMP_Quest_Camp_Lite_SuperMutant	SuperMutant	0061F396	ATX_COMP_SuperMutant_Personal_02	Show All Text ; Unknown 5 ; No Follower Idle Chatter	2	1	000 Maul		
0061E063	SCORE_S5_COMP_Quest_Camp_Lite_SuperMutant	SuperMutant	0061F40B	ATX_COMP_SuperMutant_Quest_DogName	Show All Text ; Unknown 5	3	1	000 Maul		
0061E062	SCORE_S5_COMP_Quest_Camp_Lite_Inspector	Inspector	0061ECCC	ATX_COMP_Inspector_Services	Show All Text ; Unknown 5	2	1	000 Daphne		
0061E062	SCORE_S5_COMP_Quest_Camp_Lite_Inspector	Inspector	0061ECD0	ATX_COMP_Inspector_Introduction	Show All Text ; Unknown 5	3	1	000 Daphne		
0061E062	SCORE_S5_COMP_Quest_Camp_Lite_Inspector	Inspector	0061ED00	ATX_COMP_Inspector_Quest	Show All Text ; Unknown 5	7	1	000 Daphne		
0061E062	SCORE_S5_COMP_Quest_Camp_Lite_Inspector	Inspector	0061ED56	ATX_COMP_Inspector_Personal	Show All Text ; Unknown 5	13	1	000 Daphne		
0061E062	SCORE_S5_COMP_Quest_Camp_Lite_Inspector	Inspector	0061ED85	ATX_COMP_Inspector_Quest_Shroud	Show All Text ; Unknown 5	3	1	000 Daphne		
0061E062	SCORE_S5_COMP_Quest_Camp_Lite_Inspector	Inspector	0061ED99	ATX_COMP_Inspector_Quest_Mistress	Show All Text ; Unknown 5	3	1	000 Daphne		
0061E062	SCORE_S5_COMP_Quest_Camp_Lite_Inspector	Inspector	0061EDA4	ATX_COMP_Inspector_Quest_Grognak	Show All Text ; Unknown 5	3	1	000 Daphne		
0061E062	SCORE_S5_COMP_Quest_Camp_Lite_Inspector	Inspector	0061EDAD	ATX_COMP_Inspector_TOP	Show All Text ; Unknown 5	1	1	000 Daphne		
0061E062	SCORE_S5_COMP_Quest_Camp_Lite_Inspector	Inspector	0061EDAE	ATX_COMP_Inspector_Quest_Manta	Show All Text ; Unknown 5	5	1	000 Daphne		
0061E040	ATX_COMP_Quest_Camp_Lite_Mechanic	Mechanic	0061E085	ATX_COMP_Mechanic_Introduction	Show All Text ; Unknown 5	5	1	000 Sam		
0061E040	ATX_COMP_Quest_Camp_Lite_Mechanic	Mechanic	0061E1C5	ATX_COMP_Mechanic_Services	Show All Text ; Unknown 5	3	1	000 Sam		
0061E040	ATX_COMP_Quest_Camp_Lite_Mechanic	Mechanic	0061E1C6	ATX_COMP_Mechanic_TOP	Show All Text ; Unknown 5	1	1	000 Sam		
0061E040	ATX_COMP_Quest_Camp_Lite_Mechanic	Mechanic	0061E1C7	ATX_COMP_Mechanic_Services_TuneUP	Show All Text ; Unknown 5	2	1	000 Sam		
0061E040	ATX_COMP_Quest_Camp_Lite_Mechanic	Mechanic	0061E1C8	ATX_COMP_Mechanic_Personal	Show All Text ; Unknown 5 ; No Follower Idle Chatter	9	1	000 Sam		
0061E040	ATX_COMP_Quest_Camp_Lite_Mechanic	Mechanic	0061E1C9	ATX_COMP_Mechanic_QuestCommentary	Show All Text ; Unknown 5	8	1	000 Sam		
005DBE6D	BS01_COMP_Quest_Camp_Lite_Chef	Chef	005E4334	BS01_COMP_Chef_Introduction	Show All Text ; Unknown 5	6	1	001 Yasmin		
005DBE6D	BS01_COMP_Quest_Camp_Lite_Chef	Chef	005E4335	BS01_COMP_Chef_Main_Cooking	Show All Text ; Unknown 5	7	1	001 Yasmin		
005DBE6D	BS01_COMP_Quest_Camp_Lite_Chef	Chef	005E4336	BS01_COMP_Chef_Personal_Loop	Show All Text ; Unknown 5	6	1	001 Yasmin		
005C40FD	BS01_COMP_Medic_Camp	Medic	005C4210	BS01_COMP_Medic_Introduction	Show All Text ; Unknown 5 ; No Follower Idle Chatter	6	1	000 Solomon		
005C40FD	BS01_COMP_Medic_Camp	Medic	005C4211	BS01_COMP_Medic_CAMP_Top	Show All Text ; Unknown 5 ; No Follower Idle Chatter	1	1	000 Solomon		
005C40FD	BS01_COMP_Medic_Camp	Medic	005C4212	BS01_COMP_Medic_CAMP_Brotherhood	Show All Text ; Unknown 5 ; No Follower Idle Chatter	4	1	000 Solomon		
