ARMO_FormID	ARMO_EDID	ARMO_FULL	DATA_Value	DATA_Weight	DATA_Health	DAMA_Flat	KWDA_Count	KWDA_Flat	ModTarget_KWDs	SlotCount	Slots_Flat	ComboCount	ReferencedByCount	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30
00019568	Armor_RaiderMod_Underarmor_LongJohns	Long Johns	20	0.500000	0		6	ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_Raider[0016EBDC] | ClothingTypeRaider[0041681D] | ClothingTypeWinter[00486833] | ClothingTypeSleepwear[00486835] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_Raider[0016EBDC] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	7	0001F159:ResidentLongJohns:OTFT	0008212C:MTNL01_LL_Armor_Raider_Underwear:LVLI	0011A36A:LL_Armor_Underarmor_Generic:LVLI	001CF591:modScrapRecipe_Null_Cromponent_Cloth:FLST	001F613C:modScrapRecipe_Null_Component_ClothMinor:FLST	003259DA:co_Armor_Underarmor_Raider_LongJohns:COBJ	00368DAF:TestQAArmorRecipe:CONT																							
0008158D	Armor_RaiderMod_Underarmor_Harness	Harness	20	0.500000	0		4	ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_Raider[0016EBDC] | ClothingTypeRaider[0041681D] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_Raider[0016EBDC] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	8	0008212C:MTNL01_LL_Armor_Raider_Underwear:LVLI	0011A36A:LL_Armor_Underarmor_Generic:LVLI	001F6136:modScrapRecipe_Null_Cromponent_Leather:FLST	003259DB:co_Armor_Underarmor_Raider_Harness:COBJ	00368DAF:TestQAArmorRecipe:CONT	0040F687:W05_MQ_002P_Radical_RadicalOutfit02:OTFT	00411F77:W05_MQ_002P_Radical_JackyOutfit:OTFT	0055897E:W05_Raider_Sargento_Outfit:OTFT																						
000AF0E2	Armor_RaiderMod_Underarmor_RoadLeathers	Road Leathers	20	0.500000	0		4	ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_Raider[0016EBDC] | ClothingTypeRaider[0041681D] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_Raider[0016EBDC] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	5	0008212C:MTNL01_LL_Armor_Raider_Underwear:LVLI	0011A36A:LL_Armor_Underarmor_Generic:LVLI	001F6136:modScrapRecipe_Null_Cromponent_Leather:FLST	003259D9:co_Armor_Underarmor_RaiderMod_RoadLeathers:COBJ	00368DAF:TestQAArmorRecipe:CONT																									
000DEDEB	Armor_BoS_Knight_Underarmor_Shin	Brotherhood Knight Suit	30	0.500000	0		5	usePowerArmorFrameBoS[00155046] | ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_BOS[0016EC06] | Tutorial_DamageResistanceObject[0023D317] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_BOS[0016EC06] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	8	000642B1:BoSStandardOutfit:OTFT	0012BCA3:BoSVertibirdPilotOutfit:OTFT	001CF591:modScrapRecipe_Null_Cromponent_Cloth:FLST	00351849::REFR	0039CCAD:Outfit_Loot_Corpse_BoSPilot:OTFT	003D0FCA:BoSClothingList:FLST	005C3528:BS01_Shin_Outfit:OTFT	005EFB92:BS01_Shin_PA_Outfit:OTFT																						
000FFC21	Armor_Casual_Underarmor_ShirtJeans	Undershirt & Jeans	20	0.500000	0		3	ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_Casual[0016EC04] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_Casual[0016EC04] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	12	000D34F1:LLS_Clothes_Resident:LVLI	0010C050:ResidentHighschoolJacketOutfit:OTFT	0011A36A:LL_Armor_Underarmor_Generic:LVLI	0014D253:ResidentTShirtAndJeans:OTFT	0014D256:ResidentTShirtAndJeansWithGlasses:OTFT	0016EF0A:co_Armor_Underarmor_Casual_ShirtJeans:COBJ	001F613C:modScrapRecipe_Null_Component_ClothMinor:FLST	00563379:W05_Wayward_Patron_Refugee_Outfit:OTFT	00596739:LLV_Vendor_Armor_Settler_Underarmor:LVLI	0075D1D0::REFR	008195C4::REFR	0081962A::REFR																		
00117EB9	Armor_Casual_Underarmor_FlannelJeans	Flannel Shirt and Jeans	20	0.500000	0		3	ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_Casual[0016EC04] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_Casual[0016EC04] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	8	000D34F1:LLS_Clothes_Resident:LVLI	0011A36A:LL_Armor_Underarmor_Generic:LVLI	0014D254:ResidentFlannelShirtAndJeans:OTFT	0016EF2C:co_Armor_Underarmor_Casual_FlannelJeans:COBJ	001F613C:modScrapRecipe_Null_Component_ClothMinor:FLST	00425170:W05_Settler_WardOutfit:OTFT	00596739:LLV_Vendor_Armor_Settler_Underarmor:LVLI	0082E2DB::REFR																						
00134294	Armor_BoS_Officer_Underarmor	Brotherhood Officer Suit	30	0.500000	0		4	ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_BOS[0016EC06] | Tutorial_DamageResistanceObject[0023D317] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_BOS[0016EC06] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	3	0016EF68:co_Armor_Underarmor_BoS_Officer:COBJ	001CF591:modScrapRecipe_Null_Cromponent_Cloth:FLST	003D0FCA:BoSClothingList:FLST																											
0016892C	Armor_Casual_Underarmor_MilitaryFatigues	Military Fatigues	10	0.500000	0		5	ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_Casual[0016EC04] | EN05_MilitaryFatigueKeyword[0018208E] | ClothingTypeMilitary[00486836] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_Casual[0016EC04] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	17	0014748A:LL_Clothes_Single_MilitaryFatigues:LVLI	0019DE9D:LL_Clothes_Prewar:LVLI	001CF591:modScrapRecipe_Null_Cromponent_Cloth:FLST	001F613C:modScrapRecipe_Null_Component_ClothMinor:FLST	0033549E:V63_Outfit_CertificationMilitary:OTFT	00345AC9:EN05_MilitaryFatiguesFormlist:FLST	003E656B:LL_Clothes_Profession_Military:LVLI	0051AC0F:LL_Clothes_LocTheme_Military:LVLI	00525407:BabylonExcludeList:FLST	0053F7C9::REFR	00598B4D:W05_Outfit_JoeCreigh:OTFT	005C28B4:Outfit_BrotherhoodHopeful:OTFT	005C2F81:Outfit_BrotherhoodScribe:OTFT	006064EE:BS02_Norland_Outfit:OTFT	006069F6:BS02_Hewson_Outfit:OTFT	0060E6C7:BS02_Outfit_PutnamBrothers:OTFT	00739896:Outfit_InitiateGaines:OTFT													
0018E3F7	Armor_RaiderMod_Underarmor_RaiderLeathers	Raider Leathers	20	0.500000	0		4	ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_Raider[0016EBDC] | ClothingTypeRaider[0041681D] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_Raider[0016EBDC] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	11	0008212C:MTNL01_LL_Armor_Raider_Underwear:LVLI	001F6136:modScrapRecipe_Null_Cromponent_Leather:FLST	003259DC:co_Armor_Underarmor_RaiderMod_RaiderLeathers:COBJ	00368DAF:TestQAArmorRecipe:CONT	003D0FC7:RaiderClothing:FLST	00402CAF:W05_Raider_AeRiOutfit:OTFT	00402CB2:W05_Raider_WrenOutfit:OTFT	00402CB3:W05_Raider_RafOutfit:OTFT	0040F686:W05_MQ_002P_Radical_RadicalOutfit01:OTFT	0040FAA3:W05_MQ_002P_Radical_RadicalGuardOutfit:OTFT	00595A11:W05_Raider_Maddie_Outfit:OTFT																			
002223E3	Armor_BoS_Soldier_Underarmor	Brotherhood Soldier Suit	30	0.500000	0		4	ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_BOS[0016EC06] | Tutorial_DamageResistanceObject[0023D317] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_BOS[0016EC06] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	5	0016EF35:co_Armor_Underarmor_BoS_Soldier:COBJ	001CF591:modScrapRecipe_Null_Cromponent_Cloth:FLST	003B7C19:LL_Armor_BOS_Soldier_UnderArmor:LVLI	003D0FCA:BoSClothingList:FLST	004F96E0:76Trailer_SoliderOutfit:OTFT																									
