ARMO_FormID	ARMO_EDID	SlotIndex	AttachPoint_FormID	AttachPoint_EDID	AttachPoint_Name
00019568	Armor_RaiderMod_Underarmor_LongJohns	0	00022821	ap_armor_Lining	No Misc
00019568	Armor_RaiderMod_Underarmor_LongJohns	1	0089D6BB	ap_underarmor_style	Style
0008158D	Armor_RaiderMod_Underarmor_Harness	0	00022821	ap_armor_Lining	No Misc
0008158D	Armor_RaiderMod_Underarmor_Harness	1	0089D6BB	ap_underarmor_style	Style
000AF0E2	Armor_RaiderMod_Underarmor_RoadLeathers	0	00022821	ap_armor_Lining	No Misc
000AF0E2	Armor_RaiderMod_Underarmor_RoadLeathers	1	0089D6BB	ap_underarmor_style	Style
000DEDEB	Armor_BoS_Knight_Underarmor_Shin	0	00022821	ap_armor_Lining	No Misc
000DEDEB	Armor_BoS_Knight_Underarmor_Shin	1	0089D6BB	ap_underarmor_style	Style
000FFC21	Armor_Casual_Underarmor_ShirtJeans	0	00022821	ap_armor_Lining	No Misc
000FFC21	Armor_Casual_Underarmor_ShirtJeans	1	0089D6BB	ap_underarmor_style	Style
00117EB9	Armor_Casual_Underarmor_FlannelJeans	0	00022821	ap_armor_Lining	No Misc
00117EB9	Armor_Casual_Underarmor_FlannelJeans	1	0089D6BB	ap_underarmor_style	Style
00134294	Armor_BoS_Officer_Underarmor	0	00022821	ap_armor_Lining	No Misc
00134294	Armor_BoS_Officer_Underarmor	1	0089D6BB	ap_underarmor_style	Style
0016892C	Armor_Casual_Underarmor_MilitaryFatigues	0	00022821	ap_armor_Lining	No Misc
0016892C	Armor_Casual_Underarmor_MilitaryFatigues	1	0089D6BB	ap_underarmor_style	Style
0018E3F7	Armor_RaiderMod_Underarmor_RaiderLeathers	0	00022821	ap_armor_Lining	No Misc
0018E3F7	Armor_RaiderMod_Underarmor_RaiderLeathers	1	0089D6BB	ap_underarmor_style	Style
002223E3	Armor_BoS_Soldier_Underarmor	0	00022821	ap_armor_Lining	No Misc
002223E3	Armor_BoS_Soldier_Underarmor	1	0089D6BB	ap_underarmor_style	Style
0011114C	Armor_Marine_Underarmor_Wetsuit	0	00022821	ap_armor_Lining	No Misc
0011114C	Armor_Marine_Underarmor_Wetsuit	1	003BEEFD	ap_Armor_SURV_Description	
0011114C	Armor_Marine_Underarmor_Wetsuit	2	0089D6BB	ap_underarmor_style	Style
0004FEB0	Armor_VaultSuit76_Underarmor_Clean	0	00022821	ap_armor_Lining	No Misc
0004FEB0	Armor_VaultSuit76_Underarmor_Clean	1	0089D6BB	ap_underarmor_style	Style
00001A2B	Armor_Enclave_Underarmor_Uniform	0	00022821	ap_armor_Lining	No Misc
00001A2B	Armor_Enclave_Underarmor_Uniform	1	0089D6BB	ap_underarmor_style	Style
00001A38	Armor_Enclave_Underarmor_Uniform_02	0	00022821	ap_armor_Lining	No Misc
00001A38	Armor_Enclave_Underarmor_Uniform_02	1	0089D6BB	ap_underarmor_style	Style
002C20C8	Armor_VaultSuit94_Underarmor	0	00022821	ap_armor_Lining	No Misc
002C20C8	Armor_VaultSuit94_Underarmor	1	0089D6BB	ap_underarmor_style	Style
002C69B1	Armor_VaultSuit94_Underarmor_Clean	0	00022821	ap_armor_Lining	No Misc
002C69B1	Armor_VaultSuit94_Underarmor_Clean	1	0089D6BB	ap_underarmor_style	Style
00056738	Armor_BoS_Underarmor_BOSFatigues	0	00022821	ap_armor_Lining	No Misc
