FormID	EDID	FULL	XALG_Flags	SWFI	RENT_FormID	RENT_EDID	RENT_FULL	ReferencedBy
009136A6	SCORE_S26_AVTR_PlayerIcon_T51B	T-51b Player Icon	Premium	Textures/ATX/Storefront/Player/PlayerIcons/SCORE_S26_PlayerIcon_T-51b.dds	009136AC	SCORE_S26_ENTM_PlayerIcon_T51B	T-51b Player Icon	
009136A5	SCORE_S26_AVTR_PlayerIcon_Psychopath	Psychopath	Premium	Textures/ATX/Storefront/Player/PlayerIcons/SCORE_S26_PlayerIcon_Psychopath.dds	009136AB	SCORE_S26_ENTM_PlayerIcon_Psychopath	Psychopath Player Icon	
009136A4	SCORE_S26_AVTR_PlayerIcon_NightPerson	Night Person	Premium	Textures/ATX/Storefront/Player/PlayerIcons/SCORE_S26_PlayerIcon_NightPerson.dds	009136AA	SCORE_S26_ENTM_PlayerIcon_NightPerson	Night Person Player Icon	
009136A3	SCORE_S26_AVTR_PlayerIcon_Castle	Castle	Premium	Textures/ATX/Storefront/Player/PlayerIcons/SCORE_S26_PlayerIcon_Castle.dds	009136A9	SCORE_S26_ENTM_PlayerIcon_Castle	Castle Player Icon	
009136A2	SCORE_S26_AVTR_PlayerIcon_Bei	Vamp	Premium	Textures/ATX/Storefront/Player/PlayerIcons/SCORE_S26_PlayerIcon_Bei.dds	009136A8	SCORE_S26_ENTM_PlayerIcon_Bei	Vamp Player Icon	
009136A1	SCORE_S26_AVTR_PlayerIcon_BatTamer	Bat Tamer	Premium	Textures/ATX/Storefront/Player/PlayerIcons/SCORE_S26_PlayerIcon_BatTamer.dds	009136A7	SCORE_S26_ENTM_PlayerIcon_BatTamer	Bat Tamer Player Icon	
008E419D	SCORE_S25_AVTR_PlayerIcon_VaultGirlHoldingFish	Vault Girl Holding Fish	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S25_VaultGirlHoldingFish.dds	008E419F	SCORE_S25_ENTM_PlayerIcon_VaultGirlHoldingFish	Vault Girl Holding Fish Player Icon	
008E419C	SCORE_S25_AVTR_PlayerIcon_GlowingDog	Glowing Dog	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S25_GlowingDog.dds	008E41A0	SCORE_S25_ENTM_PlayerIcon_GlowingDog	Glowing Dog Player Icon	
008E419B	SCORE_S25_AVTR_PlayerIcon_MrFuzzyTongueOut	Silly Face Mr. Fuzzy	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S25_MrFuzzyTongueOut.dds	008E41A1	SCORE_S25_ENTM_PlayerIcon_MrFuzzyTongueOut	Silly Face Mr. Fuzzy Player Icon	
008E419A	SCORE_S25_AVTR_PlayerIcon_VaultBoyHoldingFish	Vault Boy Holding Fish	Premium	Textures/ATX/Storefront/Player/PlayerIcons/ATX_PlayerIcon_S25_VaultBoyHoldingFish.dds	008E419E	SCORE_S25_ENTM_PlayerIcon_VaultBoyHoldingFish	Vault Boy Holding Fish Player Icon	
