set	item_formid	edid	name	section	worldspace	cell	x	y	z	ref_formid	holder	loc_name	loc_source
notes	000524A7	BoS01MorseBook	Tomahawk Life: Morse Code and YOU!	BOOK			-1356.428467	2535.803955	56.732559	0050D5D9			
notes	00088AE5	TWZ07_Permit	Business Permit	BOOK			5954.622070	354.052063	115.317368	000521AB			
notes	00052D22	DotMatrixPrinterNote01	Printer Note	BOOK			5956.590332	274.128784	122.792443	00052D24			
notes	00052D22	DotMatrixPrinterNote01	Printer Note	BOOK			-237.147277	29.237694	0.443482	001D1D0C			
notes	00073782	MTR06_CheatSheet	Knowledge Exam Cheat Sheet	BOOK			-105946.664063	-68558.125000	10784.527344	001B5962			
notes	00073782	MTR06_CheatSheet	Knowledge Exam Cheat Sheet	BOOK			-1824.121826	1013.963012	55.968750	003CE681			
notes	0018208C	EN05_Patriotism_TophersDiary	Topher's Diary - June 9th	BOOK			-65969.039062	-12885.292968	15396.303711	003D1FA6			
notes	0018212E	EN05_Patriotism_JimmyDiary	Jimmy's Diary - May 2nd	BOOK			-66139.671875	-13397.861328	15408.078125	003D1F9F			
notes	0018C8D4	FFZ10_Light_ResponderNote	Brother Moncrief's Note	BOOK			-75992.242187	72263.843750	12544.489257	00189239			
notes	001203BA	WatogaMunicipalNote_02	All the Baskets!	BOOK			-565.678467	819.261292	3196.102783	001203BB			
notes	001203E3	WatogaMunicipalNote_01	Waste Baskets	BOOK			-2762.043457	2939.341309	32.739708	00027DC9			
notes	001203E3	WatogaMunicipalNote_01	Waste Baskets	BOOK			231.738586	953.988709	55.157322	001203E4			
notes	00290FDA	FS_CalebNote	Caleb's Note	BOOK			603.551025	1857.212402	-551.500000	000072D7			
notes	00290FDA	FS_CalebNote	Caleb's Note	BOOK			-400.167847	352.643677	0.000000	003D0BFF			
notes	00033AFD	LC101Guestbook	Alpine River Cabins Guestbook	BOOK			-129079.039062	53260.449219	4989.463867	00033AFE			
notes	0004D8E7	AgCenterMacFaddernBook01	Note to Marge	BOOK			-857.557984	1956.365356	313.477356	0029ADB9			
notes	0004D8EC	AgCenterMacFaddernBook02	Note to Mac	BOOK			-494.747925	1475.515747	-199.250000	0029ADBC			
notes	002C4622	TW007_TerminationPaperwork	Notice of Termination	BOOK			-53823.726562	138682.687500	14299.476563	002C4623			
notes	002C4624	TW007_CampPostcard	Camp Tomahawk Postcard	BOOK			-53855.023437	138478.859375	14212.584961	002C4619			
notes	002C543E	BoSz04MissionNote	Mission 099-01 Orders	BOOK			-55508.078125	-19008.230469	20.559593	00432F5A			
notes	002C543E	BoSz04MissionNote	Mission 099-01 Orders	BOOK			461.550598	515.941895	1218.875000	00495104			
notes	00068509	MTR05_Resume01	Penelope Hornwright's Resume	BOOK			-1809.581298	1198.995850	55.968750	0043022A			
notes	0006926C	MTR05_CheatSheet	Senior Executive Exam Answer Key	BOOK			-153.811371	-496.411835	800.435730	00526CA9			
notes	0020C2B0	BoS01_BreadCrumbNote_Morgantown	Mission to Abigayle	BOOK			-55.478783	-352.521973	197.333252	0041C45A			
notes	0020C2B1	BoS01_TrainingCamp_Note	Letter to Tommy	BOOK			158364.562500	-39029.246093	9364.930664	002A14F6			
notes	002A14F2	BoSTrainingCamp_SecurityReprimandNote	Belmonte Incident	BOOK			158477.875000	-39058.507812	9365.540039	002D6583			
notes	002D658A	BoS01_EndNote	Final Stand	BOOK			-1014.941894	959.005677	97.302017	002D658B			
notes	002D658A	BoS01_EndNote	Final Stand	BOOK			595.985656	-375.822784	106.240105	003A1251			
notes	002430DD	TW007_IncriminatingHRLetter	Important Memo	BOOK			21614.542968	131992.125000	15662.699218	003D8000			
notes	002430DD	TW007_IncriminatingHRLetter	Important Memo	BOOK			17834.248047	135956.046875	14858.161132	003D8001			
notes	00283ECC	EN01_IntelNote	Intelligence Memo - 8/16/77	BOOK			-1262.081543	1674.213867	55.968758	004F9F0A			
