FormID	EDID	ANAM	PTPR	PTSU	CondCount	Cond1	Cond2	Cond3	Cond4	Cond5	Cond6	Cond7	Cond8	Cond9	Cond10	Cond11	Cond12
0088DA11	SCORE_S14_CAMPTitles_Prefix_Freedoms	Freedom's	True	False	1	10000000|1.000000|HasEntitlement|00 00 00|00 00|SCORE_S14_ENTM_CAMP_WallDecor_S14Board_Tricentennial "Fight For Freedom Gameboard" [ENTM:006C2A6B]|00 00 00 00|0|-1|Subject|											
0088DA09	SCORE_S6_CAMPTitles_Prefix_Diabolicals	Diabolical's	True	False	1	10000000|1.000000|HasEntitlement|00 00 00|00 00|SCORE_S6_ENTM_CAMP_WallDeco_Unstoppables_Gameboard "Unstoppables! Gameboard" [ENTM:0061F900]|00 00 00 00|0|-1|Subject|											
0088DA05	SCORE_S2_CAMPTitles_Prefix_Subjugators	Subjugator's	True	False	1	10000000|1.000000|HasEntitlement|00 00 00|00 00|SCORE_S2_ENTM_CAMP_WallDeco_ArmorAce_Gameboard "Framed Armor Ace Gameboard" [ENTM:005D8214]|00 00 00 00|0|-1|Subject|											
0088DA12	SCORE_S15_CAMPTitles_Prefix_Dealers	Dealer's	True	False	1	10000000|1.000000|HasEntitlement|00 00 00|00 00|SCORE_S15_ENTM_CAMP_WallDecor_S15Board_Casino "The Big Score Gameboard" [ENTM:006F57BB]|00 00 00 00|0|-1|Subject|											
0088DA1A	SCORE_S22_CAMPTitles_Prefix_Renovated	Renovated	True	False	1	10000000|1.000000|HasEntitlement|00 00 00|00 00|SCORE_S22_ENTM_CAMP_WallDecor_EndOfSeasonArt "Appalachian Modern Living Corkboard" [ENTM:00849296]|00 00 00 00|0|-1|Subject|											
0088DA04	SCORE_S1_CAMPTitles_Prefix_LegendaryRunners	Legendary Runner's	True	False	1	10000000|1.000000|HasEntitlement|00 00 00|00 00|SCORE_S1_ENTM_CAMP_WallDeco_CaptainCosmos_Gameboard "Framed Captain Cosmos Gameboard" [ENTM:005C2898]|00 00 00 00|0|-1|Subject|											
0088DA18	SCORE_S21_CAMPTitles_Suffix_Wharf	Wharf	False	True	1	10000000|1.000000|HasEntitlement|00 00 00|00 00|SCORE_S21_ENTM_CAMP_WallDecor_EndofSeasonArt "Framed Gone Fission Wall Art" [ENTM:0080F9B3]|00 00 00 00|0|-1|Subject|											
0088DA0C	SCORE_S9_CAMPTitles_Prefix_H-4RT	H-4RT's	True	False	1	10000000|1.000000|HasEntitlement|00 00 00|00 00|SCORE_S9_ENTM_CAMP_WallDeco_S9Board_Gameboard "Dread Island Gameboard" [ENTM:0064E0DD]|00 00 00 00|0|-1|Subject|											
0088DA16	SCORE_S19_CAMPTitles_Prefix_Delvers	Delver's	True	False	1	10000000|1.000000|HasEntitlement|00 00 00|00 00|SCORE_S19_ENTM_CAMP_WallDecor_EndofSeasonArt "Framed Scientific Forge Wall Art" [ENTM:007AC30D]|00 00 00 00|0|-1|Subject|											
0088DA06	SCORE_S3_CAMPTitles_Suffix_Avalon	Avalon	False	True	1	10000000|1.000000|HasEntitlement|00 00 00|00 00|SCORE_S3_ENTM_CAMP_WallDeco_KDInkwell_Gameboard "Framed Scribe of Avalon Gameboard" [ENTM:005EE808]|00 00 00 00|0|-1|Subject|											
